Aug 15 2013 01: +0,16.637,10
Aug 16 2013 01: +0,14.351,19
Aug 17 2013 01: +0,10.855,26
Aug 18 2013 01: +0,10.622,30
Aug 19 2013 01: +0,11.314,36
Aug 20 2013 01: +0,11.193,25
Aug 21 2013 01: +0,10.285,21
Aug 22 2013 01: +0,9.667,37
Aug 23 2013 01: +0,8.661,56
Aug 24 2013 01: +0,8.379,50
Aug 25 2013 01: +0,8.236,47
Aug 26 2013 01: +0,8.181,41
Aug 27 2013 01: +0,7.757,51
Aug 28 2013 01: +0,8.121,44
Aug 29 2013 01: +0,8.829,34
Aug 30 2013 01: +0,8.618,57
Aug 31 2013 01: +0,7.954,64
Sep 01 2013 01: +0,7.989,43
Sep 02 2013 01: +0,7.94,72
Sep 03 2013 01: +0,8.235,44
Sep 04 2013 01: +0,7.885,55
Sep 05 2013 01: +0,7.946,43
Sep 06 2013 01: +0,7.651,53
Sep 07 2013 01: +0,7.827,58
Sep 08 2013 01: +0,7.439,63
Sep 09 2013 01: +0,6.928,77
Sep 10 2013 01: +0,7.043,51
Sep 11 2013 01: +0,7.363,47
Sep 12 2013 01: +0,7.453,60
Sep 13 2013 01: +0,7.483,87
Sep 14 2013 01: +0,7.406,69
Sep 15 2013 01: +0,7.311,94
Sep 16 2013 01: +0,7.43,61
Sep 17 2013 01: +0,7.331,54
Sep 18 2013 01: +0,6.905,51
Sep 19 2013 01: +0,6.457,50
Sep 20 2013 01: +0,5.245,100
Sep 21 2013 01: +0,5.189,99
Sep 22 2013 01: +0,4.664,111
Sep 23 2013 01: +0,5.191,95
Sep 24 2013 01: +0,5.266,77
Sep 25 2013 01: +0,5.37,76
Sep 26 2013 01: +0,5.813,63
Sep 27 2013 01: +0,5.582,76
Sep 28 2013 01: +0,5.415,83
Sep 29 2013 01: +0,5.384,91
Sep 30 2013 01: +0,5.346,80
Oct 01 2013 01: +0,5.541,66
Oct 02 2013 01: +0,5.4,65
Oct 03 2013 01: +0,5.154,82
Oct 04 2013 01: +0,5.256,77
Oct 05 2013 01: +0,4.981,88
Oct 06 2013 01: +0,5.166,97
Oct 07 2013 01: +0,5.344,52
Oct 08 2013 01: +0,5.081,63
Oct 09 2013 01: +0,4.797,68
Oct 10 2013 01: +0,4.872,83
Oct 11 2013 01: +0,4.933,78
Oct 12 2013 01: +0,4.989,83
Oct 13 2013 01: +0,4.871,93
Oct 14 2013 01: +0,5.086,80
Oct 15 2013 01: +0,4.891,65
Oct 16 2013 01: +0,4.886,86
Oct 17 2013 01: +0,4.652,73
Oct 18 2013 01: +0,4.798,80
Oct 19 2013 01: +0,4.779,97
Oct 20 2013 01: +0,4.868,82
Oct 21 2013 01: +0,4.799,60
Oct 22 2013 01: +0,4.852,61
Oct 23 2013 01: +0,4.938,74
Oct 24 2013 01: +0,4.439,81
Oct 25 2013 01: +0,5.108,68
Oct 26 2013 01: +0,4.648,89
Oct 27 2013 01: +0,4.539,102
Oct 28 2013 01: +0,4.699,93
Oct 29 2013 01: +0,4.587,82
Oct 30 2013 01: +0,4.415,63
Oct 31 2013 01: +0,4.358,78
Nov 01 2013 01: +0,4.315,95
Nov 02 2013 01: +0,4.56,73
Nov 03 2013 01: +0,4.513,62
Nov 04 2013 01: +0,4.249,76
