Apr 16 2015 01: +0,14.665,3519
Apr 17 2015 01: +0,9.506,3324
Apr 18 2015 01: +0,7.142,3679
Apr 19 2015 01: +0,6.521,2840
Apr 20 2015 01: +0,5.979,3103
Apr 21 2015 01: +0,5.936,2921
Apr 22 2015 01: +0,5.829,2524
Apr 23 2015 01: +0,5.402,2801
Apr 24 2015 01: +0,5.133,3316
Apr 25 2015 01: +0,5.038,3739
Apr 26 2015 01: +0,4.527,3794
Apr 27 2015 01: +0,4.188,3318
Apr 28 2015 01: +0,4.155,3026
Apr 29 2015 01: +0,4.059,2940
Apr 30 2015 01: +0,4.09,3514
May 01 2015 01: +0,3.981,3266
May 02 2015 01: +0,3.793,3934
May 03 2015 01: +0,3.499,4070
May 04 2015 01: +0,3.255,4045
May 05 2015 01: +0,3.199,3595
May 06 2015 01: +0,3.124,3414
May 07 2015 01: +0,3.077,2961
May 08 2015 01: +0,2.952,3841
May 09 2015 01: +0,2.841,4230
May 10 2015 01: +0,2.662,4301
May 11 2015 01: +0,2.567,3492
May 12 2015 01: +0,2.566,3336
May 13 2015 01: +0,2.553,3542
May 14 2015 01: +0,2.507,3680
May 15 2015 01: +0,2.465,3541
May 16 2015 01: +0,2.46,4157
May 17 2015 01: +0,2.333,3907
May 18 2015 01: +0,2.265,3377
May 19 2015 01: +0,2.174,3349
May 20 2015 01: +0,2.095,3263
May 21 2015 01: +0,2.079,3592
May 22 2015 01: +0,2.023,3834
May 23 2015 01: +0,2.011,4336
May 24 2015 01: +0,1.978,4053
May 25 2015 01: +0,1.895,3822
May 26 2015 01: +0,1.842,3683
May 27 2015 01: +0,1.283,7564
May 28 2015 01: +0,1.493,5672
May 29 2015 01: +0,1.518,5312
May 30 2015 01: +0,1.58,5402
May 31 2015 01: +0,1.567,4848
Jun 01 2015 01: +0,1.536,4692
Jun 02 2015 01: +0,1.516,4470
Jun 03 2015 01: +0,1.464,4799
Jun 04 2015 01: +0,1.419,4465
Jun 05 2015 01: +0,1.288,4837
Jun 06 2015 01: +0,1.286,4772
Jun 07 2015 01: +0,1.283,4930
Jun 08 2015 01: +0,1.281,4513
Jun 09 2015 01: +0,1.28,4105
Jun 10 2015 01: +0,1.243,4648
Jun 11 2015 01: +0,1.162,4207
Jun 12 2015 01: +0,1.013,4919
Jun 13 2015 01: +0,1.011,5231
Jun 14 2015 01: +0,0.979,5023
Jun 15 2015 01: +0,0.931,4942
Jun 16 2015 01: +0,0.937,4450
Jun 17 2015 01: +0,0.93,4559
Jun 18 2015 01: +0,0.941,4143
Jun 19 2015 01: +0,0.924,4776
Jun 20 2015 01: +0,0.915,5001
Jun 21 2015 01: +0,0.886,4740
Jun 22 2015 01: +0,0.871,4932
Jun 23 2015 01: +0,0.962,4185
Jun 24 2015 01: +0,1.013,4246
Jun 25 2015 01: +0,1.014,4300
Jun 26 2015 01: +0,1.002,4538
Jun 27 2015 01: +0,1.004,4578
Jun 28 2015 01: +0,0.968,4177
Jun 29 2015 01: +0,0.988,4745
Jun 30 2015 01: +0,0.98,4632
Jul 01 2015 01: +0,0.984,4462
Jul 02 2015 01: +0,0.962,4327
Jul 03 2015 01: +0,0.957,4165
