Nov 28 2013 01: +0,3.903,2
Nov 29 2013 01: +0,1.996,16
Nov 30 2013 01: +0,2.371,8
Dec 01 2013 01: +0,2.361,14
Dec 02 2013 01: +0,1.882,13
Dec 03 2013 01: +0,1.704,16
Dec 04 2013 01: +0,1.836,9
Dec 05 2013 01: +0,1.619,14
Dec 06 2013 01: +0,1.952,11
Dec 07 2013 01: +0,1.563,14
Dec 08 2013 01: +0,1.629,18
Dec 09 2013 01: +0,1.581,10
Dec 10 2013 01: +0,1.468,13
Dec 11 2013 01: +0,1.35,15
Dec 12 2013 01: +0,1.407,15
Dec 13 2013 01: +0,1.335,17
Dec 14 2013 01: +0,1.275,26
Dec 15 2013 01: +0,1.442,20
Dec 16 2013 01: +0,1.264,6
Dec 17 2013 01: +0,1.028,19
Dec 18 2013 01: +0,1.004,17
Dec 19 2013 01: +0,1.009,21
Dec 20 2013 01: +0,0.861,31
Dec 21 2013 01: +0,0.814,34
Dec 22 2013 01: +0,0.927,25
Dec 23 2013 01: +0,0.91,31
Dec 24 2013 01: +0,0.919,29
Dec 25 2013 01: +0,1.039,19
Dec 26 2013 01: +0,1.09,29
Dec 27 2013 01: +0,1.084,31
Dec 28 2013 01: +0,0.935,31
Dec 29 2013 01: +0,0.878,34
Dec 30 2013 01: +0,0.807,43
Dec 31 2013 01: +0,0.82,21
Jan 01 2014 01: +0,0.873,40
Jan 02 2014 01: +0,0.808,24
Jan 03 2014 01: +0,0.777,27
Jan 04 2014 01: +0,0.817,38
Jan 05 2014 01: +0,0.829,48
Jan 06 2014 01: +0,0.876,44
Jan 07 2014 01: +0,0.853,37
Jan 08 2014 01: +0,0.892,35
Jan 09 2014 01: +0,0.804,34
Jan 10 2014 01: +0,0.836,42
Jan 11 2014 01: +0,0.873,42
Jan 12 2014 01: +0,0.811,31
Jan 13 2014 01: +0,0.744,42
Jan 14 2014 01: +0,0.76,33
Jan 15 2014 01: +0,0.759,34
Jan 16 2014 01: +0,0.783,22
Jan 17 2014 01: +0,0.748,26
Jan 18 2014 01: +0,0.735,60
Jan 19 2014 01: +0,0.74,43
Jan 20 2014 01: +0,0.633,41
Jan 21 2014 01: +0,0.708,27
Jan 22 2014 01: +0,0.69,29
Jan 23 2014 01: +0,0.64,35
Jan 24 2014 01: +0,0.687,41
Jan 25 2014 01: +0,0.667,45
Jan 26 2014 01: +0,0.625,49
Jan 27 2014 01: +0,0.578,36
Jan 28 2014 01: +0,0.588,39
Jan 29 2014 01: +0,0.591,47
