May 02 2014 01: +0,0.805,22
May 03 2014 01: +0,0.684,49
May 04 2014 01: +0,0.597,63
May 05 2014 01: +0,0.438,73
May 06 2014 01: +0,0.453,52
May 07 2014 01: +0,0.378,65
May 08 2014 01: +0,0.363,52
May 09 2014 01: +0,0.325,75
May 10 2014 01: +0,0.252,86
May 11 2014 01: +0,0.227,106
May 12 2014 01: +0,0.202,87
May 13 2014 01: +0,0.192,69
May 14 2014 01: +0,0.182,104
May 15 2014 01: +0,0.223,120
May 16 2014 01: +0,0.275,80
May 17 2014 01: +0,0.283,82
May 18 2014 01: +0,0.236,106
May 19 2014 01: +0,0.227,84
May 20 2014 01: +0,0.205,79
May 21 2014 01: +0,0.225,73
May 22 2014 01: +0,0.223,61
May 23 2014 01: +0,0.204,83
May 24 2014 01: +0,0.212,102
May 25 2014 01: +0,0.208,87
May 26 2014 01: +0,0.184,88
May 27 2014 01: +0,0.166,73
May 28 2014 01: +0,0.167,128
May 29 2014 01: +0,0.179,85
May 30 2014 01: +0,0.176,98
May 31 2014 01: +0,0.158,92
Jun 01 2014 01: +0,0.17,79
Jun 02 2014 01: +0,0.166,74
Jun 03 2014 01: +0,0.156,83
Jun 04 2014 01: +0,0.161,71
Jun 05 2014 01: +0,0.14,98
Jun 06 2014 01: +0,0.151,85
Jun 07 2014 01: +0,0.136,90
Jun 08 2014 01: +0,0.148,89
Jun 09 2014 01: +0,0.151,59
Jun 10 2014 01: +0,0.153,114
Jun 11 2014 01: +0,0.146,87
Jun 12 2014 01: +0,0.457,112
Jun 13 2014 01: +0,0.266,55
Jun 14 2014 01: +0,0.233,57
Jun 15 2014 01: +0,0.208,63
Jun 16 2014 01: +0,0.225,61
Jun 17 2014 01: +0,0.193,46
Jun 18 2014 01: +0,0.183,55
Jun 19 2014 01: +0,0.184,43
Jun 20 2014 01: +0,0.137,46
Jun 21 2014 01: +0,0.148,44
Jun 22 2014 01: +0,0.147,56
Jun 23 2014 01: +0,0.158,51
Jun 24 2014 01: +0,0.152,63
Jun 25 2014 01: +0,0.139,47
Jun 26 2014 01: +0,0.18,55
Jun 27 2014 01: +0,0.229,41
Jun 28 2014 01: +0,0.227,42
Jun 29 2014 01: +0,0.218,55
Jun 30 2014 01: +0,0.198,52
Jul 01 2014 01: +0,0.245,60
Jul 02 2014 01: +0,0.233,35
Jul 03 2014 01: +0,0.136,38
Jul 04 2014 01: +0,0.185,37
Jul 05 2014 01: +0,0.203,33
Jul 06 2014 01: +0,0.176,41
Jul 07 2014 01: +0,0.206,35
Jul 08 2014 01: +0,0.197,41
Jul 09 2014 01: +0,0.239,29
Jul 10 2014 01: +0,0.214,36
Jul 11 2014 01: +0,0.167,30
Jul 12 2014 01: +0,0.167,41
Jul 13 2014 01: +0,0.173,27
Jul 14 2014 01: +0,0.183,35
Jul 15 2014 01: +0,0.18,39
Jul 16 2014 01: +0,0.17,24
Jul 17 2014 01: +0,0.195,29
Jul 18 2014 01: +0,0.207,31
Jul 19 2014 01: +0,0.222,28
Jul 20 2014 01: +0,0.136,30
Jul 21 2014 01: +0,0.173,30
Jul 22 2014 01: +0,0.158,19
Jul 23 2014 01: +0,0.159,41
Jul 24 2014 01: +0,0.196,42
Jul 25 2014 01: +0,0.198,17
Jul 26 2014 01: +0,0.186,25
Jul 27 2014 01: +0,0.176,26
Jul 28 2014 01: +0,0.179,35
Jul 29 2014 01: +0,0.234,42
Jul 30 2014 01: +0,0.243,22
Jul 31 2014 01: +0,0.207,29
Aug 01 2014 01: +0,0.189,33
Aug 02 2014 01: +0,0.232,35
Aug 03 2014 01: +0,0.242,29
Aug 04 2014 01: +0,0.239,34
Aug 05 2014 01: +0,0.215,28
Aug 06 2014 01: +0,0.215,31
Aug 07 2014 01: +0,0.213,40
Aug 08 2014 01: +0,0.239,43
Aug 09 2014 01: +0,0.247,30
Aug 10 2014 01: +0,0.253,25
Aug 11 2014 01: +0,0.255,49
Aug 12 2014 01: +0,0.286,37
Aug 13 2014 01: +0,0.384,25
Aug 14 2014 01: +0,0.407,33
Aug 15 2014 01: +0,0.302,40
Aug 16 2014 01: +0,0.291,49
Aug 17 2014 01: +0,0.239,32
Aug 18 2014 01: +0,0.227,42
Aug 19 2014 01: +0,0.292,41
Aug 20 2014 01: +0,0.336,43
Aug 21 2014 01: +0,0.376,23
Aug 22 2014 01: +0,0.372,31
Aug 23 2014 01: +0,0.349,40
Aug 24 2014 01: +0,0.382,41
Aug 25 2014 01: +0,0.423,34
Aug 26 2014 01: +0,0.466,26
Aug 27 2014 01: +0,0.477,26
Aug 28 2014 01: +0,0.484,28
Aug 29 2014 01: +0,0.511,37
Aug 30 2014 01: +0,0.466,22
Aug 31 2014 01: +0,0.388,30
Sep 01 2014 01: +0,0.371,42
Sep 02 2014 01: +0,0.402,42
Sep 03 2014 01: +0,0.484,27
Sep 04 2014 01: +0,0.458,24
Sep 05 2014 01: +0,0.301,24
Sep 06 2014 01: +0,0.328,23
Sep 07 2014 01: +0,0.339,25
Sep 08 2014 01: +0,0.36,23
Sep 09 2014 01: +0,0.332,23
Sep 10 2014 01: +0,0.384,15
