Nov 29 2016 01: +0,0.576,27
Nov 30 2016 01: +0,0.475,17
Dec 01 2016 01: +0,0.429,28
Dec 02 2016 01: +0,0.345,38
Dec 03 2016 01: +0,0.325,40
Dec 04 2016 01: +0,0.286,38
Dec 05 2016 01: +0,0.267,42
Dec 06 2016 01: +0,0.269,23
Dec 07 2016 01: +0,0.263,33
Dec 08 2016 01: +0,0.227,41
Dec 09 2016 01: +0,0.26,34
Dec 10 2016 01: +0,0.243,67
Dec 11 2016 01: +0,0.22,26
Dec 12 2016 01: +0,0.218,25
Dec 13 2016 01: +0,0.188,32
Dec 14 2016 01: +0,0.204,31
Dec 15 2016 01: +0,0.193,24
Dec 16 2016 01: +0,0.177,38
Dec 17 2016 01: +0,0.186,48
Dec 18 2016 01: +0,0.163,26
Dec 19 2016 01: +0,0.189,31
Dec 20 2016 01: +0,0.179,12
Dec 21 2016 01: +0,0.176,25
Dec 22 2016 01: +0,0.155,33
Dec 23 2016 01: +0,0.149,30
Dec 24 2016 01: +0,0.189,47
Dec 25 2016 01: +0,0.195,54
Dec 26 2016 01: +0,0.186,33
Dec 27 2016 01: +0,0.174,35
Dec 28 2016 01: +0,0.179,31
Dec 29 2016 01: +0,0.164,36
Dec 30 2016 01: +0,0.169,40
Dec 31 2016 01: +0,0.18,23
Jan 01 2017 01: +0,0.162,36
Jan 02 2017 01: +0,0.174,38
Jan 03 2017 01: +0,0.156,32
Jan 04 2017 01: +0,0.162,38
Jan 05 2017 01: +0,0.149,24
Jan 06 2017 01: +0,0.158,49
Jan 07 2017 01: +0,0.157,35
Jan 08 2017 01: +0,0.166,45
Jan 09 2017 01: +0,0.146,38
Jan 10 2017 01: +0,0.154,42
Jan 11 2017 01: +0,0.155,38
Jan 12 2017 01: +0,0.142,40
Jan 13 2017 01: +0,0.139,71
Jan 14 2017 01: +0,0.163,57
Jan 15 2017 01: +0,0.161,44
Jan 16 2017 01: +0,0.143,42
Jan 17 2017 01: +0,0.142,33
Jan 18 2017 01: +0,0.149,62
Jan 19 2017 01: +0,0.938,70
Jan 20 2017 01: +0,0.19,24
Jan 21 2017 01: +0,0.158,45
Jan 22 2017 01: +0,0.142,49
Jan 23 2017 01: +0,0.158,40
Jan 24 2017 01: +0,0.158,50
Jan 25 2017 01: +0,0.148,42
Jan 26 2017 01: +0,0.164,102
Jan 27 2017 01: +0,0.163,44
Jan 28 2017 01: +0,0.161,49
Jan 29 2017 01: +0,0.157,47
Jan 30 2017 01: +0,0.153,48
Jan 31 2017 01: +0,0.139,58
Feb 01 2017 01: +0,0.152,81
Feb 02 2017 01: +0,0.153,58
Feb 03 2017 01: +0,0.172,57
Feb 04 2017 01: +0,0.168,54
Feb 05 2017 01: +0,0.174,82
Feb 06 2017 01: +0,0.161,24
Feb 07 2017 01: +0,0.168,57
Feb 08 2017 01: +0,0.159,44
Feb 09 2017 01: +0,0.163,64
Feb 10 2017 01: +0,0.173,62
Feb 11 2017 01: +0,0.171,59
Feb 12 2017 01: +0,0.158,50
Feb 13 2017 01: +0,0.156,42
Feb 14 2017 01: +0,0.15,58
Feb 15 2017 01: +0,0.15,43
Feb 16 2017 01: +0,0.145,73
Feb 17 2017 01: +0,0.158,39
Feb 18 2017 01: +0,0.167,54
Feb 19 2017 01: +0,0.154,26
Feb 20 2017 01: +0,0.144,65
Feb 21 2017 01: +0,0.147,53
Feb 22 2017 01: +0,0.15,50
Feb 23 2017 01: +0,0.15,71
Feb 24 2017 01: +0,0.154,44
Feb 25 2017 01: +0,0.154,32
Feb 26 2017 01: +0,0.141,73
Feb 27 2017 01: +0,0.128,36
Feb 28 2017 01: +0,0.145,65
Mar 01 2017 01: +0,0.136,66
Mar 02 2017 01: +0,0.129,45
Mar 03 2017 01: +0,0.139,54
Mar 04 2017 01: +0,0.136,54
Mar 05 2017 01: +0,0.135,49
Mar 06 2017 01: +0,0.134,23
Mar 07 2017 01: +0,0.123,52
Mar 08 2017 01: +0,0.134,47
Mar 09 2017 01: +0,0.134,33
Mar 10 2017 01: +0,0.121,48
Mar 11 2017 01: +0,0.149,82
Mar 12 2017 01: +0,0.143,53
Mar 13 2017 01: +0,0.133,28
Mar 14 2017 01: +0,0.121,46
Mar 15 2017 01: +0,0.125,66
Mar 16 2017 01: +0,0.129,51
Mar 17 2017 01: +0,0.119,59
Mar 18 2017 01: +0,0.132,68
Mar 19 2017 01: +0,0.129,54
Mar 20 2017 01: +0,0.124,36
Mar 21 2017 01: +0,0.117,80
Mar 22 2017 01: +0,0.143,49
Mar 23 2017 01: +0,0.131,43
Mar 24 2017 01: +0,0.13,41
Mar 25 2017 01: +0,0.125,65
Mar 26 2017 01: +0,0.123,46
Mar 27 2017 01: +0,0.122,42
Mar 28 2017 01: +0,0.112,35
Mar 29 2017 01: +0,0.11,41
Mar 30 2017 01: +0,0.113,34
Mar 31 2017 01: +0,0.115,50
Apr 01 2017 01: +0,0.133,66
Apr 02 2017 01: +0,0.122,20
Apr 03 2017 01: +0,0.116,44
Apr 04 2017 01: +0,0.118,37
Apr 05 2017 01: +0,0.129,31
Apr 06 2017 01: +0,0.109,41
Apr 07 2017 01: +0,0.114,40
Apr 08 2017 01: +0,0.125,45
Apr 09 2017 01: +0,0.125,56
