Mar 16 2017 01: +0,6.076,3
Mar 17 2017 01: +0,8.962,7
Mar 18 2017 01: +0,8.649,23
Mar 19 2017 01: +0,6.438,28
Mar 20 2017 01: +0,6.961,9
Mar 21 2017 01: +0,5.895,10
Mar 22 2017 01: +0,5.512,21
Mar 23 2017 01: +0,5.584,13
Mar 24 2017 01: +0,5.733,18
Mar 25 2017 01: +0,5.521,30
Mar 26 2017 01: +0,5.8,20
Mar 27 2017 01: +0,5.205,16
Mar 28 2017 01: +0,5.409,20
Mar 29 2017 01: +0,6.168,13
Mar 30 2017 01: +0,5.654,18
Mar 31 2017 01: +0,6.114,19
Apr 01 2017 01: +0,5.647,13
Apr 02 2017 01: +0,5.614,22
Apr 03 2017 01: +0,5.842,8
Apr 04 2017 01: +0,5.556,13
Apr 05 2017 01: +0,4.846,25
Apr 06 2017 01: +0,5.002,20
Apr 07 2017 01: +0,5.157,26
Apr 08 2017 01: +0,5.382,24
Apr 09 2017 01: +0,5.141,16
Apr 10 2017 01: +0,4.811,19
Apr 11 2017 01: +0,5.164,22
Apr 12 2017 01: +0,5.116,15
Apr 13 2017 01: +0,5.009,22
Apr 14 2017 01: +0,4.804,25
Apr 15 2017 01: +0,4.9,29
Apr 16 2017 01: +0,4.332,23
Apr 17 2017 01: +0,4.777,20
Apr 18 2017 01: +0,5.089,22
Apr 19 2017 01: +0,4.302,16
Apr 20 2017 01: +0,4.621,8
Apr 21 2017 01: +0,4.77,22
Apr 22 2017 01: +0,5.011,36
Apr 23 2017 01: +0,5.115,13
Apr 24 2017 01: +0,4.558,16
Apr 25 2017 01: +0,5.026,21
Apr 26 2017 01: +0,4.994,4
Apr 27 2017 01: +0,4.525,23
Apr 28 2017 01: +0,4.333,13
Apr 29 2017 01: +0,4.755,22
Apr 30 2017 01: +0,5.056,19
May 01 2017 01: +0,4.863,28
May 02 2017 01: +0,5.103,12
May 03 2017 01: +0,4.576,7
May 04 2017 01: +0,4.772,24
May 05 2017 01: +0,4.651,24
May 06 2017 01: +0,4.519,14
May 07 2017 01: +0,4.962,15
May 08 2017 01: +0,4.551,18
May 09 2017 01: +0,4.711,11
May 10 2017 01: +0,4.568,15
May 11 2017 01: +0,4.54,16
May 12 2017 01: +0,4.58,24
May 13 2017 01: +0,4.82,21
