Dec 19 2013 01: +0,13.335,16
Dec 20 2013 01: +0,12.061,35
Dec 21 2013 01: +0,10.28,29
Dec 22 2013 01: +0,8.826,46
Dec 23 2013 01: +0,8.964,55
Dec 24 2013 01: +0,7.885,47
Dec 25 2013 01: +0,8.862,40
Dec 26 2013 01: +0,9.283,51
Dec 27 2013 01: +0,8.277,54
Dec 28 2013 01: +0,7.922,57
Dec 29 2013 01: +0,8.177,52
Dec 30 2013 01: +0,7.633,50
Dec 31 2013 01: +0,6.714,52
Jan 01 2014 01: +0,6.984,57
Jan 02 2014 01: +0,6.402,83
Jan 03 2014 01: +0,6.101,57
Jan 04 2014 01: +0,6.229,60
Jan 05 2014 01: +0,6.237,83
Jan 06 2014 01: +0,6.217,78
Jan 07 2014 01: +0,6.114,85
Jan 08 2014 01: +0,6.681,55
Jan 09 2014 01: +0,6.339,67
Jan 10 2014 01: +0,5.785,77
Jan 11 2014 01: +0,6.257,75
Jan 12 2014 01: +0,6.012,81
Jan 13 2014 01: +0,5.805,85
Jan 14 2014 01: +0,6.161,83
Jan 15 2014 01: +0,6.045,67
Jan 16 2014 01: +0,5.691,71
Jan 17 2014 01: +0,5.632,67
Jan 18 2014 01: +0,5.444,124
Jan 19 2014 01: +0,5.615,82
Jan 20 2014 01: +0,5.555,89
Jan 21 2014 01: +0,5.255,91
Jan 22 2014 01: +0,5.194,82
Jan 23 2014 01: +0,5.416,76
Jan 24 2014 01: +0,5.416,95
Jan 25 2014 01: +0,5.153,90
Jan 26 2014 01: +0,5.069,102
Jan 27 2014 01: +0,4.902,98
Jan 28 2014 01: +0,4.932,86
Jan 29 2014 01: +0,4.623,89
Jan 30 2014 01: +0,4.516,80
Jan 31 2014 01: +0,4.512,112
Feb 01 2014 01: +0,4.527,131
Feb 02 2014 01: +0,4.766,128
Feb 03 2014 01: +0,4.918,89
Feb 04 2014 01: +0,5.091,95
Feb 05 2014 01: +0,4.809,81
Feb 06 2014 01: +0,5.249,181
Feb 07 2014 01: +0,6.181,130
Feb 08 2014 01: +0,6.074,115
Feb 09 2014 01: +0,5.632,119
Feb 10 2014 01: +0,5.623,117
Feb 11 2014 01: +0,5.73,100
Feb 12 2014 01: +0,5.808,82
Feb 13 2014 01: +0,5.531,84
Feb 14 2014 01: +0,4.975,113
Feb 15 2014 01: +0,5.004,124
Feb 16 2014 01: +0,4.882,105
Feb 17 2014 01: +0,4.882,111
Feb 18 2014 01: +0,4.961,67
Feb 19 2014 01: +0,4.615,87
Feb 20 2014 01: +0,4.643,89
Feb 21 2014 01: +0,3.861,179
Feb 22 2014 01: +0,4.084,149
Feb 23 2014 01: +0,4.34,131
Feb 24 2014 01: +0,4.177,113
Feb 25 2014 01: +0,4.54,123
Feb 26 2014 01: +0,4.604,109
Feb 27 2014 01: +0,4.809,103
Feb 28 2014 01: +0,4.99,124
Mar 01 2014 01: +0,4.896,142
Mar 02 2014 01: +0,4.815,152
Mar 03 2014 01: +0,4.586,103
Mar 04 2014 01: +0,4.21,117
Mar 05 2014 01: +0,4.145,100
Mar 06 2014 01: +0,4.467,102
Mar 07 2014 01: +0,4.509,158
Mar 08 2014 01: +0,4.548,134
Mar 09 2014 01: +0,4.281,134
Mar 10 2014 01: +0,4.398,124
Mar 11 2014 01: +0,4.483,130
Mar 12 2014 01: +0,4.629,95
Mar 13 2014 01: +0,5.09,74
Mar 14 2014 01: +0,5.257,98
Mar 15 2014 01: +0,4.472,169
Mar 16 2014 01: +0,4.211,165
Mar 17 2014 01: +0,4.066,139
Mar 18 2014 01: +0,4.258,111
Mar 19 2014 01: +0,4.389,114
Mar 20 2014 01: +0,4.23,109
Mar 21 2014 01: +0,4.304,129
Mar 22 2014 01: +0,4.185,153
Mar 23 2014 01: +0,4.052,136
Mar 24 2014 01: +0,4.167,148
Mar 25 2014 01: +0,4.351,123
Mar 26 2014 01: +0,4.367,135
Mar 27 2014 01: +0,4.16,136
Mar 28 2014 01: +0,4.234,159
Mar 29 2014 01: +0,4.273,185
Mar 30 2014 01: +0,4.381,169
Mar 31 2014 01: +0,4.327,150
Apr 01 2014 01: +0,4.683,107
Apr 02 2014 01: +0,4.46,133
Apr 03 2014 01: +0,4.517,122
Apr 04 2014 01: +0,4.27,153
Apr 05 2014 01: +0,4.164,155
Apr 06 2014 01: +0,4.253,157
Apr 07 2014 01: +0,4.234,132
Apr 08 2014 01: +0,4.169,148
Apr 09 2014 01: +0,4.41,128
Apr 10 2014 01: +0,4.206,154
Apr 11 2014 01: +0,4.111,193
Apr 12 2014 01: +0,4.06,167
Apr 13 2014 01: +0,4.067,169
Apr 14 2014 01: +0,4.207,206
Apr 15 2014 01: +0,4.107,160
Apr 16 2014 01: +0,3.961,204
Apr 17 2014 01: +0,4.099,190
Apr 18 2014 01: +0,4.282,190
Apr 19 2014 01: +0,4.148,153
Apr 20 2014 01: +0,3.813,220
Apr 21 2014 01: +0,3.767,202
Apr 22 2014 01: +0,4.005,161
Apr 23 2014 01: +0,3.996,176
Apr 24 2014 01: +0,4.087,161
Apr 25 2014 01: +0,4.142,161
Apr 26 2014 01: +0,4.076,188
Apr 27 2014 01: +0,3.995,208
Apr 28 2014 01: +0,4.026,172
Apr 29 2014 01: +0,4.009,155
Apr 30 2014 01: +0,4.033,192
May 01 2014 01: +0,3.943,174
May 02 2014 01: +0,3.66,194
May 03 2014 01: +0,3.557,275
May 04 2014 01: +0,3.558,314
May 05 2014 01: +0,3.558,252
May 06 2014 01: +0,3.449,251
May 07 2014 01: +0,3.494,259
May 08 2014 01: +0,3.578,225
May 09 2014 01: +0,3.299,209
May 10 2014 01: +0,3.003,268
May 11 2014 01: +0,2.777,265
May 12 2014 01: +0,2.86,186
May 13 2014 01: +0,2.87,164
May 14 2014 01: +0,2.887,206
May 15 2014 01: +0,2.934,233
May 16 2014 01: +0,2.879,210
May 17 2014 01: +0,2.772,223
May 18 2014 01: +0,2.785,243
May 19 2014 01: +0,2.931,201
May 20 2014 01: +0,2.909,192
May 21 2014 01: +0,2.915,184
May 22 2014 01: +0,2.901,186
May 23 2014 01: +0,2.828,206
May 24 2014 01: +0,2.83,228
May 25 2014 01: +0,2.911,247
