Jul 02 2014 01: +0,0.431,62
Jul 03 2014 01: +0,0.584,58
Jul 04 2014 01: +0,0.696,37
Jul 05 2014 01: +0,0.549,56
Jul 06 2014 01: +0,0.556,59
Jul 07 2014 01: +0,0.737,45
Jul 08 2014 01: +0,0.632,49
Jul 09 2014 01: +0,0.491,64
Jul 10 2014 01: +0,0.527,53
Jul 11 2014 01: +0,0.579,48
Jul 12 2014 01: +0,0.44,61
Jul 13 2014 01: +0,0.557,52
Jul 14 2014 01: +0,0.534,45
Jul 15 2014 01: +0,0.501,58
Jul 16 2014 01: +0,0.456,63
Jul 17 2014 01: +0,0.468,53
Jul 18 2014 01: +0,0.463,64
Jul 19 2014 01: +0,0.476,61
Jul 20 2014 01: +0,0.555,60
Jul 21 2014 01: +0,0.46,58
Jul 22 2014 01: +0,0.429,54
Jul 23 2014 01: +0,0.423,72
Jul 24 2014 01: +0,0.405,58
Jul 25 2014 01: +0,0.467,60
Jul 26 2014 01: +0,0.397,89
Jul 27 2014 01: +0,0.43,67
Jul 28 2014 01: +0,0.412,89
Jul 29 2014 01: +0,0.477,83
Jul 30 2014 01: +0,0.446,77
Jul 31 2014 01: +0,0.424,75
Aug 01 2014 01: +0,0.42,84
Aug 02 2014 01: +0,0.45,88
Aug 03 2014 01: +0,0.435,81
Aug 04 2014 01: +0,0.424,68
Aug 05 2014 01: +0,0.375,89
Aug 06 2014 01: +0,0.315,106
Aug 07 2014 01: +0,0.35,98
Aug 08 2014 01: +0,0.358,108
Aug 09 2014 01: +0,0.354,113
Aug 10 2014 01: +0,0.384,70
Aug 11 2014 01: +0,0.343,87
Aug 12 2014 01: +0,0.327,103
Aug 13 2014 01: +0,0.351,105
Aug 14 2014 01: +0,0.331,102
Aug 15 2014 01: +0,0.325,88
Aug 16 2014 01: +0,0.324,126
Aug 17 2014 01: +0,0.22,128
Aug 18 2014 01: +0,0.223,115
Aug 19 2014 01: +0,0.283,110
Aug 20 2014 01: +0,0.296,121
Aug 21 2014 01: +0,0.318,92
Aug 22 2014 01: +0,0.336,96
Aug 23 2014 01: +0,0.293,120
Aug 24 2014 01: +0,0.309,138
Aug 25 2014 01: +0,0.302,110
Aug 26 2014 01: +0,0.294,106
Aug 27 2014 01: +0,0.292,115
Aug 28 2014 01: +0,0.296,118
Aug 29 2014 01: +0,0.313,132
Aug 30 2014 01: +0,0.307,110
Aug 31 2014 01: +0,0.339,112
Sep 01 2014 01: +0,0.321,118
Sep 02 2014 01: +0,0.286,101
Sep 03 2014 01: +0,0.286,123
Sep 04 2014 01: +0,0.293,103
Sep 05 2014 01: +0,0.249,136
Sep 06 2014 01: +0,0.265,144
Sep 07 2014 01: +0,0.271,134
Sep 08 2014 01: +0,0.262,116
Sep 09 2014 01: +0,0.285,110
Sep 10 2014 01: +0,0.303,110
Sep 11 2014 01: +0,0.296,101
Sep 12 2014 01: +0,0.246,118
Sep 13 2014 01: +0,0.214,167
Sep 14 2014 01: +0,0.211,166
Sep 15 2014 01: +0,0.21,108
Sep 16 2014 01: +0,0.196,133
Sep 17 2014 01: +0,0.199,140
Sep 18 2014 01: +0,0.197,120
Sep 19 2014 01: +0,0.18,156
Sep 20 2014 01: +0,0.177,182
Sep 21 2014 01: +0,0.184,144
Sep 22 2014 01: +0,0.165,144
Sep 23 2014 01: +0,0.171,133
Sep 24 2014 01: +0,0.175,162
Sep 25 2014 01: +0,0.174,126
Sep 26 2014 01: +0,0.186,141
Sep 27 2014 01: +0,0.169,185
Sep 28 2014 01: +0,0.182,147
Sep 29 2014 01: +0,0.158,126
Sep 30 2014 01: +0,0.149,134
Oct 01 2014 01: +0,0.162,163
Oct 02 2014 01: +0,0.162,172
Oct 03 2014 01: +0,0.183,161
Oct 04 2014 01: +0,0.211,160
Oct 05 2014 01: +0,0.199,157
Oct 06 2014 01: +0,0.23,126
Oct 07 2014 01: +0,0.238,98
Oct 08 2014 01: +0,0.184,112
Oct 09 2014 01: +0,0.203,113
Oct 10 2014 01: +0,0.226,109
Oct 11 2014 01: +0,0.208,145
Oct 12 2014 01: +0,0.24,132
Oct 13 2014 01: +0,0.27,113
Oct 14 2014 01: +0,0.269,102
Oct 15 2014 01: +0,0.291,94
Oct 16 2014 01: +0,0.243,108
Oct 17 2014 01: +0,0.246,115
Oct 18 2014 01: +0,0.22,143
Oct 19 2014 01: +0,0.195,118
Oct 20 2014 01: +0,0.189,103
Oct 21 2014 01: +0,0.225,81
Oct 22 2014 01: +0,0.257,87
Oct 23 2014 01: +0,0.26,71
Oct 24 2014 01: +0,0.239,101
Oct 25 2014 01: +0,0.242,117
Oct 26 2014 01: +0,0.227,139
Oct 27 2014 01: +0,0.234,93
Oct 28 2014 01: +0,0.218,104
Oct 29 2014 01: +0,0.25,92
Oct 30 2014 01: +0,0.319,101
Oct 31 2014 01: +0,0.212,113
Nov 01 2014 01: +0,0.217,114
Nov 02 2014 01: +0,0.234,126
Nov 03 2014 01: +0,0.24,92
Nov 04 2014 01: +0,0.239,73
Nov 05 2014 01: +0,0.254,91
Nov 06 2014 01: +0,0.267,84
Nov 07 2014 01: +0,0.258,76
Nov 08 2014 01: +0,0.255,109
Nov 09 2014 01: +0,0.259,113
Nov 10 2014 01: +0,0.248,81
Nov 11 2014 01: +0,0.262,78
Nov 12 2014 01: +0,0.176,91
Nov 13 2014 01: +0,0.154,101
Nov 14 2014 01: +0,0.201,93
Nov 15 2014 01: +0,0.192,117
Nov 16 2014 01: +0,0.223,86
Nov 17 2014 01: +0,0.211,70
Nov 18 2014 01: +0,0.236,86
Nov 19 2014 01: +0,0.227,76
Nov 20 2014 01: +0,0.193,79
Nov 21 2014 01: +0,0.176,80
Nov 22 2014 01: +0,0.179,89
Nov 23 2014 01: +0,0.155,102
Nov 24 2014 01: +0,0.162,84
Nov 25 2014 01: +0,0.196,73
Nov 26 2014 01: +0,0.223,80
Nov 27 2014 01: +0,0.184,91
Nov 28 2014 01: +0,0.185,115
Nov 29 2014 01: +0,0.301,30
Nov 30 2014 01: +0,0.202,170
Dec 01 2014 01: +0,0.161,95
Dec 02 2014 01: +0,0.18,74
Dec 03 2014 01: +0,0.228,81
Dec 04 2014 01: +0,0.239,81
Dec 05 2014 01: +0,0.275,91
Dec 06 2014 01: +0,0.277,117
Dec 07 2014 01: +0,0.237,124
Dec 08 2014 01: +0,0.227,81
Dec 09 2014 01: +0,0.232,84
Dec 10 2014 01: +0,0.226,83
Dec 11 2014 01: +0,0.229,103
Dec 12 2014 01: +0,0.215,101
Dec 13 2014 01: +0,0.238,129
Dec 14 2014 01: +0,0.235,131
Dec 15 2014 01: +0,0.211,114
Dec 16 2014 01: +0,0.2,105
Dec 17 2014 01: +0,0.238,94
Dec 18 2014 01: +0,0.207,89
Dec 19 2014 01: +0,0.217,123
Dec 20 2014 01: +0,0.226,116
Dec 21 2014 01: +0,0.229,122
Dec 22 2014 01: +0,0.212,115
Dec 23 2014 01: +0,0.23,97
Dec 24 2014 01: +0,0.2,135
Dec 25 2014 01: +0,0.248,115
Dec 26 2014 01: +0,0.3,110
Dec 27 2014 01: +0,0.302,117
Dec 28 2014 01: +0,0.288,136
Dec 29 2014 01: +0,0.303,116
Dec 30 2014 01: +0,0.427,124
Dec 31 2014 01: +0,0.323,124
Jan 01 2015 01: +0,0.312,113
Jan 02 2015 01: +0,0.304,166
Jan 03 2015 01: +0,0.353,136
Jan 04 2015 01: +0,0.372,117
Jan 05 2015 01: +0,0.368,130
Jan 06 2015 01: +0,0.35,126
Jan 07 2015 01: +0,0.365,111
Jan 08 2015 01: +0,0.34,122
Jan 09 2015 01: +0,0.363,137
Jan 10 2015 01: +0,0.322,162
Jan 11 2015 01: +0,0.344,175
Jan 12 2015 01: +0,0.371,134
Jan 13 2015 01: +0,0.341,126
Jan 14 2015 01: +0,0.31,148
Jan 15 2015 01: +0,0.291,137
Jan 16 2015 01: +0,0.307,142
Jan 17 2015 01: +0,0.292,168
Jan 18 2015 01: +0,0.34,181
Jan 19 2015 01: +0,0.333,126
Jan 20 2015 01: +0,0.311,133
Jan 21 2015 01: +0,0.346,125
Jan 22 2015 01: +0,0.342,145
Jan 23 2015 01: +0,0.365,130
Jan 24 2015 01: +0,0.374,126
Jan 25 2015 01: +0,0.318,171
Jan 26 2015 01: +0,0.322,134
Jan 27 2015 01: +0,0.335,126
Jan 28 2015 01: +0,0.345,98
Jan 29 2015 01: +0,0.349,115
Jan 30 2015 01: +0,0.317,125
Jan 31 2015 01: +0,0.322,145
Feb 01 2015 01: +0,0.319,166
Feb 02 2015 01: +0,0.313,115
Feb 03 2015 01: +0,0.303,135
Feb 04 2015 01: +0,0.348,99
Feb 05 2015 01: +0,0.34,123
Feb 06 2015 01: +0,0.318,148
Feb 07 2015 01: +0,0.322,150
Feb 08 2015 01: +0,0.293,157
Feb 09 2015 01: +0,0.318,109
Feb 10 2015 01: +0,0.312,109
Feb 11 2015 01: +0,0.3,112
Feb 12 2015 01: +0,0.309,113
Feb 13 2015 01: +0,0.313,111
Feb 14 2015 01: +0,0.329,145
Feb 15 2015 01: +0,0.284,146
Feb 16 2015 01: +0,0.268,154
Feb 17 2015 01: +0,0.325,126
Feb 18 2015 01: +0,0.345,101
Feb 19 2015 01: +0,0.316,110
Feb 20 2015 01: +0,0.294,114
Feb 21 2015 01: +0,0.303,127
Feb 22 2015 01: +0,0.314,138
Feb 23 2015 01: +0,0.298,100
Feb 24 2015 01: +0,0.304,108
Feb 25 2015 01: +0,0.296,91
Feb 26 2015 01: +0,0.315,117
Feb 27 2015 01: +0,0.308,130
Feb 28 2015 01: +0,0.299,127
Mar 01 2015 01: +0,0.299,113
Mar 02 2015 01: +0,0.285,85
Mar 03 2015 01: +0,0.29,98
Mar 04 2015 01: +0,0.294,108
Mar 05 2015 01: +0,0.29,86
Mar 06 2015 01: +0,0.321,108
Mar 07 2015 01: +0,0.335,118
Mar 08 2015 01: +0,0.297,119
Mar 09 2015 01: +0,0.284,105
Mar 10 2015 01: +0,0.293,94
Mar 11 2015 01: +0,0.324,77
Mar 12 2015 01: +0,0.295,81
Mar 13 2015 01: +0,0.282,94
Mar 14 2015 01: +0,0.294,142
Mar 15 2015 01: +0,0.284,113
Mar 16 2015 01: +0,0.242,111
Mar 17 2015 01: +0,0.322,88
Mar 18 2015 01: +0,0.318,80
Mar 19 2015 01: +0,0.322,82
Mar 20 2015 01: +0,0.376,93
Mar 21 2015 01: +0,0.345,109
Mar 22 2015 01: +0,0.337,95
Mar 23 2015 01: +0,0.35,73
Mar 24 2015 01: +0,0.352,84
Mar 25 2015 01: +0,0.367,74
Mar 26 2015 01: +0,0.343,75
Mar 27 2015 01: +0,0.348,99
Mar 28 2015 01: +0,0.381,100
Mar 29 2015 01: +0,0.387,100
Mar 30 2015 01: +0,0.356,69
Mar 31 2015 01: +0,0.342,106
Apr 01 2015 01: +0,0.355,93
Apr 02 2015 01: +0,0.371,85
Apr 03 2015 01: +0,0.38,86
Apr 04 2015 01: +0,0.367,101
Apr 05 2015 01: +0,0.372,94
Apr 06 2015 01: +0,0.407,91
Apr 07 2015 01: +0,0.402,72
Apr 08 2015 01: +0,0.422,90
Apr 09 2015 01: +0,0.439,83
Apr 10 2015 01: +0,0.846,68
Apr 11 2015 01: +0,0.435,91
Apr 12 2015 01: +0,0.413,85
Apr 13 2015 01: +0,0.421,58
Apr 14 2015 01: +0,0.384,57
Apr 15 2015 01: +0,0.398,80
Apr 16 2015 01: +0,0.342,81
Apr 17 2015 01: +0,0.329,92
Apr 18 2015 01: +0,0.321,102
Apr 19 2015 01: +0,0.348,77
Apr 20 2015 01: +0,0.327,58
Apr 21 2015 01: +0,0.315,65
Apr 22 2015 01: +0,0.305,65
Apr 23 2015 01: +0,0.324,80
Apr 24 2015 01: +0,0.301,80
Apr 25 2015 01: +0,0.309,89
Apr 26 2015 01: +0,0.315,83
Apr 27 2015 01: +0,0.33,71
Apr 28 2015 01: +0,0.328,53
Apr 29 2015 01: +0,0.334,59
Apr 30 2015 01: +0,0.327,62
May 01 2015 01: +0,0.308,86
May 02 2015 01: +0,0.351,89
May 03 2015 01: +0,0.336,93
May 04 2015 01: +0,0.334,41
May 05 2015 01: +0,0.336,61
May 06 2015 01: +0,0.365,69
May 07 2015 01: +0,0.369,64
May 08 2015 01: +0,0.354,53
May 09 2015 01: +0,0.398,66
May 10 2015 01: +0,0.369,66
May 11 2015 01: +0,0.35,45
May 12 2015 01: +0,0.372,63
May 13 2015 01: +0,0.402,48
May 14 2015 01: +0,0.393,63
May 15 2015 01: +0,0.395,58
May 16 2015 01: +0,0.476,65
May 17 2015 01: +0,0.391,37
May 18 2015 01: +0,0.358,63
May 19 2015 01: +0,0.399,41
May 20 2015 01: +0,0.376,43
May 21 2015 01: +0,0.404,33
May 22 2015 01: +0,0.379,46
May 23 2015 01: +0,0.428,77
May 24 2015 01: +0,0.418,38
May 25 2015 01: +0,0.387,39
May 26 2015 01: +0,0.38,51
May 27 2015 01: +0,0.279,48
May 28 2015 01: +0,0.21,86
May 29 2015 01: +0,0.229,61
May 30 2015 01: +0,0.286,66
May 31 2015 01: +0,0.341,61
Jun 01 2015 01: +0,0.292,46
Jun 02 2015 01: +0,0.307,33
Jun 03 2015 01: +0,0.223,80
Jun 04 2015 01: +0,0.212,92
Jun 05 2015 01: +0,0.189,94
Jun 06 2015 01: +0,0.211,73
Jun 07 2015 01: +0,0.22,54
Jun 08 2015 01: +0,0.227,72
Jun 09 2015 01: +0,0.245,64
Jun 10 2015 01: +0,0.201,82
Jun 11 2015 01: +0,0.172,74
Jun 12 2015 01: +0,0.164,86
Jun 13 2015 01: +0,0.19,86
Jun 14 2015 01: +0,0.177,80
Jun 15 2015 01: +0,0.19,82
Jun 16 2015 01: +0,0.208,66
Jun 17 2015 01: +0,0.174,98
Jun 18 2015 01: +0,0.162,104
Jun 19 2015 01: +0,0.166,72
Jun 20 2015 01: +0,0.169,99
Jun 21 2015 01: +0,0.171,61
Jun 22 2015 01: +0,0.171,71
Jun 23 2015 01: +0,0.196,74
Jun 24 2015 01: +0,0.18,103
Jun 25 2015 01: +0,0.167,97
Jun 26 2015 01: +0,0.194,77
Jun 27 2015 01: +0,0.204,86
Jun 28 2015 01: +0,0.217,85
Jun 29 2015 01: +0,0.213,72
Jun 30 2015 01: +0,0.206,66
Jul 01 2015 01: +0,0.192,97
Jul 02 2015 01: +0,0.205,115
Jul 03 2015 01: +0,0.201,86
Jul 04 2015 01: +0,0.206,84
Jul 05 2015 01: +0,0.205,95
Jul 06 2015 01: +0,0.217,90
Jul 07 2015 01: +0,0.222,75
Jul 08 2015 01: +0,0.185,93
Jul 09 2015 01: +0,0.183,126
Jul 10 2015 01: +0,0.197,98
Jul 11 2015 01: +0,0.199,92
Jul 12 2015 01: +0,0.197,102
Jul 13 2015 01: +0,0.227,83
Jul 14 2015 01: +0,0.218,74
Jul 15 2015 01: +0,0.181,125
Jul 16 2015 01: +0,0.182,102
Jul 17 2015 01: +0,0.181,97
Jul 18 2015 01: +0,0.195,101
Jul 19 2015 01: +0,0.211,97
Jul 20 2015 01: +0,0.207,106
Jul 21 2015 01: +0,0.203,89
Jul 22 2015 01: +0,0.194,108
Jul 23 2015 01: +0,0.159,99
Jul 24 2015 01: +0,0.153,102
Jul 25 2015 01: +0,0.168,93
Jul 26 2015 01: +0,5.189,69
Jul 27 2015 01: +0,0.194,92
