Sep 21 2013 01: +0,3.229,6
Sep 22 2013 01: +0,1.548,32
Sep 23 2013 01: +0,1.062,32
Sep 24 2013 01: +0,0.78,25
Sep 25 2013 01: +0,0.795,37
Sep 26 2013 01: +0,0.863,31
Sep 27 2013 01: +0,0.709,46
Sep 28 2013 01: +0,0.758,38
Sep 29 2013 01: +0,0.601,56
Sep 30 2013 01: +0,0.477,50
Oct 01 2013 01: +0,0.519,50
Oct 02 2013 01: +0,0.492,39
Oct 03 2013 01: +0,0.498,81
Oct 04 2013 01: +0,0.49,55
Oct 05 2013 01: +0,0.518,59
Oct 06 2013 01: +0,0.458,57
Oct 07 2013 01: +0,0.325,58
Oct 08 2013 01: +0,0.344,78
Oct 09 2013 01: +0,0.35,53
Oct 10 2013 01: +0,0.337,49
Oct 11 2013 01: +0,0.322,65
Oct 12 2013 01: +0,0.332,81
Oct 13 2013 01: +0,0.324,88
Oct 14 2013 01: +0,0.304,119
Oct 15 2013 01: +0,0.273,78
Oct 16 2013 01: +0,0.254,84
Oct 17 2013 01: +0,0.258,69
Oct 18 2013 01: +0,0.249,89
Oct 19 2013 01: +0,0.247,90
Oct 20 2013 01: +0,0.248,113
Oct 21 2013 01: +0,0.23,94
Oct 22 2013 01: +0,0.219,104
Oct 23 2013 01: +0,0.23,99
Oct 24 2013 01: +0,0.215,92
Oct 25 2013 01: +0,0.212,91
Oct 26 2013 01: +0,0.207,116
Oct 27 2013 01: +0,0.216,114
Oct 28 2013 01: +0,0.224,111
Oct 29 2013 01: +0,0.191,75
Oct 30 2013 01: +0,0.184,100
Oct 31 2013 01: +0,0.177,90
Nov 01 2013 01: +0,0.185,72
Nov 02 2013 01: +0,0.188,88
Nov 03 2013 01: +0,0.173,69
Nov 04 2013 01: +0,0.183,98
Nov 05 2013 01: +0,0.163,81
Nov 06 2013 01: +0,0.154,79
Nov 07 2013 01: +0,0.173,60
Nov 08 2013 01: +0,0.15,77
Nov 09 2013 01: +0,0.139,103
Nov 10 2013 01: +0,0.106,87
Nov 11 2013 01: +0,0.099,99
Nov 12 2013 01: +0,0.094,89
Nov 13 2013 01: +0,0.101,95
