Nov 28 2013 01: +0,17.005,2
Nov 29 2013 01: +0,12.787,5
Nov 30 2013 01: +0,6.228,6
Dec 01 2013 01: +0,5.29,8
Dec 02 2013 01: +0,5.17,9
Dec 03 2013 01: +0,4.765,8
Dec 04 2013 01: +0,3.217,9
Dec 05 2013 01: +0,3.579,17
Dec 06 2013 01: +0,3.926,6
Dec 07 2013 01: +0,3.672,13
Dec 08 2013 01: +0,3.592,11
Dec 09 2013 01: +0,3.455,9
Dec 10 2013 01: +0,3.173,18
Dec 11 2013 01: +0,3.305,15
Dec 12 2013 01: +0,3.405,14
Dec 13 2013 01: +0,3.707,12
Dec 14 2013 01: +0,3.151,15
Dec 15 2013 01: +0,3.367,14
Dec 16 2013 01: +0,2.933,12
Dec 17 2013 01: +0,2.712,11
Dec 18 2013 01: +0,2.642,18
Dec 19 2013 01: +0,2.065,17
Dec 20 2013 01: +0,1.825,19
Dec 21 2013 01: +0,1.929,28
Dec 22 2013 01: +0,1.614,17
Dec 23 2013 01: +0,1.475,30
Dec 24 2013 01: +0,1.316,33
Dec 25 2013 01: +0,1.44,14
Dec 26 2013 01: +0,1.762,15
Dec 27 2013 01: +0,1.555,23
Dec 28 2013 01: +0,1.72,18
Dec 29 2013 01: +0,1.527,20
Dec 30 2013 01: +0,1.306,21
Dec 31 2013 01: +0,1.335,21
Jan 01 2014 01: +0,1.242,24
Jan 02 2014 01: +0,1.378,24
Jan 03 2014 01: +0,1.346,20
Jan 04 2014 01: +0,1.38,33
Jan 05 2014 01: +0,1.516,26
Jan 06 2014 01: +0,1.389,28
Jan 07 2014 01: +0,1.342,40
Jan 08 2014 01: +0,1.672,23
Jan 09 2014 01: +0,1.774,22
Jan 10 2014 01: +0,1.726,18
Jan 11 2014 01: +0,1.64,21
Jan 12 2014 01: +0,1.495,23
Jan 13 2014 01: +0,1.408,24
Jan 14 2014 01: +0,1.297,39
Jan 15 2014 01: +0,1.377,24
Jan 16 2014 01: +0,1.333,25
Jan 17 2014 01: +0,1.301,24
Jan 18 2014 01: +0,1.243,31
Jan 19 2014 01: +0,1.277,33
Jan 20 2014 01: +0,1.352,31
Jan 21 2014 01: +0,1.306,27
Jan 22 2014 01: +0,1.271,31
Jan 23 2014 01: +0,1.19,23
Jan 24 2014 01: +0,1.092,39
Jan 25 2014 01: +0,1.166,43
Jan 26 2014 01: +0,1.166,42
Jan 27 2014 01: +0,1.063,31
Jan 28 2014 01: +0,1.164,39
Jan 29 2014 01: +0,1.197,33
Jan 30 2014 01: +0,1.177,19
Jan 31 2014 01: +0,1.294,34
Feb 01 2014 01: +0,1.314,20
Feb 02 2014 01: +0,1.252,35
Feb 03 2014 01: +0,1.258,28
Feb 04 2014 01: +0,1.172,31
Feb 05 2014 01: +0,1.067,20
Feb 06 2014 01: +0,1.014,43
Feb 07 2014 01: +0,1.072,28
Feb 08 2014 01: +0,1.04,41
Feb 09 2014 01: +0,1.075,33
Feb 10 2014 01: +0,1.122,25
Feb 11 2014 01: +0,1.152,30
Feb 12 2014 01: +0,1.071,34
Feb 13 2014 01: +0,1.001,21
Feb 14 2014 01: +0,0.862,34
Feb 15 2014 01: +0,0.852,48
Feb 16 2014 01: +0,0.895,44
Feb 17 2014 01: +0,0.865,35
Feb 18 2014 01: +0,0.816,21
Feb 19 2014 01: +0,0.739,30
Feb 20 2014 01: +0,0.658,39
Feb 21 2014 01: +0,0.677,46
Feb 22 2014 01: +0,0.661,48
Feb 23 2014 01: +0,0.647,44
Feb 24 2014 01: +0,0.716,41
Feb 25 2014 01: +0,0.746,39
Feb 26 2014 01: +0,0.757,24
Feb 27 2014 01: +0,0.736,35
Feb 28 2014 01: +0,0.794,53
Mar 01 2014 01: +0,0.77,57
Mar 02 2014 01: +0,0.755,41
Mar 03 2014 01: +0,0.699,30
Mar 04 2014 01: +0,0.755,38
Mar 05 2014 01: +0,0.654,34
Mar 06 2014 01: +0,0.81,30
Mar 07 2014 01: +0,0.772,52
Mar 08 2014 01: +0,0.715,50
Mar 09 2014 01: +0,0.692,48
Mar 10 2014 01: +0,0.708,41
Mar 11 2014 01: +0,0.663,46
Mar 12 2014 01: +0,0.741,38
Mar 13 2014 01: +0,0.834,27
Mar 14 2014 01: +0,0.819,25
Mar 15 2014 01: +0,0.686,55
Mar 16 2014 01: +0,0.75,60
Mar 17 2014 01: +0,0.715,47
Mar 18 2014 01: +0,0.783,45
Mar 19 2014 01: +0,0.723,37
Mar 20 2014 01: +0,0.683,42
Mar 21 2014 01: +0,0.714,47
Mar 22 2014 01: +0,0.7,47
Mar 23 2014 01: +0,0.781,64
Mar 24 2014 01: +0,0.716,39
Mar 25 2014 01: +0,0.71,32
Mar 26 2014 01: +0,0.715,38
Mar 27 2014 01: +0,0.755,44
Mar 28 2014 01: +0,0.746,44
Mar 29 2014 01: +0,0.717,55
Mar 30 2014 01: +0,0.761,71
Mar 31 2014 01: +0,0.784,49
Apr 01 2014 01: +0,0.894,40
Apr 02 2014 01: +0,0.78,36
Apr 03 2014 01: +0,0.688,50
Apr 04 2014 01: +0,0.66,52
Apr 05 2014 01: +0,0.638,55
Apr 06 2014 01: +0,0.757,66
Apr 07 2014 01: +0,0.829,37
Apr 08 2014 01: +0,0.746,43
Apr 09 2014 01: +0,0.741,43
Apr 10 2014 01: +0,0.742,53
Apr 11 2014 01: +0,0.754,61
Apr 12 2014 01: +0,0.766,72
Apr 13 2014 01: +0,0.871,63
Apr 14 2014 01: +0,0.894,40
Apr 15 2014 01: +0,0.914,33
Apr 16 2014 01: +0,0.757,53
Apr 17 2014 01: +0,0.7,48
Apr 18 2014 01: +0,0.732,59
Apr 19 2014 01: +0,0.721,51
Apr 20 2014 01: +0,0.757,68
Apr 21 2014 01: +0,0.763,51
Apr 22 2014 01: +0,0.711,59
Apr 23 2014 01: +0,0.781,46
Apr 24 2014 01: +0,0.68,51
Apr 25 2014 01: +0,0.817,56
Apr 26 2014 01: +0,0.853,81
Apr 27 2014 01: +0,0.817,64
Apr 28 2014 01: +0,0.847,47
Apr 29 2014 01: +0,0.798,39
Apr 30 2014 01: +0,0.768,51
May 01 2014 01: +0,0.856,62
May 02 2014 01: +0,0.664,43
May 03 2014 01: +0,0.599,89
May 04 2014 01: +0,0.621,94
May 05 2014 01: +0,0.677,57
May 06 2014 01: +0,0.597,55
May 07 2014 01: +0,0.608,60
May 08 2014 01: +0,0.608,73
May 09 2014 01: +0,0.581,61
May 10 2014 01: +0,0.522,86
May 11 2014 01: +0,0.485,92
May 12 2014 01: +0,0.501,64
May 13 2014 01: +0,0.517,64
May 14 2014 01: +0,0.533,80
May 15 2014 01: +0,0.561,174
May 16 2014 01: +0,0.525,84
May 17 2014 01: +0,0.505,141
May 18 2014 01: +0,0.514,117
May 19 2014 01: +0,0.478,75
May 20 2014 01: +0,0.513,145
May 21 2014 01: +0,0.502,88
May 22 2014 01: +0,0.501,65
May 23 2014 01: +0,0.485,113
May 24 2014 01: +0,0.502,129
May 25 2014 01: +0,0.489,114
May 26 2014 01: +0,0.511,107
May 27 2014 01: +0,0.51,106
May 28 2014 01: +0,0.48,144
May 29 2014 01: +0,0.503,97
May 30 2014 01: +0,0.479,110
May 31 2014 01: +0,0.502,113
Jun 01 2014 01: +0,0.503,103
Jun 02 2014 01: +0,0.501,99
Jun 03 2014 01: +0,0.465,95
Jun 04 2014 01: +0,0.504,99
Jun 05 2014 01: +0,0.509,85
Jun 06 2014 01: +0,0.475,104
Jun 07 2014 01: +0,0.445,145
Jun 08 2014 01: +0,0.498,133
Jun 09 2014 01: +0,0.455,95
Jun 10 2014 01: +0,0.475,105
Jun 11 2014 01: +0,0.487,95
Jun 12 2014 01: +0,0.439,136
Jun 13 2014 01: +0,0.487,102
Jun 14 2014 01: +0,0.503,112
Jun 15 2014 01: +0,0.493,122
Jun 16 2014 01: +0,0.526,122
Jun 17 2014 01: +0,0.437,126
Jun 18 2014 01: +0,0.439,130
Jun 19 2014 01: +0,0.417,126
Jun 20 2014 01: +0,0.347,138
Jun 21 2014 01: +0,0.358,156
Jun 22 2014 01: +0,0.324,152
Jun 23 2014 01: +0,0.281,168
Jun 24 2014 01: +0,0.316,147
Jun 25 2014 01: +0,0.373,94
Jun 26 2014 01: +0,0.378,134
Jun 27 2014 01: +0,0.377,126
Jun 28 2014 01: +0,0.394,133
Jun 29 2014 01: +0,0.39,133
Jun 30 2014 01: +0,0.399,140
Jul 01 2014 01: +0,0.436,153
Jul 02 2014 01: +0,0.347,157
Jul 03 2014 01: +0,0.435,152
Jul 04 2014 01: +0,0.427,130
Jul 05 2014 01: +0,0.42,153
Jul 06 2014 01: +0,0.461,140
Jul 07 2014 01: +0,0.481,128
Jul 08 2014 01: +0,0.481,116
Jul 09 2014 01: +0,0.485,136
Jul 10 2014 01: +0,0.478,142
Jul 11 2014 01: +0,0.44,165
Jul 12 2014 01: +0,0.524,138
Jul 13 2014 01: +0,0.523,157
Jul 14 2014 01: +0,0.533,140
Jul 15 2014 01: +0,0.497,134
Jul 16 2014 01: +0,0.472,147
Jul 17 2014 01: +0,0.484,135
Jul 18 2014 01: +0,0.512,115
Jul 19 2014 01: +0,0.488,113
Jul 20 2014 01: +0,0.448,143
Jul 21 2014 01: +0,0.465,139
Jul 22 2014 01: +0,0.452,169
Jul 23 2014 01: +0,0.491,132
Jul 24 2014 01: +0,0.517,121
Jul 25 2014 01: +0,0.483,166
Jul 26 2014 01: +0,0.495,185
Jul 27 2014 01: +0,0.531,147
Jul 28 2014 01: +0,0.54,148
Jul 29 2014 01: +0,0.511,168
Jul 30 2014 01: +0,0.534,146
Jul 31 2014 01: +0,0.511,138
Aug 01 2014 01: +0,0.571,146
Aug 02 2014 01: +0,0.552,158
Aug 03 2014 01: +0,0.534,195
Aug 04 2014 01: +0,0.538,170
Aug 05 2014 01: +0,0.434,226
Aug 06 2014 01: +0,0.481,162
Aug 07 2014 01: +0,0.5,189
Aug 08 2014 01: +0,0.514,177
Aug 09 2014 01: +0,0.549,135
Aug 10 2014 01: +0,0.526,144
Aug 11 2014 01: +0,0.514,150
Aug 12 2014 01: +0,0.524,175
Aug 13 2014 01: +0,0.529,146
Aug 14 2014 01: +0,0.512,155
Aug 15 2014 01: +0,0.539,153
Aug 16 2014 01: +0,0.535,167
Aug 17 2014 01: +0,0.394,356
Aug 18 2014 01: +0,0.465,185
Aug 19 2014 01: +0,0.512,173
Aug 20 2014 01: +0,0.499,199
Aug 21 2014 01: +0,0.524,150
Aug 22 2014 01: +0,0.516,189
Aug 23 2014 01: +0,0.533,191
Aug 24 2014 01: +0,0.589,164
Aug 25 2014 01: +0,0.564,175
Aug 26 2014 01: +0,0.524,225
Aug 27 2014 01: +0,0.583,173
Aug 28 2014 01: +0,0.581,169
Aug 29 2014 01: +0,0.607,165
Aug 30 2014 01: +0,0.585,214
Aug 31 2014 01: +0,0.619,182
Sep 01 2014 01: +0,0.676,158
Sep 02 2014 01: +0,0.673,127
Sep 03 2014 01: +0,0.661,146
Sep 04 2014 01: +0,0.667,132
Sep 05 2014 01: +0,0.593,150
Sep 06 2014 01: +0,0.565,200
Sep 07 2014 01: +0,0.573,187
Sep 08 2014 01: +0,0.591,135
Sep 09 2014 01: +0,0.58,161
Sep 10 2014 01: +0,0.579,146
Sep 11 2014 01: +0,0.529,185
Sep 12 2014 01: +0,0.5,206
Sep 13 2014 01: +0,0.514,219
Sep 14 2014 01: +0,0.508,217
Sep 15 2014 01: +0,0.528,158
Sep 16 2014 01: +0,0.492,187
Sep 17 2014 01: +0,0.515,190
Sep 18 2014 01: +0,0.538,164
Sep 19 2014 01: +0,0.537,161
Sep 20 2014 01: +0,0.498,231
Sep 21 2014 01: +0,0.529,188
Sep 22 2014 01: +0,0.519,148
Sep 23 2014 01: +0,0.518,142
Sep 24 2014 01: +0,0.498,175
Sep 25 2014 01: +0,0.51,174
Sep 26 2014 01: +0,0.502,164
Sep 27 2014 01: +0,0.489,239
