Dec 19 2013 01: +0,5.948,2
Dec 20 2013 01: +0,3.479,7
Dec 21 2013 01: +0,3.46,5
Dec 22 2013 01: +0,2.4,2
Dec 23 2013 01: +0,2.092,3
Dec 24 2013 01: +0,2.19,5
Dec 25 2013 01: +0,1.992,4
Dec 26 2013 01: +0,2.092,5
Dec 27 2013 01: +0,1.785,6
Dec 28 2013 01: +0,2.014,4
Dec 29 2013 01: +0,1.966,6
Dec 30 2013 01: +0,2.659,8
Dec 31 2013 01: +0,2.247,6
Jan 01 2014 01: +0,1.583,9
Jan 02 2014 01: +0,1.817,9
Jan 03 2014 01: +0,1.678,8
Jan 04 2014 01: +0,1.46,10
Jan 05 2014 01: +0,1.171,11
Jan 06 2014 01: +0,1.297,13
Jan 07 2014 01: +0,1.213,9
Jan 08 2014 01: +0,1.341,11
Jan 09 2014 01: +0,1.357,12
Jan 10 2014 01: +0,1.142,6
Jan 11 2014 01: +0,1.227,13
Jan 12 2014 01: +0,1.257,11
Jan 13 2014 01: +0,5.896,7
Jan 14 2014 01: +0,1.208,14
Jan 15 2014 01: +0,0.982,8
Jan 16 2014 01: +0,1.126,8
Jan 17 2014 01: +0,1.063,6
Jan 18 2014 01: +0,0.967,14
Jan 19 2014 01: +0,0.994,11
Jan 20 2014 01: +0,0.914,13
Jan 21 2014 01: +0,1.014,18
Jan 22 2014 01: +0,1.062,6
Jan 23 2014 01: +0,1.016,7
Jan 24 2014 01: +0,0.938,10
Jan 25 2014 01: +0,0.98,16
Jan 26 2014 01: +0,1.089,11
Jan 27 2014 01: +0,0.801,12
Jan 28 2014 01: +0,0.807,10
Jan 29 2014 01: +0,0.838,11
Jan 30 2014 01: +0,0.825,16
Jan 31 2014 01: +0,1.115,13
Feb 01 2014 01: +0,0.933,13
Feb 02 2014 01: +0,0.835,10
Feb 03 2014 01: +0,0.849,19
Feb 04 2014 01: +0,0.84,7
Feb 05 2014 01: +0,0.788,11
Feb 06 2014 01: +0,0.877,5
Feb 07 2014 01: +0,0.804,7
Feb 08 2014 01: +0,0.723,20
Feb 09 2014 01: +0,0.772,19
Feb 10 2014 01: +0,0.788,10
Feb 11 2014 01: +0,0.787,12
Feb 12 2014 01: +0,0.603,14
Feb 13 2014 01: +0,0.671,18
Feb 14 2014 01: +0,0.625,7
Feb 15 2014 01: +0,0.723,24
