Feb 13 2014 01: +0,2.033,13
Feb 14 2014 01: +0,0.717,36
Feb 15 2014 01: +0,0.515,32
Feb 16 2014 01: +0,0.448,41
Feb 17 2014 01: +0,0.371,41
Feb 18 2014 01: +0,0.301,22
Feb 19 2014 01: +0,0.264,28
Feb 20 2014 01: +0,0.339,24
Feb 21 2014 01: +0,0.299,18
Feb 22 2014 01: +0,0.21,28
Feb 23 2014 01: +0,0.359,30
Feb 24 2014 01: +0,0.448,21
Feb 25 2014 01: +0,0.396,27
Feb 26 2014 01: +0,0.366,10
Feb 27 2014 01: +0,0.286,24
Feb 28 2014 01: +0,0.298,33
Mar 01 2014 01: +0,0.271,32
Mar 02 2014 01: +0,0.273,25
Mar 03 2014 01: +0,0.322,27
Mar 04 2014 01: +0,0.28,19
Mar 05 2014 01: +0,0.271,26
Mar 06 2014 01: +0,0.441,9
Mar 07 2014 01: +0,0.282,23
Mar 08 2014 01: +0,0.472,47
Mar 09 2014 01: +0,0.622,3
Mar 10 2014 01: +0,0.392,14
Mar 11 2014 01: +0,0.329,41
Mar 12 2014 01: +0,0.305,28
Mar 13 2014 01: +0,0.317,30
Mar 14 2014 01: +0,0.339,22
Mar 15 2014 01: +0,0.288,34
Mar 16 2014 01: +0,0.235,45
Mar 17 2014 01: +0,0.246,44
Mar 18 2014 01: +0,0.222,27
Mar 19 2014 01: +0,0.244,46
Mar 20 2014 01: +0,0.278,29
Mar 21 2014 01: +0,0.277,28
Mar 22 2014 01: +0,0.275,45
Mar 23 2014 01: +0,0.279,50
Mar 24 2014 01: +0,0.326,25
Mar 25 2014 01: +0,0.414,15
Mar 26 2014 01: +0,0.356,17
Mar 27 2014 01: +0,0.329,19
Mar 28 2014 01: +0,0.306,30
Mar 29 2014 01: +0,0.279,37
Mar 30 2014 01: +0,0.262,28
Mar 31 2014 01: +0,0.279,37
Apr 01 2014 01: +0,0.317,34
Apr 02 2014 01: +0,0.273,45
Apr 03 2014 01: +0,0.292,42
Apr 04 2014 01: +0,0.283,31
Apr 05 2014 01: +0,0.289,31
Apr 06 2014 01: +0,0.335,47
Apr 07 2014 01: +0,0.28,23
Apr 08 2014 01: +0,0.275,24
Apr 09 2014 01: +0,0.276,42
Apr 10 2014 01: +0,0.284,36
Apr 11 2014 01: +0,0.242,48
Apr 12 2014 01: +0,0.301,51
Apr 13 2014 01: +0,0.348,49
Apr 14 2014 01: +0,0.327,34
Apr 15 2014 01: +0,0.29,51
Apr 16 2014 01: +0,0.254,47
Apr 17 2014 01: +0,0.245,39
Apr 18 2014 01: +0,0.247,43
Apr 19 2014 01: +0,0.224,55
Apr 20 2014 01: +0,0.237,58
Apr 21 2014 01: +0,0.252,35
Apr 22 2014 01: +0,0.243,42
Apr 23 2014 01: +0,0.261,72
Apr 24 2014 01: +0,0.279,51
Apr 25 2014 01: +0,0.303,52
Apr 26 2014 01: +0,0.331,57
Apr 27 2014 01: +0,0.337,45
Apr 28 2014 01: +0,0.293,34
Apr 29 2014 01: +0,0.277,34
Apr 30 2014 01: +0,0.273,46
May 01 2014 01: +0,0.285,53
May 02 2014 01: +0,0.246,28
May 03 2014 01: +0,0.215,71
May 04 2014 01: +0,0.236,67
May 05 2014 01: +0,0.222,56
May 06 2014 01: +0,0.234,56
May 07 2014 01: +0,0.266,38
May 08 2014 01: +0,0.278,37
May 09 2014 01: +0,0.225,40
May 10 2014 01: +0,0.189,56
May 11 2014 01: +0,0.207,44
May 12 2014 01: +0,0.217,26
May 13 2014 01: +0,0.191,21
May 14 2014 01: +0,0.222,92
May 15 2014 01: +0,0.583,63
May 16 2014 01: +0,0.468,32
May 17 2014 01: +0,0.451,45
May 18 2014 01: +0,0.453,56
May 19 2014 01: +0,0.499,38
May 20 2014 01: +0,0.43,30
May 21 2014 01: +0,0.455,40
May 22 2014 01: +0,0.429,26
May 23 2014 01: +0,0.423,38
