Dec 19 2013 01: +0,1.189,185
Dec 20 2013 01: +0,0.501,293
Dec 21 2013 01: +0,0.392,263
Dec 22 2013 01: +0,0.266,422
Dec 23 2013 01: +0,0.232,424
Dec 24 2013 01: +0,0.227,396
Dec 25 2013 01: +0,0.206,307
Dec 26 2013 01: +0,0.224,439
Dec 27 2013 01: +0,0.212,503
Dec 28 2013 01: +0,0.198,459
Dec 29 2013 01: +0,0.196,519
Dec 30 2013 01: +0,0.158,553
Dec 31 2013 01: +0,0.135,438
Jan 01 2014 01: +0,0.154,508
Jan 02 2014 01: +0,0.153,522
Jan 03 2014 01: +0,0.154,379
Jan 04 2014 01: +0,0.146,720
Jan 05 2014 01: +0,0.146,710
Jan 06 2014 01: +0,0.147,700
Jan 07 2014 01: +0,0.131,683
Jan 08 2014 01: +0,0.143,498
Jan 09 2014 01: +0,0.134,612
Jan 10 2014 01: +0,0.135,800
Jan 11 2014 01: +0,0.152,607
Jan 12 2014 01: +0,0.13,758
Jan 13 2014 01: +0,0.116,770
Jan 14 2014 01: +0,0.122,773
Jan 15 2014 01: +0,0.123,609
Jan 16 2014 01: +0,0.121,637
Jan 17 2014 01: +0,0.114,640
Jan 18 2014 01: +0,0.117,957
Jan 19 2014 01: +0,0.112,854
Jan 20 2014 01: +0,0.12,883
Jan 21 2014 01: +0,0.122,741
Jan 22 2014 01: +0,0.115,680
Jan 23 2014 01: +0,0.104,748
Jan 24 2014 01: +0,0.103,850
Jan 25 2014 01: +0,0.102,839
Jan 26 2014 01: +0,0.104,1015
Jan 27 2014 01: +0,0.1,804
Jan 28 2014 01: +0,0.091,790
Jan 29 2014 01: +0,0.093,876
Jan 30 2014 01: +0,0.092,952
Jan 31 2014 01: +0,0.096,931
Feb 01 2014 01: +0,0.094,1060
Feb 02 2014 01: +0,0.093,1053
Feb 03 2014 01: +0,0.091,978
Feb 04 2014 01: +0,0.093,1130
Feb 05 2014 01: +0,0.09,830
Feb 06 2014 01: +0,0.089,807
Feb 07 2014 01: +0,0.091,942
Feb 08 2014 01: +0,0.091,1164
Feb 09 2014 01: +0,0.09,1130
Feb 10 2014 01: +0,0.085,953
Feb 11 2014 01: +0,0.083,997
Feb 12 2014 01: +0,0.079,1119
Feb 13 2014 01: +0,0.071,938
Feb 14 2014 01: +0,0.071,1152
Feb 15 2014 01: +0,0.07,1336
Feb 16 2014 01: +0,0.066,1361
Feb 17 2014 01: +0,0.063,1356
Feb 18 2014 01: +0,0.064,1097
Feb 19 2014 01: +0,0.066,1076
Feb 20 2014 01: +0,0.065,963
Feb 21 2014 01: +0,0.06,1060
Feb 22 2014 01: +0,0.057,1162
Feb 23 2014 01: +0,0.06,1452
Feb 24 2014 01: +0,0.064,1216
Feb 25 2014 01: +0,0.066,1148
Feb 26 2014 01: +0,0.069,1275
Feb 27 2014 01: +0,0.063,1304
Feb 28 2014 01: +0,0.06,1224
Mar 01 2014 01: +0,0.061,1576
Mar 02 2014 01: +0,0.072,1656
Mar 03 2014 01: +0,0.072,1497
Mar 04 2014 01: +0,0.079,1217
Mar 05 2014 01: +0,0.075,1067
Mar 06 2014 01: +0,0.082,1060
