Aug 15 2013 01: +0,1.866,3
Aug 16 2013 01: +0,1.77,12
Aug 17 2013 01: +0,1.346,18
Aug 18 2013 01: +0,1.304,14
Aug 19 2013 01: +0,1.38,11
Aug 20 2013 01: +0,1.475,10
Aug 21 2013 01: +0,1.288,12
Aug 22 2013 01: +0,1.192,12
Aug 23 2013 01: +0,0.856,24
Aug 24 2013 01: +0,0.863,23
Aug 25 2013 01: +0,0.874,20
Aug 26 2013 01: +0,0.908,17
Aug 27 2013 01: +0,0.899,18
Aug 28 2013 01: +0,0.821,23
Aug 29 2013 01: +0,0.811,24
Aug 30 2013 01: +0,0.809,28
Aug 31 2013 01: +0,0.759,21
Sep 01 2013 01: +0,0.802,20
Sep 02 2013 01: +0,0.742,21
Sep 03 2013 01: +0,0.723,13
Sep 04 2013 01: +0,0.649,19
Sep 05 2013 01: +0,0.655,28
Sep 06 2013 01: +0,0.564,23
Sep 07 2013 01: +0,0.642,12
Sep 08 2013 01: +0,0.581,25
Sep 09 2013 01: +0,0.522,15
Sep 10 2013 01: +0,0.505,24
Sep 11 2013 01: +0,0.52,28
Sep 12 2013 01: +0,0.554,26
Sep 13 2013 01: +0,0.542,24
Sep 14 2013 01: +0,0.459,31
Sep 15 2013 01: +0,0.44,33
Sep 16 2013 01: +0,0.446,29
Sep 17 2013 01: +0,0.438,19
Sep 18 2013 01: +0,0.411,16
Sep 19 2013 01: +0,0.451,12
Sep 20 2013 01: +0,0.341,19
Sep 21 2013 01: +0,0.323,26
Sep 22 2013 01: +0,0.24,31
Sep 23 2013 01: +0,0.235,17
Sep 24 2013 01: +0,0.219,28
Sep 25 2013 01: +0,0.219,30
Sep 26 2013 01: +0,0.203,17
Sep 27 2013 01: +0,0.231,31
Sep 28 2013 01: +0,0.234,37
Sep 29 2013 01: +0,0.276,20
Sep 30 2013 01: +0,0.225,20
Oct 01 2013 01: +0,0.216,25
Oct 02 2013 01: +0,0.229,21
Oct 03 2013 01: +0,0.243,29
Oct 04 2013 01: +0,0.217,20
Oct 05 2013 01: +0,0.222,43
Oct 06 2013 01: +0,0.208,22
Oct 07 2013 01: +0,0.198,22
Oct 08 2013 01: +0,0.177,23
Oct 09 2013 01: +0,0.163,17
Oct 10 2013 01: +0,0.164,31
Oct 11 2013 01: +0,0.155,11
Oct 12 2013 01: +0,0.148,38
Oct 13 2013 01: +0,0.158,30
Oct 14 2013 01: +0,0.145,31
Oct 15 2013 01: +0,0.153,28
Oct 16 2013 01: +0,0.191,11
Oct 17 2013 01: +0,0.166,11
