Apr 28 2016 01: +0,0.762,562
Apr 29 2016 01: +0,0.509,730
Apr 30 2016 01: +0,0.398,704
May 01 2016 01: +0,0.332,756
May 02 2016 01: +0,0.303,530
May 03 2016 01: +0,0.285,454
May 04 2016 01: +0,0.269,510
May 05 2016 01: +0,0.255,483
May 06 2016 01: +0,0.249,438
May 07 2016 01: +0,0.216,581
May 08 2016 01: +0,0.194,534
May 09 2016 01: +0,0.193,457
May 10 2016 01: +0,0.19,407
May 11 2016 01: +0,0.177,470
May 12 2016 01: +0,0.17,471
May 13 2016 01: +0,0.162,410
May 14 2016 01: +0,0.154,556
May 15 2016 01: +0,0.152,612
May 16 2016 01: +0,0.151,426
May 17 2016 01: +0,0.142,409
May 18 2016 01: +0,0.141,449
May 19 2016 01: +0,0.137,360
May 20 2016 01: +0,0.123,575
May 21 2016 01: +0,0.125,547
May 22 2016 01: +0,0.121,569
May 23 2016 01: +0,0.117,467
May 24 2016 01: +0,0.114,401
May 25 2016 01: +0,0.112,448
May 26 2016 01: +0,0.103,446
May 27 2016 01: +0,0.103,558
May 28 2016 01: +0,0.109,433
May 29 2016 01: +0,0.103,433
May 30 2016 01: +0,0.101,475
May 31 2016 01: +0,0.096,461
Jun 01 2016 01: +0,0.096,567
Jun 02 2016 01: +0,0.092,528
Jun 03 2016 01: +0,0.094,452
Jun 04 2016 01: +0,0.094,510
Jun 05 2016 01: +0,0.088,568
Jun 06 2016 01: +0,0.087,543
Jun 07 2016 01: +0,0.084,422
Jun 08 2016 01: +0,0.088,428
Jun 09 2016 01: +0,0.084,535
Jun 10 2016 01: +0,0.087,455
Jun 11 2016 01: +0,0.086,549
Jun 12 2016 01: +0,0.088,485
Jun 13 2016 01: +0,0.083,459
Jun 14 2016 01: +0,0.08,446
Jun 15 2016 01: +0,0.08,443
Jun 16 2016 01: +0,0.081,682
Jun 17 2016 01: +0,0.084,610
Jun 18 2016 01: +0,0.084,665
Jun 19 2016 01: +0,0.085,822
Jun 20 2016 01: +0,0.087,737
Jun 21 2016 01: +0,0.089,617
Jun 22 2016 01: +0,0.086,575
Jun 23 2016 01: +0,0.08,545
