Aug 19 2016 01: +0,0.505,501
Aug 20 2016 01: +0,0.375,579
Aug 21 2016 01: +0,0.308,423
Aug 22 2016 01: +0,0.275,489
Aug 23 2016 01: +0,0.235,427
Aug 24 2016 01: +0,0.238,432
Aug 25 2016 01: +0,0.242,499
Aug 26 2016 01: +0,0.225,450
Aug 27 2016 01: +0,0.241,492
Aug 28 2016 01: +0,0.217,475
Aug 29 2016 01: +0,0.21,486
Aug 30 2016 01: +0,0.199,450
Aug 31 2016 01: +0,0.193,464
Sep 01 2016 01: +0,0.186,376
Sep 02 2016 01: +0,0.179,438
Sep 03 2016 01: +0,0.168,401
Sep 04 2016 01: +0,0.157,446
Sep 05 2016 01: +0,0.149,438
Sep 06 2016 01: +0,0.145,399
Sep 07 2016 01: +0,0.138,349
Sep 08 2016 01: +0,0.133,456
Sep 09 2016 01: +0,0.131,427
Sep 10 2016 01: +0,0.13,570
Sep 11 2016 01: +0,0.127,553
Sep 12 2016 01: +0,0.121,399
Sep 13 2016 01: +0,0.11,428
Sep 14 2016 01: +0,0.112,391
Sep 15 2016 01: +0,0.115,408
Sep 16 2016 01: +0,0.114,481
Sep 17 2016 01: +0,0.116,605
Sep 18 2016 01: +0,0.113,581
Sep 19 2016 01: +0,0.108,421
Sep 20 2016 01: +0,0.11,416
Sep 21 2016 01: +0,0.107,363
Sep 22 2016 01: +0,0.11,401
Sep 23 2016 01: +0,0.107,446
Sep 24 2016 01: +0,0.106,483
Sep 25 2016 01: +0,0.103,608
Sep 26 2016 01: +0,0.096,402
Sep 27 2016 01: +0,0.1,471
Sep 28 2016 01: +0,0.098,332
Sep 29 2016 01: +0,0.097,454
Sep 30 2016 01: +0,0.091,439
Oct 01 2016 01: +0,0.094,547
Oct 02 2016 01: +0,0.091,584
Oct 03 2016 01: +0,0.093,492
Oct 04 2016 01: +0,0.092,353
Oct 05 2016 01: +0,0.094,434
Oct 06 2016 01: +0,0.089,421
Oct 07 2016 01: +0,0.084,424
Oct 08 2016 01: +0,0.085,477
Oct 09 2016 01: +0,0.08,509
Oct 10 2016 01: +0,0.078,448
Oct 11 2016 01: +0,0.076,389
Oct 12 2016 01: +0,0.08,464
Oct 13 2016 01: +0,0.079,377
Oct 14 2016 01: +0,0.079,445
Oct 15 2016 01: +0,0.079,495
Oct 16 2016 01: +0,0.078,558
Oct 17 2016 01: +0,0.074,395
Oct 18 2016 01: +0,0.075,408
Oct 19 2016 01: +0,0.076,493
Oct 20 2016 01: +0,0.074,398
Oct 21 2016 01: +0,0.077,536
Oct 22 2016 01: +0,0.076,500
Oct 23 2016 01: +0,0.078,518
Oct 24 2016 01: +0,0.075,367
Oct 25 2016 01: +0,0.075,445
Oct 26 2016 01: +0,0.076,394
Oct 27 2016 01: +0,0.075,487
Oct 28 2016 01: +0,0.071,437
Oct 29 2016 01: +0,0.074,514
Oct 30 2016 01: +0,0.068,527
Oct 31 2016 01: +0,0.069,438
Nov 01 2016 01: +0,0.066,421
Nov 02 2016 01: +0,0.071,486
Nov 03 2016 01: +0,0.072,312
Nov 04 2016 01: +0,0.072,435
Nov 05 2016 01: +0,0.076,576
Nov 06 2016 01: +0,0.074,603
Nov 07 2016 01: +0,0.074,489
Nov 08 2016 01: +0,0.076,393
Nov 09 2016 01: +0,0.075,352
Nov 10 2016 01: +0,0.076,588
Nov 11 2016 01: +0,0.077,518
Nov 12 2016 01: +0,0.078,529
Nov 13 2016 01: +0,0.077,516
