May 02 2014 01: +0,3.285,8
May 03 2014 01: +0,1.39,8
May 04 2014 01: +0,1.561,13
May 05 2014 01: +0,1.802,6
May 06 2014 01: +0,1.323,8
May 07 2014 01: +0,1.218,6
May 08 2014 01: +0,0.996,7
May 09 2014 01: +0,0.931,18
May 10 2014 01: +0,0.822,25
May 11 2014 01: +0,0.832,16
May 12 2014 01: +0,1.067,17
May 13 2014 01: +0,0.998,7
May 14 2014 01: +0,0.905,9
May 15 2014 01: +0,0.789,13
May 16 2014 01: +0,0.546,18
May 17 2014 01: +0,0.718,22
May 18 2014 01: +0,1.08,16
May 19 2014 01: +0,0.824,12
May 20 2014 01: +0,0.657,13
May 21 2014 01: +0,0.613,10
May 22 2014 01: +0,0.703,17
May 23 2014 01: +0,0.688,20
May 24 2014 01: +0,0.669,16
May 25 2014 01: +0,0.547,19
May 26 2014 01: +0,0.582,13
May 27 2014 01: +0,0.549,15
May 28 2014 01: +0,0.519,23
May 29 2014 01: +0,0.553,29
May 30 2014 01: +0,0.716,14
May 31 2014 01: +0,0.51,20
Jun 01 2014 01: +0,0.504,16
Jun 02 2014 01: +0,0.45,20
Jun 03 2014 01: +0,0.486,20
Jun 04 2014 01: +0,0.421,21
Jun 05 2014 01: +0,0.504,20
Jun 06 2014 01: +0,0.493,19
Jun 07 2014 01: +0,0.445,19
Jun 08 2014 01: +0,0.409,28
Jun 09 2014 01: +0,0.436,20
Jun 10 2014 01: +0,0.497,17
Jun 11 2014 01: +0,0.428,23
Jun 12 2014 01: +0,0.499,18
Jun 13 2014 01: +0,0.526,22
Jun 14 2014 01: +0,0.496,22
Jun 15 2014 01: +0,0.463,28
Jun 16 2014 01: +0,0.489,23
Jun 17 2014 01: +0,0.502,16
Jun 18 2014 01: +0,0.384,25
Jun 19 2014 01: +0,0.383,23
Jun 20 2014 01: +0,0.33,26
Jun 21 2014 01: +0,0.301,30
Jun 22 2014 01: +0,0.311,33
Jun 23 2014 01: +0,0.323,23
Jun 24 2014 01: +0,0.322,25
Jun 25 2014 01: +0,0.304,26
Jun 26 2014 01: +0,0.342,27
Jun 27 2014 01: +0,0.34,33
Jun 28 2014 01: +0,0.36,24
Jun 29 2014 01: +0,0.341,32
Jun 30 2014 01: +0,0.348,20
Jul 01 2014 01: +0,0.424,27
Jul 02 2014 01: +0,0.393,22
Jul 03 2014 01: +0,0.404,34
Jul 04 2014 01: +0,0.338,20
Jul 05 2014 01: +0,0.334,25
Jul 06 2014 01: +0,0.352,20
Jul 07 2014 01: +0,0.378,25
Jul 08 2014 01: +0,0.431,19
Jul 09 2014 01: +0,0.363,15
Jul 10 2014 01: +0,0.328,25
Jul 11 2014 01: +0,0.368,37
Jul 12 2014 01: +0,0.395,22
Jul 13 2014 01: +0,0.412,24
Jul 14 2014 01: +0,0.402,27
Jul 15 2014 01: +0,0.707,19
Jul 16 2014 01: +0,0.328,35
Jul 17 2014 01: +0,0.328,28
Jul 18 2014 01: +0,0.31,20
Jul 19 2014 01: +0,0.321,26
Jul 20 2014 01: +0,0.318,29
Jul 21 2014 01: +0,0.343,24
Jul 22 2014 01: +0,0.349,22
Jul 23 2014 01: +0,0.375,25
Jul 24 2014 01: +0,0.378,15
Jul 25 2014 01: +0,0.385,32
Jul 26 2014 01: +0,0.437,26
Jul 27 2014 01: +0,0.371,17
Jul 28 2014 01: +0,0.419,23
Jul 29 2014 01: +0,0.428,22
Jul 30 2014 01: +0,0.482,31
Jul 31 2014 01: +0,0.406,29
Aug 01 2014 01: +0,0.322,37
Aug 02 2014 01: +0,0.335,41
Aug 03 2014 01: +0,0.399,32
Aug 04 2014 01: +0,0.423,33
Aug 05 2014 01: +0,0.37,32
Aug 06 2014 01: +0,0.352,31
Aug 07 2014 01: +0,0.425,54
Aug 08 2014 01: +0,0.401,30
Aug 09 2014 01: +0,0.346,39
Aug 10 2014 01: +0,0.404,36
Aug 11 2014 01: +0,0.439,30
Aug 12 2014 01: +0,0.401,42
Aug 13 2014 01: +0,0.406,36
Aug 14 2014 01: +0,0.407,32
Aug 15 2014 01: +0,0.438,36
Aug 16 2014 01: +0,0.363,29
Aug 17 2014 01: +0,0.272,33
Aug 18 2014 01: +0,0.252,38
Aug 19 2014 01: +0,0.32,34
Aug 20 2014 01: +0,0.352,27
Aug 21 2014 01: +0,0.34,33
Aug 22 2014 01: +0,0.349,27
Aug 23 2014 01: +0,0.357,32
Aug 24 2014 01: +0,0.35,33
Aug 25 2014 01: +0,0.33,41
Aug 26 2014 01: +0,0.322,40
Aug 27 2014 01: +0,0.346,31
Aug 28 2014 01: +0,0.335,35
Aug 29 2014 01: +0,0.316,40
Aug 30 2014 01: +0,0.325,40
Aug 31 2014 01: +0,0.363,45
Sep 01 2014 01: +0,0.326,27
Sep 02 2014 01: +0,0.347,35
Sep 03 2014 01: +0,0.354,33
Sep 04 2014 01: +0,0.342,35
Sep 05 2014 01: +0,0.325,35
Sep 06 2014 01: +0,0.315,57
Sep 07 2014 01: +0,0.346,42
Sep 08 2014 01: +0,0.327,29
Sep 09 2014 01: +0,0.308,35
Sep 10 2014 01: +0,0.354,40
Sep 11 2014 01: +0,0.357,39
Sep 12 2014 01: +0,0.252,40
Sep 13 2014 01: +0,0.225,50
Sep 14 2014 01: +0,0.244,65
Sep 15 2014 01: +0,0.274,46
Sep 16 2014 01: +0,0.258,38
Sep 17 2014 01: +0,0.282,39
Sep 18 2014 01: +0,0.326,43
Sep 19 2014 01: +0,0.26,40
Sep 20 2014 01: +0,0.202,50
Sep 21 2014 01: +0,0.233,52
Sep 22 2014 01: +0,0.255,29
Sep 23 2014 01: +0,0.234,26
Sep 24 2014 01: +0,0.231,44
Sep 25 2014 01: +0,0.251,31
Sep 26 2014 01: +0,0.241,26
Sep 27 2014 01: +0,0.199,53
Sep 28 2014 01: +0,0.214,53
Sep 29 2014 01: +0,0.227,33
Sep 30 2014 01: +0,0.225,33
Oct 01 2014 01: +0,0.209,38
Oct 02 2014 01: +0,0.211,26
Oct 03 2014 01: +0,0.195,52
Oct 04 2014 01: +0,0.226,54
Oct 05 2014 01: +0,0.278,58
Oct 06 2014 01: +0,0.274,46
Oct 07 2014 01: +0,0.275,42
Oct 08 2014 01: +0,0.292,49
Oct 09 2014 01: +0,0.276,48
Oct 10 2014 01: +0,0.203,35
Oct 11 2014 01: +0,0.217,60
Oct 12 2014 01: +0,0.231,45
Oct 13 2014 01: +0,0.272,41
Oct 14 2014 01: +0,0.284,27
Oct 15 2014 01: +0,0.229,41
Oct 16 2014 01: +0,0.261,47
Oct 17 2014 01: +0,0.388,42
Oct 18 2014 01: +0,0.224,52
Oct 19 2014 01: +0,0.207,48
Oct 20 2014 01: +0,0.225,48
Oct 21 2014 01: +0,0.209,37
Oct 22 2014 01: +0,0.217,36
Oct 23 2014 01: +0,0.228,38
Oct 24 2014 01: +0,0.218,45
Oct 25 2014 01: +0,0.248,49
Oct 26 2014 01: +0,0.211,50
Oct 27 2014 01: +0,0.185,46
Oct 28 2014 01: +0,0.251,39
Oct 29 2014 01: +0,0.255,46
Oct 30 2014 01: +0,0.304,37
Oct 31 2014 01: +0,0.217,42
Nov 01 2014 01: +0,0.234,61
Nov 02 2014 01: +0,0.195,53
Nov 03 2014 01: +0,0.199,46
Nov 04 2014 01: +0,0.282,37
Nov 05 2014 01: +0,0.252,31
Nov 06 2014 01: +0,0.207,42
Nov 07 2014 01: +0,0.242,48
Nov 08 2014 01: +0,0.3,47
Nov 09 2014 01: +0,0.215,34
Nov 10 2014 01: +0,0.188,42
Nov 11 2014 01: +0,0.176,50
Nov 12 2014 01: +0,0.09,58
Nov 13 2014 01: +0,0.102,56
Nov 14 2014 01: +0,0.128,50
Nov 15 2014 01: +0,0.126,45
Nov 16 2014 01: +0,0.136,57
Nov 17 2014 01: +0,0.121,46
Nov 18 2014 01: +0,0.142,39
Nov 19 2014 01: +0,0.153,24
Nov 20 2014 01: +0,0.148,45
Nov 21 2014 01: +0,0.125,41
Nov 22 2014 01: +0,0.114,47
Nov 23 2014 01: +0,0.13,41
Nov 24 2014 01: +0,0.12,31
Nov 25 2014 01: +0,0.12,32
Nov 26 2014 01: +0,0.125,36
Nov 27 2014 01: +0,0.122,42
Nov 28 2014 01: +0,0.147,57
Nov 29 2014 01: +0,0.222,21
Nov 30 2014 01: +0,0.108,61
Dec 01 2014 01: +0,0.099,67
Dec 02 2014 01: +0,0.122,66
Dec 03 2014 01: +0,0.135,38
Dec 04 2014 01: +0,0.153,43
Dec 05 2014 01: +0,0.159,53
Dec 06 2014 01: +0,0.171,72
Dec 07 2014 01: +0,0.154,58
Dec 08 2014 01: +0,0.167,37
Dec 09 2014 01: +0,0.167,47
Dec 10 2014 01: +0,0.16,69
Dec 11 2014 01: +0,0.174,44
Dec 12 2014 01: +0,0.151,58
Dec 13 2014 01: +0,0.177,60
Dec 14 2014 01: +0,0.171,56
Dec 15 2014 01: +0,0.153,53
Dec 16 2014 01: +0,0.134,62
Dec 17 2014 01: +0,0.144,49
Dec 18 2014 01: +0,0.15,64
Dec 19 2014 01: +0,0.152,69
Dec 20 2014 01: +0,0.164,90
Dec 21 2014 01: +0,0.132,72
Dec 22 2014 01: +0,0.135,59
Dec 23 2014 01: +0,0.134,69
Dec 24 2014 01: +0,0.142,59
Dec 25 2014 01: +0,0.167,58
Dec 26 2014 01: +0,0.174,71
Dec 27 2014 01: +0,0.173,75
Dec 28 2014 01: +0,0.173,75
Dec 29 2014 01: +0,0.189,81
Dec 30 2014 01: +0,0.202,77
Dec 31 2014 01: +0,0.204,65
Jan 01 2015 01: +0,0.18,60
Jan 02 2015 01: +0,0.176,96
Jan 03 2015 01: +0,0.217,94
Jan 04 2015 01: +0,0.251,84
Jan 05 2015 01: +0,0.22,81
Jan 06 2015 01: +0,0.206,97
Jan 07 2015 01: +0,0.219,69
Jan 08 2015 01: +0,0.187,81
Jan 09 2015 01: +0,0.19,90
Jan 10 2015 01: +0,0.167,103
Jan 11 2015 01: +0,0.189,121
Jan 12 2015 01: +0,0.167,80
Jan 13 2015 01: +0,0.185,95
Jan 14 2015 01: +0,0.204,91
Jan 15 2015 01: +0,0.179,78
Jan 16 2015 01: +0,0.179,73
Jan 17 2015 01: +0,0.148,119
Jan 18 2015 01: +0,0.156,116
Jan 19 2015 01: +0,0.177,111
Jan 20 2015 01: +0,0.166,95
Jan 21 2015 01: +0,0.155,95
Jan 22 2015 01: +0,0.139,108
Jan 23 2015 01: +0,0.146,117
Jan 24 2015 01: +0,0.16,109
Jan 25 2015 01: +0,0.154,124
Jan 26 2015 01: +0,0.153,90
Jan 27 2015 01: +0,0.145,97
Jan 28 2015 01: +0,0.143,103
Jan 29 2015 01: +0,0.135,88
Jan 30 2015 01: +0,0.135,108
Jan 31 2015 01: +0,0.147,159
Feb 01 2015 01: +0,0.136,115
Feb 02 2015 01: +0,0.133,88
Feb 03 2015 01: +0,0.123,93
Feb 04 2015 01: +0,1.075,90
Feb 05 2015 01: +0,0.141,106
Feb 06 2015 01: +0,0.135,100
Feb 07 2015 01: +0,0.138,101
Feb 08 2015 01: +0,0.124,108
Feb 09 2015 01: +0,0.127,85
Feb 10 2015 01: +0,0.116,81
Feb 11 2015 01: +0,0.116,108
Feb 12 2015 01: +0,0.126,84
Feb 13 2015 01: +0,0.125,72
Feb 14 2015 01: +0,0.127,114
Feb 15 2015 01: +0,0.126,114
Feb 16 2015 01: +0,0.129,78
Feb 17 2015 01: +0,0.146,80
Feb 18 2015 01: +0,0.123,110
Feb 19 2015 01: +0,0.119,86
Feb 20 2015 01: +0,0.125,93
Feb 21 2015 01: +0,0.118,92
Feb 22 2015 01: +0,0.111,90
