Nov 12 2014 01: +0,2.384,2613
Nov 13 2014 01: +0,2.103,1869
Nov 14 2014 01: +0,1.915,1657
Nov 15 2014 01: +0,1.772,1674
Nov 16 2014 01: +0,1.527,1503
Nov 17 2014 01: +0,1.462,1158
Nov 18 2014 01: +0,1.38,1059
Nov 19 2014 01: +0,1.354,967
Nov 20 2014 01: +0,1.207,1046
Nov 21 2014 01: +0,1.052,1273
Nov 22 2014 01: +0,1.033,1341
Nov 23 2014 01: +0,0.998,1254
Nov 24 2014 01: +0,0.999,962
Nov 25 2014 01: +0,1.017,966
Nov 26 2014 01: +0,0.985,1116
Nov 27 2014 01: +0,0.906,1356
Nov 28 2014 01: +0,1.055,1261
Nov 29 2014 01: +0,2.629,60
Nov 30 2014 01: +0,1.514,2003
Dec 01 2014 01: +0,0.921,1339
Dec 02 2014 01: +0,0.95,1160
Dec 03 2014 01: +0,1.063,1096
Dec 04 2014 01: +0,1.071,1070
Dec 05 2014 01: +0,1.078,1316
Dec 06 2014 01: +0,1.104,1648
Dec 07 2014 01: +0,1.07,1551
Dec 08 2014 01: +0,1.017,1238
Dec 09 2014 01: +0,0.986,1281
Dec 10 2014 01: +0,0.795,2234
Dec 11 2014 01: +0,0.858,1588
Dec 12 2014 01: +0,0.913,1522
Dec 13 2014 01: +0,0.903,1910
Dec 14 2014 01: +0,0.903,1811
Dec 15 2014 01: +0,0.868,1482
Dec 16 2014 01: +0,0.841,1475
Dec 17 2014 01: +0,0.845,1503
Dec 18 2014 01: +0,0.832,1421
Dec 19 2014 01: +0,0.827,1764
Dec 20 2014 01: +0,0.818,1650
Dec 21 2014 01: +0,0.798,1684
Dec 22 2014 01: +0,0.83,1702
Dec 23 2014 01: +0,0.859,1457
Dec 24 2014 01: +0,0.842,1593
Dec 25 2014 01: +0,0.903,1875
Dec 26 2014 01: +0,0.939,1906
Dec 27 2014 01: +0,0.914,2082
Dec 28 2014 01: +0,0.917,1909
Dec 29 2014 01: +0,0.908,1988
Dec 30 2014 01: +0,0.907,2063
Dec 31 2014 01: +0,0.918,1895
Jan 01 2015 01: +0,0.861,1750
Jan 02 2015 01: +0,0.872,2423
Jan 03 2015 01: +0,0.902,2243
Jan 04 2015 01: +0,0.9,2258
Jan 05 2015 01: +0,0.898,2150
Jan 06 2015 01: +0,0.906,1978
Jan 07 2015 01: +0,0.982,1552
Jan 08 2015 01: +0,0.925,2207
Jan 09 2015 01: +0,0.882,2977
Jan 10 2015 01: +0,0.868,2940
Jan 11 2015 01: +0,0.826,3054
Jan 12 2015 01: +0,0.816,2494
Jan 13 2015 01: +0,0.815,2365
Jan 14 2015 01: +0,0.808,2438
Jan 15 2015 01: +0,0.807,2408
Jan 16 2015 01: +0,0.792,2594
Jan 17 2015 01: +0,0.781,2639
Jan 18 2015 01: +0,0.769,2797
Jan 19 2015 01: +0,0.756,2554
Jan 20 2015 01: +0,0.75,2281
Jan 21 2015 01: +0,0.746,2125
Jan 22 2015 01: +0,0.749,2250
Jan 23 2015 01: +0,0.769,2532
Jan 24 2015 01: +0,0.812,2632
Jan 25 2015 01: +0,0.712,2882
Jan 26 2015 01: +0,0.704,2352
Jan 27 2015 01: +0,0.702,2212
Jan 28 2015 01: +0,0.688,2297
Jan 29 2015 01: +0,0.684,2252
Jan 30 2015 01: +0,0.68,2636
Jan 31 2015 01: +0,0.712,2739
Feb 01 2015 01: +0,0.685,2896
Feb 02 2015 01: +0,0.681,2264
Feb 03 2015 01: +0,0.677,2175
Feb 04 2015 01: +0,0.707,2026
Feb 05 2015 01: +0,0.703,2011
Feb 06 2015 01: +0,0.665,2340
Feb 07 2015 01: +0,0.688,2785
Feb 08 2015 01: +0,0.652,2693
Feb 09 2015 01: +0,0.679,2071
Feb 10 2015 01: +0,0.688,1906
Feb 11 2015 01: +0,0.678,2020
Feb 12 2015 01: +0,0.666,2132
Feb 13 2015 01: +0,0.658,2425
Feb 14 2015 01: +0,0.699,2596
Feb 15 2015 01: +0,0.669,2707
Feb 16 2015 01: +0,0.65,2390
Feb 17 2015 01: +0,0.646,2114
Feb 18 2015 01: +0,0.652,2053
Feb 19 2015 01: +0,0.638,2182
Feb 20 2015 01: +0,0.64,2418
Feb 21 2015 01: +0,0.667,2235
Feb 22 2015 01: +0,0.66,2300
Feb 23 2015 01: +0,0.643,2034
Feb 24 2015 01: +0,0.647,1907
Feb 25 2015 01: +0,0.655,1863
Feb 26 2015 01: +0,0.661,1960
Feb 27 2015 01: +0,0.614,2566
Feb 28 2015 01: +0,0.607,2618
Mar 01 2015 01: +0,0.604,2584
Mar 02 2015 01: +0,0.613,1955
Mar 03 2015 01: +0,0.621,1951
Mar 04 2015 01: +0,0.616,2006
Mar 05 2015 01: +0,0.602,2070
Mar 06 2015 01: +0,0.61,2396
Mar 07 2015 01: +0,0.588,2780
Mar 08 2015 01: +0,0.577,2584
Mar 09 2015 01: +0,0.564,2053
Mar 10 2015 01: +0,0.562,2056
Mar 11 2015 01: +0,0.562,1817
Mar 12 2015 01: +0,0.558,1912
Mar 13 2015 01: +0,0.536,2612
Mar 14 2015 01: +0,0.54,3333
Mar 15 2015 01: +0,0.486,3174
Mar 16 2015 01: +0,0.471,2407
Mar 17 2015 01: +0,0.531,2031
Mar 18 2015 01: +0,0.564,1919
Mar 19 2015 01: +0,0.577,1945
Mar 20 2015 01: +0,0.576,2246
Mar 21 2015 01: +0,0.578,2772
Mar 22 2015 01: +0,0.579,2420
Mar 23 2015 01: +0,0.571,2198
Mar 24 2015 01: +0,0.586,1985
Mar 25 2015 01: +0,0.604,1983
Mar 26 2015 01: +0,0.602,2124
Mar 27 2015 01: +0,0.604,2222
Mar 28 2015 01: +0,0.593,2627
Mar 29 2015 01: +0,0.576,2635
Mar 30 2015 01: +0,0.563,2327
Mar 31 2015 01: +0,0.577,2127
Apr 01 2015 01: +0,0.569,3201
Apr 02 2015 01: +0,0.616,2443
Apr 03 2015 01: +0,0.656,2408
Apr 04 2015 01: +0,0.634,2932
Apr 05 2015 01: +0,0.63,2631
Apr 06 2015 01: +0,0.636,2393
Apr 07 2015 01: +0,0.672,2371
Apr 08 2015 01: +0,0.673,2185
Apr 09 2015 01: +0,0.663,2161
Apr 10 2015 01: +0,0.676,1949
Apr 11 2015 01: +0,0.669,2737
Apr 12 2015 01: +0,0.659,2521
Apr 13 2015 01: +0,0.642,1908
Apr 14 2015 01: +0,0.604,1874
Apr 15 2015 01: +0,0.612,1813
Apr 16 2015 01: +0,0.549,2421
Apr 17 2015 01: +0,0.547,2787
Apr 18 2015 01: +0,0.563,3131
Apr 19 2015 01: +0,0.575,2380
Apr 20 2015 01: +0,0.544,2597
Apr 21 2015 01: +0,0.56,2242
Apr 22 2015 01: +0,0.578,2159
Apr 23 2015 01: +0,0.587,2155
Apr 24 2015 01: +0,0.585,2388
Apr 25 2015 01: +0,0.597,3030
Apr 26 2015 01: +0,0.603,2829
Apr 27 2015 01: +0,0.61,2202
Apr 28 2015 01: +0,0.618,2077
Apr 29 2015 01: +0,0.649,2030
Apr 30 2015 01: +0,0.654,2283
May 01 2015 01: +0,0.65,2386
May 02 2015 01: +0,0.638,2751
May 03 2015 01: +0,0.629,2637
May 04 2015 01: +0,0.605,2394
May 05 2015 01: +0,0.613,2175
May 06 2015 01: +0,0.627,2024
May 07 2015 01: +0,0.64,1915
May 08 2015 01: +0,0.629,2485
May 09 2015 01: +0,0.652,2637
May 10 2015 01: +0,0.638,2440
May 11 2015 01: +0,0.63,2070
May 12 2015 01: +0,0.667,1902
May 13 2015 01: +0,0.671,2046
May 14 2015 01: +0,0.687,1961
May 15 2015 01: +0,0.723,1924
May 16 2015 01: +0,0.738,2349
May 17 2015 01: +0,0.711,2355
May 18 2015 01: +0,0.705,1888
