Aug 15 2013 01: +0,1.865,4
Aug 16 2013 01: +0,1.107,6
Aug 17 2013 01: +0,0.863,19
Aug 18 2013 01: +0,0.842,13
Aug 19 2013 01: +0,0.733,18
Aug 20 2013 01: +0,0.757,14
Aug 21 2013 01: +0,0.546,14
Aug 22 2013 01: +0,0.671,13
Aug 23 2013 01: +0,0.491,25
Aug 24 2013 01: +0,1.133,24
Aug 25 2013 01: +0,0.495,22
Aug 26 2013 01: +0,0.469,23
Aug 27 2013 01: +0,0.488,12
Aug 28 2013 01: +0,0.433,18
Aug 29 2013 01: +0,0.431,24
Aug 30 2013 01: +0,0.467,23
Aug 31 2013 01: +0,0.424,26
Sep 01 2013 01: +0,0.339,36
Sep 02 2013 01: +0,0.379,34
Sep 03 2013 01: +0,0.43,26
Sep 04 2013 01: +0,0.402,11
Sep 05 2013 01: +0,0.357,19
Sep 06 2013 01: +0,0.385,16
Sep 07 2013 01: +0,0.334,34
Sep 08 2013 01: +0,0.387,25
Sep 09 2013 01: +0,0.383,12
Sep 10 2013 01: +0,0.333,18
Sep 11 2013 01: +0,0.321,17
Sep 12 2013 01: +0,0.322,21
Sep 13 2013 01: +0,0.305,22
Sep 14 2013 01: +0,0.308,28
Sep 15 2013 01: +0,0.273,20
Sep 16 2013 01: +0,0.235,18
Sep 17 2013 01: +0,0.21,21
Sep 18 2013 01: +0,0.238,23
Sep 19 2013 01: +0,0.227,22
Sep 20 2013 01: +0,0.253,40
Sep 21 2013 01: +0,0.185,26
Sep 22 2013 01: +0,0.186,35
Sep 23 2013 01: +0,0.154,20
Sep 24 2013 01: +0,0.306,19
Sep 25 2013 01: +0,0.204,23
Sep 26 2013 01: +0,0.191,27
Sep 27 2013 01: +0,0.19,46
Sep 28 2013 01: +0,0.199,31
Sep 29 2013 01: +0,0.181,30
Sep 30 2013 01: +0,0.173,14
Oct 01 2013 01: +0,0.161,22
Oct 02 2013 01: +0,0.151,18
Oct 03 2013 01: +0,0.188,29
Oct 04 2013 01: +0,0.187,18
Oct 05 2013 01: +0,0.166,26
Oct 06 2013 01: +0,0.171,25
Oct 07 2013 01: +0,0.166,15
Oct 08 2013 01: +0,0.142,17
Oct 09 2013 01: +0,0.139,20
Oct 10 2013 01: +0,0.136,30
Oct 11 2013 01: +0,0.128,22
Oct 12 2013 01: +0,0.135,50
Oct 13 2013 01: +0,0.159,37
Oct 14 2013 01: +0,0.15,18
Oct 15 2013 01: +0,0.135,20
Oct 16 2013 01: +0,0.143,29
Oct 17 2013 01: +0,0.129,18
Oct 18 2013 01: +0,0.144,26
Oct 19 2013 01: +0,0.128,31
Oct 20 2013 01: +0,0.132,29
Oct 21 2013 01: +0,0.142,23
Oct 22 2013 01: +0,0.117,23
Oct 23 2013 01: +0,0.109,23
Oct 24 2013 01: +0,0.122,16
Oct 25 2013 01: +0,0.234,27
Oct 26 2013 01: +0,0.104,24
Oct 27 2013 01: +0,0.127,36
Oct 28 2013 01: +0,0.123,16
Oct 29 2013 01: +0,0.109,36
