Mar 16 2017 01: +0,5.804,400
Mar 17 2017 01: +0,4.67,332
Mar 18 2017 01: +0,3.775,419
Mar 19 2017 01: +0,3.452,386
Mar 20 2017 01: +0,3.46,368
Mar 21 2017 01: +0,3.315,262
Mar 22 2017 01: +0,3.401,243
Mar 23 2017 01: +0,3.128,296
Mar 24 2017 01: +0,3.143,304
Mar 25 2017 01: +0,2.978,388
Mar 26 2017 01: +0,2.707,313
Mar 27 2017 01: +0,2.613,276
Mar 28 2017 01: +0,2.697,247
Mar 29 2017 01: +0,2.672,213
Mar 30 2017 01: +0,2.523,203
Mar 31 2017 01: +0,2.507,244
Apr 01 2017 01: +0,2.569,263
Apr 02 2017 01: +0,2.249,290
Apr 03 2017 01: +0,2.166,278
Apr 04 2017 01: +0,2.301,273
Apr 05 2017 01: +0,2.419,277
Apr 06 2017 01: +0,2.226,218
Apr 07 2017 01: +0,2.209,296
Apr 08 2017 01: +0,2.207,277
Apr 09 2017 01: +0,2.192,294
Apr 10 2017 01: +0,2.075,287
Apr 11 2017 01: +0,1.995,220
Apr 12 2017 01: +0,2.031,240
Apr 13 2017 01: +0,2.031,263
Apr 14 2017 01: +0,1.962,265
Apr 15 2017 01: +0,1.991,251
Apr 16 2017 01: +0,1.979,254
Apr 17 2017 01: +0,1.991,266
Apr 18 2017 01: +0,2.039,262
Apr 19 2017 01: +0,2.028,191
Apr 20 2017 01: +0,1.953,198
Apr 21 2017 01: +0,1.951,224
Apr 22 2017 01: +0,1.957,243
Apr 23 2017 01: +0,2.081,289
Apr 24 2017 01: +0,1.945,204
Apr 25 2017 01: +0,1.843,202
Apr 26 2017 01: +0,1.834,224
Apr 27 2017 01: +0,1.895,224
Apr 28 2017 01: +0,1.888,219
Apr 29 2017 01: +0,1.896,234
Apr 30 2017 01: +0,1.84,258
May 01 2017 01: +0,1.85,292
May 02 2017 01: +0,1.833,217
May 03 2017 01: +0,1.703,211
May 04 2017 01: +0,1.706,246
May 05 2017 01: +0,1.753,227
May 06 2017 01: +0,1.685,217
May 07 2017 01: +0,1.714,233
May 08 2017 01: +0,1.66,223
May 09 2017 01: +0,1.716,231
May 10 2017 01: +0,1.699,196
May 11 2017 01: +0,1.688,170
May 12 2017 01: +0,1.681,218
May 13 2017 01: +0,1.674,241
May 14 2017 01: +0,1.674,276
May 15 2017 01: +0,1.699,233
May 16 2017 01: +0,1.728,214
May 17 2017 01: +0,1.72,214
May 18 2017 01: +0,1.634,164
May 19 2017 01: +0,1.653,256
May 20 2017 01: +0,1.627,236
May 21 2017 01: +0,1.608,235
May 22 2017 01: +0,1.557,207
May 23 2017 01: +0,1.542,179
May 24 2017 01: +0,1.22,257
May 25 2017 01: +0,1.211,277
May 26 2017 01: +0,1.331,274
May 27 2017 01: +0,1.344,259
May 28 2017 01: +0,1.384,242
May 29 2017 01: +0,1.388,213
May 30 2017 01: +0,1.416,257
May 31 2017 01: +0,1.452,277
Jun 01 2017 01: +0,1.447,258
Jun 02 2017 01: +0,1.566,281
Jun 03 2017 01: +0,1.529,199
Jun 04 2017 01: +0,1.471,230
Jun 05 2017 01: +0,1.423,243
Jun 06 2017 01: +0,1.426,227
Jun 07 2017 01: +0,1.379,240
Jun 08 2017 01: +0,1.39,230
Jun 09 2017 01: +0,1.442,280
Jun 10 2017 01: +0,1.394,180
Jun 11 2017 01: +0,1.349,207
Jun 12 2017 01: +0,1.283,193
Jun 13 2017 01: +0,1.334,198
Jun 14 2017 01: +0,1.315,185
Jun 15 2017 01: +0,1.33,216
Jun 16 2017 01: +0,1.321,170
Jun 17 2017 01: +0,1.302,142
Jun 18 2017 01: +0,1.27,157
Jun 19 2017 01: +0,1.281,208
Jun 20 2017 01: +0,1.312,270
Jun 21 2017 01: +0,1.314,144
Jun 22 2017 01: +0,1.148,172
Jun 23 2017 01: +0,1.074,236
Jun 24 2017 01: +0,1.11,192
Jun 25 2017 01: +0,1.108,179
Jun 26 2017 01: +0,1.105,194
Jun 27 2017 01: +0,1.139,249
Jun 28 2017 01: +0,1.149,179
Jun 29 2017 01: +0,1.171,197
Jun 30 2017 01: +0,1.185,137
Jul 01 2017 01: +0,1.162,157
Jul 02 2017 01: +0,1.148,200
Jul 03 2017 01: +0,1.138,207
Jul 04 2017 01: +0,1.129,186
Jul 05 2017 01: +0,1.095,165
Jul 06 2017 01: +0,1.191,217
Jul 07 2017 01: +0,1.155,205
Jul 08 2017 01: +0,1.164,213
Jul 09 2017 01: +0,1.177,186
Jul 10 2017 01: +0,1.161,188
Jul 11 2017 01: +0,1.188,163
Jul 12 2017 01: +0,1.159,172
Jul 13 2017 01: +0,1.181,150
Jul 14 2017 01: +0,1.187,203
Jul 15 2017 01: +0,1.199,171
Jul 16 2017 01: +0,1.185,185
Jul 17 2017 01: +0,1.133,206
Jul 18 2017 01: +0,1.193,202
Jul 19 2017 01: +0,1.18,190
Jul 20 2017 01: +0,1.184,219
Jul 21 2017 01: +0,1.195,189
Jul 22 2017 01: +0,1.21,249
Jul 23 2017 01: +0,1.209,239
Jul 24 2017 01: +0,1.209,233
Jul 25 2017 01: +0,1.274,175
Jul 26 2017 01: +0,1.257,244
Jul 27 2017 01: +0,1.272,235
Jul 28 2017 01: +0,1.296,252
Jul 29 2017 01: +0,1.31,202
Jul 30 2017 01: +0,1.309,216
Jul 31 2017 01: +0,1.288,161
Aug 01 2017 01: +0,1.302,235
Aug 02 2017 01: +0,1.262,214
Aug 03 2017 01: +0,1.274,211
Aug 04 2017 01: +0,1.261,209
Aug 05 2017 01: +0,1.23,265
Aug 06 2017 01: +0,1.237,267
Aug 07 2017 01: +0,1.208,187
Aug 08 2017 01: +0,1.207,204
Aug 09 2017 01: +0,1.245,265
Aug 10 2017 01: +0,1.242,209
Aug 11 2017 01: +0,1.25,189
Aug 12 2017 01: +0,1.228,190
Aug 13 2017 01: +0,1.25,222
Aug 14 2017 01: +0,1.239,165
Aug 15 2017 01: +0,1.23,186
Aug 16 2017 01: +0,1.216,231
Aug 17 2017 01: +0,1.223,196
Aug 18 2017 01: +0,1.211,196
Aug 19 2017 01: +0,1.211,218
Aug 20 2017 01: +0,1.173,180
Aug 21 2017 01: +0,1.144,210
Aug 22 2017 01: +0,1.153,169
Aug 23 2017 01: +0,1.116,155
Aug 24 2017 01: +0,1.088,175
Aug 25 2017 01: +0,1.119,168
Aug 26 2017 01: +0,1.101,173
Aug 27 2017 01: +0,1.125,198
Aug 28 2017 01: +0,1.107,179
Aug 29 2017 01: +0,1.121,155
Aug 30 2017 01: +0,1.123,186
Aug 31 2017 01: +0,1.184,165
Sep 01 2017 01: +0,1.213,219
Sep 02 2017 01: +0,1.207,196
Sep 03 2017 01: +0,1.233,208
Sep 04 2017 01: +0,1.194,210
Sep 05 2017 01: +0,1.188,140
Sep 06 2017 01: +0,1.193,228
Sep 07 2017 01: +0,1.145,181
Sep 08 2017 01: +0,1.202,173
Sep 09 2017 01: +0,1.196,170
Sep 10 2017 01: +0,1.18,191
Sep 11 2017 01: +0,1.192,173
Sep 12 2017 01: +0,1.161,133
Sep 13 2017 01: +0,1.188,179
Sep 14 2017 01: +0,1.144,153
Sep 15 2017 01: +0,1.159,205
Sep 16 2017 01: +0,1.166,224
Sep 17 2017 01: +0,1.132,163
Sep 18 2017 01: +0,1.112,176
Sep 19 2017 01: +0,1.107,166
Sep 20 2017 01: +0,1.081,125
Sep 21 2017 01: +0,1.102,113
Sep 22 2017 01: +0,1.09,183
Sep 23 2017 01: +0,1.116,185
Sep 24 2017 01: +0,1.111,175
Sep 25 2017 01: +0,1.074,132
Sep 26 2017 01: +0,1.075,128
Sep 27 2017 01: +0,1.068,114
Sep 28 2017 01: +0,1.009,117
Sep 29 2017 01: +0,1.08,169
Sep 30 2017 01: +0,1.087,152
Oct 01 2017 01: +0,1.024,148
Oct 02 2017 01: +0,1.094,157
Oct 03 2017 01: +0,1.108,106
Oct 04 2017 01: +0,1.065,107
Oct 05 2017 01: +0,1.047,140
Oct 06 2017 01: +0,1.013,89
Oct 07 2017 01: +0,1.019,132
Oct 08 2017 01: +0,1.016,151
Oct 09 2017 01: +0,1.072,136
Oct 10 2017 01: +0,1.033,99
