Sep 20 2013 01: +0,0.952,3
Sep 21 2013 01: +0,0.291,29
Sep 22 2013 01: +0,0.164,37
Sep 23 2013 01: +0,0.185,25
Sep 24 2013 01: +0,0.17,22
Sep 25 2013 01: +0,0.178,23
Sep 26 2013 01: +0,0.156,16
Sep 27 2013 01: +0,0.188,36
Sep 28 2013 01: +0,0.163,32
Sep 29 2013 01: +0,0.126,56
Sep 30 2013 01: +0,0.133,27
Oct 01 2013 01: +0,0.131,35
Oct 02 2013 01: +0,0.114,25
Oct 03 2013 01: +0,0.126,24
Oct 04 2013 01: +0,0.096,28
Oct 05 2013 01: +0,0.092,63
Oct 06 2013 01: +0,0.089,44
Oct 07 2013 01: +0,0.07,39
Oct 08 2013 01: +0,0.066,32
Oct 09 2013 01: +0,0.077,36
Oct 10 2013 01: +0,0.063,50
Oct 11 2013 01: +0,0.079,41
Oct 12 2013 01: +0,0.073,51
Oct 13 2013 01: +0,0.074,61
Oct 14 2013 01: +0,0.064,61
Oct 15 2013 01: +0,0.059,41
Oct 16 2013 01: +0,0.05,59
Oct 17 2013 01: +0,0.062,32
Oct 18 2013 01: +0,0.058,38
Oct 19 2013 01: +0,0.066,54
Oct 20 2013 01: +0,0.056,63
Oct 21 2013 01: +0,0.051,67
Oct 22 2013 01: +0,0.082,52
Oct 23 2013 01: +0,0.052,67
Oct 24 2013 01: +0,0.059,55
Oct 25 2013 01: +0,0.044,43
Oct 26 2013 01: +0,0.045,71
Oct 27 2013 01: +0,0.052,63
Oct 28 2013 01: +0,0.05,69
Oct 29 2013 01: +0,0.052,65
Oct 30 2013 01: +0,0.048,73
Oct 31 2013 01: +0,0.046,47
Nov 01 2013 01: +0,0.032,62
Nov 02 2013 01: +0,0.042,54
Nov 03 2013 01: +0,0.045,53
Nov 04 2013 01: +0,0.035,49
Nov 05 2013 01: +0,0.048,76
Nov 06 2013 01: +0,0.039,63
Nov 07 2013 01: +0,0.039,33
Nov 08 2013 01: +0,0.033,80
Nov 09 2013 01: +0,0.032,80
Nov 10 2013 01: +0,0.035,72
Nov 11 2013 01: +0,0.03,81
Nov 12 2013 01: +0,0.034,58
Nov 13 2013 01: +0,0.03,31
Nov 14 2013 01: +0,0.03,71
Nov 15 2013 01: +0,0.032,55
Nov 16 2013 01: +0,0.042,66
Nov 17 2013 01: +0,0.039,63
Nov 18 2013 01: +0,0.036,58
Nov 19 2013 01: +0,0.03,46
Nov 20 2013 01: +0,0.03,58
Nov 21 2013 01: +0,0.034,36
Nov 22 2013 01: +0,0.03,59
Nov 23 2013 01: +0,0.03,70
Nov 24 2013 01: +0,0.03,53
Nov 25 2013 01: +0,0.031,67
Nov 26 2013 01: +0,0.03,40
Nov 27 2013 01: +0,0.034,60
Nov 28 2013 01: +0,0.03,63
Nov 29 2013 01: +0,0.032,77
Nov 30 2013 01: +0,0.166,124
Dec 01 2013 01: +0,0.034,93
Dec 02 2013 01: +0,0.032,104
Dec 03 2013 01: +0,0.03,65
Dec 04 2013 01: +0,0.04,73
Dec 05 2013 01: +0,0.035,57
Dec 06 2013 01: +0,0.031,73
Dec 07 2013 01: +0,0.038,99
Dec 08 2013 01: +0,0.036,122
Dec 09 2013 01: +0,0.03,87
Dec 10 2013 01: +0,0.03,61
Dec 11 2013 01: +0,0.03,62
Dec 12 2013 01: +0,0.03,76
Dec 13 2013 01: +0,0.03,85
Dec 14 2013 01: +0,0.03,98
Dec 15 2013 01: +0,0.03,89
Dec 16 2013 01: +0,0.187,90
Dec 17 2013 01: +0,0.033,95
Dec 18 2013 01: +0,0.03,68
Dec 19 2013 01: +0,0.03,75
Dec 20 2013 01: +0,0.03,76
Dec 21 2013 01: +0,0.03,145
Dec 22 2013 01: +0,0.032,134
Dec 23 2013 01: +0,0.03,109
Dec 24 2013 01: +0,0.03,99
Dec 25 2013 01: +0,0.033,75
Dec 26 2013 01: +0,0.032,90
Dec 27 2013 01: +0,0.031,96
Dec 28 2013 01: +0,0.034,128
Dec 29 2013 01: +0,0.03,140
Dec 30 2013 01: +0,0.032,116
Dec 31 2013 01: +0,0.032,115
Jan 01 2014 01: +0,0.032,103
Jan 02 2014 01: +0,0.031,112
Jan 03 2014 01: +0,0.03,86
Jan 04 2014 01: +0,0.03,160
Jan 05 2014 01: +0,0.034,162
Jan 06 2014 01: +0,0.031,139
Jan 07 2014 01: +0,0.03,138
Jan 08 2014 01: +0,0.03,106
Jan 09 2014 01: +0,0.033,185
Jan 10 2014 01: +0,0.03,122
Jan 11 2014 01: +0,0.03,104
Jan 12 2014 01: +0,0.03,120
Jan 13 2014 01: +0,0.03,148
