May 27 2015 01: +0,5.644,1550
May 28 2015 01: +0,4.637,1522
May 29 2015 01: +0,4.957,1182
May 30 2015 01: +0,5.316,964
May 31 2015 01: +0,5.461,765
Jun 01 2015 01: +0,5.375,678
Jun 02 2015 01: +0,5.52,585
Jun 03 2015 01: +0,4.465,901
Jun 04 2015 01: +0,3.146,1307
Jun 05 2015 01: +0,3.011,1228
Jun 06 2015 01: +0,2.961,1179
Jun 07 2015 01: +0,3.053,1090
Jun 08 2015 01: +0,3.082,975
Jun 09 2015 01: +0,3.242,857
Jun 10 2015 01: +0,3.082,1015
Jun 11 2015 01: +0,2.488,1098
Jun 12 2015 01: +0,2.135,1316
Jun 13 2015 01: +0,2.184,1352
Jun 14 2015 01: +0,2.044,1311
Jun 15 2015 01: +0,2.038,1280
Jun 16 2015 01: +0,2.065,1083
Jun 17 2015 01: +0,1.968,1197
Jun 18 2015 01: +0,1.958,1271
Jun 19 2015 01: +0,1.792,1531
Jun 20 2015 01: +0,1.808,1438
Jun 21 2015 01: +0,1.683,1463
Jun 22 2015 01: +0,1.647,1496
Jun 23 2015 01: +0,1.731,1437
Jun 24 2015 01: +0,1.81,1490
Jun 25 2015 01: +0,1.795,1529
Jun 26 2015 01: +0,1.799,1656
Jun 27 2015 01: +0,1.793,1663
Jun 28 2015 01: +0,1.744,1678
Jun 29 2015 01: +0,1.722,1668
Jun 30 2015 01: +0,1.679,1595
Jul 01 2015 01: +0,1.708,1610
Jul 02 2015 01: +0,1.68,1541
Jul 03 2015 01: +0,1.661,1539
Jul 04 2015 01: +0,1.609,1640
Jul 05 2015 01: +0,1.564,1595
Jul 06 2015 01: +0,1.552,1719
Jul 07 2015 01: +0,1.518,1752
Jul 08 2015 01: +0,1.459,1687
Jul 09 2015 01: +0,1.481,1807
Jul 10 2015 01: +0,1.484,1674
Jul 11 2015 01: +0,1.443,1819
Jul 12 2015 01: +0,1.432,1807
Jul 13 2015 01: +0,1.412,1893
Jul 14 2015 01: +0,1.375,1855
Jul 15 2015 01: +0,1.357,1892
Jul 16 2015 01: +0,1.332,1974
Jul 17 2015 01: +0,1.325,1856
Jul 18 2015 01: +0,1.324,1775
Jul 19 2015 01: +0,1.298,1867
Jul 20 2015 01: +0,1.299,2139
Jul 21 2015 01: +0,1.259,2142
Jul 22 2015 01: +0,1.28,1779
Jul 23 2015 01: +0,1.21,2278
Jul 24 2015 01: +0,1.19,2056
Jul 25 2015 01: +0,1.23,2012
Jul 26 2015 01: +0,1.214,1990
Jul 27 2015 01: +0,1.209,2193
Jul 28 2015 01: +0,1.18,2053
Jul 29 2015 01: +0,1.133,2006
Jul 30 2015 01: +0,1.119,2030
Jul 31 2015 01: +0,1.055,2216
Aug 01 2015 01: +0,1.014,2151
Aug 02 2015 01: +0,1.01,2287
Aug 03 2015 01: +0,1.01,2250
Aug 04 2015 01: +0,1.018,2122
Aug 05 2015 01: +0,1.008,2248
Aug 06 2015 01: +0,0.991,2182
Aug 07 2015 01: +0,0.963,2136
Aug 08 2015 01: +0,0.966,2074
Aug 09 2015 01: +0,0.949,2200
Aug 10 2015 01: +0,0.942,2197
Aug 11 2015 01: +0,0.943,2229
Aug 12 2015 01: +0,0.934,2211
Aug 13 2015 01: +0,0.926,2094
Aug 14 2015 01: +0,0.902,2215
Aug 15 2015 01: +0,0.664,2974
Aug 16 2015 01: +0,0.64,2563
Aug 17 2015 01: +0,0.667,2673
Aug 18 2015 01: +0,0.722,2491
Aug 19 2015 01: +0,0.742,2342
Aug 20 2015 01: +0,0.739,2682
Aug 21 2015 01: +0,0.694,2977
Aug 22 2015 01: +0,0.714,3021
Aug 23 2015 01: +0,0.605,3349
Aug 24 2015 01: +0,0.596,3100
Aug 25 2015 01: +0,0.699,2812
Aug 26 2015 01: +0,0.75,2671
Aug 27 2015 01: +0,0.77,2533
Aug 28 2015 01: +0,0.771,2601
Aug 29 2015 01: +0,0.779,2713
Aug 30 2015 01: +0,0.768,2765
Aug 31 2015 01: +0,0.777,2551
Sep 01 2015 01: +0,0.79,2696
Sep 02 2015 01: +0,0.813,2464
Sep 03 2015 01: +0,0.77,2326
Sep 04 2015 01: +0,0.759,2618
Sep 05 2015 01: +0,0.763,3265
Sep 06 2015 01: +0,0.763,2946
Sep 07 2015 01: +0,0.754,2399
Sep 08 2015 01: +0,0.753,2251
