Aug 15 2013 01: +0,2.004,29
Aug 16 2013 01: +0,1.073,83
Aug 17 2013 01: +0,0.772,115
Aug 18 2013 01: +0,0.698,142
Aug 19 2013 01: +0,0.738,154
Aug 20 2013 01: +0,0.65,120
Aug 21 2013 01: +0,0.56,136
Aug 22 2013 01: +0,0.441,201
Aug 23 2013 01: +0,0.34,237
Aug 24 2013 01: +0,0.281,230
Aug 25 2013 01: +0,0.243,245
Aug 26 2013 01: +0,0.261,203
Aug 27 2013 01: +0,0.233,163
Aug 28 2013 01: +0,0.218,177
Aug 29 2013 01: +0,0.193,173
Aug 30 2013 01: +0,0.146,203
Aug 31 2013 01: +0,0.114,254
Sep 01 2013 01: +0,0.104,237
Sep 02 2013 01: +0,0.104,183
Sep 03 2013 01: +0,0.095,169
Sep 04 2013 01: +0,0.112,158
Sep 05 2013 01: +0,0.101,122
Sep 06 2013 01: +0,0.087,162
Sep 07 2013 01: +0,0.081,211
Sep 08 2013 01: +0,0.072,224
Sep 09 2013 01: +0,0.065,166
Sep 10 2013 01: +0,0.052,136
Sep 11 2013 01: +0,0.054,125
Sep 12 2013 01: +0,0.087,244
Sep 13 2013 01: +0,0.124,470
Sep 14 2013 01: +0,0.113,253
Sep 15 2013 01: +0,0.097,248
Sep 16 2013 01: +0,0.08,151
Sep 17 2013 01: +0,0.073,239
Sep 18 2013 01: +0,0.072,148
Sep 19 2013 01: +0,0.087,133
Sep 20 2013 01: +0,0.169,514
Sep 21 2013 01: +0,0.168,293
Sep 22 2013 01: +0,0.157,247
Sep 23 2013 01: +0,0.156,188
Sep 24 2013 01: +0,0.132,166
Sep 25 2013 01: +0,0.14,161
Sep 26 2013 01: +0,0.141,159
Sep 27 2013 01: +0,0.146,184
Sep 28 2013 01: +0,0.144,193
Sep 29 2013 01: +0,0.138,202
Sep 30 2013 01: +0,0.129,194
Oct 01 2013 01: +0,0.127,160
Oct 02 2013 01: +0,0.127,146
Oct 03 2013 01: +0,0.139,177
Oct 04 2013 01: +0,0.127,159
Oct 05 2013 01: +0,0.122,170
Oct 06 2013 01: +0,0.112,205
Oct 07 2013 01: +0,0.115,163
Oct 08 2013 01: +0,0.113,169
Oct 09 2013 01: +0,0.111,115
Oct 10 2013 01: +0,0.108,130
Oct 11 2013 01: +0,0.098,137
Oct 12 2013 01: +0,0.092,152
Oct 13 2013 01: +0,0.104,202
Oct 14 2013 01: +0,0.099,171
Oct 15 2013 01: +0,0.101,114
Oct 16 2013 01: +0,0.097,158
Oct 17 2013 01: +0,0.1,120
Oct 18 2013 01: +0,0.135,104
Oct 19 2013 01: +0,0.111,128
Oct 20 2013 01: +0,0.106,192
Oct 21 2013 01: +0,0.097,120
Oct 22 2013 01: +0,0.094,117
Oct 23 2013 01: +0,0.097,143
Oct 24 2013 01: +0,0.095,157
Oct 25 2013 01: +0,0.09,139
Oct 26 2013 01: +0,0.096,190
Oct 27 2013 01: +0,0.094,198
Oct 28 2013 01: +0,0.096,176
Oct 29 2013 01: +0,0.104,131
Oct 30 2013 01: +0,0.092,120
Oct 31 2013 01: +0,0.085,140
Nov 01 2013 01: +0,0.089,106
Nov 02 2013 01: +0,0.096,109
Nov 03 2013 01: +0,0.089,140
Nov 04 2013 01: +0,0.084,133
Nov 05 2013 01: +0,0.083,107
Nov 06 2013 01: +0,0.081,107
Nov 07 2013 01: +0,0.103,60
Nov 08 2013 01: +0,0.093,127
Nov 09 2013 01: +0,0.079,148
Nov 10 2013 01: +0,0.073,136
Nov 11 2013 01: +0,0.067,128
Nov 12 2013 01: +0,0.075,131
Nov 13 2013 01: +0,0.068,102
Nov 14 2013 01: +0,0.057,79
Nov 15 2013 01: +0,0.068,94
Nov 16 2013 01: +0,0.069,118
Nov 17 2013 01: +0,0.066,99
Nov 18 2013 01: +0,0.061,95
Nov 19 2013 01: +0,0.062,65
Nov 20 2013 01: +0,0.074,62
Nov 21 2013 01: +0,0.075,105
Nov 22 2013 01: +0,0.066,80
Nov 23 2013 01: +0,0.072,87
Nov 24 2013 01: +0,0.076,107
Nov 25 2013 01: +0,0.058,100
Nov 26 2013 01: +0,0.068,99
Nov 27 2013 01: +0,0.056,71
Nov 28 2013 01: +0,0.069,93
Nov 29 2013 01: +0,0.076,129
Nov 30 2013 01: +0,0.082,104
Dec 01 2013 01: +0,0.081,177
Dec 02 2013 01: +0,0.084,146
Dec 03 2013 01: +0,0.08,121
Dec 04 2013 01: +0,0.09,108
Dec 05 2013 01: +0,0.085,116
Dec 06 2013 01: +0,0.094,143
Dec 07 2013 01: +0,0.08,175
Dec 08 2013 01: +0,0.082,161
Dec 09 2013 01: +0,0.085,134
Dec 10 2013 01: +0,0.079,125
Dec 11 2013 01: +0,0.075,160
Dec 12 2013 01: +0,0.079,120
Dec 13 2013 01: +0,0.074,116
Dec 14 2013 01: +0,0.074,159
Dec 15 2013 01: +0,0.076,162
Dec 16 2013 01: +0,0.069,127
Dec 17 2013 01: +0,0.069,177
Dec 18 2013 01: +0,0.067,102
Dec 19 2013 01: +0,0.057,150
Dec 20 2013 01: +0,0.048,147
Dec 21 2013 01: +0,0.068,173
Dec 22 2013 01: +0,0.064,141
Dec 23 2013 01: +0,0.075,139
Dec 24 2013 01: +0,0.084,150
Dec 25 2013 01: +0,0.083,127
Dec 26 2013 01: +0,0.086,158
Dec 27 2013 01: +0,0.084,173
Dec 28 2013 01: +0,0.086,140
Dec 29 2013 01: +0,0.09,155
Dec 30 2013 01: +0,0.087,157
Dec 31 2013 01: +0,0.097,149
Jan 01 2014 01: +0,0.09,135
Jan 02 2014 01: +0,0.087,193
Jan 03 2014 01: +0,0.096,174
Jan 04 2014 01: +0,0.095,210
Jan 05 2014 01: +0,0.098,220
Jan 06 2014 01: +0,0.1,146
Jan 07 2014 01: +0,0.107,153
Jan 08 2014 01: +0,0.098,117
Jan 09 2014 01: +0,0.099,177
Jan 10 2014 01: +0,0.103,191
Jan 11 2014 01: +0,0.107,174
Jan 12 2014 01: +0,0.094,164
Jan 13 2014 01: +0,0.09,153
Jan 14 2014 01: +0,0.093,144
Jan 15 2014 01: +0,0.102,115
Jan 16 2014 01: +0,0.089,124
Jan 17 2014 01: +0,0.101,137
Jan 18 2014 01: +0,0.114,240
Jan 19 2014 01: +0,0.103,199
Jan 20 2014 01: +0,0.101,134
Jan 21 2014 01: +0,0.112,181
Jan 22 2014 01: +0,0.099,122
Jan 23 2014 01: +0,0.101,156
Jan 24 2014 01: +0,0.102,124
Jan 25 2014 01: +0,0.098,157
Jan 26 2014 01: +0,0.093,204
Jan 27 2014 01: +0,0.086,152
Jan 28 2014 01: +0,0.087,198
Jan 29 2014 01: +0,0.09,181
Jan 30 2014 01: +0,0.085,162
Jan 31 2014 01: +0,0.083,185
Feb 01 2014 01: +0,0.084,229
Feb 02 2014 01: +0,0.08,198
Feb 03 2014 01: +0,0.074,159
Feb 04 2014 01: +0,0.073,174
Feb 05 2014 01: +0,0.078,171
Feb 06 2014 01: +0,0.085,137
Feb 07 2014 01: +0,0.081,171
Feb 08 2014 01: +0,0.083,188
Feb 09 2014 01: +0,0.08,187
Feb 10 2014 01: +0,0.066,157
Feb 11 2014 01: +0,0.075,163
Feb 12 2014 01: +0,0.065,134
Feb 13 2014 01: +0,0.062,136
Feb 14 2014 01: +0,0.067,144
Feb 15 2014 01: +0,0.061,153
Feb 16 2014 01: +0,0.06,211
Feb 17 2014 01: +0,0.062,156
Feb 18 2014 01: +0,0.064,167
Feb 19 2014 01: +0,0.052,155
Feb 20 2014 01: +0,0.067,172
Feb 21 2014 01: +0,0.054,181
Feb 22 2014 01: +0,0.051,193
Feb 23 2014 01: +0,0.064,168
Feb 24 2014 01: +0,0.071,129
Feb 25 2014 01: +0,0.064,123
Feb 26 2014 01: +0,0.063,124
Feb 27 2014 01: +0,0.069,164
Feb 28 2014 01: +0,0.059,183
Mar 01 2014 01: +0,0.061,205
Mar 02 2014 01: +0,0.066,152
Mar 03 2014 01: +0,0.069,150
Mar 04 2014 01: +0,0.066,114
Mar 05 2014 01: +0,0.071,129
Mar 06 2014 01: +0,0.082,90
Mar 07 2014 01: +0,0.068,155
Mar 08 2014 01: +0,0.065,183
Mar 09 2014 01: +0,0.062,145
Mar 10 2014 01: +0,0.062,132
Mar 11 2014 01: +0,0.063,115
Mar 12 2014 01: +0,0.064,115
Mar 13 2014 01: +0,0.065,72
Mar 14 2014 01: +0,0.082,95
Mar 15 2014 01: +0,0.068,147
Mar 16 2014 01: +0,0.063,179
Mar 17 2014 01: +0,0.062,176
Mar 18 2014 01: +0,0.069,128
Mar 19 2014 01: +0,0.069,113
Mar 20 2014 01: +0,0.072,160
Mar 21 2014 01: +0,0.072,105
Mar 22 2014 01: +0,0.076,181
Mar 23 2014 01: +0,0.087,199
Mar 24 2014 01: +0,0.076,143
Mar 25 2014 01: +0,0.068,128
Mar 26 2014 01: +0,0.079,149
Mar 27 2014 01: +0,0.077,129
Mar 28 2014 01: +0,0.08,128
Mar 29 2014 01: +0,0.08,160
Mar 30 2014 01: +0,0.079,176
Mar 31 2014 01: +0,0.087,163
Apr 01 2014 01: +0,0.088,77
Apr 02 2014 01: +0,0.084,153
Apr 03 2014 01: +0,0.081,114
Apr 04 2014 01: +0,0.076,140
Apr 05 2014 01: +0,0.084,171
Apr 06 2014 01: +0,0.093,156
Apr 07 2014 01: +0,0.09,136
Apr 08 2014 01: +0,0.091,152
Apr 09 2014 01: +0,0.096,137
Apr 10 2014 01: +0,0.096,118
Apr 11 2014 01: +0,0.087,146
Apr 12 2014 01: +0,0.101,186
Apr 13 2014 01: +0,0.096,173
Apr 14 2014 01: +0,0.098,183
Apr 15 2014 01: +0,0.103,159
Apr 16 2014 01: +0,0.1,149
Apr 17 2014 01: +0,0.101,129
Apr 18 2014 01: +0,0.091,172
Apr 19 2014 01: +0,0.102,169
Apr 20 2014 01: +0,0.104,156
Apr 21 2014 01: +0,0.098,140
Apr 22 2014 01: +0,0.095,136
Apr 23 2014 01: +0,0.103,183
Apr 24 2014 01: +0,0.106,115
Apr 25 2014 01: +0,0.119,119
