Mar 16 2017 01: +0,3.955,496
Mar 17 2017 01: +0,3.373,524
Mar 18 2017 01: +0,2.485,578
Mar 19 2017 01: +0,2.337,539
Mar 20 2017 01: +0,2.331,388
Mar 21 2017 01: +0,2.398,406
Mar 22 2017 01: +0,2.329,395
Mar 23 2017 01: +0,2.299,330
Mar 24 2017 01: +0,2.071,356
Mar 25 2017 01: +0,1.969,465
Mar 26 2017 01: +0,1.804,476
Mar 27 2017 01: +0,1.707,354
Mar 28 2017 01: +0,1.811,390
Mar 29 2017 01: +0,1.699,275
Mar 30 2017 01: +0,1.653,360
Mar 31 2017 01: +0,1.726,448
Apr 01 2017 01: +0,1.797,484
Apr 02 2017 01: +0,1.643,460
Apr 03 2017 01: +0,1.562,376
Apr 04 2017 01: +0,1.543,362
Apr 05 2017 01: +0,1.538,382
Apr 06 2017 01: +0,1.558,374
Apr 07 2017 01: +0,1.498,339
Apr 08 2017 01: +0,1.476,482
Apr 09 2017 01: +0,1.441,421
Apr 10 2017 01: +0,1.413,397
Apr 11 2017 01: +0,1.393,386
Apr 12 2017 01: +0,1.431,401
Apr 13 2017 01: +0,1.375,321
Apr 14 2017 01: +0,1.32,362
Apr 15 2017 01: +0,1.403,405
Apr 16 2017 01: +0,1.315,396
Apr 17 2017 01: +0,1.33,435
Apr 18 2017 01: +0,1.262,341
Apr 19 2017 01: +0,1.304,362
Apr 20 2017 01: +0,1.256,321
Apr 21 2017 01: +0,1.26,428
Apr 22 2017 01: +0,1.28,401
Apr 23 2017 01: +0,1.263,376
Apr 24 2017 01: +0,1.228,431
Apr 25 2017 01: +0,1.213,304
Apr 26 2017 01: +0,1.154,265
Apr 27 2017 01: +0,1.168,266
Apr 28 2017 01: +0,1.204,321
Apr 29 2017 01: +0,1.171,360
Apr 30 2017 01: +0,1.197,351
May 01 2017 01: +0,1.183,312
May 02 2017 01: +0,1.194,304
May 03 2017 01: +0,1.176,289
May 04 2017 01: +0,1.146,269
May 05 2017 01: +0,1.159,345
May 06 2017 01: +0,1.18,397
May 07 2017 01: +0,1.171,429
May 08 2017 01: +0,1.117,369
May 09 2017 01: +0,1.103,276
May 10 2017 01: +0,1.116,278
May 11 2017 01: +0,1.12,281
May 12 2017 01: +0,1.137,348
May 13 2017 01: +0,1.121,306
May 14 2017 01: +0,1.091,341
May 15 2017 01: +0,1.134,312
May 16 2017 01: +0,1.148,281
May 17 2017 01: +0,1.147,225
May 18 2017 01: +0,1.127,335
May 19 2017 01: +0,1.082,297
May 20 2017 01: +0,1.077,293
May 21 2017 01: +0,1.069,306
May 22 2017 01: +0,1.054,280
May 23 2017 01: +0,1.049,260
May 24 2017 01: +0,0.73,474
May 25 2017 01: +0,0.804,425
May 26 2017 01: +0,0.852,412
May 27 2017 01: +0,0.878,397
May 28 2017 01: +0,0.867,384
May 29 2017 01: +0,0.896,409
May 30 2017 01: +0,0.898,364
May 31 2017 01: +0,0.93,354
Jun 01 2017 01: +0,0.934,311
Jun 02 2017 01: +0,0.926,388
Jun 03 2017 01: +0,0.916,328
Jun 04 2017 01: +0,0.904,348
Jun 05 2017 01: +0,0.891,351
Jun 06 2017 01: +0,0.911,301
Jun 07 2017 01: +0,0.883,280
Jun 08 2017 01: +0,0.872,277
Jun 09 2017 01: +0,0.872,369
Jun 10 2017 01: +0,0.898,354
Jun 11 2017 01: +0,0.876,315
Jun 12 2017 01: +0,0.859,299
Jun 13 2017 01: +0,0.852,290
Jun 14 2017 01: +0,0.849,290
Jun 15 2017 01: +0,0.882,325
Jun 16 2017 01: +0,0.842,247
Jun 17 2017 01: +0,0.833,272
Jun 18 2017 01: +0,0.823,260
Jun 19 2017 01: +0,0.822,294
Jun 20 2017 01: +0,0.83,255
Jun 21 2017 01: +0,0.774,242
Jun 22 2017 01: +0,0.69,231
Jun 23 2017 01: +0,0.655,262
Jun 24 2017 01: +0,0.709,283
Jun 25 2017 01: +0,0.674,285
Jun 26 2017 01: +0,0.691,303
Jun 27 2017 01: +0,0.729,273
Jun 28 2017 01: +0,0.735,231
Jun 29 2017 01: +0,0.713,225
Jun 30 2017 01: +0,0.711,256
Jul 01 2017 01: +0,0.703,287
Jul 02 2017 01: +0,0.742,288
Jul 03 2017 01: +0,0.708,258
Jul 04 2017 01: +0,0.757,340
Jul 05 2017 01: +0,0.752,263
Jul 06 2017 01: +0,0.774,248
Jul 07 2017 01: +0,0.79,319
Jul 08 2017 01: +0,0.777,251
Jul 09 2017 01: +0,0.775,281
Jul 10 2017 01: +0,0.771,249
Jul 11 2017 01: +0,0.796,293
Jul 12 2017 01: +0,0.755,212
Jul 13 2017 01: +0,0.763,230
Jul 14 2017 01: +0,0.796,327
Jul 15 2017 01: +0,0.79,287
Jul 16 2017 01: +0,0.792,269
Jul 17 2017 01: +0,0.756,278
Jul 18 2017 01: +0,0.771,284
Jul 19 2017 01: +0,0.79,267
Jul 20 2017 01: +0,0.784,265
Jul 21 2017 01: +0,0.79,273
Jul 22 2017 01: +0,0.805,275
Jul 23 2017 01: +0,0.804,283
Jul 24 2017 01: +0,0.786,347
Jul 25 2017 01: +0,0.789,289
Jul 26 2017 01: +0,0.789,289
Jul 27 2017 01: +0,0.788,296
Jul 28 2017 01: +0,0.817,301
Jul 29 2017 01: +0,0.815,380
Jul 30 2017 01: +0,0.814,290
Jul 31 2017 01: +0,0.795,311
Aug 01 2017 01: +0,0.807,313
Aug 02 2017 01: +0,0.795,297
Aug 03 2017 01: +0,0.788,305
Aug 04 2017 01: +0,0.801,348
Aug 05 2017 01: +0,0.801,354
Aug 06 2017 01: +0,0.799,364
Aug 07 2017 01: +0,0.783,347
Aug 08 2017 01: +0,0.778,289
Aug 09 2017 01: +0,0.789,280
Aug 10 2017 01: +0,0.791,326
Aug 11 2017 01: +0,0.784,327
Aug 12 2017 01: +0,0.778,299
Aug 13 2017 01: +0,0.781,324
Aug 14 2017 01: +0,0.781,269
Aug 15 2017 01: +0,0.773,300
Aug 16 2017 01: +0,0.767,262
Aug 17 2017 01: +0,0.778,251
Aug 18 2017 01: +0,0.756,341
Aug 19 2017 01: +0,0.75,325
Aug 20 2017 01: +0,0.723,243
Aug 21 2017 01: +0,0.74,281
Aug 22 2017 01: +0,0.723,262
Aug 23 2017 01: +0,0.691,238
Aug 24 2017 01: +0,0.682,235
Aug 25 2017 01: +0,0.722,320
Aug 26 2017 01: +0,0.694,315
Aug 27 2017 01: +0,0.689,254
Aug 28 2017 01: +0,0.685,299
Aug 29 2017 01: +0,0.682,276
Aug 30 2017 01: +0,0.696,269
Aug 31 2017 01: +0,0.7,223
Sep 01 2017 01: +0,0.697,298
Sep 02 2017 01: +0,0.715,340
Sep 03 2017 01: +0,0.712,303
Sep 04 2017 01: +0,0.725,309
Sep 05 2017 01: +0,0.739,237
Sep 06 2017 01: +0,0.712,201
Sep 07 2017 01: +0,0.732,240
Sep 08 2017 01: +0,0.71,245
Sep 09 2017 01: +0,0.712,258
Sep 10 2017 01: +0,0.726,344
Sep 11 2017 01: +0,0.707,241
Sep 12 2017 01: +0,0.7,225
Sep 13 2017 01: +0,0.7,187
Sep 14 2017 01: +0,0.664,181
Sep 15 2017 01: +0,0.677,305
Sep 16 2017 01: +0,0.697,400
Sep 17 2017 01: +0,0.656,306
Sep 18 2017 01: +0,0.672,332
Sep 19 2017 01: +0,0.666,229
Sep 20 2017 01: +0,0.671,222
Sep 21 2017 01: +0,0.688,297
Sep 22 2017 01: +0,0.7,268
Sep 23 2017 01: +0,0.697,297
Sep 24 2017 01: +0,0.675,289
Sep 25 2017 01: +0,0.69,209
Sep 26 2017 01: +0,0.698,262
Sep 27 2017 01: +0,0.697,241
Sep 28 2017 01: +0,0.663,170
Sep 29 2017 01: +0,0.687,264
Sep 30 2017 01: +0,0.699,276
Oct 01 2017 01: +0,0.672,233
Oct 02 2017 01: +0,0.652,206
Oct 03 2017 01: +0,0.628,189
Oct 04 2017 01: +0,0.643,171
Oct 05 2017 01: +0,0.613,148
Oct 06 2017 01: +0,0.611,231
Oct 07 2017 01: +0,0.643,273
Oct 08 2017 01: +0,0.631,176
