Dec 03 2013 01: +0,0.13,1
Dec 04 2013 01: +0,5.017,1
Dec 05 2013 01: +0,3.475,1
Dec 06 2013 01: +0,2.756,2
Dec 07 2013 01: +0,1.995,1
Dec 10 2013 01: +0,1.706,1
Dec 11 2013 01: +0,1.703,2
Dec 13 2013 01: +0,1.24,1
Dec 14 2013 01: +0,1.703,3
Dec 16 2013 01: +0,2.343,2
Dec 19 2013 01: +0,3.684,1
Dec 22 2013 01: +0,2.584,1
Dec 27 2013 01: +0,2.3,1
Dec 28 2013 01: +0,1.39,1
Dec 30 2013 01: +0,1.991,2
Jan 01 2014 01: +0,1.9,1
Jan 02 2014 01: +0,1.655,2
Jan 04 2014 01: +0,0.918,2
Jan 05 2014 01: +0,0.896,2
Jan 06 2014 01: +0,1.21,1
Jan 07 2014 01: +0,1.144,2
Jan 08 2014 01: +0,0.735,2
Jan 09 2014 01: +0,1.37,1
Jan 14 2014 01: +0,1.134,4
Jan 15 2014 01: +0,0.66,3
Jan 16 2014 01: +0,0.19,1
Jan 17 2014 01: +0,0.867,4
Jan 18 2014 01: +0,0.759,2
Jan 19 2014 01: +0,0.85,1
Jan 20 2014 01: +0,0.655,2
Jan 21 2014 01: +0,0.52,4
Jan 22 2014 01: +0,0.704,1
Jan 23 2014 01: +0,0.61,2
Jan 24 2014 01: +0,0.034,1
Jan 25 2014 01: +0,0.701,2
Jan 26 2014 01: +0,0.395,2
Jan 27 2014 01: +0,0.524,3
Jan 28 2014 01: +0,0.66,5
Jan 29 2014 01: +0,0.75,1
Jan 30 2014 01: +0,0.763,2
Jan 31 2014 01: +0,0.54,3
Feb 01 2014 01: +0,0.648,3
Feb 02 2014 01: +0,0.525,3
Feb 03 2014 01: +0,0.665,6
Feb 04 2014 01: +0,0.913,3
Feb 05 2014 01: +0,0.579,2
Feb 06 2014 01: +0,0.86,3
Feb 07 2014 01: +0,0.77,3
Feb 08 2014 01: +0,0.663,3
Feb 09 2014 01: +0,0.636,3
Feb 10 2014 01: +0,0.564,3
Feb 11 2014 01: +0,0.367,3
Feb 12 2014 01: +0,0.485,7
Feb 13 2014 01: +0,0.325,2
Feb 14 2014 01: +0,0.437,9
Feb 15 2014 01: +0,0.416,6
Feb 16 2014 01: +0,0.429,4
Feb 17 2014 01: +0,0.5,23
Feb 18 2014 01: +0,0.533,1
Feb 19 2014 01: +0,0.366,5
Feb 20 2014 01: +0,0.041,1
Feb 21 2014 01: +0,0.548,1
Feb 22 2014 01: +0,1.381,5
Feb 24 2014 01: +0,1.24,1
Feb 25 2014 01: +0,1.141,1
Feb 26 2014 01: +0,0.856,3
Feb 27 2014 01: +0,1.026,1
Feb 28 2014 01: +0,1.068,2
Mar 01 2014 01: +0,1.002,10
Mar 02 2014 01: +0,1.089,4
Mar 03 2014 01: +0,1.08,3
Mar 04 2014 01: +0,1.202,4
Mar 05 2014 01: +0,0.739,3
Mar 06 2014 01: +0,0.505,3
Mar 07 2014 01: +0,0.736,2
Mar 08 2014 01: +0,0.717,3
Mar 10 2014 01: +0,0.6,5
Mar 11 2014 01: +0,0.545,2
Mar 12 2014 01: +0,0.612,3
Mar 13 2014 01: +0,0.638,4
Mar 14 2014 01: +0,0.679,5
Mar 15 2014 01: +0,0.692,6
Mar 16 2014 01: +0,0.482,4
Mar 17 2014 01: +0,0.677,4
Mar 18 2014 01: +0,0.667,4
Mar 19 2014 01: +0,0.596,2
Mar 20 2014 01: +0,0.664,2
Mar 21 2014 01: +0,0.61,5
Mar 22 2014 01: +0,0.607,6
Mar 23 2014 01: +0,0.56,4
Mar 24 2014 01: +0,0.43,1
Mar 25 2014 01: +0,0.528,3
Mar 26 2014 01: +0,0.477,8
Mar 27 2014 01: +0,0.525,3
Mar 28 2014 01: +0,0.57,2
Mar 29 2014 01: +0,0.445,6
Mar 30 2014 01: +0,0.438,6
Mar 31 2014 01: +0,0.556,8
Apr 01 2014 01: +0,0.78,3
Apr 02 2014 01: +0,0.726,2
Apr 03 2014 01: +0,0.737,5
Apr 04 2014 01: +0,0.684,1
Apr 05 2014 01: +0,0.725,3
Apr 06 2014 01: +0,0.727,4
Apr 07 2014 01: +0,0.698,6
Apr 08 2014 01: +0,0.711,3
Apr 09 2014 01: +0,0.742,4
Apr 10 2014 01: +0,0.628,5
Apr 11 2014 01: +0,0.624,6
Apr 12 2014 01: +0,0.54,3
Apr 13 2014 01: +0,0.673,6
Apr 14 2014 01: +0,0.647,3
Apr 15 2014 01: +0,0.618,2
Apr 16 2014 01: +0,0.546,4
Apr 17 2014 01: +0,0.526,9
Apr 18 2014 01: +0,0.581,9
Apr 19 2014 01: +0,0.58,1
Apr 20 2014 01: +0,0.664,6
Apr 21 2014 01: +0,0.563,2
Apr 22 2014 01: +0,0.615,3
Apr 23 2014 01: +0,0.572,3
Apr 24 2014 01: +0,0.613,3
Apr 25 2014 01: +0,0.657,6
Apr 26 2014 01: +0,0.704,7
Apr 27 2014 01: +0,0.717,9
Apr 28 2014 01: +0,0.644,4
Apr 29 2014 01: +0,0.579,2
Apr 30 2014 01: +0,0.585,6
May 01 2014 01: +0,0.662,12
May 02 2014 01: +0,0.476,3
May 03 2014 01: +0,0.57,4
May 04 2014 01: +0,0.699,6
May 05 2014 01: +0,0.69,1
May 06 2014 01: +0,0.627,7
May 07 2014 01: +0,0.557,3
May 08 2014 01: +0,0.68,9
May 09 2014 01: +0,0.38,11
May 10 2014 01: +0,0.506,5
May 11 2014 01: +0,0.523,5
May 12 2014 01: +0,0.389,5
May 13 2014 01: +0,0.52,7
May 14 2014 01: +0,0.498,4
May 15 2014 01: +0,0.503,7
May 16 2014 01: +0,0.491,5
May 17 2014 01: +0,0.523,6
May 18 2014 01: +0,0.439,5
May 19 2014 01: +0,0.414,6
May 20 2014 01: +0,0.611,9
May 21 2014 01: +0,0.705,9
May 22 2014 01: +0,0.703,3
May 23 2014 01: +0,0.613,5
May 24 2014 01: +0,0.405,4
May 25 2014 01: +0,0.474,7
May 26 2014 01: +0,0.562,2
May 27 2014 01: +0,0.447,4
May 28 2014 01: +0,0.554,4
May 29 2014 01: +0,0.548,2
May 30 2014 01: +0,0.409,4
May 31 2014 01: +0,0.434,7
Jun 01 2014 01: +0,0.465,4
Jun 02 2014 01: +0,0.388,4
Jun 03 2014 01: +0,0.391,6
Jun 04 2014 01: +0,0.44,8
Jun 05 2014 01: +0,0.34,1
Jun 06 2014 01: +0,0.409,7
Jun 07 2014 01: +0,0.401,9
Jun 08 2014 01: +0,0.429,6
Jun 09 2014 01: +0,0.426,10
Jun 10 2014 01: +0,0.269,2
Jun 11 2014 01: +0,0.334,8
Jun 12 2014 01: +0,0.268,8
Jun 13 2014 01: +0,0.323,12
Jun 14 2014 01: +0,0.433,8
Jun 15 2014 01: +0,0.417,7
Jun 16 2014 01: +0,0.455,3
Jun 17 2014 01: +0,0.39,6
Jun 18 2014 01: +0,0.383,3
Jun 19 2014 01: +0,0.328,7
Jun 20 2014 01: +0,0.318,4
Jun 21 2014 01: +0,0.532,6
Jun 22 2014 01: +0,0.296,9
Jun 23 2014 01: +0,0.312,1
Jun 24 2014 01: +0,0.25,3
Jun 25 2014 01: +0,0.175,10
Jun 26 2014 01: +0,0.272,10
Jun 27 2014 01: +0,0.247,3
Jun 28 2014 01: +0,0.239,8
Jun 29 2014 01: +0,0.249,6
Jun 30 2014 01: +0,0.284,8
Jul 01 2014 01: +0,0.325,7
Jul 02 2014 01: +0,0.213,3
Jul 03 2014 01: +0,0.281,9
Jul 04 2014 01: +0,0.27,4
Jul 05 2014 01: +0,0.278,15
Jul 06 2014 01: +0,0.233,8
Jul 07 2014 01: +0,0.309,3
Jul 08 2014 01: +0,0.303,5
Jul 09 2014 01: +0,0.282,3
Jul 10 2014 01: +0,0.227,5
Jul 11 2014 01: +0,0.27,6
Jul 12 2014 01: +0,0.247,5
Jul 13 2014 01: +0,0.299,5
Jul 14 2014 01: +0,0.303,5
Jul 15 2014 01: +0,0.34,7
Jul 16 2014 01: +0,0.367,3
Jul 17 2014 01: +0,0.327,5
Jul 18 2014 01: +0,0.231,7
Jul 19 2014 01: +0,0.257,8
Jul 20 2014 01: +0,0.218,10
