Aug 15 2013 01: +0,0.633,8
Aug 16 2013 01: +0,0.298,43
Aug 17 2013 01: +0,0.238,54
Aug 18 2013 01: +0,0.193,57
Aug 19 2013 01: +0,0.206,59
Aug 20 2013 01: +0,0.162,67
Aug 21 2013 01: +0,0.145,52
Aug 22 2013 01: +0,0.115,57
Aug 23 2013 01: +0,0.09,66
Aug 24 2013 01: +0,0.084,74
Aug 25 2013 01: +0,0.108,79
Aug 26 2013 01: +0,0.077,79
Aug 27 2013 01: +0,0.076,51
Aug 28 2013 01: +0,0.07,58
Aug 29 2013 01: +0,0.063,75
Aug 30 2013 01: +0,0.049,76
Aug 31 2013 01: +0,0.047,89
Sep 01 2013 01: +0,0.042,63
Sep 02 2013 01: +0,0.074,63
Sep 03 2013 01: +0,0.046,67
Sep 04 2013 01: +0,0.042,42
Sep 05 2013 01: +0,0.041,46
Sep 06 2013 01: +0,0.036,57
Sep 07 2013 01: +0,0.033,81
Sep 08 2013 01: +0,0.032,58
Sep 09 2013 01: +0,0.033,41
Sep 10 2013 01: +0,0.03,35
Sep 11 2013 01: +0,0.03,34
Sep 12 2013 01: +0,0.044,232
Sep 13 2013 01: +0,0.059,331
Sep 14 2013 01: +0,0.055,126
Sep 15 2013 01: +0,0.038,148
Sep 16 2013 01: +0,0.035,87
Sep 17 2013 01: +0,0.03,65
Sep 18 2013 01: +0,0.03,54
Sep 19 2013 01: +0,0.043,27
Sep 20 2013 01: +0,0.103,631
Sep 21 2013 01: +0,0.106,261
Sep 22 2013 01: +0,0.094,266
Sep 23 2013 01: +0,0.081,152
Sep 24 2013 01: +0,0.082,121
Sep 25 2013 01: +0,0.074,197
Sep 26 2013 01: +0,0.083,176
Sep 27 2013 01: +0,0.067,138
Sep 28 2013 01: +0,0.068,219
Sep 29 2013 01: +0,0.064,243
Sep 30 2013 01: +0,0.076,190
Oct 01 2013 01: +0,0.071,197
Oct 02 2013 01: +0,0.064,130
Oct 03 2013 01: +0,0.059,182
Oct 04 2013 01: +0,0.056,179
Oct 05 2013 01: +0,0.06,193
Oct 06 2013 01: +0,0.053,210
Oct 07 2013 01: +0,0.046,154
Oct 08 2013 01: +0,0.056,167
Oct 09 2013 01: +0,0.057,184
Oct 10 2013 01: +0,0.047,127
Oct 11 2013 01: +0,0.046,163
Oct 12 2013 01: +0,0.046,196
Oct 13 2013 01: +0,0.041,186
Oct 14 2013 01: +0,0.046,166
Oct 15 2013 01: +0,0.076,146
Oct 16 2013 01: +0,0.044,147
Oct 17 2013 01: +0,0.038,135
Oct 18 2013 01: +0,0.048,155
Oct 19 2013 01: +0,0.042,206
Oct 20 2013 01: +0,0.047,281
Oct 21 2013 01: +0,0.046,162
Oct 22 2013 01: +0,0.041,156
Oct 23 2013 01: +0,0.049,192
Oct 24 2013 01: +0,0.04,176
Oct 25 2013 01: +0,0.041,200
Oct 26 2013 01: +0,0.047,176
Oct 27 2013 01: +0,0.043,198
Oct 28 2013 01: +0,0.038,205
Oct 29 2013 01: +0,0.044,177
Oct 30 2013 01: +0,0.035,138
Oct 31 2013 01: +0,0.038,133
Nov 01 2013 01: +0,0.035,123
Nov 02 2013 01: +0,0.036,108
Nov 03 2013 01: +0,0.043,168
Nov 04 2013 01: +0,0.043,172
Nov 05 2013 01: +0,0.036,116
Nov 06 2013 01: +0,0.042,156
Nov 07 2013 01: +0,0.04,127
Nov 08 2013 01: +0,0.038,133
Nov 09 2013 01: +0,0.034,201
Nov 10 2013 01: +0,0.035,220
Nov 11 2013 01: +0,0.034,162
Nov 12 2013 01: +0,0.033,133
Nov 13 2013 01: +0,0.034,128
Nov 14 2013 01: +0,0.037,127
Nov 15 2013 01: +0,0.03,143
Nov 16 2013 01: +0,0.036,161
Nov 17 2013 01: +0,0.034,159
Nov 18 2013 01: +0,0.03,97
Nov 19 2013 01: +0,0.03,101
Nov 20 2013 01: +0,0.03,113
Nov 21 2013 01: +0,0.031,124
Nov 22 2013 01: +0,0.03,121
Nov 23 2013 01: +0,0.045,142
Nov 24 2013 01: +0,0.035,183
Nov 25 2013 01: +0,0.03,111
Nov 26 2013 01: +0,0.03,92
Nov 27 2013 01: +0,0.03,131
Nov 28 2013 01: +0,0.03,106
Nov 29 2013 01: +0,0.03,145
Nov 30 2013 01: +0,0.03,195
Dec 01 2013 01: +0,0.033,180
Dec 02 2013 01: +0,0.035,89
Dec 03 2013 01: +0,0.035,105
Dec 04 2013 01: +0,0.048,139
Dec 05 2013 01: +0,0.035,112
Dec 06 2013 01: +0,0.043,109
Dec 07 2013 01: +0,0.032,103
Dec 08 2013 01: +0,0.034,110
Dec 09 2013 01: +0,0.037,88
Dec 10 2013 01: +0,0.034,112
Dec 11 2013 01: +0,0.034,71
Dec 12 2013 01: +0,0.034,91
Dec 13 2013 01: +0,0.036,95
Dec 14 2013 01: +0,0.043,102
Dec 15 2013 01: +0,0.039,86
Dec 16 2013 01: +0,0.035,77
Dec 17 2013 01: +0,0.031,85
Dec 18 2013 01: +0,0.032,69
Dec 19 2013 01: +0,0.032,55
Dec 20 2013 01: +0,0.03,78
Dec 21 2013 01: +0,0.032,97
Dec 22 2013 01: +0,0.037,130
Dec 23 2013 01: +0,0.035,81
Dec 24 2013 01: +0,0.031,78
Dec 25 2013 01: +0,0.039,70
Dec 26 2013 01: +0,0.037,109
Dec 27 2013 01: +0,0.032,86
Dec 28 2013 01: +0,0.038,69
Dec 29 2013 01: +0,0.039,134
Dec 30 2013 01: +0,0.036,103
Dec 31 2013 01: +0,0.069,77
Jan 01 2014 01: +0,0.033,80
Jan 02 2014 01: +0,0.041,96
Jan 03 2014 01: +0,0.034,57
Jan 04 2014 01: +0,0.037,96
Jan 05 2014 01: +0,0.035,97
Jan 06 2014 01: +0,0.036,106
Jan 07 2014 01: +0,0.035,95
Jan 08 2014 01: +0,0.037,62
Jan 09 2014 01: +0,0.035,74
Jan 10 2014 01: +0,0.041,60
Jan 11 2014 01: +0,0.04,80
Jan 12 2014 01: +0,0.043,76
Jan 13 2014 01: +0,0.04,57
Jan 14 2014 01: +0,0.034,69
Jan 15 2014 01: +0,0.039,56
Jan 16 2014 01: +0,0.039,59
Jan 17 2014 01: +0,0.033,75
Jan 18 2014 01: +0,0.036,102
Jan 19 2014 01: +0,0.04,88
Jan 20 2014 01: +0,0.04,74
Jan 21 2014 01: +0,0.034,89
Jan 22 2014 01: +0,0.031,53
Jan 23 2014 01: +0,0.036,64
Jan 24 2014 01: +0,0.035,88
Jan 25 2014 01: +0,0.033,79
Jan 26 2014 01: +0,0.039,78
Jan 27 2014 01: +0,0.05,71
Jan 28 2014 01: +0,0.034,67
Jan 29 2014 01: +0,0.03,52
Jan 30 2014 01: +0,0.03,64
Jan 31 2014 01: +0,0.034,56
Feb 01 2014 01: +0,0.036,83
Feb 02 2014 01: +0,0.032,80
Feb 03 2014 01: +0,0.03,62
Feb 04 2014 01: +0,0.03,52
Feb 05 2014 01: +0,0.03,70
Feb 06 2014 01: +0,0.03,73
Feb 07 2014 01: +0,0.03,124
Feb 08 2014 01: +0,0.03,84
Feb 09 2014 01: +0,0.03,60
Feb 10 2014 01: +0,0.03,77
Feb 11 2014 01: +0,0.03,41
Feb 12 2014 01: +0,0.03,77
Feb 13 2014 01: +0,0.03,48
Feb 14 2014 01: +0,0.03,45
Feb 15 2014 01: +0,0.03,57
Feb 16 2014 01: +0,0.032,64
Feb 17 2014 01: +0,0.034,50
Feb 18 2014 01: +0,0.03,47
Feb 19 2014 01: +0,0.03,38
Feb 20 2014 01: +0,0.031,58
Feb 21 2014 01: +0,0.076,47
Feb 22 2014 01: +0,0.03,48
Feb 23 2014 01: +0,0.03,62
Feb 24 2014 01: +0,0.031,67
Feb 25 2014 01: +0,0.044,27
Feb 26 2014 01: +0,0.03,32
Feb 27 2014 01: +0,0.03,53
Feb 28 2014 01: +0,0.03,47
Mar 01 2014 01: +0,0.033,52
Mar 02 2014 01: +0,0.034,62
Mar 03 2014 01: +0,0.03,47
Mar 04 2014 01: +0,0.03,48
Mar 05 2014 01: +0,0.03,31
