Aug 15 2013 01: +0,0.9,23
Aug 16 2013 01: +0,0.422,27
Aug 17 2013 01: +0,0.301,40
Aug 18 2013 01: +0,0.252,38
Aug 19 2013 01: +0,0.237,41
Aug 20 2013 01: +0,0.224,47
Aug 21 2013 01: +0,0.204,38
Aug 22 2013 01: +0,0.152,44
Aug 23 2013 01: +0,0.104,55
Aug 24 2013 01: +0,0.2,58
Aug 25 2013 01: +0,0.111,54
Aug 26 2013 01: +0,0.087,53
Aug 27 2013 01: +0,0.175,40
Aug 28 2013 01: +0,0.093,39
Aug 29 2013 01: +0,0.083,41
Aug 30 2013 01: +0,0.074,58
Aug 31 2013 01: +0,0.07,57
Sep 01 2013 01: +0,0.065,53
Sep 02 2013 01: +0,0.063,61
Sep 03 2013 01: +0,0.07,43
Sep 04 2013 01: +0,0.069,39
Sep 05 2013 01: +0,0.053,22
Sep 06 2013 01: +0,0.05,48
Sep 07 2013 01: +0,0.512,43
Sep 08 2013 01: +0,0.04,49
Sep 09 2013 01: +0,0.058,41
Sep 10 2013 01: +0,0.041,23
Sep 11 2013 01: +0,0.065,33
Sep 12 2013 01: +0,0.06,31
Sep 13 2013 01: +0,0.063,132
Sep 14 2013 01: +0,0.057,77
Sep 15 2013 01: +0,0.042,61
Sep 16 2013 01: +0,0.041,46
Sep 17 2013 01: +0,0.033,56
Sep 18 2013 01: +0,0.036,34
Sep 19 2013 01: +0,0.033,22
Sep 20 2013 01: +0,0.102,358
Sep 21 2013 01: +0,0.098,116
Sep 22 2013 01: +0,0.092,198
Sep 23 2013 01: +0,0.085,108
Sep 24 2013 01: +0,0.072,65
Sep 25 2013 01: +0,0.08,115
Sep 26 2013 01: +0,0.073,92
Sep 27 2013 01: +0,0.085,114
Sep 28 2013 01: +0,0.086,125
Sep 29 2013 01: +0,0.077,101
Sep 30 2013 01: +0,0.076,81
Oct 01 2013 01: +0,0.078,91
Oct 02 2013 01: +0,0.08,97
Oct 03 2013 01: +0,0.069,99
Oct 04 2013 01: +0,0.062,85
Oct 05 2013 01: +0,0.066,111
Oct 06 2013 01: +0,0.064,101
Oct 07 2013 01: +0,0.074,85
Oct 08 2013 01: +0,0.067,91
Oct 09 2013 01: +0,0.063,92
Oct 10 2013 01: +0,0.069,89
Oct 11 2013 01: +0,0.073,103
Oct 12 2013 01: +0,0.069,89
Oct 13 2013 01: +0,0.06,120
Oct 14 2013 01: +0,0.054,99
Oct 15 2013 01: +0,0.059,103
Oct 16 2013 01: +0,0.058,99
Oct 17 2013 01: +0,0.059,70
Oct 18 2013 01: +0,0.068,99
Oct 19 2013 01: +0,0.064,113
Oct 20 2013 01: +0,0.078,138
Oct 21 2013 01: +0,0.074,128
Oct 22 2013 01: +0,0.064,99
Oct 23 2013 01: +0,0.057,91
Oct 24 2013 01: +0,0.053,111
Oct 25 2013 01: +0,0.053,94
Oct 26 2013 01: +0,0.068,165
Oct 27 2013 01: +0,0.069,137
Oct 28 2013 01: +0,0.059,101
Oct 29 2013 01: +0,0.069,117
Oct 30 2013 01: +0,0.058,86
Oct 31 2013 01: +0,0.044,96
Nov 01 2013 01: +0,0.062,81
Nov 02 2013 01: +0,0.058,73
Nov 03 2013 01: +0,0.059,100
Nov 04 2013 01: +0,0.06,102
Nov 05 2013 01: +0,0.061,88
Nov 06 2013 01: +0,0.069,109
Nov 07 2013 01: +0,0.062,81
Nov 08 2013 01: +0,0.064,116
Nov 09 2013 01: +0,0.057,132
Nov 10 2013 01: +0,0.053,141
Nov 11 2013 01: +0,0.062,103
Nov 12 2013 01: +0,0.049,85
Nov 13 2013 01: +0,0.057,97
Nov 14 2013 01: +0,0.059,70
Nov 15 2013 01: +0,0.059,93
Nov 16 2013 01: +0,0.082,108
Nov 17 2013 01: +0,0.057,102
Nov 18 2013 01: +0,0.052,85
Nov 19 2013 01: +0,0.041,64
Nov 20 2013 01: +0,0.059,59
Nov 21 2013 01: +0,0.052,81
Nov 22 2013 01: +0,0.056,97
Nov 23 2013 01: +0,0.051,82
Nov 24 2013 01: +0,0.053,129
Nov 25 2013 01: +0,0.048,79
Nov 26 2013 01: +0,0.046,93
Nov 27 2013 01: +0,0.059,81
Nov 28 2013 01: +0,0.086,101
Nov 29 2013 01: +0,1.802,77
Nov 30 2013 01: +0,0.064,79
Dec 01 2013 01: +0,0.067,125
Dec 02 2013 01: +0,0.061,70
Dec 03 2013 01: +0,0.078,86
Dec 04 2013 01: +0,0.083,70
Dec 05 2013 01: +0,0.067,50
Dec 06 2013 01: +0,0.089,59
Dec 07 2013 01: +0,0.078,92
Dec 08 2013 01: +0,0.079,88
Dec 09 2013 01: +0,0.073,43
Dec 10 2013 01: +0,0.082,75
Dec 11 2013 01: +0,0.086,35
Dec 12 2013 01: +0,0.066,55
Dec 13 2013 01: +0,0.07,74
Dec 14 2013 01: +0,0.08,43
Dec 15 2013 01: +0,0.067,57
Dec 16 2013 01: +0,0.057,49
Dec 17 2013 01: +0,0.062,36
Dec 18 2013 01: +0,0.065,65
Dec 19 2013 01: +0,0.039,37
Dec 20 2013 01: +0,0.059,72
Dec 21 2013 01: +0,0.051,72
Dec 22 2013 01: +0,0.064,76
Dec 23 2013 01: +0,0.061,61
Dec 24 2013 01: +0,0.068,56
Dec 25 2013 01: +0,0.096,44
Dec 26 2013 01: +0,0.06,72
Dec 27 2013 01: +0,0.053,44
Dec 28 2013 01: +0,0.06,47
