Feb 21 2014 01: +0,0.304,651
Feb 22 2014 01: +0,0.234,722
Feb 23 2014 01: +0,0.257,548
Feb 24 2014 01: +0,0.28,463
Feb 25 2014 01: +0,0.303,317
Feb 26 2014 01: +0,0.304,243
Feb 27 2014 01: +0,0.299,312
Feb 28 2014 01: +0,0.286,475
Mar 01 2014 01: +0,0.196,895
Mar 02 2014 01: +0,0.196,808
Mar 03 2014 01: +0,0.18,637
Mar 04 2014 01: +0,0.194,530
Mar 05 2014 01: +0,0.187,434
Mar 06 2014 01: +0,0.19,411
Mar 07 2014 01: +0,0.195,604
Mar 08 2014 01: +0,0.178,773
Mar 09 2014 01: +0,0.161,915
Mar 10 2014 01: +0,0.162,702
Mar 11 2014 01: +0,0.181,629
Mar 12 2014 01: +0,0.175,619
Mar 13 2014 01: +0,0.186,325
Mar 14 2014 01: +0,0.189,504
Mar 15 2014 01: +0,0.156,855
Mar 16 2014 01: +0,0.14,1029
Mar 17 2014 01: +0,0.148,760
Mar 18 2014 01: +0,0.151,719
Mar 19 2014 01: +0,0.154,762
Mar 20 2014 01: +0,0.158,626
Mar 21 2014 01: +0,0.152,658
Mar 22 2014 01: +0,0.15,833
Mar 23 2014 01: +0,0.146,818
Mar 24 2014 01: +0,0.142,822
Mar 25 2014 01: +0,0.146,625
Mar 26 2014 01: +0,0.159,648
Mar 27 2014 01: +0,0.149,720
Mar 28 2014 01: +0,0.146,661
Mar 29 2014 01: +0,0.149,853
Mar 30 2014 01: +0,0.138,966
Mar 31 2014 01: +0,0.138,866
Apr 01 2014 01: +0,0.164,565
Apr 02 2014 01: +0,0.149,690
Apr 03 2014 01: +0,0.135,687
Apr 04 2014 01: +0,0.142,909
Apr 05 2014 01: +0,0.136,991
Apr 06 2014 01: +0,0.142,895
Apr 07 2014 01: +0,0.14,776
Apr 08 2014 01: +0,0.144,818
Apr 09 2014 01: +0,0.139,768
Apr 10 2014 01: +0,0.13,709
Apr 11 2014 01: +0,0.139,1042
Apr 12 2014 01: +0,0.148,930
Apr 13 2014 01: +0,0.145,978
Apr 14 2014 01: +0,0.141,934
Apr 15 2014 01: +0,0.133,929
Apr 16 2014 01: +0,0.133,1164
Apr 17 2014 01: +0,0.138,1052
