Aug 15 2013 01: +0,0.899,28
Aug 16 2013 01: +0,0.382,74
Aug 17 2013 01: +0,0.285,76
Aug 18 2013 01: +0,0.258,71
Aug 19 2013 01: +0,0.258,63
Aug 20 2013 01: +0,0.181,65
Aug 21 2013 01: +0,0.189,96
Aug 22 2013 01: +0,0.153,82
Aug 23 2013 01: +0,0.081,130
Aug 24 2013 01: +0,0.08,105
Aug 25 2013 01: +0,0.076,105
Aug 26 2013 01: +0,0.086,78
Aug 27 2013 01: +0,0.068,93
Aug 28 2013 01: +0,0.071,73
Aug 29 2013 01: +0,0.065,86
Aug 30 2013 01: +0,0.056,107
Aug 31 2013 01: +0,0.059,120
Sep 01 2013 01: +0,0.058,119
Sep 02 2013 01: +0,0.055,104
Sep 03 2013 01: +0,0.051,85
Sep 04 2013 01: +0,0.053,69
Sep 05 2013 01: +0,0.046,62
Sep 06 2013 01: +0,0.044,69
Sep 07 2013 01: +0,0.038,81
Sep 08 2013 01: +0,0.036,86
Sep 09 2013 01: +0,0.036,58
Sep 10 2013 01: +0,0.037,52
Sep 11 2013 01: +0,0.036,62
Sep 12 2013 01: +0,0.057,291
Sep 13 2013 01: +0,0.078,390
Sep 14 2013 01: +0,0.054,169
Sep 15 2013 01: +0,0.049,170
Sep 16 2013 01: +0,0.042,77
Sep 17 2013 01: +0,0.039,97
Sep 18 2013 01: +0,0.038,93
Sep 19 2013 01: +0,0.043,66
Sep 20 2013 01: +0,0.111,637
Sep 21 2013 01: +0,0.114,290
Sep 22 2013 01: +0,0.105,292
Sep 23 2013 01: +0,0.087,212
Sep 24 2013 01: +0,0.083,156
Sep 25 2013 01: +0,0.087,181
Sep 26 2013 01: +0,0.088,181
Sep 27 2013 01: +0,0.085,191
Sep 28 2013 01: +0,0.09,222
Sep 29 2013 01: +0,0.082,248
Sep 30 2013 01: +0,0.076,186
Oct 01 2013 01: +0,0.143,173
Oct 02 2013 01: +0,0.076,161
Oct 03 2013 01: +0,0.069,174
Oct 04 2013 01: +0,0.071,203
Oct 05 2013 01: +0,0.078,185
Oct 06 2013 01: +0,0.071,226
Oct 07 2013 01: +0,0.064,191
