Aug 19 2016 01: +0,1.212,193
Aug 20 2016 01: +0,1,202
Aug 21 2016 01: +0,0.818,224
Aug 22 2016 01: +0,0.71,198
Aug 23 2016 01: +0,0.626,199
Aug 24 2016 01: +0,0.597,202
Aug 25 2016 01: +0,0.571,186
Aug 26 2016 01: +0,0.598,196
Aug 27 2016 01: +0,0.596,238
Aug 28 2016 01: +0,0.587,260
Aug 29 2016 01: +0,0.565,283
Aug 30 2016 01: +0,0.519,205
Aug 31 2016 01: +0,0.489,192
Sep 01 2016 01: +0,0.522,192
Sep 02 2016 01: +0,0.495,209
Sep 03 2016 01: +0,0.493,220
Sep 04 2016 01: +0,0.443,229
Sep 05 2016 01: +0,0.425,185
Sep 06 2016 01: +0,0.4,164
Sep 07 2016 01: +0,0.416,242
Sep 08 2016 01: +0,0.39,196
Sep 09 2016 01: +0,0.444,215
Sep 10 2016 01: +0,0.419,276
Sep 11 2016 01: +0,0.426,303
Sep 12 2016 01: +0,0.456,187
Sep 13 2016 01: +0,0.409,204
Sep 14 2016 01: +0,0.386,221
Sep 15 2016 01: +0,0.362,154
Sep 16 2016 01: +0,0.356,290
Sep 17 2016 01: +0,0.357,242
Sep 18 2016 01: +0,0.353,241
Sep 19 2016 01: +0,0.332,191
Sep 20 2016 01: +0,0.34,225
Sep 21 2016 01: +0,0.321,213
Sep 22 2016 01: +0,0.313,220
Sep 23 2016 01: +0,0.323,235
Sep 24 2016 01: +0,0.321,280
Sep 25 2016 01: +0,0.308,209
Sep 26 2016 01: +0,0.301,233
Sep 27 2016 01: +0,0.295,201
Sep 28 2016 01: +0,0.305,247
Sep 29 2016 01: +0,0.31,246
Sep 30 2016 01: +0,0.296,246
Oct 01 2016 01: +0,0.312,284
Oct 02 2016 01: +0,0.304,238
Oct 03 2016 01: +0,0.306,302
Oct 04 2016 01: +0,0.291,218
Oct 05 2016 01: +0,0.295,281
Oct 06 2016 01: +0,0.298,215
Oct 07 2016 01: +0,0.278,221
Oct 08 2016 01: +0,0.279,284
Oct 09 2016 01: +0,0.273,317
Oct 10 2016 01: +0,0.259,234
Oct 11 2016 01: +0,0.263,273
Oct 12 2016 01: +0,0.276,264
Oct 13 2016 01: +0,0.279,228
Oct 14 2016 01: +0,0.283,251
Oct 15 2016 01: +0,0.264,249
Oct 16 2016 01: +0,0.253,283
Oct 17 2016 01: +0,0.235,257
Oct 18 2016 01: +0,0.226,236
Oct 19 2016 01: +0,0.233,248
Oct 20 2016 01: +0,0.244,227
Oct 21 2016 01: +0,0.251,245
Oct 22 2016 01: +0,0.25,243
Oct 23 2016 01: +0,0.251,288
Oct 24 2016 01: +0,0.244,233
Oct 25 2016 01: +0,0.237,200
Oct 26 2016 01: +0,0.234,182
Oct 27 2016 01: +0,0.227,249
Oct 28 2016 01: +0,0.21,310
Oct 29 2016 01: +0,0.225,253
Oct 30 2016 01: +0,0.223,318
Oct 31 2016 01: +0,0.226,263
Nov 01 2016 01: +0,0.228,227
Nov 02 2016 01: +0,0.226,254
Nov 03 2016 01: +0,0.239,173
Nov 04 2016 01: +0,0.254,238
Nov 05 2016 01: +0,0.246,283
Nov 06 2016 01: +0,0.249,240
Nov 07 2016 01: +0,0.257,222
Nov 08 2016 01: +0,0.242,181
Nov 09 2016 01: +0,0.236,213
Nov 10 2016 01: +0,0.243,165
Nov 11 2016 01: +0,0.243,311
Nov 12 2016 01: +0,0.241,254
Nov 13 2016 01: +0,0.24,296
Nov 14 2016 01: +0,0.231,255
Nov 15 2016 01: +0,0.232,255
Nov 16 2016 01: +0,0.231,240
Nov 17 2016 01: +0,0.236,363
Nov 18 2016 01: +0,0.24,217
Nov 19 2016 01: +0,0.239,234
Nov 20 2016 01: +0,0.226,285
Nov 21 2016 01: +0,0.222,240
Nov 22 2016 01: +0,0.233,267
Nov 23 2016 01: +0,0.223,191
Nov 24 2016 01: +0,0.223,199
Nov 25 2016 01: +0,0.21,209
Nov 26 2016 01: +0,0.204,247
Nov 27 2016 01: +0,0.2,256
Nov 28 2016 01: +0,0.2,255
Nov 29 2016 01: +0,0.197,397
Nov 30 2016 01: +0,0.222,353
Dec 01 2016 01: +0,0.229,272
Dec 02 2016 01: +0,0.229,276
Dec 03 2016 01: +0,0.239,384
Dec 04 2016 01: +0,0.243,301
Dec 05 2016 01: +0,0.238,229
Dec 06 2016 01: +0,0.236,216
Dec 07 2016 01: +0,0.242,250
Dec 08 2016 01: +0,0.228,289
Dec 09 2016 01: +0,0.237,232
Dec 10 2016 01: +0,0.241,299
Dec 11 2016 01: +0,0.251,332
Dec 12 2016 01: +0,0.25,209
Dec 13 2016 01: +0,0.243,226
Dec 14 2016 01: +0,0.238,217
Dec 15 2016 01: +0,0.239,232
Dec 16 2016 01: +0,0.233,274
Dec 17 2016 01: +0,0.241,304
Dec 18 2016 01: +0,0.23,258
Dec 19 2016 01: +0,0.233,210
Dec 20 2016 01: +0,0.218,198
Dec 21 2016 01: +0,0.233,198
Dec 22 2016 01: +0,0.215,216
Dec 23 2016 01: +0,0.204,220
Dec 24 2016 01: +0,0.219,296
Dec 25 2016 01: +0,0.238,345
Dec 26 2016 01: +0,0.236,321
Dec 27 2016 01: +0,0.226,237
Dec 28 2016 01: +0,0.234,311
Dec 29 2016 01: +0,0.239,289
Dec 30 2016 01: +0,0.224,254
Dec 31 2016 01: +0,0.239,238
Jan 01 2017 01: +0,0.228,258
Jan 02 2017 01: +0,0.24,351
Jan 03 2017 01: +0,0.237,261
Jan 04 2017 01: +0,0.237,269
Jan 05 2017 01: +0,0.241,241
Jan 06 2017 01: +0,0.247,240
Jan 07 2017 01: +0,0.247,306
Jan 08 2017 01: +0,0.248,224
Jan 09 2017 01: +0,0.251,195
Jan 10 2017 01: +0,0.252,221
Jan 11 2017 01: +0,0.251,221
Jan 12 2017 01: +0,0.248,173
Jan 13 2017 01: +0,0.246,328
Jan 14 2017 01: +0,0.251,304
Jan 15 2017 01: +0,0.243,341
Jan 16 2017 01: +0,0.242,253
Jan 17 2017 01: +0,0.236,222
Jan 18 2017 01: +0,0.243,206
Jan 19 2017 01: +0,0.239,247
Jan 20 2017 01: +0,0.24,193
Jan 21 2017 01: +0,0.24,239
Jan 22 2017 01: +0,0.237,305
Jan 23 2017 01: +0,0.242,228
Jan 24 2017 01: +0,0.242,229
Jan 25 2017 01: +0,0.249,223
Jan 26 2017 01: +0,0.251,303
Jan 27 2017 01: +0,0.25,283
Jan 28 2017 01: +0,0.26,275
Jan 29 2017 01: +0,0.259,291
Jan 30 2017 01: +0,0.254,245
Jan 31 2017 01: +0,0.25,235
Feb 01 2017 01: +0,0.262,228
Feb 02 2017 01: +0,0.259,236
Feb 03 2017 01: +0,0.262,226
Feb 04 2017 01: +0,0.268,345
Feb 05 2017 01: +0,0.264,245
Feb 06 2017 01: +0,0.262,232
Feb 07 2017 01: +0,0.27,263
Feb 08 2017 01: +0,0.274,254
Feb 09 2017 01: +0,0.264,207
Feb 10 2017 01: +0,0.276,254
Feb 11 2017 01: +0,0.274,231
Feb 12 2017 01: +0,0.268,295
Feb 13 2017 01: +0,0.262,212
Feb 14 2017 01: +0,0.263,198
Feb 15 2017 01: +0,0.261,238
Feb 16 2017 01: +0,0.265,216
Feb 17 2017 01: +0,0.262,271
Feb 18 2017 01: +0,0.26,263
Feb 19 2017 01: +0,0.251,258
Feb 20 2017 01: +0,0.259,261
Feb 21 2017 01: +0,0.262,283
Feb 22 2017 01: +0,0.259,245
Feb 23 2017 01: +0,0.251,209
Feb 24 2017 01: +0,0.255,294
Feb 25 2017 01: +0,0.263,380
Feb 26 2017 01: +0,0.26,322
Feb 27 2017 01: +0,0.248,212
Feb 28 2017 01: +0,0.249,236
Mar 01 2017 01: +0,0.256,283
Mar 02 2017 01: +0,0.254,339
Mar 03 2017 01: +0,0.255,253
Mar 04 2017 01: +0,0.255,386
Mar 05 2017 01: +0,0.258,283
Mar 06 2017 01: +0,0.254,225
Mar 07 2017 01: +0,0.254,224
Mar 08 2017 01: +0,0.253,171
Mar 09 2017 01: +0,0.255,235
Mar 10 2017 01: +0,0.262,277
