Apr 28 2016 01: +0,1.166,40
Apr 29 2016 01: +0,0.68,38
Apr 30 2016 01: +0,0.515,70
May 01 2016 01: +0,0.451,74
May 02 2016 01: +0,0.447,51
May 03 2016 01: +0,0.481,48
May 04 2016 01: +0,0.432,39
May 05 2016 01: +0,0.427,47
May 06 2016 01: +0,0.386,47
May 07 2016 01: +0,0.353,61
May 08 2016 01: +0,0.323,56
May 09 2016 01: +0,0.315,47
May 10 2016 01: +0,0.296,46
May 11 2016 01: +0,0.303,70
May 12 2016 01: +0,0.3,54
May 13 2016 01: +0,0.305,47
May 14 2016 01: +0,0.305,58
May 15 2016 01: +0,0.281,71
May 16 2016 01: +0,0.276,32
May 17 2016 01: +0,0.276,43
May 18 2016 01: +0,0.266,36
May 19 2016 01: +0,0.233,58
May 20 2016 01: +0,0.22,82
May 21 2016 01: +0,0.229,61
May 22 2016 01: +0,0.198,75
May 23 2016 01: +0,0.216,36
May 24 2016 01: +0,0.209,49
May 25 2016 01: +0,0.211,65
May 26 2016 01: +0,0.213,49
May 27 2016 01: +0,0.21,70
May 28 2016 01: +0,0.207,75
May 29 2016 01: +0,0.213,51
May 30 2016 01: +0,0.198,69
May 31 2016 01: +0,0.195,61
Jun 01 2016 01: +0,0.2,52
Jun 02 2016 01: +0,0.19,60
Jun 03 2016 01: +0,0.187,71
Jun 04 2016 01: +0,0.188,67
Jun 05 2016 01: +0,0.186,55
Jun 06 2016 01: +0,0.177,74
Jun 07 2016 01: +0,0.182,35
Jun 08 2016 01: +0,0.168,54
Jun 09 2016 01: +0,0.155,48
Jun 10 2016 01: +0,0.162,62
Jun 11 2016 01: +0,0.172,52
Jun 12 2016 01: +0,0.162,55
Jun 13 2016 01: +0,0.152,65
Jun 14 2016 01: +0,0.152,58
Jun 15 2016 01: +0,0.156,63
Jun 16 2016 01: +0,0.154,56
Jun 17 2016 01: +0,0.148,76
Jun 18 2016 01: +0,0.142,86
Jun 19 2016 01: +0,0.139,87
Jun 20 2016 01: +0,0.137,81
Jun 21 2016 01: +0,0.14,72
Jun 22 2016 01: +0,0.136,82
Jun 23 2016 01: +0,0.117,76
Jun 24 2016 01: +0,0.099,83
