Feb 16 2018 01: +0,0.676,293
Feb 17 2018 01: +0,0.39,334
Feb 18 2018 01: +0,0.328,323
Feb 19 2018 01: +0,0.315,255
Feb 20 2018 01: +0,0.295,195
Feb 21 2018 01: +0,0.301,229
Feb 22 2018 01: +0,0.239,250
Feb 23 2018 01: +0,0.227,241
Feb 24 2018 01: +0,0.225,292
Feb 25 2018 01: +0,0.197,277
Feb 26 2018 01: +0,0.185,254
Feb 27 2018 01: +0,0.199,215
Feb 28 2018 01: +0,0.206,158
Feb 28 2018 19: +0,0.21,15
Feb 28 2018 20: +0,0.188,8
Feb 28 2018 21: +0,0.194,16
Feb 28 2018 22: +0,0.22,17
Feb 28 2018 23: +0,0.19,6
Mar 01 2018 00: +0,0.19,7
Mar 01 2018 01: +0,0.22,11
Mar 01 2018 02: +0,0.18,5
Mar 01 2018 03: +0,0.186,2
Mar 01 2018 04: +0,0.21,3
Mar 01 2018 05: +0,0.227,10
Mar 01 2018 06: +0,0.21,3
Mar 01 2018 07: +0,0.225,2
Mar 01 2018 08: +0,0.22,6
Mar 01 2018 09: +0,0.184,2
Mar 01 2018 10: +0,0.18,3
Mar 01 2018 11: +0,0.18,9
Mar 01 2018 12: +0,0.218,12
Mar 01 2018 13: +0,0.183,3
Mar 01 2018 14: +0,0.234,12
Mar 01 2018 15: +0,0.224,9
Mar 01 2018 16: +0,0.17,9
Mar 01 2018 17: +0,0.197,22
Mar 01 2018 18: +0,0.199,8
Mar 01 2018 19: +0,0.22,17
Mar 01 2018 20: +0,0.197,7
Mar 01 2018 21: +0,0.208,20
Mar 01 2018 22: +0,0.15,7
Mar 01 2018 23: +0,0.176,10
Mar 02 2018 00: +0,0.17,7
Mar 02 2018 01: +0,0.2,19
Mar 02 2018 02: +0,0.16,1
Mar 02 2018 03: +0,0.179,6
Mar 02 2018 04: +0,0.208,10
Mar 02 2018 05: +0,0.211,2
Mar 02 2018 07: +0,0.187,11
Mar 02 2018 08: +0,0.173,4
Mar 02 2018 09: +0,0.198,15
Mar 02 2018 10: +0,0.2,5
Mar 02 2018 11: +0,0.204,4
Mar 02 2018 12: +0,0.203,10
Mar 02 2018 13: +0,0.172,11
Mar 02 2018 14: +0,0.158,5
Mar 02 2018 15: +0,0.195,6
Mar 02 2018 16: +0,0.169,10
Mar 02 2018 17: +0,0.169,3
Mar 02 2018 18: +0,0.161,28
Mar 02 2018 19: +0,0.177,17
Mar 02 2018 20: +0,0.195,16
Mar 02 2018 21: +0,0.219,22
Mar 02 2018 22: +0,0.209,9
Mar 02 2018 23: +0,0.17,14
Mar 03 2018 00: +0,0.182,12
Mar 03 2018 01: +0,0.18,8
Mar 03 2018 02: +0,0.2,18
Mar 03 2018 03: +0,0.18,13
Mar 03 2018 04: +0,0.19,7
Mar 03 2018 05: +0,0.21,9
Mar 03 2018 06: +0,0.21,8
Mar 03 2018 07: +0,0.19,7
Mar 03 2018 08: +0,0.195,12
Mar 03 2018 09: +0,0.206,4
Mar 03 2018 10: +0,0.21,15
Mar 03 2018 11: +0,0.161,9
Mar 03 2018 12: +0,0.207,11
Mar 03 2018 13: +0,0.181,21
Mar 03 2018 14: +0,0.18,10
Mar 03 2018 15: +0,0.194,29
Mar 03 2018 16: +0,0.185,31
Mar 03 2018 17: +0,0.138,5
Mar 03 2018 18: +0,0.191,26
Mar 03 2018 19: +0,0.15,20
Mar 03 2018 20: +0,0.155,19
Mar 03 2018 21: +0,0.155,18
Mar 03 2018 22: +0,0.186,24
Mar 03 2018 23: +0,0.176,16
Mar 04 2018 00: +0,0.167,6
Mar 04 2018 01: +0,0.17,22
Mar 04 2018 02: +0,0.15,6
Mar 04 2018 03: +0,0.19,12
Mar 04 2018 04: +0,0.184,5
Mar 04 2018 05: +0,0.196,3
Mar 04 2018 06: +0,0.173,5
Mar 04 2018 07: +0,0.143,2
Mar 04 2018 08: +0,0.171,11
Mar 04 2018 09: +0,0.184,11
Mar 04 2018 10: +0,0.191,5
Mar 04 2018 11: +0,0.184,7
Mar 04 2018 12: +0,0.187,7
Mar 04 2018 13: +0,0.17,9
Mar 04 2018 14: +0,0.113,5
Mar 04 2018 15: +0,0.158,14
Mar 04 2018 16: +0,0.168,47
Mar 04 2018 17: +0,0.171,10
Mar 04 2018 18: +0,0.184,23
Mar 04 2018 19: +0,0.16,8
Mar 04 2018 20: +0,0.163,14
Mar 04 2018 21: +0,0.191,29
Mar 04 2018 22: +0,0.172,10
Mar 04 2018 23: +0,0.17,11
Mar 05 2018 00: +0,0.151,11
Mar 05 2018 01: +0,0.16,5
Mar 05 2018 02: +0,0.145,2
Mar 05 2018 03: +0,0.161,8
Mar 05 2018 04: +0,0.16,5
Mar 05 2018 05: +0,0.159,5
Mar 05 2018 06: +0,0.16,5
Mar 05 2018 07: +0,0.161,2
Mar 05 2018 08: +0,0.154,7
Mar 05 2018 09: +0,0.149,8
Mar 05 2018 10: +0,0.139,2
Mar 05 2018 11: +0,0.132,2
Mar 05 2018 12: +0,0.113,5
Mar 05 2018 13: +0,0.163,19
Mar 05 2018 14: +0,0.15,5
Mar 05 2018 15: +0,0.155,15
Mar 05 2018 16: +0,0.153,15
Mar 05 2018 17: +0,0.134,8
Mar 05 2018 18: +0,0.12,6
Mar 05 2018 19: +0,0.135,9
Mar 05 2018 20: +0,0.131,12
Mar 05 2018 21: +0,0.141,22
Mar 05 2018 22: +0,0.157,12
Mar 05 2018 23: +0,0.172,15
Mar 06 2018 00: +0,0.15,3
Mar 06 2018 01: +0,0.135,5
Mar 06 2018 02: +0,0.146,2
Mar 06 2018 03: +0,0.13,2
Mar 06 2018 04: +0,0.138,10
Mar 06 2018 05: +0,0.138,2
Mar 06 2018 06: +0,0.15,9
Mar 06 2018 07: +0,0.144,2
Mar 06 2018 08: +0,0.139,5
Mar 06 2018 09: +0,0.142,12
Mar 06 2018 10: +0,0.139,9
Mar 06 2018 11: +0,0.142,11
Mar 06 2018 12: +0,0.16,33
Mar 06 2018 13: +0,0.172,12
Mar 06 2018 14: +0,0.151,8
Mar 06 2018 15: +0,0.148,21
Mar 06 2018 16: +0,0.154,18
Mar 06 2018 17: +0,0.152,17
Mar 06 2018 18: +0,0.159,17
Mar 06 2018 19: +0,0.148,16
Mar 06 2018 20: +0,0.129,8
Mar 06 2018 21: +0,0.127,13
Mar 06 2018 22: +0,0.144,10
Mar 06 2018 23: +0,0.158,7
Mar 07 2018 00: +0,0.16,28
Mar 07 2018 01: +0,0.188,2
Mar 07 2018 02: +0,0.15,3
Mar 07 2018 03: +0,0.14,2
Mar 07 2018 04: +0,0.115,1
Mar 07 2018 05: +0,0.137,2
Mar 07 2018 06: +0,0.16,18
Mar 07 2018 07: +0,0.149,1
Mar 07 2018 09: +0,0.181,1
Mar 07 2018 10: +0,0.182,1
Mar 07 2018 11: +0,0.165,6
Mar 07 2018 12: +0,0.177,17
Mar 07 2018 13: +0,0.157,3
Mar 07 2018 14: +0,0.17,7
Mar 07 2018 15: +0,0.159,7
Mar 07 2018 16: +0,0.157,2
Mar 07 2018 17: +0,0.145,13
Mar 07 2018 18: +0,0.129,11
Mar 07 2018 19: +0,0.16,15
Mar 07 2018 20: +0,0.156,8
Mar 07 2018 21: +0,0.147,15
Mar 07 2018 22: +0,0.145,4
Mar 07 2018 23: +0,0.161,12
Mar 08 2018 00: +0,0.16,22
Mar 08 2018 01: +0,0.174,12
Mar 08 2018 02: +0,0.165,2
Mar 08 2018 03: +0,0.15,1
Mar 08 2018 04: +0,0.15,3
Mar 08 2018 05: +0,0.141,3
Mar 08 2018 06: +0,0.155,4
Mar 08 2018 07: +0,0.172,1
Mar 08 2018 08: +0,0.161,4
Mar 08 2018 09: +0,0.131,2
Mar 08 2018 10: +0,0.161,3
Mar 08 2018 11: +0,0.143,5
Mar 08 2018 12: +0,0.152,5
Mar 08 2018 13: +0,0.146,8
Mar 08 2018 14: +0,0.161,9
Mar 08 2018 15: +0,0.17,19
Mar 08 2018 16: +0,0.172,15
Mar 08 2018 17: +0,0.154,11
Mar 08 2018 18: +0,0.169,21
Mar 08 2018 19: +0,0.15,5
Mar 08 2018 20: +0,0.143,17
Mar 08 2018 21: +0,0.157,13
Mar 08 2018 22: +0,0.157,11
Mar 08 2018 23: +0,0.144,17
Mar 09 2018 00: +0,0.172,18
Mar 09 2018 01: +0,0.154,13
Mar 09 2018 02: +0,0.16,9
Mar 09 2018 03: +0,0.16,3
Mar 09 2018 04: +0,0.142,5
Mar 09 2018 05: +0,0.139,2
Mar 09 2018 06: +0,0.164,6
Mar 09 2018 07: +0,0.172,1
Mar 09 2018 08: +0,0.15,2
Mar 09 2018 09: +0,0.092,3
Mar 09 2018 10: +0,0.161,9
Mar 09 2018 11: +0,0.177,16
Mar 09 2018 12: +0,0.148,5
Mar 09 2018 13: +0,0.168,18
Mar 09 2018 14: +0,0.142,6
Mar 09 2018 15: +0,0.14,5
Mar 09 2018 16: +0,0.146,6
Mar 09 2018 17: +0,0.16,18
Mar 09 2018 18: +0,0.161,19
Mar 09 2018 19: +0,0.142,13
Mar 09 2018 20: +0,0.151,10
Mar 09 2018 21: +0,0.133,5
Mar 09 2018 22: +0,0.15,11
Mar 09 2018 23: +0,0.132,14
Mar 10 2018 00: +0,0.138,8
Mar 10 2018 01: +0,0.156,21
