Nov 28 2013 01: +0,0.579,8
Nov 29 2013 01: +0,0.522,23
Nov 30 2013 01: +0,0.344,37
Dec 01 2013 01: +0,0.336,53
Dec 02 2013 01: +0,0.322,34
Dec 03 2013 01: +0,0.266,39
Dec 04 2013 01: +0,0.252,45
Dec 05 2013 01: +0,0.28,40
Dec 06 2013 01: +0,0.234,36
Dec 07 2013 01: +0,0.245,58
Dec 08 2013 01: +0,0.25,51
Dec 09 2013 01: +0,0.243,47
Dec 10 2013 01: +0,0.252,42
Dec 11 2013 01: +0,0.216,44
Dec 12 2013 01: +0,0.204,30
Dec 13 2013 01: +0,0.192,38
Dec 14 2013 01: +0,0.179,48
Dec 15 2013 01: +0,0.183,53
Dec 16 2013 01: +0,0.167,52
Dec 17 2013 01: +0,0.162,56
Dec 18 2013 01: +0,0.172,38
Dec 19 2013 01: +0,0.144,50
Dec 20 2013 01: +0,0.122,64
Dec 21 2013 01: +0,0.123,86
Dec 22 2013 01: +0,0.112,84
Dec 23 2013 01: +0,0.107,75
Dec 24 2013 01: +0,0.118,76
Dec 25 2013 01: +0,0.155,60
Dec 26 2013 01: +0,0.173,67
Dec 27 2013 01: +0,0.176,93
Dec 28 2013 01: +0,0.165,77
Dec 29 2013 01: +0,0.159,85
Dec 30 2013 01: +0,0.126,92
Dec 31 2013 01: +0,0.139,85
Jan 01 2014 01: +0,0.141,73
Jan 02 2014 01: +0,0.142,98
Jan 03 2014 01: +0,0.15,62
Jan 04 2014 01: +0,0.139,113
Jan 05 2014 01: +0,0.139,113
Jan 06 2014 01: +0,0.131,113
Jan 07 2014 01: +0,0.146,113
Jan 08 2014 01: +0,0.123,76
Jan 09 2014 01: +0,0.134,104
Jan 10 2014 01: +0,0.131,113
Jan 11 2014 01: +0,0.144,101
Jan 12 2014 01: +0,0.123,107
Jan 13 2014 01: +0,0.12,108
Jan 14 2014 01: +0,0.114,113
Jan 15 2014 01: +0,0.115,96
Jan 16 2014 01: +0,0.119,109
Jan 17 2014 01: +0,0.112,89
Jan 18 2014 01: +0,0.112,102
Jan 19 2014 01: +0,0.111,123
Jan 20 2014 01: +0,0.118,118
Jan 21 2014 01: +0,0.108,100
Jan 22 2014 01: +0,0.113,108
Jan 23 2014 01: +0,0.094,110
Jan 24 2014 01: +0,0.098,125
Jan 25 2014 01: +0,0.124,111
Jan 26 2014 01: +0,0.1,119
Jan 27 2014 01: +0,0.088,143
Jan 28 2014 01: +0,0.095,113
Jan 29 2014 01: +0,0.093,127
Jan 30 2014 01: +0,0.079,119
Jan 31 2014 01: +0,0.078,104
Feb 01 2014 01: +0,0.081,177
Feb 02 2014 01: +0,0.087,143
Feb 03 2014 01: +0,0.077,136
Feb 04 2014 01: +0,0.087,122
Feb 05 2014 01: +0,0.076,103
Feb 06 2014 01: +0,0.061,133
Feb 07 2014 01: +0,0.069,139
Feb 08 2014 01: +0,0.062,147
Feb 09 2014 01: +0,0.063,184
Feb 10 2014 01: +0,0.067,161
Feb 11 2014 01: +0,0.066,169
Feb 12 2014 01: +0,0.062,101
Feb 13 2014 01: +0,0.049,134
Feb 14 2014 01: +0,0.063,140
Feb 15 2014 01: +0,0.06,164
Feb 16 2014 01: +0,0.054,173
