May 27 2015 01: +0,1.19,121
May 28 2015 01: +0,0.868,130
May 29 2015 01: +0,0.981,76
May 30 2015 01: +0,1.116,66
May 31 2015 01: +0,1.149,65
Jun 01 2015 01: +0,1.278,40
Jun 02 2015 01: +0,1.14,38
Jun 03 2015 01: +0,0.937,51
Jun 04 2015 01: +0,0.711,109
Jun 05 2015 01: +0,0.727,81
Jun 06 2015 01: +0,0.769,89
Jun 07 2015 01: +0,0.944,68
Jun 08 2015 01: +0,0.82,54
Jun 09 2015 01: +0,0.819,48
Jun 10 2015 01: +0,0.775,51
Jun 11 2015 01: +0,0.703,87
Jun 12 2015 01: +0,0.687,84
Jun 13 2015 01: +0,0.716,100
Jun 14 2015 01: +0,0.664,83
Jun 15 2015 01: +0,0.677,72
Jun 16 2015 01: +0,0.679,67
Jun 17 2015 01: +0,0.643,68
Jun 18 2015 01: +0,0.61,70
Jun 19 2015 01: +0,0.607,100
Jun 20 2015 01: +0,0.602,83
Jun 21 2015 01: +0,0.545,96
Jun 22 2015 01: +0,0.536,106
Jun 23 2015 01: +0,0.602,57
Jun 24 2015 01: +0,0.564,95
Jun 25 2015 01: +0,0.602,79
Jun 26 2015 01: +0,0.631,89
Jun 27 2015 01: +0,0.632,98
Jun 28 2015 01: +0,0.587,90
Jun 29 2015 01: +0,0.599,84
Jun 30 2015 01: +0,0.571,100
Jul 01 2015 01: +0,0.613,84
Jul 02 2015 01: +0,0.596,91
Jul 03 2015 01: +0,0.574,89
Jul 04 2015 01: +0,0.591,94
Jul 05 2015 01: +0,0.577,86
Jul 06 2015 01: +0,0.636,113
Jul 07 2015 01: +0,0.552,79
Jul 08 2015 01: +0,0.56,75
Jul 09 2015 01: +0,0.53,100
Jul 10 2015 01: +0,0.524,95
Jul 11 2015 01: +0,0.538,81
Jul 12 2015 01: +0,0.518,97
Jul 13 2015 01: +0,0.546,68
Jul 14 2015 01: +0,0.503,80
Jul 15 2015 01: +0,0.511,96
Jul 16 2015 01: +0,0.505,72
Jul 17 2015 01: +0,0.489,78
Jul 18 2015 01: +0,0.506,105
Jul 19 2015 01: +0,0.525,71
Jul 20 2015 01: +0,0.483,88
Jul 21 2015 01: +0,0.442,77
Jul 22 2015 01: +0,0.479,71
Jul 23 2015 01: +0,0.441,100
Jul 24 2015 01: +0,0.438,80
Jul 25 2015 01: +0,0.448,82
Jul 26 2015 01: +0,0.462,76
Jul 27 2015 01: +0,0.453,82
Jul 28 2015 01: +0,0.456,76
Jul 29 2015 01: +0,0.451,90
Jul 30 2015 01: +0,0.461,73
Jul 31 2015 01: +0,0.496,91
Aug 01 2015 01: +0,0.483,86
Aug 02 2015 01: +0,0.445,100
Aug 03 2015 01: +0,0.444,82
Aug 04 2015 01: +0,0.437,83
Aug 05 2015 01: +0,0.423,87
Aug 06 2015 01: +0,0.42,107
Aug 07 2015 01: +0,0.432,77
Aug 08 2015 01: +0,0.439,110
Aug 09 2015 01: +0,0.452,93
Aug 10 2015 01: +0,0.413,77
Aug 11 2015 01: +0,0.4,98
Aug 12 2015 01: +0,0.418,104
Aug 13 2015 01: +0,0.392,76
Aug 14 2015 01: +0,0.381,102
Aug 15 2015 01: +0,0.342,118
Aug 16 2015 01: +0,0.347,67
Aug 17 2015 01: +0,0.364,97
Aug 18 2015 01: +0,0.393,83
Aug 19 2015 01: +0,0.379,90
Aug 20 2015 01: +0,0.37,105
Aug 21 2015 01: +0,0.353,87
Aug 22 2015 01: +0,0.392,103
Aug 23 2015 01: +0,0.332,125
Aug 24 2015 01: +0,0.363,81
Aug 25 2015 01: +0,0.393,84
Aug 26 2015 01: +0,0.424,101
Aug 27 2015 01: +0,0.41,107
Aug 28 2015 01: +0,0.451,97
Aug 29 2015 01: +0,0.424,102
Aug 30 2015 01: +0,0.431,109
Aug 31 2015 01: +0,0.467,95
Sep 01 2015 01: +0,0.426,66
Sep 02 2015 01: +0,0.427,110
Sep 03 2015 01: +0,0.404,78
Sep 04 2015 01: +0,0.438,94
Sep 05 2015 01: +0,0.413,95
Sep 06 2015 01: +0,0.435,94
Sep 07 2015 01: +0,0.451,84
Sep 08 2015 01: +0,0.417,68
Sep 09 2015 01: +0,0.418,75
Sep 10 2015 01: +0,0.421,86
Sep 11 2015 01: +0,0.409,103
Sep 12 2015 01: +0,0.482,130
Sep 13 2015 01: +0,0.4,89
Sep 14 2015 01: +0,0.399,92
Sep 15 2015 01: +0,0.395,81
Sep 16 2015 01: +0,0.39,102
Sep 17 2015 01: +0,0.415,67
Sep 18 2015 01: +0,0.378,120
Sep 19 2015 01: +0,0.379,121
Sep 20 2015 01: +0,0.373,115
Sep 21 2015 01: +0,0.39,111
Sep 22 2015 01: +0,0.35,97
Sep 23 2015 01: +0,0.36,102
Sep 24 2015 01: +0,0.356,87
Sep 25 2015 01: +0,0.36,113
Sep 26 2015 01: +0,0.361,147
Sep 27 2015 01: +0,0.356,159
Sep 28 2015 01: +0,0.35,113
Sep 29 2015 01: +0,0.345,92
Sep 30 2015 01: +0,0.357,115
Oct 01 2015 01: +0,0.341,94
Oct 02 2015 01: +0,0.352,125
Oct 03 2015 01: +0,0.372,112
Oct 04 2015 01: +0,0.348,107
Oct 05 2015 01: +0,0.336,97
Oct 06 2015 01: +0,0.371,79
Oct 07 2015 01: +0,0.348,81
Oct 08 2015 01: +0,0.381,75
Oct 09 2015 01: +0,0.373,68
Oct 10 2015 01: +0,0.339,107
Oct 11 2015 01: +0,0.375,71
Oct 12 2015 01: +0,0.326,68
Oct 13 2015 01: +0,0.322,68
Oct 14 2015 01: +0,0.372,79
Oct 15 2015 01: +0,0.355,63
Oct 16 2015 01: +0,0.32,62
Oct 17 2015 01: +0,0.372,96
Oct 18 2015 01: +0,0.318,56
Oct 19 2015 01: +0,0.305,96
