Dec 09 2015 01: +0,2.442,424
Dec 10 2015 01: +0,1.382,382
Dec 11 2015 01: +0,1.272,326
Dec 12 2015 01: +0,1.138,380
Dec 13 2015 01: +0,1.053,337
Dec 14 2015 01: +0,1.008,288
Dec 15 2015 01: +0,1.005,288
Dec 16 2015 01: +0,0.992,229
Dec 17 2015 01: +0,0.856,209
Dec 18 2015 01: +0,0.922,279
Dec 19 2015 01: +0,0.821,340
Dec 20 2015 01: +0,0.809,301
Dec 21 2015 01: +0,0.794,255
Dec 22 2015 01: +0,0.745,254
Dec 23 2015 01: +0,0.697,232
Dec 24 2015 01: +0,0.676,287
Dec 25 2015 01: +0,0.775,240
Dec 26 2015 01: +0,0.877,265
Dec 27 2015 01: +0,0.827,283
Dec 28 2015 01: +0,0.769,295
Dec 29 2015 01: +0,0.728,276
Dec 30 2015 01: +0,0.691,228
Dec 31 2015 01: +0,0.683,279
Jan 01 2016 01: +0,0.657,262
Jan 02 2016 01: +0,0.633,260
Jan 03 2016 01: +0,0.627,312
Jan 04 2016 01: +0,0.615,285
Jan 05 2016 01: +0,0.621,239
Jan 06 2016 01: +0,0.664,223
Jan 07 2016 01: +0,0.634,170
Jan 08 2016 01: +0,0.637,223
Jan 09 2016 01: +0,0.653,259
Jan 10 2016 01: +0,0.633,199
Jan 11 2016 01: +0,0.6,188
Jan 12 2016 01: +0,0.617,191
Jan 13 2016 01: +0,0.657,145
Jan 14 2016 01: +0,0.623,190
Jan 15 2016 01: +0,0.594,205
Jan 16 2016 01: +0,0.631,291
Jan 17 2016 01: +0,0.599,201
Jan 18 2016 01: +0,0.604,160
Jan 19 2016 01: +0,0.624,164
Jan 20 2016 01: +0,0.579,163
Jan 21 2016 01: +0,0.611,200
Jan 22 2016 01: +0,0.626,140
Jan 23 2016 01: +0,0.593,186
Jan 24 2016 01: +0,0.6,227
Jan 25 2016 01: +0,0.62,194
Jan 26 2016 01: +0,0.581,142
Jan 27 2016 01: +0,0.606,162
Jan 28 2016 01: +0,0.593,150
Jan 29 2016 01: +0,0.577,199
Jan 30 2016 01: +0,0.586,259
Jan 31 2016 01: +0,0.55,158
Feb 01 2016 01: +0,0.584,182
Feb 02 2016 01: +0,0.587,167
Feb 03 2016 01: +0,0.582,144
Feb 04 2016 01: +0,0.579,137
Feb 05 2016 01: +0,0.581,158
Feb 06 2016 01: +0,0.543,217
Feb 07 2016 01: +0,0.502,197
Feb 08 2016 01: +0,0.458,135
Feb 09 2016 01: +0,0.478,153
Feb 10 2016 01: +0,0.462,183
Feb 11 2016 01: +0,0.465,127
Feb 12 2016 01: +0,0.484,147
Feb 13 2016 01: +0,0.545,219
Feb 14 2016 01: +0,0.544,158
Feb 15 2016 01: +0,0.545,188
Feb 16 2016 01: +0,0.542,141
Feb 17 2016 01: +0,0.536,147
Feb 18 2016 01: +0,0.41,216
Feb 19 2016 01: +0,0.446,210
Feb 20 2016 01: +0,0.507,182
Feb 21 2016 01: +0,0.497,199
Feb 22 2016 01: +0,0.486,149
