Aug 16 2013 01: +0,1.658,4
Aug 17 2013 01: +0,2.159,4
Aug 18 2013 01: +0,1.877,6
Aug 19 2013 01: +0,1.52,3
Aug 20 2013 01: +0,1.558,2
Aug 21 2013 01: +0,1.737,2
Aug 22 2013 01: +0,1.49,4
Aug 23 2013 01: +0,1.319,5
Aug 24 2013 01: +0,0.925,5
Aug 25 2013 01: +0,0.765,10
Aug 26 2013 01: +0,0.889,4
Aug 27 2013 01: +0,0.821,4
Aug 28 2013 01: +0,0.932,8
Aug 29 2013 01: +0,0.811,10
Aug 30 2013 01: +0,0.882,4
Aug 31 2013 01: +0,0.477,9
Sep 01 2013 01: +0,0.699,9
Sep 02 2013 01: +0,0.661,9
Sep 03 2013 01: +0,0.653,4
Sep 04 2013 01: +0,0.735,2
Sep 05 2013 01: +0,0.709,2
Sep 06 2013 01: +0,0.673,8
Sep 07 2013 01: +0,0.685,8
Sep 08 2013 01: +0,0.749,4
Sep 09 2013 01: +0,0.716,4
Sep 10 2013 01: +0,0.604,6
Sep 11 2013 01: +0,0.637,8
Sep 12 2013 01: +0,0.566,5
Sep 13 2013 01: +0,0.581,10
Sep 14 2013 01: +0,0.675,5
Sep 15 2013 01: +0,0.639,11
Sep 16 2013 01: +0,0.662,8
Sep 17 2013 01: +0,0.531,5
Sep 18 2013 01: +0,0.525,5
Sep 19 2013 01: +0,0.4,8
Sep 20 2013 01: +0,0.72,30
Sep 21 2013 01: +0,0.431,7
Sep 22 2013 01: +0,0.399,15
Sep 23 2013 01: +0,0.414,17
Sep 24 2013 01: +0,0.339,5
Sep 25 2013 01: +0,0.309,6
Sep 26 2013 01: +0,0.382,4
Sep 27 2013 01: +0,0.421,15
Sep 28 2013 01: +0,0.325,14
Sep 29 2013 01: +0,0.343,10
Sep 30 2013 01: +0,0.511,2
Oct 01 2013 01: +0,0.259,3
Oct 02 2013 01: +0,0.413,4
Oct 03 2013 01: +0,0.259,4
Oct 04 2013 01: +0,0.434,7
Oct 05 2013 01: +0,0.386,10
Oct 06 2013 01: +0,0.264,7
Oct 07 2013 01: +0,0.316,12
Oct 08 2013 01: +0,0.274,4
Oct 09 2013 01: +0,0.382,5
Oct 10 2013 01: +0,0.349,4
Oct 11 2013 01: +0,0.296,7
Oct 12 2013 01: +0,0.296,14
Oct 13 2013 01: +0,0.268,15
Oct 14 2013 01: +0,0.306,11
Oct 15 2013 01: +0,0.314,4
Oct 16 2013 01: +0,0.276,4
Oct 17 2013 01: +0,0.317,7
Oct 18 2013 01: +0,0.293,7
Oct 19 2013 01: +0,0.232,11
Oct 20 2013 01: +0,0.254,17
Oct 21 2013 01: +0,0.273,7
Oct 22 2013 01: +0,0.219,14
Oct 23 2013 01: +0,0.256,12
Oct 24 2013 01: +0,0.323,9
Oct 25 2013 01: +0,0.257,4
Oct 26 2013 01: +0,0.2,15
Oct 27 2013 01: +0,0.298,10
Oct 28 2013 01: +0,0.237,19
Oct 29 2013 01: +0,0.287,4
Oct 30 2013 01: +0,0.224,5
Oct 31 2013 01: +0,0.223,8
Nov 01 2013 01: +0,0.262,9
Nov 02 2013 01: +0,0.207,4
Nov 03 2013 01: +0,0.17,12
Nov 04 2013 01: +0,0.236,24
Nov 05 2013 01: +0,0.272,9
Nov 06 2013 01: +0,0.31,15
Nov 07 2013 01: +0,0.282,3
Nov 08 2013 01: +0,0.236,16
Nov 09 2013 01: +0,0.22,2
Nov 10 2013 01: +0,0.206,9
Nov 11 2013 01: +0,0.191,7
Nov 12 2013 01: +0,0.219,7
Nov 13 2013 01: +0,0.235,15
Nov 14 2013 01: +0,0.287,4
Nov 15 2013 01: +0,0.156,4
Nov 16 2013 01: +0,0.066,2
Nov 17 2013 01: +0,0.111,6
Nov 18 2013 01: +0,0.179,16
Nov 19 2013 01: +0,0.13,12
Nov 20 2013 01: +0,0.109,3
Nov 21 2013 01: +0,0.246,15
Nov 22 2013 01: +0,0.197,6
Nov 23 2013 01: +0,0.177,10
Nov 24 2013 01: +0,0.184,7
Nov 25 2013 01: +0,0.212,15
Nov 26 2013 01: +0,0.312,8
Nov 27 2013 01: +0,0.191,5
Nov 28 2013 01: +0,0.203,11
Nov 29 2013 01: +0,0.193,10
Nov 30 2013 01: +0,0.244,3
Dec 01 2013 01: +0,0.229,7
Dec 02 2013 01: +0,0.173,2
Dec 03 2013 01: +0,0.2,11
Dec 04 2013 01: +0,0.184,6
Dec 05 2013 01: +0,0.26,4
Dec 06 2013 01: +0,0.219,7
Dec 07 2013 01: +0,0.214,10
Dec 08 2013 01: +0,0.176,4
Dec 09 2013 01: +0,0.237,16
Dec 10 2013 01: +0,0.233,11
Dec 11 2013 01: +0,0.23,1
Dec 12 2013 01: +0,0.294,1
Dec 13 2013 01: +0,0.334,15
Dec 14 2013 01: +0,0.455,2
Dec 15 2013 01: +0,0.192,3
Dec 16 2013 01: +0,0.193,7
Dec 17 2013 01: +0,0.243,2
Dec 18 2013 01: +0,0.087,3
Dec 19 2013 01: +0,0.197,4
Dec 20 2013 01: +0,0.147,13
Dec 21 2013 01: +0,0.182,6
Dec 22 2013 01: +0,0.122,5
Dec 23 2013 01: +0,0.186,9
Dec 24 2013 01: +0,0.128,4
Dec 25 2013 01: +0,0.088,3
Dec 26 2013 01: +0,0.198,12
Dec 27 2013 01: +0,0.179,11
