May 02 2014 01: +0,1.148,81
May 03 2014 01: +0,0.536,194
May 04 2014 01: +0,0.495,187
May 05 2014 01: +0,0.399,207
May 06 2014 01: +0,0.407,161
May 07 2014 01: +0,0.394,194
May 08 2014 01: +0,0.381,169
May 09 2014 01: +0,0.331,192
May 10 2014 01: +0,0.311,265
May 11 2014 01: +0,0.284,198
May 12 2014 01: +0,0.26,177
May 13 2014 01: +0,0.274,161
May 14 2014 01: +0,0.268,175
May 15 2014 01: +0,0.268,190
May 16 2014 01: +0,0.254,221
May 17 2014 01: +0,0.257,292
May 18 2014 01: +0,0.254,213
May 19 2014 01: +0,0.23,198
May 20 2014 01: +0,0.252,218
May 21 2014 01: +0,0.262,211
May 22 2014 01: +0,0.254,209
May 23 2014 01: +0,0.244,240
May 24 2014 01: +0,0.224,246
May 25 2014 01: +0,0.222,263
May 26 2014 01: +0,0.224,260
May 27 2014 01: +0,0.215,193
May 28 2014 01: +0,0.195,196
May 29 2014 01: +0,0.207,285
May 30 2014 01: +0,0.201,244
May 31 2014 01: +0,0.204,261
Jun 01 2014 01: +0,0.195,233
Jun 02 2014 01: +0,0.19,208
Jun 03 2014 01: +0,0.192,220
Jun 04 2014 01: +0,0.19,188
Jun 05 2014 01: +0,0.192,232
Jun 06 2014 01: +0,0.193,207
Jun 07 2014 01: +0,0.186,281
Jun 08 2014 01: +0,0.176,278
Jun 09 2014 01: +0,0.175,226
Jun 10 2014 01: +0,0.168,195
Jun 11 2014 01: +0,0.166,246
Jun 12 2014 01: +0,0.157,200
Jun 13 2014 01: +0,0.161,307
Jun 14 2014 01: +0,0.169,274
Jun 15 2014 01: +0,0.171,315
Jun 16 2014 01: +0,0.171,322
Jun 17 2014 01: +0,0.161,298
Jun 18 2014 01: +0,0.155,300
Jun 19 2014 01: +0,0.151,261
Jun 20 2014 01: +0,0.14,314
Jun 21 2014 01: +0,0.129,264
Jun 22 2014 01: +0,0.125,306
Jun 23 2014 01: +0,0.11,223
Jun 24 2014 01: +0,0.109,238
Jun 25 2014 01: +0,0.11,281
Jun 26 2014 01: +0,0.117,319
Jun 27 2014 01: +0,0.123,321
Jun 28 2014 01: +0,0.139,366
Jun 29 2014 01: +0,0.127,302
Jun 30 2014 01: +0,0.125,333
Jul 01 2014 01: +0,0.131,305
Jul 02 2014 01: +0,0.11,356
Jul 03 2014 01: +0,0.109,304
Jul 04 2014 01: +0,0.118,268
Jul 05 2014 01: +0,0.116,273
Jul 06 2014 01: +0,0.129,291
Jul 07 2014 01: +0,0.135,312
Jul 08 2014 01: +0,0.135,251
Jul 09 2014 01: +0,0.144,342
Jul 10 2014 01: +0,0.131,313
Jul 11 2014 01: +0,0.129,313
Jul 12 2014 01: +0,0.121,298
Jul 13 2014 01: +0,0.131,328
Jul 14 2014 01: +0,0.126,277
Jul 15 2014 01: +0,0.133,293
Jul 16 2014 01: +0,0.125,294
Jul 17 2014 01: +0,0.129,293
Jul 18 2014 01: +0,0.127,292
Jul 19 2014 01: +0,0.124,299
Jul 20 2014 01: +0,0.12,326
Jul 21 2014 01: +0,0.122,327
Jul 22 2014 01: +0,0.122,281
Jul 23 2014 01: +0,0.124,304
Jul 24 2014 01: +0,0.127,279
Jul 25 2014 01: +0,0.123,282
Jul 26 2014 01: +0,0.122,357
Jul 27 2014 01: +0,0.122,301
Jul 28 2014 01: +0,0.125,315
Jul 29 2014 01: +0,0.125,285
Jul 30 2014 01: +0,0.129,291
Jul 31 2014 01: +0,0.134,397
Aug 01 2014 01: +0,0.124,341
Aug 02 2014 01: +0,0.137,443
Aug 03 2014 01: +0,0.146,361
Aug 04 2014 01: +0,0.13,342
Aug 05 2014 01: +0,0.114,340
Aug 06 2014 01: +0,0.118,347
Aug 07 2014 01: +0,0.12,314
Aug 08 2014 01: +0,0.126,330
Aug 09 2014 01: +0,0.126,288
Aug 10 2014 01: +0,0.119,292
Aug 11 2014 01: +0,0.127,328
Aug 12 2014 01: +0,0.127,387
Aug 13 2014 01: +0,0.127,340
Aug 14 2014 01: +0,0.122,397
Aug 15 2014 01: +0,0.118,430
Aug 16 2014 01: +0,0.129,449
Aug 17 2014 01: +0,0.115,554
Aug 18 2014 01: +0,0.111,374
Aug 19 2014 01: +0,0.117,396
Aug 20 2014 01: +0,0.127,396
Aug 21 2014 01: +0,0.126,375
Aug 22 2014 01: +0,0.131,432
Aug 23 2014 01: +0,0.127,397
Aug 24 2014 01: +0,0.124,390
Aug 25 2014 01: +0,0.131,410
Aug 26 2014 01: +0,0.139,482
Aug 27 2014 01: +0,0.13,338
Aug 28 2014 01: +0,0.132,408
Aug 29 2014 01: +0,0.136,452
Aug 30 2014 01: +0,0.135,530
Aug 31 2014 01: +0,0.134,404
Sep 01 2014 01: +0,0.136,427
Sep 02 2014 01: +0,0.134,345
Sep 03 2014 01: +0,0.139,346
Sep 04 2014 01: +0,0.137,302
Sep 05 2014 01: +0,0.134,374
Sep 06 2014 01: +0,0.131,439
Sep 07 2014 01: +0,0.136,475
Sep 08 2014 01: +0,0.132,294
Sep 09 2014 01: +0,0.13,299
Sep 10 2014 01: +0,0.133,395
Sep 11 2014 01: +0,0.129,403
Sep 12 2014 01: +0,0.121,416
Sep 13 2014 01: +0,0.116,504
Sep 14 2014 01: +0,0.122,489
Sep 15 2014 01: +0,0.122,358
Sep 16 2014 01: +0,0.122,363
Sep 17 2014 01: +0,0.122,374
Sep 18 2014 01: +0,0.121,377
Sep 19 2014 01: +0,0.119,394
Sep 20 2014 01: +0,0.117,516
Sep 21 2014 01: +0,0.119,408
Sep 22 2014 01: +0,0.119,330
