Nov 29 2016 01: +0,2.027,242
Nov 30 2016 01: +0,1.279,322
Dec 01 2016 01: +0,1.06,324
Dec 02 2016 01: +0,0.981,281
Dec 03 2016 01: +0,0.885,309
Dec 04 2016 01: +0,0.816,308
Dec 05 2016 01: +0,0.776,252
Dec 06 2016 01: +0,0.751,229
Dec 07 2016 01: +0,0.776,263
Dec 08 2016 01: +0,0.758,234
Dec 09 2016 01: +0,0.754,248
Dec 10 2016 01: +0,0.762,298
Dec 11 2016 01: +0,0.7,336
Dec 12 2016 01: +0,0.687,240
Dec 13 2016 01: +0,0.667,240
Dec 14 2016 01: +0,0.669,247
Dec 15 2016 01: +0,0.7,259
Dec 16 2016 01: +0,0.66,298
Dec 17 2016 01: +0,0.653,279
Dec 18 2016 01: +0,0.651,324
Dec 19 2016 01: +0,0.624,244
Dec 20 2016 01: +0,0.614,234
Dec 21 2016 01: +0,0.594,245
Dec 22 2016 01: +0,0.583,305
Dec 23 2016 01: +0,0.574,226
Dec 24 2016 01: +0,0.595,254
Dec 25 2016 01: +0,0.694,430
Dec 26 2016 01: +0,0.695,471
Dec 27 2016 01: +0,0.674,359
Dec 28 2016 01: +0,0.64,380
Dec 29 2016 01: +0,0.647,350
Dec 30 2016 01: +0,0.601,289
Dec 31 2016 01: +0,0.599,279
Jan 01 2017 01: +0,0.584,326
Jan 02 2017 01: +0,0.586,335
Jan 03 2017 01: +0,0.581,318
Jan 04 2017 01: +0,0.573,319
Jan 05 2017 01: +0,0.584,306
Jan 06 2017 01: +0,0.575,314
Jan 07 2017 01: +0,0.559,324
Jan 08 2017 01: +0,0.566,392
Jan 09 2017 01: +0,0.558,288
Jan 10 2017 01: +0,0.562,348
Jan 11 2017 01: +0,0.561,405
Jan 12 2017 01: +0,0.545,293
Jan 13 2017 01: +0,0.53,418
Jan 14 2017 01: +0,0.597,376
Jan 15 2017 01: +0,0.541,355
Jan 16 2017 01: +0,0.538,337
Jan 17 2017 01: +0,0.533,298
Jan 18 2017 01: +0,0.536,330
Jan 19 2017 01: +0,0.531,346
Jan 20 2017 01: +0,0.536,300
Jan 21 2017 01: +0,0.521,349
Jan 22 2017 01: +0,0.51,322
Jan 23 2017 01: +0,0.513,325
Jan 24 2017 01: +0,0.492,321
Jan 25 2017 01: +0,0.513,397
Jan 26 2017 01: +0,0.5,393
Jan 27 2017 01: +0,0.505,398
Jan 28 2017 01: +0,0.519,514
Jan 29 2017 01: +0,0.53,471
Jan 30 2017 01: +0,0.539,401
Jan 31 2017 01: +0,0.532,438
Feb 01 2017 01: +0,0.539,495
Feb 02 2017 01: +0,0.549,414
Feb 03 2017 01: +0,0.557,325
Feb 04 2017 01: +0,0.564,409
Feb 05 2017 01: +0,0.566,416
Feb 06 2017 01: +0,0.557,358
Feb 07 2017 01: +0,0.562,323
Feb 08 2017 01: +0,0.552,223
Feb 09 2017 01: +0,0.505,383
Feb 10 2017 01: +0,0.561,422
Feb 11 2017 01: +0,0.567,407
Feb 12 2017 01: +0,0.567,469
Feb 13 2017 01: +0,0.558,327
Feb 14 2017 01: +0,0.548,344
