Aug 15 2013 01: +0,1.924,3
Aug 16 2013 01: +0,1.519,12
Aug 17 2013 01: +0,1.245,13
Aug 18 2013 01: +0,0.862,20
Aug 19 2013 01: +0,0.793,21
Aug 20 2013 01: +0,0.746,19
Aug 21 2013 01: +0,0.845,24
Aug 22 2013 01: +0,0.812,19
Aug 23 2013 01: +0,0.689,24
Aug 24 2013 01: +0,0.587,23
Aug 25 2013 01: +0,0.526,25
Aug 26 2013 01: +0,0.489,26
Aug 27 2013 01: +0,0.585,24
Aug 28 2013 01: +0,0.806,13
Aug 29 2013 01: +0,0.585,13
Aug 30 2013 01: +0,0.505,23
Aug 31 2013 01: +0,0.503,28
Sep 01 2013 01: +0,0.538,23
Sep 02 2013 01: +0,0.591,18
Sep 03 2013 01: +0,0.499,15
Sep 04 2013 01: +0,0.574,15
Sep 05 2013 01: +0,0.425,22
Sep 06 2013 01: +0,0.516,23
Sep 07 2013 01: +0,0.46,23
Sep 08 2013 01: +0,0.487,26
Sep 09 2013 01: +0,0.483,20
Sep 10 2013 01: +0,0.479,16
Sep 11 2013 01: +0,0.484,15
Sep 12 2013 01: +0,0.515,16
Sep 13 2013 01: +0,0.379,35
Sep 14 2013 01: +0,0.423,36
Sep 15 2013 01: +0,0.428,29
Sep 16 2013 01: +0,0.424,25
Sep 17 2013 01: +0,0.376,21
Sep 18 2013 01: +0,0.294,20
Sep 19 2013 01: +0,0.288,22
Sep 20 2013 01: +0,0.641,73
Sep 21 2013 01: +0,0.739,36
Sep 22 2013 01: +0,0.453,43
Sep 23 2013 01: +0,0.477,30
Sep 24 2013 01: +0,0.328,19
Sep 25 2013 01: +0,0.257,25
Sep 26 2013 01: +0,0.378,33
Sep 27 2013 01: +0,0.381,27
Sep 28 2013 01: +0,0.367,29
Sep 29 2013 01: +0,0.341,38
Sep 30 2013 01: +0,0.323,25
Oct 01 2013 01: +0,0.359,24
Oct 02 2013 01: +0,0.357,41
Oct 03 2013 01: +0,0.372,25
Oct 04 2013 01: +0,0.339,36
Oct 05 2013 01: +0,0.281,30
Oct 06 2013 01: +0,0.265,42
Oct 07 2013 01: +0,0.252,31
Oct 08 2013 01: +0,0.319,52
Oct 09 2013 01: +0,0.293,26
