May 27 2015 01: +0,0.277,1653
May 28 2015 01: +0,0.286,1471
May 29 2015 01: +0,0.399,950
May 30 2015 01: +0,0.433,674
May 31 2015 01: +0,0.532,450
Jun 01 2015 01: +0,0.533,349
Jun 02 2015 01: +0,0.585,266
Jun 03 2015 01: +0,0.281,2360
Jun 04 2015 01: +0,0.243,1568
Jun 05 2015 01: +0,0.283,1102
Jun 06 2015 01: +0,0.319,771
Jun 07 2015 01: +0,0.334,672
Jun 08 2015 01: +0,0.363,563
Jun 09 2015 01: +0,0.386,378
Jun 10 2015 01: +0,0.232,2358
Jun 11 2015 01: +0,0.221,1485
Jun 12 2015 01: +0,0.225,1271
Jun 13 2015 01: +0,0.272,1100
Jun 14 2015 01: +0,0.263,933
Jun 15 2015 01: +0,0.261,606
Jun 16 2015 01: +0,0.285,625
Jun 17 2015 01: +0,0.191,2170
Jun 18 2015 01: +0,0.199,1599
Jun 19 2015 01: +0,0.211,1281
Jun 20 2015 01: +0,0.234,1084
Jun 21 2015 01: +0,0.238,1021
Jun 22 2015 01: +0,0.251,789
Jun 23 2015 01: +0,0.294,730
Jun 24 2015 01: +0,0.22,2392
Jun 25 2015 01: +0,0.213,1887
Jun 26 2015 01: +0,0.231,1315
Jun 27 2015 01: +0,0.245,1019
Jun 28 2015 01: +0,0.253,1094
Jun 29 2015 01: +0,0.263,877
Jun 30 2015 01: +0,0.274,911
Jul 01 2015 01: +0,0.211,2469
Jul 02 2015 01: +0,0.209,1757
Jul 03 2015 01: +0,0.24,1246
Jul 04 2015 01: +0,0.243,1002
Jul 05 2015 01: +0,0.243,971
Jul 06 2015 01: +0,0.256,904
Jul 07 2015 01: +0,0.273,888
Jul 08 2015 01: +0,0.208,2297
Jul 09 2015 01: +0,0.214,1835
Jul 10 2015 01: +0,0.221,1216
Jul 11 2015 01: +0,0.234,1176
Jul 12 2015 01: +0,0.226,1015
Jul 13 2015 01: +0,0.228,960
Jul 14 2015 01: +0,0.233,836
Jul 15 2015 01: +0,0.194,2374
Jul 16 2015 01: +0,0.191,1704
Jul 17 2015 01: +0,0.201,1300
Jul 18 2015 01: +0,0.212,1150
Jul 19 2015 01: +0,0.217,1091
Jul 20 2015 01: +0,0.225,1081
Jul 21 2015 01: +0,0.231,894
Jul 22 2015 01: +0,0.188,1983
Jul 23 2015 01: +0,0.176,1949
Jul 24 2015 01: +0,0.186,1263
Jul 25 2015 01: +0,0.196,1401
Jul 26 2015 01: +0,0.21,1058
Jul 27 2015 01: +0,0.217,1040
Jul 28 2015 01: +0,0.212,974
Jul 29 2015 01: +0,0.182,2206
Jul 30 2015 01: +0,0.178,1717
Jul 31 2015 01: +0,0.187,1310
Aug 01 2015 01: +0,0.185,1145
Aug 02 2015 01: +0,0.188,1176
Aug 03 2015 01: +0,0.188,1072
Aug 04 2015 01: +0,0.201,939
Aug 05 2015 01: +0,0.166,2217
Aug 06 2015 01: +0,0.166,1720
Aug 07 2015 01: +0,0.171,1319
Aug 08 2015 01: +0,0.18,1119
Aug 09 2015 01: +0,0.186,1170
Aug 10 2015 01: +0,0.2,1118
Aug 11 2015 01: +0,0.198,828
Aug 12 2015 01: +0,0.155,2038
Aug 13 2015 01: +0,0.158,1613
Aug 14 2015 01: +0,0.162,1210
Aug 15 2015 01: +0,0.127,1551
Aug 16 2015 01: +0,0.13,1442
Aug 17 2015 01: +0,0.144,1244
Aug 18 2015 01: +0,0.163,1037
Aug 19 2015 01: +0,0.129,2519
Aug 20 2015 01: +0,0.125,2028
Aug 21 2015 01: +0,0.123,1693
Aug 22 2015 01: +0,0.138,1667
Aug 23 2015 01: +0,0.123,1747
Aug 24 2015 01: +0,0.139,1468
Aug 25 2015 01: +0,0.184,1251
Aug 26 2015 01: +0,0.156,2671
Aug 27 2015 01: +0,0.164,2191
Aug 28 2015 01: +0,0.178,1775
Aug 29 2015 01: +0,0.194,1509
Aug 30 2015 01: +0,0.19,1336
Aug 31 2015 01: +0,0.194,1129
Sep 01 2015 01: +0,0.21,1085
Sep 02 2015 01: +0,0.166,2305
Sep 03 2015 01: +0,0.167,1979
Sep 04 2015 01: +0,0.179,1639
Sep 05 2015 01: +0,0.187,1924
Sep 06 2015 01: +0,0.191,1433
Sep 07 2015 01: +0,0.184,1021
Sep 08 2015 01: +0,0.196,1006
Sep 09 2015 01: +0,0.175,1975
Sep 10 2015 01: +0,0.167,2002
Sep 11 2015 01: +0,0.172,1923
Sep 12 2015 01: +0,0.172,1639
Sep 13 2015 01: +0,0.182,1422
Sep 14 2015 01: +0,0.186,1223
Sep 15 2015 01: +0,0.193,1045
Sep 16 2015 01: +0,0.159,2413
Sep 17 2015 01: +0,0.15,1759
Sep 18 2015 01: +0,0.147,2463
Sep 19 2015 01: +0,0.168,2880
Sep 20 2015 01: +0,0.188,2324
Sep 21 2015 01: +0,0.179,1435
Sep 22 2015 01: +0,0.192,1304
Sep 23 2015 01: +0,0.159,2914
Sep 24 2015 01: +0,0.162,2283
Sep 25 2015 01: +0,0.161,2143
Sep 26 2015 01: +0,0.169,2297
Sep 27 2015 01: +0,0.175,1728
Sep 28 2015 01: +0,0.178,1396
Sep 29 2015 01: +0,0.18,1171
Sep 30 2015 01: +0,0.15,2212
Oct 01 2015 01: +0,0.148,2116
Oct 02 2015 01: +0,0.165,1693
Oct 03 2015 01: +0,0.182,1552
Oct 04 2015 01: +0,0.184,1161
Oct 05 2015 01: +0,0.186,853
Oct 06 2015 01: +0,0.195,842
Oct 07 2015 01: +0,0.206,907
Oct 08 2015 01: +0,0.206,581
Oct 09 2015 01: +0,0.215,796
Oct 10 2015 01: +0,0.221,777
Oct 11 2015 01: +0,0.22,683
Oct 12 2015 01: +0,0.218,553
Oct 13 2015 01: +0,0.215,598
Oct 14 2015 01: +0,0.211,450
Oct 15 2015 01: +0,0.214,503
Oct 16 2015 01: +0,0.204,418
Oct 17 2015 01: +0,0.217,665
Oct 18 2015 01: +0,0.224,630
Oct 19 2015 01: +0,0.205,426
Oct 20 2015 01: +0,0.207,451
Oct 21 2015 01: +0,0.181,452
Oct 22 2015 01: +0,0.178,373
Oct 23 2015 01: +0,0.185,561
Oct 24 2015 01: +0,0.206,554
Oct 25 2015 01: +0,0.205,491
Oct 26 2015 01: +0,0.209,353
Oct 27 2015 01: +0,0.208,404
Oct 28 2015 01: +0,0.206,394
Oct 29 2015 01: +0,0.202,437
Oct 30 2015 01: +0,0.206,461
Oct 31 2015 01: +0,0.209,499
Nov 01 2015 01: +0,0.167,695
Nov 02 2015 01: +0,0.207,533
Nov 03 2015 01: +0,0.221,356
Nov 04 2015 01: +0,0.247,400
Nov 05 2015 01: +0,0.25,297
Nov 06 2015 01: +0,0.259,319
Nov 07 2015 01: +0,0.254,365
Nov 08 2015 01: +0,0.26,373
Nov 09 2015 01: +0,0.249,333
Nov 10 2015 01: +0,0.243,246
Nov 11 2015 01: +0,0.24,265
Nov 12 2015 01: +0,0.24,255
Nov 13 2015 01: +0,0.257,232
Nov 14 2015 01: +0,0.256,282
Nov 15 2015 01: +0,0.965,256
Nov 16 2015 01: +0,0.249,229
Nov 17 2015 01: +0,0.246,242
Nov 18 2015 01: +0,0.258,240
Nov 19 2015 01: +0,0.246,217
Nov 20 2015 01: +0,0.248,232
Nov 21 2015 01: +0,0.259,278
Nov 22 2015 01: +0,0.235,225
Nov 23 2015 01: +0,0.214,228
Nov 24 2015 01: +0,0.239,269
Nov 25 2015 01: +0,0.24,245
Nov 26 2015 01: +0,0.206,256
Nov 27 2015 01: +0,0.199,297
Nov 28 2015 01: +0,0.211,359
Nov 29 2015 01: +0,0.208,280
Nov 30 2015 01: +0,0.211,231
Dec 01 2015 01: +0,0.212,286
Dec 02 2015 01: +0,0.246,204
Dec 03 2015 01: +0,0.273,197
