Jul 02 2014 01: +0,0.297,198
Jul 03 2014 01: +0,0.259,151
Jul 04 2014 01: +0,0.331,94
Jul 05 2014 01: +0,0.227,130
Jul 06 2014 01: +0,0.233,95
Jul 07 2014 01: +0,0.24,87
Jul 08 2014 01: +0,0.218,105
Jul 09 2014 01: +0,0.201,109
Jul 10 2014 01: +0,0.207,106
Jul 11 2014 01: +0,0.193,97
Jul 12 2014 01: +0,0.153,149
Jul 13 2014 01: +0,0.15,149
Jul 14 2014 01: +0,0.149,116
Jul 15 2014 01: +0,0.149,158
Jul 16 2014 01: +0,0.129,129
Jul 17 2014 01: +0,0.12,117
Jul 18 2014 01: +0,0.115,138
Jul 19 2014 01: +0,0.114,120
Jul 20 2014 01: +0,0.11,133
Jul 21 2014 01: +0,0.109,105
Jul 22 2014 01: +0,0.109,156
Jul 23 2014 01: +0,0.099,124
Jul 24 2014 01: +0,0.112,140
Jul 25 2014 01: +0,0.108,127
Jul 26 2014 01: +0,0.098,156
Jul 27 2014 01: +0,0.099,145
Jul 28 2014 01: +0,0.104,142
Jul 29 2014 01: +0,0.098,180
Jul 30 2014 01: +0,0.099,147
Jul 31 2014 01: +0,0.108,130
Aug 01 2014 01: +0,0.101,184
Aug 02 2014 01: +0,0.105,217
Aug 03 2014 01: +0,0.105,200
Aug 04 2014 01: +0,0.11,221
Aug 05 2014 01: +0,0.096,180
Aug 06 2014 01: +0,0.085,166
Aug 07 2014 01: +0,0.095,133
Aug 08 2014 01: +0,0.102,132
Aug 09 2014 01: +0,0.094,159
Aug 10 2014 01: +0,0.095,128
Aug 11 2014 01: +0,0.093,154
Aug 12 2014 01: +0,0.094,146
Aug 13 2014 01: +0,0.096,135
Aug 14 2014 01: +0,0.084,166
Aug 15 2014 01: +0,0.095,230
Aug 16 2014 01: +0,0.09,227
Aug 17 2014 01: +0,0.067,266
Aug 18 2014 01: +0,0.071,211
Aug 19 2014 01: +0,0.081,225
Aug 20 2014 01: +0,0.087,244
Aug 21 2014 01: +0,0.096,200
Aug 22 2014 01: +0,0.091,193
Aug 23 2014 01: +0,0.091,244
Aug 24 2014 01: +0,0.096,229
Aug 25 2014 01: +0,0.1,214
Aug 26 2014 01: +0,0.104,245
Aug 27 2014 01: +0,0.101,192
Aug 28 2014 01: +0,0.1,217
Aug 29 2014 01: +0,0.098,201
Aug 30 2014 01: +0,0.097,231
Aug 31 2014 01: +0,0.104,193
