Sep 20 2013 01: +0,0.868,50
Sep 21 2013 01: +0,0.818,45
Sep 22 2013 01: +0,0.631,48
Sep 23 2013 01: +0,0.623,37
Sep 24 2013 01: +0,0.586,19
Sep 25 2013 01: +0,0.492,43
Sep 26 2013 01: +0,0.524,28
Sep 27 2013 01: +0,0.472,36
Sep 28 2013 01: +0,0.459,40
Sep 29 2013 01: +0,0.336,39
Sep 30 2013 01: +0,0.342,33
Oct 01 2013 01: +0,0.392,45
Oct 02 2013 01: +0,0.42,31
Oct 03 2013 01: +0,0.485,26
Oct 04 2013 01: +0,0.426,41
Oct 05 2013 01: +0,0.377,32
Oct 06 2013 01: +0,0.312,65
Oct 07 2013 01: +0,0.292,38
Oct 08 2013 01: +0,0.271,40
Oct 09 2013 01: +0,0.288,36
Oct 10 2013 01: +0,0.272,58
Oct 11 2013 01: +0,0.27,51
Oct 12 2013 01: +0,0.269,42
Oct 13 2013 01: +0,0.251,56
Oct 14 2013 01: +0,0.279,55
Oct 15 2013 01: +0,0.289,62
Oct 16 2013 01: +0,0.216,63
Oct 17 2013 01: +0,0.213,48
Oct 18 2013 01: +0,0.223,58
Oct 19 2013 01: +0,0.215,47
Oct 20 2013 01: +0,0.198,52
Oct 21 2013 01: +0,0.184,40
Oct 22 2013 01: +0,0.23,54
Oct 23 2013 01: +0,0.234,28
Oct 24 2013 01: +0,0.198,50
Oct 25 2013 01: +0,0.206,45
Oct 26 2013 01: +0,0.191,47
Oct 27 2013 01: +0,0.21,61
Oct 28 2013 01: +0,0.181,52
Oct 29 2013 01: +0,0.177,55
Oct 30 2013 01: +0,0.176,26
Oct 31 2013 01: +0,0.254,46
Nov 01 2013 01: +0,0.164,55
Nov 02 2013 01: +0,0.202,33
Nov 03 2013 01: +0,0.193,29
Nov 04 2013 01: +0,0.152,56
Nov 05 2013 01: +0,0.156,45
Nov 06 2013 01: +0,0.163,58
Nov 07 2013 01: +0,0.162,39
Nov 08 2013 01: +0,0.133,42
Nov 09 2013 01: +0,0.123,63
Nov 10 2013 01: +0,0.094,71
Nov 11 2013 01: +0,0.113,66
Nov 12 2013 01: +0,0.112,42
Nov 13 2013 01: +0,0.12,41
Nov 14 2013 01: +0,0.128,38
Nov 15 2013 01: +0,0.119,41
Nov 16 2013 01: +0,0.125,62
Nov 17 2013 01: +0,0.121,73
Nov 18 2013 01: +0,0.112,40
Nov 19 2013 01: +0,0.117,28
Nov 20 2013 01: +0,0.125,40
Nov 21 2013 01: +0,0.122,28
Nov 22 2013 01: +0,0.108,55
Nov 23 2013 01: +0,0.126,46
Nov 24 2013 01: +0,0.13,54
Nov 25 2013 01: +0,0.113,55
Nov 26 2013 01: +0,0.121,40
Nov 27 2013 01: +0,0.116,41
Nov 28 2013 01: +0,0.103,61
Nov 29 2013 01: +0,0.127,54
Nov 30 2013 01: +0,0.124,59
Dec 01 2013 01: +0,0.153,79
Dec 02 2013 01: +0,0.141,59
Dec 03 2013 01: +0,0.153,38
Dec 04 2013 01: +0,0.159,43
Dec 05 2013 01: +0,0.192,33
Dec 06 2013 01: +0,0.159,36
Dec 07 2013 01: +0,0.17,40
Dec 08 2013 01: +0,0.147,44
Dec 09 2013 01: +0,0.136,44
Dec 10 2013 01: +0,0.139,36
Dec 11 2013 01: +0,0.152,50
Dec 12 2013 01: +0,0.12,36
Dec 13 2013 01: +0,0.129,37
Dec 14 2013 01: +0,0.151,39
Dec 15 2013 01: +0,0.155,38
Dec 16 2013 01: +0,0.145,26
Dec 17 2013 01: +0,0.157,28
Dec 18 2013 01: +0,0.156,27
Dec 19 2013 01: +0,0.146,20
Dec 20 2013 01: +0,0.117,35
Dec 21 2013 01: +0,0.114,42
Dec 22 2013 01: +0,0.131,54
Dec 23 2013 01: +0,0.13,36
Dec 24 2013 01: +0,0.136,34
Dec 25 2013 01: +0,0.128,23
Dec 26 2013 01: +0,0.113,42
Dec 27 2013 01: +0,0.124,55
Dec 28 2013 01: +0,0.14,52
Dec 29 2013 01: +0,0.166,39
Dec 30 2013 01: +0,0.17,42
Dec 31 2013 01: +0,0.124,29
Jan 01 2014 01: +0,0.144,31
Jan 02 2014 01: +0,0.152,27
Jan 03 2014 01: +0,0.132,28
Jan 04 2014 01: +0,0.145,61
Jan 05 2014 01: +0,0.159,38
Jan 06 2014 01: +0,0.167,46
Jan 07 2014 01: +0,0.16,39
Jan 08 2014 01: +0,0.166,34
Jan 09 2014 01: +0,0.16,29
Jan 10 2014 01: +0,0.197,35
Jan 11 2014 01: +0,0.167,31
Jan 12 2014 01: +0,0.171,38
Jan 13 2014 01: +0,0.147,27
Jan 14 2014 01: +0,0.146,42
Jan 15 2014 01: +0,0.174,25
Jan 16 2014 01: +0,0.177,28
Jan 17 2014 01: +0,0.164,27
Jan 18 2014 01: +0,0.168,43
Jan 19 2014 01: +0,0.166,45
Jan 20 2014 01: +0,0.144,45
Jan 21 2014 01: +0,0.151,27
Jan 22 2014 01: +0,0.163,35
Jan 23 2014 01: +0,0.145,32
Jan 24 2014 01: +0,0.158,30
Jan 25 2014 01: +0,0.151,25
Jan 26 2014 01: +0,0.125,44
Jan 27 2014 01: +0,0.152,33
Jan 28 2014 01: +0,0.15,31
Jan 29 2014 01: +0,0.143,38
Jan 30 2014 01: +0,0.128,40
Jan 31 2014 01: +0,0.134,29
Feb 01 2014 01: +0,0.147,44
Feb 02 2014 01: +0,0.144,40
Feb 03 2014 01: +0,0.127,38
Feb 04 2014 01: +0,0.138,36
Feb 05 2014 01: +0,0.137,25
Feb 06 2014 01: +0,0.145,31
Feb 07 2014 01: +0,0.135,34
Feb 08 2014 01: +0,0.132,38
Feb 09 2014 01: +0,0.13,39
Feb 10 2014 01: +0,0.12,48
Feb 11 2014 01: +0,0.128,35
Feb 12 2014 01: +0,0.108,51
Feb 13 2014 01: +0,0.109,19
Feb 14 2014 01: +0,0.085,27
Feb 15 2014 01: +0,0.074,40
Feb 16 2014 01: +0,0.076,57
Feb 17 2014 01: +0,0.062,28
Feb 18 2014 01: +0,0.068,22
Feb 19 2014 01: +0,0.071,16
Feb 20 2014 01: +0,0.069,43
Feb 21 2014 01: +0,0.05,29
Feb 22 2014 01: +0,0.046,50
Feb 23 2014 01: +0,0.059,43
Feb 24 2014 01: +0,0.079,22
Feb 25 2014 01: +0,0.089,25
Feb 26 2014 01: +0,0.048,36
Feb 27 2014 01: +0,0.087,54
Feb 28 2014 01: +0,0.085,27
Mar 01 2014 01: +0,0.07,49
Mar 02 2014 01: +0,0.076,35
Mar 03 2014 01: +0,0.087,16
Mar 04 2014 01: +0,0.07,33
Mar 05 2014 01: +0,0.074,35
Mar 06 2014 01: +0,0.122,19
Mar 07 2014 01: +0,0.567,17
Mar 08 2014 01: +0,0.065,24
Mar 09 2014 01: +0,0.072,43
Mar 10 2014 01: +0,0.06,28
Mar 11 2014 01: +0,0.081,25
Mar 12 2014 01: +0,0.089,29
Mar 13 2014 01: +0,0.09,31
Mar 14 2014 01: +0,0.092,29
Mar 15 2014 01: +0,0.088,33
Mar 16 2014 01: +0,0.07,40
Mar 17 2014 01: +0,0.069,27
Mar 18 2014 01: +0,0.07,42
Mar 19 2014 01: +0,0.083,23
