May 24 2017 01: +0,1.29,10
May 25 2017 01: +0,0.902,28
May 26 2017 01: +0,0.908,21
May 27 2017 01: +0,0.989,18
May 28 2017 01: +0,0.888,19
May 29 2017 01: +0,1.01,18
May 30 2017 01: +0,1.115,10
May 31 2017 01: +0,1.271,19
Jun 01 2017 01: +0,0.721,9
Jun 02 2017 01: +0,0.97,15
Jun 03 2017 01: +0,1.049,18
Jun 04 2017 01: +0,1.202,8
Jun 05 2017 01: +0,1.388,8
Jun 06 2017 01: +0,1.186,6
Jun 07 2017 01: +0,0.852,27
Jun 08 2017 01: +0,0.724,16
Jun 09 2017 01: +0,0.682,24
Jun 10 2017 01: +0,0.786,19
Jun 11 2017 01: +0,0.758,18
Jun 12 2017 01: +0,0.703,10
Jun 13 2017 01: +0,0.681,28
Jun 14 2017 01: +0,0.576,14
Jun 15 2017 01: +0,0.77,20
Jun 16 2017 01: +0,0.985,8
Jun 17 2017 01: +0,0.851,7
Jun 18 2017 01: +0,0.732,13
Jun 19 2017 01: +0,0.717,7
Jun 20 2017 01: +0,0.681,15
Jun 21 2017 01: +0,0.83,8
Jun 22 2017 01: +0,0.626,17
Jun 23 2017 01: +0,0.584,12
Jun 24 2017 01: +0,0.593,17
Jun 25 2017 01: +0,0.726,11
Jun 26 2017 01: +0,0.694,18
Jun 27 2017 01: +0,0.634,14
Jun 28 2017 01: +0,0.592,12
Jun 29 2017 01: +0,0.632,30
Jun 30 2017 01: +0,0.74,12
Jul 01 2017 01: +0,0.721,10
Jul 02 2017 01: +0,0.65,9
Jul 03 2017 01: +0,0.661,19
Jul 04 2017 01: +0,0.574,13
Jul 05 2017 01: +0,0.562,19
Jul 06 2017 01: +0,0.61,24
Jul 07 2017 01: +0,0.553,5
Jul 08 2017 01: +0,0.608,17
Jul 09 2017 01: +0,0.624,5
Jul 10 2017 01: +0,0.531,8
Jul 11 2017 01: +0,0.613,18
Jul 12 2017 01: +0,0.621,14
Jul 13 2017 01: +0,0.564,10
Jul 14 2017 01: +0,0.565,10
Jul 15 2017 01: +0,0.589,21
Jul 16 2017 01: +0,0.635,9
Jul 17 2017 01: +0,0.668,10
Jul 18 2017 01: +0,0.604,7
Jul 19 2017 01: +0,0.626,16
Jul 20 2017 01: +0,0.672,13
Jul 21 2017 01: +0,0.664,19
Jul 22 2017 01: +0,0.621,3
Jul 23 2017 01: +0,0.537,14
Jul 24 2017 01: +0,0.519,15
Jul 25 2017 01: +0,0.557,14
Jul 26 2017 01: +0,0.5,18
Jul 27 2017 01: +0,0.573,22
Jul 28 2017 01: +0,0.594,22
Jul 29 2017 01: +0,0.75,15
Jul 30 2017 01: +0,0.628,16
Jul 31 2017 01: +0,0.613,17
Aug 01 2017 01: +0,0.606,10
Aug 02 2017 01: +0,0.62,8
Aug 03 2017 01: +0,0.604,26
Aug 04 2017 01: +0,0.626,25
Aug 05 2017 01: +0,0.603,13
Aug 06 2017 01: +0,0.606,27
Aug 07 2017 01: +0,0.644,14
Aug 08 2017 01: +0,0.678,6
Aug 09 2017 01: +0,0.628,6
Aug 10 2017 01: +0,0.541,15
Aug 11 2017 01: +0,0.568,20
Aug 12 2017 01: +0,0.606,20
Aug 13 2017 01: +0,0.625,8
Aug 14 2017 01: +0,0.561,19
Aug 15 2017 01: +0,0.607,9
Aug 16 2017 01: +0,0.598,13
Aug 17 2017 01: +0,0.516,11
Aug 18 2017 01: +0,0.554,14
Aug 19 2017 01: +0,0.512,25
Aug 20 2017 01: +0,0.529,17
Aug 21 2017 01: +0,0.555,27
Aug 22 2017 01: +0,0.555,6
Aug 23 2017 01: +0,0.536,8
Aug 24 2017 01: +0,0.524,7
Aug 25 2017 01: +0,0.497,21
Aug 26 2017 01: +0,0.518,18
Aug 27 2017 01: +0,0.493,16
Aug 28 2017 01: +0,0.496,18
Aug 29 2017 01: +0,0.533,16
Aug 30 2017 01: +0,0.5,8
Aug 31 2017 01: +0,0.511,13
Sep 01 2017 01: +0,0.592,18
Sep 02 2017 01: +0,0.557,19
Sep 03 2017 01: +0,0.558,12
Sep 04 2017 01: +0,0.656,7
Sep 05 2017 01: +0,0.525,18
Sep 06 2017 01: +0,0.52,8
Sep 07 2017 01: +0,0.53,17
Sep 08 2017 01: +0,0.583,7
Sep 09 2017 01: +0,0.578,13
Sep 10 2017 01: +0,0.542,7
Sep 11 2017 01: +0,0.517,23
Sep 12 2017 01: +0,0.536,20
Sep 13 2017 01: +0,0.53,14
Sep 14 2017 01: +0,0.501,8
Sep 15 2017 01: +0,0.479,11
Sep 16 2017 01: +0,0.512,11
Sep 17 2017 01: +0,0.525,14
Sep 18 2017 01: +0,0.57,16
Sep 19 2017 01: +0,0.518,13
Sep 20 2017 01: +0,0.542,11
Sep 21 2017 01: +0,0.501,9
Sep 22 2017 01: +0,0.501,8
Sep 23 2017 01: +0,0.516,11
Sep 24 2017 01: +0,0.467,19
Sep 25 2017 01: +0,0.497,9
Sep 26 2017 01: +0,0.432,7
Sep 27 2017 01: +0,0.507,15
Sep 28 2017 01: +0,0.556,18
Sep 29 2017 01: +0,0.6,17
Sep 30 2017 01: +0,0.483,9
Oct 01 2017 01: +0,0.495,9
Oct 02 2017 01: +0,0.528,14
Oct 03 2017 01: +0,0.466,5
Oct 04 2017 01: +0,0.488,11
Oct 05 2017 01: +0,0.432,8
Oct 06 2017 01: +0,0.479,15
Oct 07 2017 01: +0,0.553,14
Oct 08 2017 01: +0,0.496,10
Oct 09 2017 01: +0,0.503,2
Oct 10 2017 01: +0,0.46,1
Oct 11 2017 01: +0,0.444,9
Oct 12 2017 01: +0,0.509,14
Oct 13 2017 01: +0,0.483,4
Oct 14 2017 01: +0,0.461,8
Oct 15 2017 01: +0,0.476,15
Oct 16 2017 01: +0,0.533,9
Oct 17 2017 01: +0,0.458,19
Oct 18 2017 01: +0,0.485,10
Oct 19 2017 01: +0,0.521,6
Oct 20 2017 01: +0,0.475,17
Oct 21 2017 01: +0,0.476,6
Oct 22 2017 01: +0,0.522,5
Oct 23 2017 01: +0,0.452,8
Oct 24 2017 01: +0,0.486,4
Oct 25 2017 01: +0,0.503,4
Oct 26 2017 01: +0,0.53,5
Oct 27 2017 01: +0,0.48,3
Oct 28 2017 01: +0,0.491,20
Oct 29 2017 01: +0,0.447,8
Oct 30 2017 01: +0,0.466,4
Oct 31 2017 01: +0,0.414,11
Nov 01 2017 01: +0,0.355,2
Nov 02 2017 01: +0,0.427,11
Nov 03 2017 01: +0,0.43,19
Nov 04 2017 01: +0,0.434,15
Nov 05 2017 01: +0,0.425,13
Nov 06 2017 01: +0,0.444,2
Nov 07 2017 01: +0,0.447,3
Nov 08 2017 01: +0,0.448,2
Nov 09 2017 01: +0,0.472,1
Nov 10 2017 01: +0,0.384,7
Nov 11 2017 01: +0,0.428,14
Nov 12 2017 01: +0,0.396,2
Nov 13 2017 01: +0,0.415,11
Nov 15 2017 01: +0,0.44,5
Nov 16 2017 01: +0,0.42,7
Nov 17 2017 01: +0,0.472,22
Nov 18 2017 01: +0,0.442,6
Nov 19 2017 01: +0,0.528,10
Nov 20 2017 01: +0,0.477,9
Nov 21 2017 01: +0,0.486,3
Nov 22 2017 01: +0,0.4,1
Nov 23 2017 01: +0,0.406,2
Nov 24 2017 01: +0,0.401,11
Nov 25 2017 01: +0,0.404,2
Nov 26 2017 01: +0,0.43,10
Nov 27 2017 01: +0,0.43,6
Nov 28 2017 01: +0,0.416,10
Nov 29 2017 01: +0,0.405,6
Nov 30 2017 01: +0,0.432,15
Dec 01 2017 01: +0,0.471,24
Dec 02 2017 01: +0,0.488,13
Dec 03 2017 01: +0,0.566,1
Dec 04 2017 01: +0,0.57,1
Dec 05 2017 01: +0,0.507,5
Dec 06 2017 01: +0,0.483,9
Dec 07 2017 01: +0,0.496,6
Dec 08 2017 01: +0,0.42,2
Dec 09 2017 01: +0,0.492,3
Dec 10 2017 01: +0,0.52,3
Dec 11 2017 01: +0,0.468,6
Dec 12 2017 01: +0,0.429,8
Dec 13 2017 01: +0,0.415,10
Dec 14 2017 01: +0,0.47,3
Dec 15 2017 01: +0,0.474,1
Dec 16 2017 01: +0,0.465,4
Dec 17 2017 01: +0,0.416,3
Dec 18 2017 01: +0,0.482,23
Dec 19 2017 01: +0,0.604,4
Dec 20 2017 01: +0,0.343,2
Dec 21 2017 01: +0,0.55,3
Dec 22 2017 01: +0,0.507,3
Dec 23 2017 01: +0,0.466,5
Dec 24 2017 01: +0,0.474,3
Dec 25 2017 01: +0,0.409,7
Dec 26 2017 01: +0,0.462,6
Dec 27 2017 01: +0,0.486,6
Dec 28 2017 01: +0,0.419,6
Dec 29 2017 01: +0,0.534,8
Dec 30 2017 01: +0,0.544,6
Dec 31 2017 01: +0,0.424,10
Jan 01 2018 01: +0,0.598,22
Jan 03 2018 01: +0,0.61,5
Jan 04 2018 01: +0,0.596,7
Jan 05 2018 01: +0,0.593,3
Jan 06 2018 01: +0,0.459,4
Jan 07 2018 01: +0,0.562,5
Jan 08 2018 01: +0,0.554,3
Jan 09 2018 01: +0,0.509,18
Jan 10 2018 01: +0,0.547,2
Jan 11 2018 01: +0,0.582,3
Jan 12 2018 01: +0,0.574,3
Jan 13 2018 01: +0,0.529,12
Jan 14 2018 01: +0,0.558,3
Jan 15 2018 01: +0,0.552,2
Jan 16 2018 01: +0,0.519,6
Jan 17 2018 01: +0,0.567,3
Jan 18 2018 01: +0,0.534,3
Jan 19 2018 01: +0,0.55,10
Jan 20 2018 01: +0,0.569,5
Jan 21 2018 01: +0,0.571,8
Jan 22 2018 01: +0,0.638,7
Jan 23 2018 01: +0,0.61,13
Jan 24 2018 01: +0,0.537,2
Jan 25 2018 01: +0,0.597,5
Jan 26 2018 01: +0,0.675,8
Jan 27 2018 01: +0,0.682,3
Jan 28 2018 01: +0,0.727,3
Jan 29 2018 01: +0,0.748,2
Jan 30 2018 01: +0,0.606,5
Jan 31 2018 01: +0,0.634,4
Feb 01 2018 01: +0,0.712,1
Feb 02 2018 01: +0,0.701,1
Feb 03 2018 01: +0,0.682,5
Feb 04 2018 01: +0,0.598,5
Feb 06 2018 01: +0,0.601,8
Feb 07 2018 01: +0,0.674,7
Feb 09 2018 01: +0,0.61,5
Feb 10 2018 01: +0,0.614,8
Feb 11 2018 01: +0,0.656,4
