Sep 20 2013 01: +0,3.965,2
Sep 21 2013 01: +0,1.55,12
Sep 22 2013 01: +0,1.478,7
Sep 23 2013 01: +0,1.197,8
Sep 24 2013 01: +0,1.126,3
Sep 25 2013 01: +0,0.804,3
Sep 26 2013 01: +0,1.106,1
Sep 27 2013 01: +0,1.01,3
Sep 28 2013 01: +0,0.713,8
Sep 29 2013 01: +0,0.53,18
Sep 30 2013 01: +0,0.539,12
Oct 01 2013 01: +0,0.621,10
Oct 02 2013 01: +0,0.759,10
Oct 03 2013 01: +0,0.808,9
Oct 04 2013 01: +0,0.669,11
Oct 05 2013 01: +0,0.507,11
Oct 06 2013 01: +0,0.541,13
Oct 07 2013 01: +0,0.637,15
Oct 08 2013 01: +0,0.579,12
Oct 09 2013 01: +0,1.051,33
Oct 10 2013 01: +0,1.737,22
Oct 11 2013 01: +0,1.126,21
Oct 12 2013 01: +0,0.511,8
Oct 13 2013 01: +0,0.441,17
Oct 14 2013 01: +0,0.415,19
Oct 15 2013 01: +0,0.421,15
Oct 16 2013 01: +0,0.455,13
Oct 17 2013 01: +0,0.446,11
Oct 18 2013 01: +0,0.397,16
Oct 19 2013 01: +0,0.424,21
Oct 20 2013 01: +0,0.359,28
Oct 21 2013 01: +0,0.42,15
Oct 22 2013 01: +0,0.359,13
Oct 23 2013 01: +0,0.402,16
Oct 24 2013 01: +0,0.379,15
Oct 25 2013 01: +0,0.594,10
Oct 26 2013 01: +0,0.34,13
Oct 27 2013 01: +0,0.356,30
Oct 28 2013 01: +0,0.352,15
Oct 29 2013 01: +0,0.31,8
Oct 30 2013 01: +0,0.261,20
Oct 31 2013 01: +0,0.298,36
Nov 01 2013 01: +0,0.286,14
Nov 02 2013 01: +0,0.302,20
Nov 03 2013 01: +0,0.292,9
Nov 04 2013 01: +0,0.311,13
Nov 05 2013 01: +0,0.284,13
Nov 06 2013 01: +0,0.258,29
Nov 07 2013 01: +0,0.284,15
Nov 08 2013 01: +0,0.244,27
Nov 09 2013 01: +0,0.215,22
Nov 10 2013 01: +0,0.209,28
Nov 11 2013 01: +0,0.191,15
Nov 12 2013 01: +0,0.202,24
Nov 13 2013 01: +0,0.209,23
Nov 14 2013 01: +0,0.189,21
Nov 15 2013 01: +0,0.211,19
Nov 16 2013 01: +0,0.206,15
Nov 17 2013 01: +0,0.166,22
Nov 18 2013 01: +0,0.131,16
Nov 19 2013 01: +0,0.135,20
Nov 20 2013 01: +0,0.16,18
Nov 21 2013 01: +0,0.147,11
Nov 22 2013 01: +0,0.14,22
Nov 23 2013 01: +0,0.122,31
Nov 24 2013 01: +0,0.146,22
Nov 25 2013 01: +0,0.192,15
Nov 26 2013 01: +0,0.172,10
Nov 27 2013 01: +0,0.149,13
Nov 28 2013 01: +0,0.124,13
Nov 29 2013 01: +0,0.097,13
Nov 30 2013 01: +0,0.095,28
Dec 01 2013 01: +0,0.09,31
Dec 02 2013 01: +0,0.109,16
Dec 03 2013 01: +0,0.097,16
Dec 04 2013 01: +0,0.092,28
Dec 05 2013 01: +0,0.077,22
Dec 06 2013 01: +0,0.089,32
