May 02 2014 01: +0,35.016,44
May 03 2014 01: +0,20.824,42
May 04 2014 01: +0,25.227,58
May 05 2014 01: +0,16.402,52
May 06 2014 01: +0,13.708,53
May 07 2014 01: +0,13.451,54
May 08 2014 01: +0,12.343,53
May 09 2014 01: +0,12.058,64
May 10 2014 01: +0,11.916,46
May 11 2014 01: +0,10.878,51
May 12 2014 01: +0,9.113,46
May 13 2014 01: +0,8.199,72
May 14 2014 01: +0,9.361,49
May 15 2014 01: +0,8.523,54
May 16 2014 01: +0,8.499,63
May 17 2014 01: +0,8.379,64
May 18 2014 01: +0,7.933,54
May 19 2014 01: +0,7.938,50
May 20 2014 01: +0,7.683,62
May 21 2014 01: +0,8.114,55
May 22 2014 01: +0,7.761,51
May 23 2014 01: +0,7.882,60
May 24 2014 01: +0,7.559,56
May 25 2014 01: +0,7.025,61
May 26 2014 01: +0,6.704,64
May 27 2014 01: +0,6.816,58
May 28 2014 01: +0,6.828,79
May 29 2014 01: +0,7.101,63
May 30 2014 01: +0,7.436,56
May 31 2014 01: +0,7.081,59
Jun 01 2014 01: +0,7.412,70
Jun 02 2014 01: +0,7.094,69
Jun 03 2014 01: +0,6.772,61
Jun 04 2014 01: +0,6.245,56
Jun 05 2014 01: +0,5.682,66
Jun 06 2014 01: +0,5.181,70
Jun 07 2014 01: +0,5.334,70
Jun 08 2014 01: +0,5.704,70
Jun 09 2014 01: +0,5.787,57
Jun 10 2014 01: +0,5.893,58
Jun 11 2014 01: +0,5.678,69
Jun 12 2014 01: +0,5.534,94
Jun 13 2014 01: +0,5.688,72
Jun 14 2014 01: +0,5.905,78
Jun 15 2014 01: +0,5.913,76
Jun 16 2014 01: +0,6.078,80
Jun 17 2014 01: +0,5.569,70
Jun 18 2014 01: +0,5.394,68
Jun 19 2014 01: +0,4.858,63
Jun 20 2014 01: +0,4.212,85
Jun 21 2014 01: +0,4.327,75
Jun 22 2014 01: +0,4.03,83
Jun 23 2014 01: +0,3.761,70
Jun 24 2014 01: +0,3.675,72
Jun 25 2014 01: +0,3.811,84
Jun 26 2014 01: +0,3.948,79
Jun 27 2014 01: +0,3.767,86
Jun 28 2014 01: +0,3.944,95
Jun 29 2014 01: +0,4.091,103
