Jul 02 2014 01: +0,17.243,29
Jul 03 2014 01: +0,15.778,21
Jul 04 2014 01: +0,14.889,26
Jul 05 2014 01: +0,17.754,15
Jul 06 2014 01: +0,17.159,12
Jul 07 2014 01: +0,16.96,16
Jul 08 2014 01: +0,17.128,14
Jul 09 2014 01: +0,16.871,23
Jul 10 2014 01: +0,16.726,22
Jul 11 2014 01: +0,12.811,28
Jul 12 2014 01: +0,10.253,27
Jul 13 2014 01: +0,11.042,30
Jul 14 2014 01: +0,11.467,23
Jul 15 2014 01: +0,11.146,29
Jul 16 2014 01: +0,10.739,26
Jul 17 2014 01: +0,11.163,32
Jul 18 2014 01: +0,11.139,23
Jul 19 2014 01: +0,9.972,34
Jul 20 2014 01: +0,9.711,26
Jul 21 2014 01: +0,9.259,33
Jul 22 2014 01: +0,9.858,27
Jul 23 2014 01: +0,10.094,26
Jul 24 2014 01: +0,9.594,38
Jul 25 2014 01: +0,9.564,30
Jul 26 2014 01: +0,9.345,42
Jul 27 2014 01: +0,9.419,35
Jul 28 2014 01: +0,9.549,32
Jul 29 2014 01: +0,9.928,30
Jul 30 2014 01: +0,10.239,40
Jul 31 2014 01: +0,10.136,47
Aug 01 2014 01: +0,9.704,30
Aug 02 2014 01: +0,9.34,51
Aug 03 2014 01: +0,9.446,46
Aug 04 2014 01: +0,9.849,37
Aug 05 2014 01: +0,8.528,51
Aug 06 2014 01: +0,8.203,47
Aug 07 2014 01: +0,8.189,56
Aug 08 2014 01: +0,8.71,58
Aug 09 2014 01: +0,8.034,44
Aug 10 2014 01: +0,8.307,41
Aug 11 2014 01: +0,8.277,38
Aug 12 2014 01: +0,8.743,38
Aug 13 2014 01: +0,9.128,42
Aug 14 2014 01: +0,8.635,40
Aug 15 2014 01: +0,8.559,45
Aug 16 2014 01: +0,8.764,55
Aug 17 2014 01: +0,7.987,63
Aug 18 2014 01: +0,7.547,52
Aug 19 2014 01: +0,7.867,51
Aug 20 2014 01: +0,7.425,50
Aug 21 2014 01: +0,7.956,44
Aug 22 2014 01: +0,7.586,53
Aug 23 2014 01: +0,7.784,49
Aug 24 2014 01: +0,7.649,62
Aug 25 2014 01: +0,7.844,50
Aug 26 2014 01: +0,7.871,58
Aug 27 2014 01: +0,8.227,40
Aug 28 2014 01: +0,8.091,53
Aug 29 2014 01: +0,8.117,57
Aug 30 2014 01: +0,8.07,67
Aug 31 2014 01: +0,7.997,55
Sep 01 2014 01: +0,9.138,54
Sep 02 2014 01: +0,8.605,38
Sep 03 2014 01: +0,8.514,43
Sep 04 2014 01: +0,7.943,46
Sep 05 2014 01: +0,7.695,54
Sep 06 2014 01: +0,8.114,53
Sep 07 2014 01: +0,7.697,72
Sep 08 2014 01: +0,7.646,56
Sep 09 2014 01: +0,7.833,45
Sep 10 2014 01: +0,7.593,65
Sep 11 2014 01: +0,7.413,60
Sep 12 2014 01: +0,6.935,83
Sep 13 2014 01: +0,6.818,88
Sep 14 2014 01: +0,6.55,73
Sep 15 2014 01: +0,6.791,63
Sep 16 2014 01: +0,6.673,70
Sep 17 2014 01: +0,6.397,58
Sep 18 2014 01: +0,6.576,65
Sep 19 2014 01: +0,6.28,73
Sep 20 2014 01: +0,6.527,78
Sep 21 2014 01: +0,6.411,65
Sep 22 2014 01: +0,6.451,58
Sep 23 2014 01: +0,6.089,62
Sep 24 2014 01: +0,6.023,56
Sep 25 2014 01: +0,5.862,75
Sep 26 2014 01: +0,6.067,72
Sep 27 2014 01: +0,5.844,91
Sep 28 2014 01: +0,5.497,67
Sep 29 2014 01: +0,5.251,72
Sep 30 2014 01: +0,5.264,74
Oct 01 2014 01: +0,5.408,89
Oct 02 2014 01: +0,5.7,76
Oct 03 2014 01: +0,5.713,76
Oct 04 2014 01: +0,5.652,132
Oct 05 2014 01: +0,5.728,91
Oct 06 2014 01: +0,5.602,71
Oct 07 2014 01: +0,5.829,72
Oct 08 2014 01: +0,5.345,64
Oct 09 2014 01: +0,5.476,66
Oct 10 2014 01: +0,5.35,91
Oct 11 2014 01: +0,5.369,113
Oct 12 2014 01: +0,5.322,88
Oct 13 2014 01: +0,5.27,101
Oct 14 2014 01: +0,5.48,78
Oct 15 2014 01: +0,5.098,90
Oct 16 2014 01: +0,5.127,94
Oct 17 2014 01: +0,5.156,92
Oct 18 2014 01: +0,5.005,104
Oct 19 2014 01: +0,5.014,114
Oct 20 2014 01: +0,4.895,89
Oct 21 2014 01: +0,4.55,87
Oct 22 2014 01: +0,4.847,91
Oct 23 2014 01: +0,4.941,76
Oct 24 2014 01: +0,5.188,95
Oct 25 2014 01: +0,5.195,96
Oct 26 2014 01: +0,4.914,115
Oct 27 2014 01: +0,4.902,89
Oct 28 2014 01: +0,4.754,76
Oct 29 2014 01: +0,5.076,79
Oct 30 2014 01: +0,5.588,69
Oct 31 2014 01: +0,4.882,115
Nov 01 2014 01: +0,4.891,123
Nov 02 2014 01: +0,4.852,122
Nov 03 2014 01: +0,4.686,96
Nov 04 2014 01: +0,4.679,83
Nov 05 2014 01: +0,4.751,95
Nov 06 2014 01: +0,4.763,82
Nov 07 2014 01: +0,4.593,92
Nov 08 2014 01: +0,4.642,120
Nov 09 2014 01: +0,4.749,93
Nov 10 2014 01: +0,4.632,80
Nov 11 2014 01: +0,4.455,101
Nov 12 2014 01: +0,3.541,188
Nov 13 2014 01: +0,3.57,166
Nov 14 2014 01: +0,3.79,124
Nov 15 2014 01: +0,3.723,146
Nov 16 2014 01: +0,3.63,126
