Nov 28 2013 01: +0,3.281,5
Nov 29 2013 01: +0,2.65,2
Nov 30 2013 01: +0,1.188,12
Dec 01 2013 01: +0,1.265,11
Dec 02 2013 01: +0,0.976,14
Dec 03 2013 01: +0,1.262,4
Dec 04 2013 01: +0,1.126,9
Dec 05 2013 01: +0,0.873,11
Dec 06 2013 01: +0,0.877,9
Dec 07 2013 01: +0,0.896,22
Dec 08 2013 01: +0,0.84,20
Dec 09 2013 01: +0,0.708,18
Dec 10 2013 01: +0,0.737,18
Dec 11 2013 01: +0,0.834,14
Dec 12 2013 01: +0,0.728,18
Dec 13 2013 01: +0,0.812,19
Dec 14 2013 01: +0,0.815,12
Dec 15 2013 01: +0,0.629,12
Dec 16 2013 01: +0,0.615,21
Dec 17 2013 01: +0,0.544,26
Dec 18 2013 01: +0,0.576,15
Dec 19 2013 01: +0,0.543,12
Dec 20 2013 01: +0,0.336,22
Dec 21 2013 01: +0,0.314,29
Dec 22 2013 01: +0,0.352,32
Dec 23 2013 01: +0,0.344,26
Dec 24 2013 01: +0,0.398,17
Dec 25 2013 01: +0,0.349,31
Dec 26 2013 01: +0,0.418,32
Dec 27 2013 01: +0,0.38,33
Dec 28 2013 01: +0,0.371,24
Dec 29 2013 01: +0,0.417,22
Dec 30 2013 01: +0,0.359,48
Dec 31 2013 01: +0,0.395,21
Jan 01 2014 01: +0,0.36,31
Jan 02 2014 01: +0,0.335,36
Jan 03 2014 01: +0,0.323,22
Jan 04 2014 01: +0,0.35,33
Jan 05 2014 01: +0,0.367,24
Jan 06 2014 01: +0,0.303,37
Jan 07 2014 01: +0,0.318,25
Jan 08 2014 01: +0,0.335,24
Jan 09 2014 01: +0,0.387,33
Jan 10 2014 01: +0,0.333,36
Jan 11 2014 01: +0,0.391,19
Jan 12 2014 01: +0,0.337,34
Jan 13 2014 01: +0,0.295,32
Jan 14 2014 01: +0,0.304,32
Jan 15 2014 01: +0,0.263,35
Jan 16 2014 01: +0,0.291,57
Jan 17 2014 01: +0,0.318,15
Jan 18 2014 01: +0,0.261,55
Jan 19 2014 01: +0,0.286,42
Jan 20 2014 01: +0,0.264,39
Jan 21 2014 01: +0,0.28,48
Jan 22 2014 01: +0,0.306,39
Jan 23 2014 01: +0,0.28,24
