Dec 09 2015 01: +0,2.852,665
Dec 10 2015 01: +0,1.8,698
Dec 11 2015 01: +0,1.665,630
Dec 12 2015 01: +0,1.507,680
Dec 13 2015 01: +0,1.323,800
Dec 14 2015 01: +0,1.259,575
Dec 15 2015 01: +0,1.256,512
Dec 16 2015 01: +0,1.127,473
Dec 17 2015 01: +0,1.139,488
Dec 18 2015 01: +0,1.093,496
Dec 19 2015 01: +0,1.048,647
Dec 20 2015 01: +0,1.003,520
Dec 21 2015 01: +0,0.941,485
Dec 22 2015 01: +0,0.899,464
Dec 23 2015 01: +0,0.804,603
Dec 24 2015 01: +0,0.851,556
Dec 25 2015 01: +0,0.967,566
Dec 26 2015 01: +0,1.029,641
Dec 27 2015 01: +0,0.949,598
Dec 28 2015 01: +0,0.92,709
Dec 29 2015 01: +0,0.897,609
Dec 30 2015 01: +0,0.846,586
Dec 31 2015 01: +0,0.836,558
Jan 01 2016 01: +0,0.796,616
Jan 02 2016 01: +0,0.754,729
Jan 03 2016 01: +0,0.72,680
Jan 04 2016 01: +0,0.738,530
Jan 05 2016 01: +0,0.767,500
Jan 06 2016 01: +0,0.793,474
Jan 07 2016 01: +0,0.767,478
Jan 08 2016 01: +0,0.784,594
Jan 09 2016 01: +0,0.775,614
Jan 10 2016 01: +0,0.753,612
Jan 11 2016 01: +0,0.762,439
Jan 12 2016 01: +0,0.746,390
Jan 13 2016 01: +0,0.721,450
Jan 14 2016 01: +0,0.714,436
Jan 15 2016 01: +0,0.721,501
Jan 16 2016 01: +0,0.754,583
Jan 17 2016 01: +0,0.72,555
Jan 18 2016 01: +0,0.687,552
Jan 19 2016 01: +0,0.711,402
Jan 20 2016 01: +0,0.678,442
Jan 21 2016 01: +0,0.695,424
Jan 22 2016 01: +0,0.701,448
Jan 23 2016 01: +0,0.722,649
Jan 24 2016 01: +0,0.686,424
Jan 25 2016 01: +0,0.673,474
Jan 26 2016 01: +0,0.676,424
Jan 27 2016 01: +0,0.665,402
Jan 28 2016 01: +0,0.657,409
Jan 29 2016 01: +0,0.648,485
Jan 30 2016 01: +0,0.645,478
Jan 31 2016 01: +0,0.64,501
Feb 01 2016 01: +0,0.629,399
Feb 02 2016 01: +0,0.656,439
Feb 03 2016 01: +0,0.666,404
Feb 04 2016 01: +0,0.657,389
Feb 05 2016 01: +0,0.651,491
Feb 06 2016 01: +0,0.617,560
Feb 07 2016 01: +0,0.56,447
Feb 08 2016 01: +0,0.545,416
Feb 09 2016 01: +0,0.555,393
Feb 10 2016 01: +0,0.574,445
Feb 11 2016 01: +0,0.545,421
Feb 12 2016 01: +0,0.54,456
Feb 13 2016 01: +0,0.601,500
Feb 14 2016 01: +0,0.616,449
Feb 15 2016 01: +0,0.605,494
Feb 16 2016 01: +0,0.634,428
Feb 17 2016 01: +0,0.625,345
Feb 18 2016 01: +0,0.456,781
Feb 19 2016 01: +0,0.547,669
Feb 20 2016 01: +0,0.585,592
Feb 21 2016 01: +0,0.56,600
Feb 22 2016 01: +0,0.548,553
Feb 23 2016 01: +0,0.551,454
Feb 24 2016 01: +0,0.567,423
Feb 25 2016 01: +0,0.575,528
Feb 26 2016 01: +0,0.571,497
Feb 27 2016 01: +0,0.563,585
Feb 28 2016 01: +0,0.56,446
