Dec 09 2015 01: +0,12.477,163
Dec 10 2015 01: +0,7.294,94
Dec 11 2015 01: +0,5.827,51
Dec 12 2015 01: +0,3.917,69
Dec 13 2015 01: +0,3.203,61
Dec 14 2015 01: +0,2.976,38
Dec 15 2015 01: +0,2.941,24
Dec 16 2015 01: +0,2.152,77
Dec 17 2015 01: +0,1.338,89
Dec 18 2015 01: +0,1.321,96
Dec 19 2015 01: +0,1.373,66
Dec 20 2015 01: +0,1.263,62
Dec 21 2015 01: +0,1.161,49
Dec 22 2015 01: +0,1.224,50
Dec 23 2015 01: +0,0.872,95
Dec 24 2015 01: +0,0.794,74
Dec 25 2015 01: +0,1.018,60
Dec 26 2015 01: +0,1.107,70
Dec 27 2015 01: +0,1.039,55
Dec 28 2015 01: +0,1.097,46
Dec 29 2015 01: +0,1.026,56
Dec 30 2015 01: +0,0.773,65
Dec 31 2015 01: +0,0.616,80
Jan 01 2016 01: +0,0.717,66
Jan 02 2016 01: +0,0.632,100
Jan 03 2016 01: +0,0.65,70
Jan 04 2016 01: +0,0.707,50
Jan 05 2016 01: +0,0.713,47
Jan 06 2016 01: +0,0.668,65
Jan 07 2016 01: +0,0.586,79
Jan 08 2016 01: +0,0.579,74
Jan 09 2016 01: +0,0.608,80
Jan 10 2016 01: +0,0.626,77
Jan 11 2016 01: +0,0.683,51
Jan 12 2016 01: +0,0.694,42
Jan 13 2016 01: +0,0.625,48
Jan 14 2016 01: +0,0.505,69
Jan 15 2016 01: +0,0.497,64
Jan 16 2016 01: +0,0.447,82
Jan 17 2016 01: +0,0.449,78
Jan 18 2016 01: +0,0.433,61
Jan 19 2016 01: +0,0.482,48
Jan 20 2016 01: +0,0.436,74
Jan 21 2016 01: +0,0.348,89
Jan 22 2016 01: +0,0.345,74
Jan 23 2016 01: +0,0.368,97
Jan 24 2016 01: +0,0.408,80
Jan 25 2016 01: +0,0.48,62
Jan 26 2016 01: +0,0.458,49
Jan 27 2016 01: +0,0.38,68
Jan 28 2016 01: +0,0.338,77
Jan 29 2016 01: +0,0.349,99
Jan 30 2016 01: +0,0.373,76
Jan 31 2016 01: +0,0.337,76
Feb 01 2016 01: +0,0.333,67
Feb 02 2016 01: +0,0.368,68
Feb 03 2016 01: +0,0.317,64
Feb 04 2016 01: +0,0.293,78
Feb 05 2016 01: +0,0.284,110
Feb 06 2016 01: +0,0.306,98
Feb 07 2016 01: +0,0.321,94
Feb 08 2016 01: +0,0.34,64
Feb 09 2016 01: +0,0.335,52
Feb 10 2016 01: +0,0.317,84
Feb 11 2016 01: +0,0.269,74
Feb 12 2016 01: +0,0.271,98
Feb 13 2016 01: +0,0.289,90
Feb 14 2016 01: +0,0.3,81
Feb 15 2016 01: +0,0.289,72
Feb 16 2016 01: +0,0.27,79
Feb 17 2016 01: +0,0.275,83
Feb 18 2016 01: +0,0.228,96
Feb 19 2016 01: +0,0.254,90
Feb 20 2016 01: +0,0.247,123
Feb 21 2016 01: +0,0.265,102
Feb 22 2016 01: +0,0.266,78
Feb 23 2016 01: +0,0.28,78
Feb 24 2016 01: +0,0.258,86
Feb 25 2016 01: +0,0.272,70
Feb 26 2016 01: +0,0.249,97
Feb 27 2016 01: +0,0.278,106
Feb 28 2016 01: +0,0.296,93
Feb 29 2016 01: +0,0.273,63
Mar 01 2016 01: +0,0.272,77
Mar 02 2016 01: +0,0.268,72
Mar 03 2016 01: +0,0.24,73
Mar 04 2016 01: +0,0.241,94
Mar 05 2016 01: +0,0.243,105
Mar 06 2016 01: +0,0.251,106
Mar 07 2016 01: +0,0.255,84
Mar 08 2016 01: +0,0.266,71
Mar 09 2016 01: +0,0.263,60
Mar 10 2016 01: +0,0.289,50
Mar 11 2016 01: +0,0.3,55
Mar 12 2016 01: +0,0.339,53
Mar 13 2016 01: +0,0.363,55
Mar 14 2016 01: +0,0.385,45
Mar 15 2016 01: +0,0.379,32
Mar 16 2016 01: +0,0.382,46
Mar 17 2016 01: +0,0.395,32
Mar 18 2016 01: +0,0.381,34
Mar 19 2016 01: +0,0.398,47
Mar 20 2016 01: +0,0.421,39
Mar 21 2016 01: +0,0.394,37
Mar 22 2016 01: +0,0.417,28
Mar 23 2016 01: +0,0.384,37
Mar 24 2016 01: +0,0.337,59
Mar 25 2016 01: +0,0.337,59
Mar 26 2016 01: +0,0.34,50
Mar 27 2016 01: +0,0.332,46
Mar 28 2016 01: +0,0.334,40
Mar 29 2016 01: +0,0.342,42
Mar 30 2016 01: +0,0.296,43
Mar 31 2016 01: +0,0.287,53
Apr 01 2016 01: +0,0.306,40
Apr 02 2016 01: +0,0.312,62
Apr 03 2016 01: +0,0.304,50
Apr 04 2016 01: +0,0.29,33
Apr 05 2016 01: +0,0.302,32
Apr 06 2016 01: +0,0.296,47
Apr 07 2016 01: +0,0.311,39
Apr 08 2016 01: +0,0.295,37
Apr 09 2016 01: +0,0.33,55
Apr 10 2016 01: +0,0.313,73
Apr 11 2016 01: +0,0.314,40
Apr 12 2016 01: +0,0.301,48
Apr 13 2016 01: +0,0.299,39
Apr 14 2016 01: +0,0.289,44
Apr 15 2016 01: +0,0.3,40
Apr 16 2016 01: +0,0.309,51
Apr 17 2016 01: +0,0.311,53
