Nov 08 2013 01: +0,7.165,11
Nov 09 2013 01: +0,5.413,9
Nov 10 2013 01: +0,2.438,15
Nov 11 2013 01: +0,2.922,15
Nov 12 2013 01: +0,3.624,9
Nov 13 2013 01: +0,4.026,1
Nov 14 2013 01: +0,3.386,5
Nov 15 2013 01: +0,2.394,10
Nov 16 2013 01: +0,2.2,9
Nov 17 2013 01: +0,1.894,13
Nov 18 2013 01: +0,1.378,12
Nov 19 2013 01: +0,2.066,7
Nov 20 2013 01: +0,1.911,6
Nov 21 2013 01: +0,1.929,10
Nov 22 2013 01: +0,2.049,7
Nov 23 2013 01: +0,1.776,10
Nov 24 2013 01: +0,1.425,11
Nov 25 2013 01: +0,1.404,16
Nov 26 2013 01: +0,2.406,4
Nov 27 2013 01: +0,1.999,9
Nov 28 2013 01: +0,2.317,4
Nov 29 2013 01: +0,2.107,9
Nov 30 2013 01: +0,1.899,9
Dec 01 2013 01: +0,1.838,11
Dec 02 2013 01: +0,1.63,14
Dec 03 2013 01: +0,1.663,11
Dec 04 2013 01: +0,1.573,7
Dec 05 2013 01: +0,1.627,9
Dec 06 2013 01: +0,1.742,8
Dec 07 2013 01: +0,1.359,11
Dec 08 2013 01: +0,1.896,7
Dec 09 2013 01: +0,1.87,8
Dec 10 2013 01: +0,1.638,5
Dec 11 2013 01: +0,1.378,8
Dec 12 2013 01: +0,1.552,5
Dec 13 2013 01: +0,1.749,8
Dec 14 2013 01: +0,1.661,10
Dec 15 2013 01: +0,1.455,4
Dec 16 2013 01: +0,1.282,7
Dec 17 2013 01: +0,1.349,6
Dec 18 2013 01: +0,1.068,7
Dec 19 2013 01: +0,1.449,4
Dec 20 2013 01: +0,1.255,6
Dec 21 2013 01: +0,1.313,11
Dec 22 2013 01: +0,1.306,10
Dec 23 2013 01: +0,1.696,12
Dec 24 2013 01: +0,1.494,11
Dec 25 2013 01: +0,1.625,2
Dec 26 2013 01: +0,1.396,14
Dec 27 2013 01: +0,1.376,15
Dec 28 2013 01: +0,1.298,15
Dec 29 2013 01: +0,1.537,5
Dec 30 2013 01: +0,1.523,5
Dec 31 2013 01: +0,2.079,7
Jan 01 2014 01: +0,1.822,4
Jan 02 2014 01: +0,1.607,8
Jan 03 2014 01: +0,1.534,5
Jan 04 2014 01: +0,1.202,8
Jan 05 2014 01: +0,1.599,9
Jan 06 2014 01: +0,1.436,6
Jan 07 2014 01: +0,1.489,6
Jan 08 2014 01: +0,1.301,10
Jan 09 2014 01: +0,1.277,11
Jan 10 2014 01: +0,1.463,7
Jan 11 2014 01: +0,1.406,16
Jan 12 2014 01: +0,1.476,14
Jan 13 2014 01: +0,1.594,8
Jan 14 2014 01: +0,1.235,14
Jan 15 2014 01: +0,1.384,9
Jan 16 2014 01: +0,1.529,7
Jan 17 2014 01: +0,1.364,16
Jan 18 2014 01: +0,1.685,11
Jan 19 2014 01: +0,1.516,13
Jan 20 2014 01: +0,1.496,10
Jan 21 2014 01: +0,1.434,8
Jan 22 2014 01: +0,1.492,9
Jan 23 2014 01: +0,1.437,6
Jan 24 2014 01: +0,1.368,14
Jan 25 2014 01: +0,2.029,5
Jan 26 2014 01: +0,1.207,8
Jan 27 2014 01: +0,1.129,13
Jan 28 2014 01: +0,1.219,16
Jan 29 2014 01: +0,1.17,24
Jan 30 2014 01: +0,1.386,11
Jan 31 2014 01: +0,1.174,8
Feb 01 2014 01: +0,1.137,12
Feb 02 2014 01: +0,1.133,18
Feb 03 2014 01: +0,1.286,13
Feb 04 2014 01: +0,1.082,7
Feb 05 2014 01: +0,1.055,11
Feb 06 2014 01: +0,1.287,13
Feb 07 2014 01: +0,1.434,14
Feb 08 2014 01: +0,1.4,11
Feb 09 2014 01: +0,1.338,14
Feb 10 2014 01: +0,1.222,10
Feb 11 2014 01: +0,1.316,12
Feb 12 2014 01: +0,1.27,13
Feb 13 2014 01: +0,1.201,13
Feb 14 2014 01: +0,1.215,20
Feb 15 2014 01: +0,1.549,12
Feb 16 2014 01: +0,1.519,10
Feb 17 2014 01: +0,2.553,7
Feb 18 2014 01: +0,1.149,8
Feb 19 2014 01: +0,1.435,9
Feb 20 2014 01: +0,1.296,10
Feb 21 2014 01: +0,1.217,13
Feb 22 2014 01: +0,1.405,16
Feb 23 2014 01: +0,1.624,12
Feb 24 2014 01: +0,1.727,13
Feb 25 2014 01: +0,1.64,4
Feb 26 2014 01: +0,1.496,10
Feb 27 2014 01: +0,1.785,11
Feb 28 2014 01: +0,1.732,10
Mar 01 2014 01: +0,1.768,18
Mar 02 2014 01: +0,1.603,12
Mar 03 2014 01: +0,1.619,9
Mar 04 2014 01: +0,1.7,11
Mar 05 2014 01: +0,1.701,8
Mar 06 2014 01: +0,1.995,6
Mar 07 2014 01: +0,1.967,9
Mar 08 2014 01: +0,1.749,9
Mar 09 2014 01: +0,2.065,9
Mar 10 2014 01: +0,1.867,8
Mar 11 2014 01: +0,1.386,18
Mar 12 2014 01: +0,1.566,9
Mar 13 2014 01: +0,1.823,8
Mar 14 2014 01: +0,1.5,8
Mar 15 2014 01: +0,1.335,20
Mar 16 2014 01: +0,1.402,12
Mar 17 2014 01: +0,1.462,12
Mar 18 2014 01: +0,1.731,8
Mar 19 2014 01: +0,1.865,5
Mar 20 2014 01: +0,1.525,7
Mar 21 2014 01: +0,1.59,9
Mar 22 2014 01: +0,1.446,13
Mar 23 2014 01: +0,1.416,12
Mar 24 2014 01: +0,1.651,14
Mar 25 2014 01: +0,1.702,9
Mar 26 2014 01: +0,1.663,8
Mar 27 2014 01: +0,1.733,9
Mar 28 2014 01: +0,1.677,6
Mar 29 2014 01: +0,1.734,10
Mar 30 2014 01: +0,1.611,12
Mar 31 2014 01: +0,2.098,12
Apr 01 2014 01: +0,3.602,12
Apr 02 2014 01: +0,1.573,1
Apr 03 2014 01: +0,3.654,6
Apr 04 2014 01: +0,2.988,4
Apr 05 2014 01: +0,2.876,12
Apr 06 2014 01: +0,2.929,5
Apr 07 2014 01: +0,2.477,4
Apr 08 2014 01: +0,2.449,8
Apr 09 2014 01: +0,2.573,7
Apr 10 2014 01: +0,2.598,7
Apr 11 2014 01: +0,2.362,12
Apr 12 2014 01: +0,3.117,3
Apr 13 2014 01: +0,2.252,10
Apr 14 2014 01: +0,2.754,9
Apr 15 2014 01: +0,2.535,10
Apr 16 2014 01: +0,2.704,10
Apr 17 2014 01: +0,2.902,9
Apr 18 2014 01: +0,2.592,8
Apr 19 2014 01: +0,2.81,7
Apr 20 2014 01: +0,2.738,8
Apr 21 2014 01: +0,2.394,8
Apr 22 2014 01: +0,2.271,12
Apr 23 2014 01: +0,2.735,13
Apr 24 2014 01: +0,3.021,6
Apr 25 2014 01: +0,3.191,7
Apr 26 2014 01: +0,3.389,8
Apr 27 2014 01: +0,3.987,9
Apr 28 2014 01: +0,4.1,3
Apr 29 2014 01: +0,3.152,5
Apr 30 2014 01: +0,3.716,9
May 01 2014 01: +0,3.615,5
May 02 2014 01: +0,2.434,7
May 03 2014 01: +0,2.353,7
May 04 2014 01: +0,2.236,10
May 05 2014 01: +0,2.029,12
May 06 2014 01: +0,2.255,11
May 07 2014 01: +0,3.178,5
May 08 2014 01: +0,2.344,13
May 09 2014 01: +0,2.478,10
May 10 2014 01: +0,2.217,12
May 11 2014 01: +0,2.37,8
May 12 2014 01: +0,2.318,5
May 13 2014 01: +0,2.052,6
May 14 2014 01: +0,2.038,13
May 15 2014 01: +0,1.914,10
May 16 2014 01: +0,1.274,16
May 17 2014 01: +0,1.984,13
May 18 2014 01: +0,2.076,8
May 19 2014 01: +0,2.369,4
May 20 2014 01: +0,2.12,10
May 21 2014 01: +0,2.172,15
May 22 2014 01: +0,2.252,5
May 23 2014 01: +0,2.147,11
May 24 2014 01: +0,2.601,25
May 25 2014 01: +0,3.009,9
May 26 2014 01: +0,2.568,7
May 27 2014 01: +0,2.854,8
May 28 2014 01: +0,2.698,6
May 29 2014 01: +0,2.346,7
May 30 2014 01: +0,2.044,5
May 31 2014 01: +0,2.321,8
Jun 01 2014 01: +0,2.536,5
Jun 02 2014 01: +0,2.17,13
Jun 03 2014 01: +0,1.946,6
Jun 04 2014 01: +0,2.17,11
Jun 05 2014 01: +0,1.985,9
Jun 06 2014 01: +0,1.823,5
Jun 07 2014 01: +0,1.893,6
Jun 08 2014 01: +0,1.788,14
Jun 09 2014 01: +0,2.185,5
Jun 10 2014 01: +0,2.259,6
Jun 11 2014 01: +0,2.213,7
Jun 12 2014 01: +0,2.149,9
Jun 13 2014 01: +0,2.156,11
Jun 14 2014 01: +0,2.413,3
Jun 15 2014 01: +0,2.308,10
Jun 16 2014 01: +0,2.448,6
Jun 17 2014 01: +0,2.216,12
Jun 18 2014 01: +0,2.414,12
Jun 19 2014 01: +0,1.983,17
Jun 20 2014 01: +0,2.048,10
Jun 21 2014 01: +0,2.087,10
Jun 22 2014 01: +0,2.035,10
Jun 23 2014 01: +0,1.819,11
Jun 24 2014 01: +0,1.771,11
Jun 25 2014 01: +0,1.814,10
Jun 26 2014 01: +0,1.649,12
Jun 27 2014 01: +0,1.78,6
Jun 28 2014 01: +0,1.823,13
Jun 29 2014 01: +0,1.898,6
Jun 30 2014 01: +0,2.117,15
Jul 01 2014 01: +0,2.538,12
Jul 02 2014 01: +0,2.264,10
Jul 03 2014 01: +0,2.163,9
Jul 04 2014 01: +0,2.183,12
Jul 05 2014 01: +0,2.191,14
Jul 06 2014 01: +0,2.281,12
Jul 07 2014 01: +0,2.096,8
Jul 08 2014 01: +0,2.259,7
Jul 09 2014 01: +0,2.267,7
Jul 10 2014 01: +0,1.875,12
Jul 11 2014 01: +0,2.111,12
Jul 12 2014 01: +0,2.391,20
Jul 13 2014 01: +0,2.479,5
Jul 14 2014 01: +0,2.506,10
Jul 15 2014 01: +0,2.49,14
Jul 16 2014 01: +0,2.814,12
Jul 17 2014 01: +0,2.985,7
Jul 18 2014 01: +0,2.315,12
Jul 19 2014 01: +0,2.497,12
Jul 20 2014 01: +0,2.986,10
Jul 21 2014 01: +0,2.624,9
Jul 22 2014 01: +0,3.13,11
Jul 23 2014 01: +0,2.997,8
Jul 24 2014 01: +0,2.91,3
Jul 25 2014 01: +0,2.604,8
Jul 26 2014 01: +0,2.34,18
Jul 27 2014 01: +0,2.645,8
Jul 28 2014 01: +0,2.463,19
Jul 29 2014 01: +0,2.742,8
Jul 30 2014 01: +0,2.916,13
Jul 31 2014 01: +0,2.585,6
Aug 01 2014 01: +0,2.977,11
Aug 02 2014 01: +0,2.847,12
Aug 03 2014 01: +0,3.099,8
Aug 04 2014 01: +0,3.121,6
Aug 05 2014 01: +0,2.646,11
Aug 06 2014 01: +0,2.618,10
Aug 07 2014 01: +0,2.837,10
Aug 08 2014 01: +0,2.721,14
Aug 09 2014 01: +0,2.614,8
Aug 10 2014 01: +0,2.805,12
Aug 11 2014 01: +0,3.287,15
Aug 12 2014 01: +0,4.175,8
Aug 13 2014 01: +0,4.321,4
Aug 14 2014 01: +0,3.991,8
Aug 15 2014 01: +0,3.097,10
Aug 16 2014 01: +0,3.229,12
Aug 17 2014 01: +0,2.94,9
Aug 18 2014 01: +0,2.632,10
Aug 19 2014 01: +0,2.852,9
Aug 20 2014 01: +0,3.491,6
Aug 21 2014 01: +0,3.505,10
Aug 22 2014 01: +0,3.892,7
Aug 23 2014 01: +0,3.415,7
Aug 24 2014 01: +0,3.498,7
Aug 25 2014 01: +0,3.62,10
Aug 26 2014 01: +0,3.815,11
Aug 27 2014 01: +0,3.684,4
Aug 28 2014 01: +0,3.956,5
Aug 29 2014 01: +0,3.217,11
Aug 30 2014 01: +0,3.744,15
Aug 31 2014 01: +0,4.031,8
Sep 01 2014 01: +0,3.972,12
Sep 02 2014 01: +0,3.542,7
Sep 03 2014 01: +0,3.59,14
Sep 04 2014 01: +0,3.557,6
Sep 05 2014 01: +0,3.893,11
Sep 06 2014 01: +0,3.538,13
Sep 07 2014 01: +0,3.027,12
Sep 08 2014 01: +0,3.099,12
Sep 09 2014 01: +0,3,12
Sep 10 2014 01: +0,3.656,8
Sep 11 2014 01: +0,3.86,4
Sep 12 2014 01: +0,3.628,8
Sep 13 2014 01: +0,3.611,8
Sep 14 2014 01: +0,3.778,6
Sep 15 2014 01: +0,3.958,11
Sep 16 2014 01: +0,3.881,10
Sep 17 2014 01: +0,3.05,9
Sep 18 2014 01: +0,2.938,9
Sep 19 2014 01: +0,3.472,8
Sep 20 2014 01: +0,4.031,5
Sep 21 2014 01: +0,3.819,9
Sep 22 2014 01: +0,3.1,6
Sep 23 2014 01: +0,2.626,9
Sep 24 2014 01: +0,3.002,11
Sep 25 2014 01: +0,2.974,5
Sep 26 2014 01: +0,3.176,10
Sep 27 2014 01: +0,3.145,9
Sep 28 2014 01: +0,3.181,8
Sep 29 2014 01: +0,3.185,6
Sep 30 2014 01: +0,2.899,11
Oct 01 2014 01: +0,3.326,11
Oct 02 2014 01: +0,3.394,6
Oct 03 2014 01: +0,3.24,6
Oct 04 2014 01: +0,3.219,9
Oct 05 2014 01: +0,3.296,9
Oct 06 2014 01: +0,3.468,6
Oct 07 2014 01: +0,3.574,1
Oct 08 2014 01: +0,3.687,1
Oct 09 2014 01: +0,3.206,10
Oct 10 2014 01: +0,2.907,5
Oct 11 2014 01: +0,3.084,13
Oct 12 2014 01: +0,3.425,12
Oct 13 2014 01: +0,3.268,12
Oct 14 2014 01: +0,3.477,10
Oct 15 2014 01: +0,4.023,7
Oct 16 2014 01: +0,3.273,9
Oct 17 2014 01: +0,3.352,7
Oct 18 2014 01: +0,4.367,13
Oct 19 2014 01: +0,4.298,10
Oct 20 2014 01: +0,3.232,4
Oct 21 2014 01: +0,4.285,8
Oct 22 2014 01: +0,4.586,3
Oct 23 2014 01: +0,4.581,3
Oct 24 2014 01: +0,4.323,5
Oct 25 2014 01: +0,3.616,10
Oct 26 2014 01: +0,3.344,12
Oct 27 2014 01: +0,3.243,8
Oct 28 2014 01: +0,3.095,8
Oct 29 2014 01: +0,2.971,6
Oct 30 2014 01: +0,3.125,10
Oct 31 2014 01: +0,3.293,6
Nov 01 2014 01: +0,3.319,19
Nov 02 2014 01: +0,3.502,10
Nov 03 2014 01: +0,3.055,6
Nov 04 2014 01: +0,3.047,7
Nov 05 2014 01: +0,2.887,7
Nov 06 2014 01: +0,2.974,10
Nov 07 2014 01: +0,3.24,8
Nov 08 2014 01: +0,3.078,10
Nov 09 2014 01: +0,3.279,11
Nov 10 2014 01: +0,2.629,6
Nov 11 2014 01: +0,2.682,10
Nov 12 2014 01: +0,2.034,20
Nov 13 2014 01: +0,1.867,12
Nov 14 2014 01: +0,2.389,13
Nov 15 2014 01: +0,2.574,8
Nov 16 2014 01: +0,2.338,9
Nov 17 2014 01: +0,2.177,9
Nov 18 2014 01: +0,2.474,7
Nov 19 2014 01: +0,2.623,7
Nov 20 2014 01: +0,2.9,5
Nov 21 2014 01: +0,2.648,3
Nov 22 2014 01: +0,2.21,8
Nov 23 2014 01: +0,2.564,9
Nov 24 2014 01: +0,2.755,5
Nov 25 2014 01: +0,2.772,9
Nov 26 2014 01: +0,2.373,5
Nov 27 2014 01: +0,2.661,13
Nov 28 2014 01: +0,3.039,8
Nov 29 2014 01: +0,3.782,8
Nov 30 2014 01: +0,2.116,9
Dec 01 2014 01: +0,2.656,11
Dec 02 2014 01: +0,2.96,7
Dec 03 2014 01: +0,3.592,6
Dec 04 2014 01: +0,3.022,7
Dec 05 2014 01: +0,3.02,4
Dec 06 2014 01: +0,3.507,11
Dec 07 2014 01: +0,3.233,11
Dec 08 2014 01: +0,3.465,8
Dec 09 2014 01: +0,3.83,1
Dec 10 2014 01: +0,3.279,6
Dec 12 2014 01: +0,2.936,5
Dec 13 2014 01: +0,2.809,6
Dec 14 2014 01: +0,2.881,13
Dec 15 2014 01: +0,2.953,7
Dec 16 2014 01: +0,2.856,9
Dec 17 2014 01: +0,2.757,11
Dec 18 2014 01: +0,3.035,6
Dec 19 2014 01: +0,2.929,12
Dec 20 2014 01: +0,2.717,8
Dec 21 2014 01: +0,2.413,12
Dec 22 2014 01: +0,2.607,12
Dec 23 2014 01: +0,2.585,8
Dec 24 2014 01: +0,2.649,7
Dec 25 2014 01: +0,3.31,14
Dec 26 2014 01: +0,3.186,8
Dec 27 2014 01: +0,3.513,10
Dec 28 2014 01: +0,2.972,10
Dec 29 2014 01: +0,3.717,12
Dec 30 2014 01: +0,3.194,14
Dec 31 2014 01: +0,3.457,9
Jan 01 2015 01: +0,3.512,5
Jan 02 2015 01: +0,3.619,14
Jan 03 2015 01: +0,3.435,10
Jan 04 2015 01: +0,3.72,7
Jan 05 2015 01: +0,3.626,6
Jan 06 2015 01: +0,3.127,8
Jan 07 2015 01: +0,3.602,12
Jan 08 2015 01: +0,3.589,8
Jan 09 2015 01: +0,2.991,15
Jan 10 2015 01: +0,3.41,14
Jan 11 2015 01: +0,2.715,17
Jan 12 2015 01: +0,3.015,11
Jan 13 2015 01: +0,2.886,17
Jan 14 2015 01: +0,3.026,9
Jan 15 2015 01: +0,2.997,16
Jan 16 2015 01: +0,3.206,7
Jan 17 2015 01: +0,2.91,7
Jan 18 2015 01: +0,2.943,12
Jan 19 2015 01: +0,2.843,12
Jan 20 2015 01: +0,2.898,13
Jan 21 2015 01: +0,2.792,11
Jan 22 2015 01: +0,2.862,8
Jan 23 2015 01: +0,2.87,7
Jan 24 2015 01: +0,2.812,11
Jan 25 2015 01: +0,2.6,9
Jan 26 2015 01: +0,2.559,4
Jan 27 2015 01: +0,2.523,8
Jan 28 2015 01: +0,2.551,13
Jan 29 2015 01: +0,2.297,10
Jan 30 2015 01: +0,2.283,9
Jan 31 2015 01: +0,2.173,11
Feb 01 2015 01: +0,2.177,13
Feb 02 2015 01: +0,2.204,10
Feb 03 2015 01: +0,2.178,9
Feb 04 2015 01: +0,2.213,11
Feb 05 2015 01: +0,2.008,8
Feb 06 2015 01: +0,2.221,12
Feb 07 2015 01: +0,2.139,17
Feb 08 2015 01: +0,2.034,21
Feb 09 2015 01: +0,2.176,8
Feb 10 2015 01: +0,2.184,11
Feb 11 2015 01: +0,2.02,6
Feb 12 2015 01: +0,2.483,6
Feb 13 2015 01: +0,2.248,8
Feb 14 2015 01: +0,2.083,10
Feb 15 2015 01: +0,2.248,12
Feb 16 2015 01: +0,2.605,8
Feb 17 2015 01: +0,2.729,14
Feb 18 2015 01: +0,3.192,10
Feb 19 2015 01: +0,2.588,5
Feb 20 2015 01: +0,2.466,6
Feb 21 2015 01: +0,2.894,7
Feb 22 2015 01: +0,2.486,6
Feb 23 2015 01: +0,2.541,7
Feb 24 2015 01: +0,2.599,3
Feb 25 2015 01: +0,2.415,6
Feb 26 2015 01: +0,2.321,10
Feb 27 2015 01: +0,2.356,6
Feb 28 2015 01: +0,2.305,12
Mar 01 2015 01: +0,2.083,9
Mar 02 2015 01: +0,2.277,17
Mar 03 2015 01: +0,2.371,10
Mar 04 2015 01: +0,2.382,16
Mar 05 2015 01: +0,2.426,5
Mar 06 2015 01: +0,2.688,11
Mar 07 2015 01: +0,2.581,5
Mar 08 2015 01: +0,2.419,10
Mar 09 2015 01: +0,2.43,8
Mar 10 2015 01: +0,2.296,6
Mar 11 2015 01: +0,2.439,8
Mar 12 2015 01: +0,2.646,4
Mar 13 2015 01: +0,2.848,7
Mar 14 2015 01: +0,2.699,8
Mar 15 2015 01: +0,2.058,12
Mar 16 2015 01: +0,1.872,12
Mar 17 2015 01: +0,2.357,12
Mar 18 2015 01: +0,2.713,5
Mar 19 2015 01: +0,2.798,6
Mar 20 2015 01: +0,2.455,5
Mar 21 2015 01: +0,2.7,11
Mar 22 2015 01: +0,2.5,9
Mar 23 2015 01: +0,2.651,5
Mar 24 2015 01: +0,2.721,10
Mar 25 2015 01: +0,3.027,2
Mar 26 2015 01: +0,2.948,6
Mar 27 2015 01: +0,2.974,2
Mar 28 2015 01: +0,2.417,8
Mar 29 2015 01: +0,2.628,11
Mar 30 2015 01: +0,2.69,6
Mar 31 2015 01: +0,3.18,7
Apr 01 2015 01: +0,2.523,14
Apr 02 2015 01: +0,2.817,7
Apr 03 2015 01: +0,2.803,8
Apr 04 2015 01: +0,2.931,11
Apr 05 2015 01: +0,2.563,8
Apr 06 2015 01: +0,2.879,11
Apr 07 2015 01: +0,2.926,9
Apr 08 2015 01: +0,2.995,2
Apr 09 2015 01: +0,2.663,10
Apr 10 2015 01: +0,2.553,5
Apr 11 2015 01: +0,2.367,18
Apr 12 2015 01: +0,2.357,9
Apr 13 2015 01: +0,2.756,9
Apr 14 2015 01: +0,2.666,3
Apr 15 2015 01: +0,2.847,5
Apr 16 2015 01: +0,2.42,4
Apr 17 2015 01: +0,2.473,11
Apr 18 2015 01: +0,2.523,7
Apr 19 2015 01: +0,2.382,9
Apr 20 2015 01: +0,2.121,18
Apr 21 2015 01: +0,1.965,9
Apr 22 2015 01: +0,2.148,12
Apr 23 2015 01: +0,2.595,7
Apr 24 2015 01: +0,2.382,7
Apr 25 2015 01: +0,2.466,16
Apr 26 2015 01: +0,2.76,11
Apr 27 2015 01: +0,2.948,4
Apr 28 2015 01: +0,2.843,4
Apr 29 2015 01: +0,2.983,8
Apr 30 2015 01: +0,2.792,8
May 01 2015 01: +0,2.761,9
May 02 2015 01: +0,2.116,3
May 03 2015 01: +0,2.335,9
May 04 2015 01: +0,2.558,12
May 05 2015 01: +0,3.136,5
May 06 2015 01: +0,2.915,5
May 07 2015 01: +0,2.783,2
May 08 2015 01: +0,2.422,9
May 09 2015 01: +0,2.574,10
May 10 2015 01: +0,2.488,10
May 11 2015 01: +0,2.692,5
May 12 2015 01: +0,2.604,6
May 13 2015 01: +0,2.458,6
May 14 2015 01: +0,2.667,9
May 15 2015 01: +0,2.937,9
May 16 2015 01: +0,2.907,7
May 17 2015 01: +0,2.96,12
May 18 2015 01: +0,2.538,12
May 19 2015 01: +0,2.319,9
May 20 2015 01: +0,2.455,10
May 21 2015 01: +0,2.772,5
May 22 2015 01: +0,2.789,13
May 23 2015 01: +0,3.388,7
May 24 2015 01: +0,2.763,10
May 25 2015 01: +0,2.971,4
May 26 2015 01: +0,2.198,4
May 27 2015 01: +0,1.848,7
May 28 2015 01: +0,1.937,14
May 29 2015 01: +0,2.797,11
