Jan 09 2015 01: +0,0.816,811
Jan 10 2015 01: +0,0.54,860
Jan 11 2015 01: +0,0.382,963
Jan 12 2015 01: +0,0.347,712
Jan 13 2015 01: +0,0.312,675
Jan 14 2015 01: +0,0.288,805
Jan 15 2015 01: +0,0.279,712
Jan 16 2015 01: +0,0.275,799
Jan 17 2015 01: +0,0.258,866
Jan 18 2015 01: +0,0.217,956
Jan 19 2015 01: +0,0.202,814
Jan 20 2015 01: +0,0.191,779
Jan 21 2015 01: +0,0.196,750
Jan 22 2015 01: +0,0.19,765
Jan 23 2015 01: +0,0.189,886
Jan 24 2015 01: +0,0.194,900
Jan 25 2015 01: +0,0.173,1017
Jan 26 2015 01: +0,0.164,857
Jan 27 2015 01: +0,0.167,807
Jan 28 2015 01: +0,0.153,772
Jan 29 2015 01: +0,0.149,834
Jan 30 2015 01: +0,0.146,998
Jan 31 2015 01: +0,0.151,1122
Feb 01 2015 01: +0,0.142,1047
Feb 02 2015 01: +0,0.135,945
Feb 03 2015 01: +0,0.132,951
Feb 04 2015 01: +0,0.133,870
Feb 05 2015 01: +0,0.132,900
Feb 06 2015 01: +0,0.132,1010
Feb 07 2015 01: +0,0.128,1098
Feb 08 2015 01: +0,0.126,1291
Feb 09 2015 01: +0,0.125,909
Feb 10 2015 01: +0,0.121,924
Feb 11 2015 01: +0,0.122,991
Feb 12 2015 01: +0,0.116,991
Feb 13 2015 01: +0,0.121,1042
Feb 14 2015 01: +0,0.122,1160
Feb 15 2015 01: +0,0.125,1209
Feb 16 2015 01: +0,0.116,1101
Feb 17 2015 01: +0,0.107,1119
Feb 18 2015 01: +0,0.109,1043
Feb 19 2015 01: +0,0.112,1063
Feb 20 2015 01: +0,0.115,1046
Feb 21 2015 01: +0,0.116,1043
Feb 22 2015 01: +0,0.113,1119
Feb 23 2015 01: +0,0.111,909
Feb 24 2015 01: +0,0.112,974
Feb 25 2015 01: +0,0.112,979
Feb 26 2015 01: +0,0.115,976
Feb 27 2015 01: +0,0.106,1231
Feb 28 2015 01: +0,0.109,1471
Mar 01 2015 01: +0,0.113,1298
Mar 02 2015 01: +0,0.108,1032
Mar 03 2015 01: +0,0.108,925
Mar 04 2015 01: +0,0.106,930
Mar 05 2015 01: +0,0.107,1043
Mar 06 2015 01: +0,0.106,1109
Mar 07 2015 01: +0,0.105,1318
Mar 08 2015 01: +0,0.103,1342
Mar 09 2015 01: +0,0.1,1089
Mar 10 2015 01: +0,0.098,1002
Mar 11 2015 01: +0,0.096,910
Mar 12 2015 01: +0,0.097,1058
Mar 13 2015 01: +0,0.094,1224
Mar 14 2015 01: +0,0.096,1442
Mar 15 2015 01: +0,0.085,1661
Mar 16 2015 01: +0,0.079,1131
Mar 17 2015 01: +0,0.093,1112
Mar 18 2015 01: +0,0.095,1131
Mar 19 2015 01: +0,0.099,1103
Mar 20 2015 01: +0,0.099,1173
Mar 21 2015 01: +0,0.103,1472
Mar 22 2015 01: +0,0.102,1316
Mar 23 2015 01: +0,0.1,1186
Mar 24 2015 01: +0,0.102,1222
Mar 25 2015 01: +0,0.101,1187
Mar 26 2015 01: +0,0.1,1307
Mar 27 2015 01: +0,0.099,1296
Mar 28 2015 01: +0,0.098,1545
Mar 29 2015 01: +0,0.099,1513
Mar 30 2015 01: +0,0.095,1329
Mar 31 2015 01: +0,0.095,1188
Apr 01 2015 01: +0,0.102,1743
Apr 02 2015 01: +0,0.11,1644
Apr 03 2015 01: +0,0.115,1515
Apr 04 2015 01: +0,0.11,1731
Apr 05 2015 01: +0,0.11,1576
Apr 06 2015 01: +0,0.108,1694
Apr 07 2015 01: +0,0.113,1483
Apr 08 2015 01: +0,0.115,1340
Apr 09 2015 01: +0,0.113,1210
Apr 10 2015 01: +0,0.113,1388
Apr 11 2015 01: +0,0.108,1749
Apr 12 2015 01: +0,0.11,1441
Apr 13 2015 01: +0,0.106,1372
Apr 14 2015 01: +0,0.103,1289
Apr 15 2015 01: +0,0.108,1205
Apr 16 2015 01: +0,0.093,1713
Apr 17 2015 01: +0,0.093,1698
Apr 18 2015 01: +0,0.098,2221
Apr 19 2015 01: +0,0.097,1767
Apr 20 2015 01: +0,0.095,1615
Apr 21 2015 01: +0,0.095,1557
Apr 22 2015 01: +0,0.095,1618
Apr 23 2015 01: +0,0.096,1551
Apr 24 2015 01: +0,0.097,1634
Apr 25 2015 01: +0,0.096,1989
Apr 26 2015 01: +0,0.096,1801
Apr 27 2015 01: +0,0.097,1494
Apr 28 2015 01: +0,0.097,1450
Apr 29 2015 01: +0,0.097,1498
Apr 30 2015 01: +0,0.098,1755
May 01 2015 01: +0,0.1,1622
May 02 2015 01: +0,0.099,1962
May 03 2015 01: +0,0.098,1888
May 04 2015 01: +0,0.097,1655
May 05 2015 01: +0,0.098,1306
May 06 2015 01: +0,0.099,1325
May 07 2015 01: +0,0.098,1262
May 08 2015 01: +0,0.095,1586
May 09 2015 01: +0,0.097,1873
May 10 2015 01: +0,0.094,1785
May 11 2015 01: +0,0.095,1560
May 12 2015 01: +0,0.096,1328
May 13 2015 01: +0,0.098,1270
May 14 2015 01: +0,0.099,1443
May 15 2015 01: +0,0.098,1326
May 16 2015 01: +0,0.101,1584
May 17 2015 01: +0,0.097,1679
May 18 2015 01: +0,0.096,1209
May 19 2015 01: +0,0.095,1241
May 20 2015 01: +0,0.096,1312
May 21 2015 01: +0,0.095,1251
May 22 2015 01: +0,0.096,1335
May 23 2015 01: +0,0.099,1539
May 24 2015 01: +0,0.094,1412
May 25 2015 01: +0,0.095,1341
May 26 2015 01: +0,0.092,1289
May 27 2015 01: +0,0.063,1585
May 28 2015 01: +0,0.071,1587
May 29 2015 01: +0,0.08,1546
May 30 2015 01: +0,0.086,1793
May 31 2015 01: +0,0.086,1708
Jun 01 2015 01: +0,0.085,1475
Jun 02 2015 01: +0,0.086,1310
Jun 03 2015 01: +0,0.088,1468
Jun 04 2015 01: +0,0.088,1501
Jun 05 2015 01: +0,0.084,1496
Jun 06 2015 01: +0,0.087,1367
Jun 07 2015 01: +0,0.083,1515
Jun 08 2015 01: +0,0.086,1202
Jun 09 2015 01: +0,0.088,1128
Jun 10 2015 01: +0,0.085,1233
Jun 11 2015 01: +0,0.086,1157
Jun 12 2015 01: +0,0.073,1358
Jun 13 2015 01: +0,0.074,1371
Jun 14 2015 01: +0,0.072,1533
Jun 15 2015 01: +0,0.069,1275
Jun 16 2015 01: +0,0.071,1184
Jun 17 2015 01: +0,0.071,1245
Jun 18 2015 01: +0,0.076,1159
Jun 19 2015 01: +0,0.075,1283
