Aug 14 2013 01: +0,2.66,1
Aug 15 2013 01: +0,1.889,9
Aug 16 2013 01: +0,1.769,22
Aug 17 2013 01: +0,1.668,36
Aug 18 2013 01: +0,1.636,26
Aug 19 2013 01: +0,1.573,20
Aug 20 2013 01: +0,1.563,33
Aug 21 2013 01: +0,1.441,33
Aug 22 2013 01: +0,1.173,53
Aug 23 2013 01: +0,1.157,60
Aug 24 2013 01: +0,1.224,50
Aug 25 2013 01: +0,1.25,48
Aug 26 2013 01: +0,1.285,35
Aug 27 2013 01: +0,1.141,36
Aug 28 2013 01: +0,1.184,35
Aug 29 2013 01: +0,1.111,40
Aug 30 2013 01: +0,1.032,67
Aug 31 2013 01: +0,1.101,48
Sep 01 2013 01: +0,0.997,55
Sep 02 2013 01: +0,1.025,58
Sep 03 2013 01: +0,1.084,47
Sep 04 2013 01: +0,1.195,34
Sep 05 2013 01: +0,1.087,42
Sep 06 2013 01: +0,1.144,49
Sep 07 2013 01: +0,0.943,53
Sep 08 2013 01: +0,0.915,67
Sep 09 2013 01: +0,0.89,51
Sep 10 2013 01: +0,0.895,47
Sep 11 2013 01: +0,0.932,44
Sep 12 2013 01: +0,0.94,41
Sep 13 2013 01: +0,0.89,62
Sep 14 2013 01: +0,0.85,70
Sep 15 2013 01: +0,0.823,82
Sep 16 2013 01: +0,0.845,48
Sep 17 2013 01: +0,0.705,44
Sep 18 2013 01: +0,0.759,43
Sep 19 2013 01: +0,0.751,40
Sep 20 2013 01: +0,0.693,65
Sep 21 2013 01: +0,0.562,68
Sep 22 2013 01: +0,0.509,85
Sep 23 2013 01: +0,0.464,56
Sep 24 2013 01: +0,0.513,35
Sep 25 2013 01: +0,0.531,48
Sep 26 2013 01: +0,0.511,55
Sep 27 2013 01: +0,0.536,58
Sep 28 2013 01: +0,0.563,60
Sep 29 2013 01: +0,0.629,71
Sep 30 2013 01: +0,0.627,61
Oct 01 2013 01: +0,0.665,51
Oct 02 2013 01: +0,0.593,49
Oct 03 2013 01: +0,0.652,48
Oct 04 2013 01: +0,0.6,54
Oct 05 2013 01: +0,0.548,66
Oct 06 2013 01: +0,0.501,80
Oct 07 2013 01: +0,0.51,43
Oct 08 2013 01: +0,0.499,54
Oct 09 2013 01: +0,0.536,49
Oct 10 2013 01: +0,0.554,44
Oct 11 2013 01: +0,0.493,55
Oct 12 2013 01: +0,0.56,72
Oct 13 2013 01: +0,0.537,74
Oct 14 2013 01: +0,0.504,61
Oct 15 2013 01: +0,0.542,51
Oct 16 2013 01: +0,0.463,42
Oct 17 2013 01: +0,0.491,50
Oct 18 2013 01: +0,0.597,50
Oct 19 2013 01: +0,0.467,86
Oct 20 2013 01: +0,0.447,77
Oct 21 2013 01: +0,0.473,63
Oct 22 2013 01: +0,0.422,58
Oct 23 2013 01: +0,0.439,62
Oct 24 2013 01: +0,0.49,51
Oct 25 2013 01: +0,0.476,61
Oct 26 2013 01: +0,0.509,64
Oct 27 2013 01: +0,0.456,82
Oct 28 2013 01: +0,0.478,60
Oct 29 2013 01: +0,0.478,39
Oct 30 2013 01: +0,0.425,57
Oct 31 2013 01: +0,0.449,48
Nov 01 2013 01: +0,0.361,64
Nov 02 2013 01: +0,0.437,66
Nov 03 2013 01: +0,0.38,55
Nov 04 2013 01: +0,0.364,61
Nov 05 2013 01: +0,0.363,67
Nov 06 2013 01: +0,0.339,69
Nov 07 2013 01: +0,0.392,60
Nov 08 2013 01: +0,0.266,80
Nov 09 2013 01: +0,0.175,106
Nov 10 2013 01: +0,0.175,111
Nov 11 2013 01: +0,0.163,97
Nov 12 2013 01: +0,0.198,69
Nov 13 2013 01: +0,0.207,63
Nov 14 2013 01: +0,0.18,44
Nov 15 2013 01: +0,0.17,57
Nov 16 2013 01: +0,0.172,85
Nov 17 2013 01: +0,0.158,78
Nov 18 2013 01: +0,0.144,57
Nov 19 2013 01: +0,0.18,48
Nov 20 2013 01: +0,0.187,51
Nov 21 2013 01: +0,0.176,51
Nov 22 2013 01: +0,0.151,58
Nov 23 2013 01: +0,0.186,82
Nov 24 2013 01: +0,0.181,50
Nov 25 2013 01: +0,0.157,59
Nov 26 2013 01: +0,0.181,58
Nov 27 2013 01: +0,0.17,56
Nov 28 2013 01: +0,0.143,64
Nov 29 2013 01: +0,0.151,44
Nov 30 2013 01: +0,0.142,88
Dec 01 2013 01: +0,0.133,80
Dec 02 2013 01: +0,0.144,79
Dec 03 2013 01: +0,0.166,38
Dec 04 2013 01: +0,0.198,66
Dec 05 2013 01: +0,0.193,31
Dec 06 2013 01: +0,0.181,39
Dec 07 2013 01: +0,0.165,60
Dec 08 2013 01: +0,0.171,47
Dec 09 2013 01: +0,0.242,51
Dec 10 2013 01: +0,0.249,34
Dec 11 2013 01: +0,0.202,28
Dec 12 2013 01: +0,0.183,51
Dec 13 2013 01: +0,0.181,36
Dec 14 2013 01: +0,0.214,42
Dec 15 2013 01: +0,0.204,36
Dec 16 2013 01: +0,0.162,32
Dec 17 2013 01: +0,0.214,53
Dec 18 2013 01: +0,0.165,36
Dec 19 2013 01: +0,0.117,34
Dec 20 2013 01: +0,0.126,50
Dec 21 2013 01: +0,0.147,55
Dec 22 2013 01: +0,0.145,40
Dec 23 2013 01: +0,0.144,43
Dec 24 2013 01: +0,0.13,29
Dec 25 2013 01: +0,0.148,22
Dec 26 2013 01: +0,0.169,47
Dec 27 2013 01: +0,0.158,64
Dec 28 2013 01: +0,0.18,38
Dec 29 2013 01: +0,0.156,38
Dec 30 2013 01: +0,0.17,48
Dec 31 2013 01: +0,0.153,24
Jan 01 2014 01: +0,0.184,27
Jan 02 2014 01: +0,0.155,54
Jan 03 2014 01: +0,0.19,42
Jan 04 2014 01: +0,0.182,37
Jan 05 2014 01: +0,0.189,31
Jan 06 2014 01: +0,0.169,39
Jan 07 2014 01: +0,0.225,50
Jan 08 2014 01: +0,0.259,27
Jan 09 2014 01: +0,0.182,32
Jan 10 2014 01: +0,0.192,50
Jan 11 2014 01: +0,0.205,49
Jan 12 2014 01: +0,0.169,45
Jan 13 2014 01: +0,0.161,41
Jan 14 2014 01: +0,0.182,46
Jan 15 2014 01: +0,0.18,30
Jan 16 2014 01: +0,0.184,24
Jan 17 2014 01: +0,0.194,31
Jan 18 2014 01: +0,0.164,34
Jan 19 2014 01: +0,0.17,42
