Aug 16 2013 01: +0,8.403,3
Aug 17 2013 01: +0,4.758,4
Aug 18 2013 01: +0,4.838,2
Aug 19 2013 01: +0,3.685,8
Aug 20 2013 01: +0,5.144,4
Aug 21 2013 01: +0,5.164,3
Aug 22 2013 01: +0,3.857,6
Aug 23 2013 01: +0,3.252,7
Aug 24 2013 01: +0,3.249,5
Aug 25 2013 01: +0,3.141,4
Aug 26 2013 01: +0,2.668,3
Aug 27 2013 01: +0,2.712,3
Aug 28 2013 01: +0,3.367,7
Aug 29 2013 01: +0,3.612,2
Aug 30 2013 01: +0,3.389,10
Aug 31 2013 01: +0,3.057,5
Sep 01 2013 01: +0,2.846,13
Sep 02 2013 01: +0,4.003,3
Sep 03 2013 01: +0,3.663,3
Sep 04 2013 01: +0,4.488,5
Sep 05 2013 01: +0,4.261,3
Sep 06 2013 01: +0,2.997,4
Sep 07 2013 01: +0,2.76,5
Sep 08 2013 01: +0,2.906,8
Sep 09 2013 01: +0,3.055,3
Sep 10 2013 01: +0,3.591,6
Sep 11 2013 01: +0,3.179,3
Sep 12 2013 01: +0,3.842,11
Sep 13 2013 01: +0,4.244,10
Sep 14 2013 01: +0,3.138,4
Sep 15 2013 01: +0,3.034,7
Sep 16 2013 01: +0,2.984,6
Sep 17 2013 01: +0,3.159,2
Sep 18 2013 01: +0,3.106,4
Sep 19 2013 01: +0,2.996,4
Sep 20 2013 01: +0,2.902,11
Sep 21 2013 01: +0,2.176,6
Sep 22 2013 01: +0,2.183,17
Sep 23 2013 01: +0,2.032,2
Sep 24 2013 01: +0,1.95,4
Sep 25 2013 01: +0,1.923,4
Sep 26 2013 01: +0,2.025,10
Sep 27 2013 01: +0,1.841,12
Sep 28 2013 01: +0,2.179,15
Sep 29 2013 01: +0,2.022,22
Sep 30 2013 01: +0,1.928,6
Oct 01 2013 01: +0,1.779,11
Oct 02 2013 01: +0,1.986,14
Oct 03 2013 01: +0,1.705,3
Oct 04 2013 01: +0,2.02,8
Oct 05 2013 01: +0,2.05,4
Oct 06 2013 01: +0,2.07,7
Oct 07 2013 01: +0,1.652,9
Oct 08 2013 01: +0,1.537,26
Oct 09 2013 01: +0,1.381,7
Oct 10 2013 01: +0,1.916,7
Oct 11 2013 01: +0,2.02,4
Oct 12 2013 01: +0,1.952,8
Oct 13 2013 01: +0,1.83,7
Oct 14 2013 01: +0,1.718,6
Oct 15 2013 01: +0,1.795,7
Oct 16 2013 01: +0,1.716,8
Oct 17 2013 01: +0,1.441,7
Oct 18 2013 01: +0,1.821,13
Oct 19 2013 01: +0,2.354,7
Oct 20 2013 01: +0,1.946,16
Oct 21 2013 01: +0,2.201,7
Oct 22 2013 01: +0,2.218,3
Oct 23 2013 01: +0,1.554,3
Oct 24 2013 01: +0,1.905,15
Oct 25 2013 01: +0,2.257,12
Oct 26 2013 01: +0,1.855,16
Oct 27 2013 01: +0,1.795,14
Oct 28 2013 01: +0,1.888,7
Oct 29 2013 01: +0,1.625,11
Oct 30 2013 01: +0,1.443,10
Oct 31 2013 01: +0,1.604,23
Nov 01 2013 01: +0,1.466,10
Nov 02 2013 01: +0,1.64,15
Nov 03 2013 01: +0,1.724,4
Nov 04 2013 01: +0,1.395,21
Nov 05 2013 01: +0,1.873,7
Nov 06 2013 01: +0,1.616,11
Nov 07 2013 01: +0,1.547,4
Nov 08 2013 01: +0,1.317,10
Nov 09 2013 01: +0,1.076,13
Nov 10 2013 01: +0,0.812,14
Nov 11 2013 01: +0,0.943,9
Nov 12 2013 01: +0,0.975,16
Nov 13 2013 01: +0,1.124,7
Nov 14 2013 01: +0,0.995,4
Nov 15 2013 01: +0,0.962,17
Nov 16 2013 01: +0,1.696,15
Nov 17 2013 01: +0,1.03,7
Nov 18 2013 01: +0,0.853,5
Nov 19 2013 01: +0,0.806,3
Nov 20 2013 01: +0,0.982,6
Nov 21 2013 01: +0,0.819,7
Nov 22 2013 01: +0,0.68,16
Nov 23 2013 01: +0,0.763,9
Nov 24 2013 01: +0,0.767,4
Nov 25 2013 01: +0,0.624,12
Nov 26 2013 01: +0,0.694,15
Nov 27 2013 01: +0,0.672,18
Nov 28 2013 01: +0,0.686,8
Nov 29 2013 01: +0,0.746,10
Nov 30 2013 01: +0,0.769,16
Dec 01 2013 01: +0,0.73,10
Dec 02 2013 01: +0,0.863,10
Dec 03 2013 01: +0,1.033,14
Dec 04 2013 01: +0,0.832,11
Dec 05 2013 01: +0,0.97,4
Dec 06 2013 01: +0,0.876,4
Dec 07 2013 01: +0,0.808,9
Dec 08 2013 01: +0,0.819,27
Dec 09 2013 01: +0,0.828,12
Dec 10 2013 01: +0,0.85,1
Dec 11 2013 01: +0,0.917,13
Dec 12 2013 01: +0,0.834,6
Dec 13 2013 01: +0,0.83,21
Dec 14 2013 01: +0,0.783,35
Dec 15 2013 01: +0,0.834,8
Dec 16 2013 01: +0,0.803,7
Dec 17 2013 01: +0,0.836,4
Dec 18 2013 01: +0,0.543,7
Dec 19 2013 01: +0,0.803,25
Dec 20 2013 01: +0,0.495,22
Dec 21 2013 01: +0,0.714,8
Dec 22 2013 01: +0,0.692,29
Dec 23 2013 01: +0,0.589,26
Dec 24 2013 01: +0,0.584,7
Dec 25 2013 01: +0,0.7,15
Dec 26 2013 01: +0,0.631,35
Dec 27 2013 01: +0,0.806,24
Dec 28 2013 01: +0,0.931,19
Dec 29 2013 01: +0,0.731,7
Dec 30 2013 01: +0,1.02,5
Dec 31 2013 01: +0,0.987,6
Jan 01 2014 01: +0,0.856,10
Jan 02 2014 01: +0,0.671,11
Jan 03 2014 01: +0,0.504,15
Jan 04 2014 01: +0,0.753,21
Jan 05 2014 01: +0,0.946,27
Jan 06 2014 01: +0,1.113,14
Jan 07 2014 01: +0,1.079,16
Jan 08 2014 01: +0,0.899,4
Jan 09 2014 01: +0,0.884,5
Jan 10 2014 01: +0,0.971,15
Jan 11 2014 01: +0,0.517,4
Jan 12 2014 01: +0,0.687,9
Jan 13 2014 01: +0,0.84,18
Jan 14 2014 01: +0,0.85,9
Jan 15 2014 01: +0,0.839,15
Jan 16 2014 01: +0,0.973,8
Jan 17 2014 01: +0,0.877,3
Jan 18 2014 01: +0,0.788,10
Jan 19 2014 01: +0,0.85,36
