Feb 16 2018 01: +0,0.887,611
Feb 17 2018 01: +0,0.458,717
Feb 18 2018 01: +0,0.393,730
Feb 19 2018 01: +0,0.36,585
Feb 20 2018 01: +0,0.348,445
Feb 21 2018 01: +0,0.347,386
Feb 22 2018 01: +0,0.291,516
Feb 23 2018 01: +0,0.267,485
Feb 24 2018 01: +0,0.256,547
Feb 25 2018 01: +0,0.237,569
Feb 26 2018 01: +0,0.215,374
Feb 27 2018 01: +0,0.231,458
Feb 28 2018 01: +0,0.241,281
Feb 28 2018 19: +0,0.282,17
Feb 28 2018 20: +0,0.305,24
Feb 28 2018 21: +0,0.238,10
Feb 28 2018 22: +0,0.25,27
Feb 28 2018 23: +0,0.211,22
Mar 01 2018 00: +0,0.228,9
Mar 01 2018 01: +0,0.232,15
Mar 01 2018 02: +0,0.206,8
Mar 01 2018 03: +0,0.216,9
Mar 01 2018 04: +0,0.2,9
Mar 01 2018 05: +0,0.253,38
Mar 01 2018 06: +0,0.31,20
Mar 01 2018 07: +0,0.23,11
Mar 01 2018 08: +0,0.241,13
Mar 01 2018 09: +0,0.229,7
Mar 01 2018 10: +0,0.195,6
Mar 01 2018 11: +0,0.222,15
Mar 01 2018 12: +0,0.23,11
Mar 01 2018 13: +0,0.253,19
Mar 01 2018 14: +0,0.239,12
Mar 01 2018 15: +0,0.232,25
Mar 01 2018 16: +0,0.249,27
Mar 01 2018 17: +0,0.244,36
Mar 01 2018 18: +0,0.232,23
Mar 01 2018 19: +0,0.24,25
Mar 01 2018 20: +0,0.232,23
Mar 01 2018 21: +0,0.232,34
Mar 01 2018 22: +0,0.222,32
Mar 01 2018 23: +0,0.21,11
Mar 02 2018 00: +0,0.24,18
Mar 02 2018 01: +0,0.222,9
Mar 02 2018 02: +0,0.2,7
Mar 02 2018 03: +0,0.2,10
Mar 02 2018 04: +0,0.23,11
Mar 02 2018 05: +0,0.264,18
Mar 02 2018 06: +0,0.241,7
Mar 02 2018 07: +0,0.19,8
Mar 02 2018 08: +0,0.24,15
Mar 02 2018 09: +0,0.264,26
Mar 02 2018 10: +0,0.218,13
Mar 02 2018 11: +0,0.248,10
Mar 02 2018 12: +0,0.227,10
Mar 02 2018 13: +0,0.223,17
Mar 02 2018 14: +0,0.21,20
Mar 02 2018 15: +0,0.25,20
Mar 02 2018 16: +0,0.24,23
Mar 02 2018 17: +0,0.218,19
Mar 02 2018 18: +0,0.21,17
Mar 02 2018 19: +0,0.256,64
Mar 02 2018 20: +0,0.219,18
Mar 02 2018 21: +0,0.21,35
Mar 02 2018 22: +0,0.244,13
Mar 02 2018 23: +0,0.214,16
Mar 03 2018 00: +0,0.225,15
Mar 03 2018 01: +0,0.219,12
Mar 03 2018 02: +0,0.2,8
Mar 03 2018 03: +0,0.248,26
Mar 03 2018 04: +0,0.21,11
Mar 03 2018 05: +0,0.221,18
Mar 03 2018 06: +0,0.241,11
Mar 03 2018 07: +0,0.241,6
Mar 03 2018 08: +0,0.21,7
Mar 03 2018 09: +0,0.24,26
Mar 03 2018 10: +0,0.22,10
Mar 03 2018 11: +0,0.224,12
Mar 03 2018 12: +0,0.21,21
Mar 03 2018 13: +0,0.217,23
Mar 03 2018 14: +0,0.217,19
Mar 03 2018 15: +0,0.217,19
Mar 03 2018 16: +0,0.217,39
Mar 03 2018 17: +0,0.21,31
Mar 03 2018 18: +0,0.231,30
Mar 03 2018 19: +0,0.21,29
Mar 03 2018 20: +0,0.2,14
Mar 03 2018 21: +0,0.21,24
Mar 03 2018 22: +0,0.21,17
Mar 03 2018 23: +0,0.21,22
Mar 04 2018 00: +0,0.21,17
Mar 04 2018 01: +0,0.21,16
Mar 04 2018 02: +0,0.226,23
Mar 04 2018 03: +0,0.2,13
Mar 04 2018 04: +0,0.205,8
Mar 04 2018 05: +0,0.232,39
Mar 04 2018 06: +0,0.23,23
Mar 04 2018 07: +0,0.227,21
Mar 04 2018 08: +0,0.23,11
Mar 04 2018 09: +0,0.21,7
Mar 04 2018 10: +0,0.21,16
Mar 04 2018 11: +0,0.21,15
Mar 04 2018 12: +0,0.21,27
Mar 04 2018 13: +0,0.2,19
Mar 04 2018 14: +0,0.211,42
Mar 04 2018 15: +0,0.212,34
Mar 04 2018 16: +0,0.2,17
Mar 04 2018 17: +0,0.2,31
Mar 04 2018 18: +0,0.209,31
Mar 04 2018 19: +0,0.205,40
Mar 04 2018 20: +0,0.2,22
Mar 04 2018 21: +0,0.2,28
Mar 04 2018 22: +0,0.2,23
Mar 04 2018 23: +0,0.18,21
Mar 05 2018 00: +0,0.18,31
Mar 05 2018 01: +0,0.18,15
Mar 05 2018 02: +0,0.185,14
Mar 05 2018 03: +0,0.18,7
Mar 05 2018 04: +0,0.18,11
Mar 05 2018 05: +0,0.103,8
Mar 05 2018 06: +0,0.172,11
Mar 05 2018 07: +0,0.182,8
Mar 05 2018 08: +0,0.15,1
Mar 05 2018 09: +0,0.182,21
Mar 05 2018 10: +0,0.161,8
Mar 05 2018 11: +0,0.154,13
Mar 05 2018 12: +0,0.137,12
Mar 05 2018 13: +0,0.156,7
Mar 05 2018 14: +0,0.16,12
Mar 05 2018 15: +0,0.185,17
Mar 05 2018 16: +0,0.172,27
Mar 05 2018 17: +0,0.184,22
Mar 05 2018 18: +0,0.195,11
Mar 05 2018 19: +0,0.167,27
Mar 05 2018 20: +0,0.16,35
Mar 05 2018 21: +0,0.16,17
Mar 05 2018 22: +0,0.17,22
Mar 05 2018 23: +0,0.15,21
Mar 06 2018 00: +0,0.185,22
Mar 06 2018 01: +0,0.18,6
Mar 06 2018 02: +0,0.15,11
Mar 06 2018 03: +0,0.161,5
Mar 06 2018 04: +0,0.154,8
Mar 06 2018 05: +0,0.167,22
Mar 06 2018 06: +0,0.168,11
Mar 06 2018 07: +0,0.16,7
Mar 06 2018 08: +0,0.155,4
Mar 06 2018 09: +0,0.162,12
Mar 06 2018 10: +0,0.185,9
Mar 06 2018 11: +0,0.154,18
Mar 06 2018 12: +0,0.17,24
Mar 06 2018 13: +0,0.153,10
Mar 06 2018 14: +0,0.17,17
Mar 06 2018 15: +0,0.17,24
Mar 06 2018 16: +0,0.17,32
Mar 06 2018 17: +0,0.169,46
Mar 06 2018 18: +0,0.174,30
Mar 06 2018 19: +0,0.179,49
Mar 06 2018 20: +0,0.17,22
Mar 06 2018 21: +0,0.163,30
Mar 06 2018 22: +0,0.157,19
Mar 06 2018 23: +0,0.167,16
Mar 07 2018 00: +0,0.15,15
Mar 07 2018 01: +0,0.156,8
Mar 07 2018 02: +0,0.159,14
Mar 07 2018 03: +0,0.17,6
Mar 07 2018 04: +0,0.159,10
Mar 07 2018 05: +0,0.15,7
Mar 07 2018 06: +0,0.178,10
Mar 07 2018 07: +0,0.172,5
Mar 07 2018 08: +0,0.172,13
Mar 07 2018 09: +0,0.184,11
Mar 07 2018 10: +0,0.17,5
Mar 07 2018 11: +0,0.172,10
Mar 07 2018 12: +0,0.157,8
Mar 07 2018 13: +0,0.183,20
Mar 07 2018 14: +0,0.18,19
Mar 07 2018 15: +0,0.173,15
Mar 07 2018 16: +0,0.16,20
Mar 07 2018 17: +0,0.173,28
Mar 07 2018 18: +0,0.156,20
Mar 07 2018 19: +0,0.166,42
Mar 07 2018 20: +0,0.151,18
Mar 07 2018 21: +0,0.15,29
Mar 07 2018 22: +0,0.152,30
Mar 07 2018 23: +0,0.16,26
Mar 08 2018 00: +0,0.155,13
Mar 08 2018 01: +0,0.15,6
Mar 08 2018 02: +0,0.15,13
Mar 08 2018 03: +0,0.174,21
Mar 08 2018 04: +0,0.161,13
Mar 08 2018 05: +0,0.158,7
Mar 08 2018 06: +0,0.183,9
Mar 08 2018 07: +0,0.184,21
Mar 08 2018 08: +0,0.185,16
Mar 08 2018 09: +0,0.186,16
Mar 08 2018 10: +0,0.16,11
Mar 08 2018 11: +0,0.165,6
Mar 08 2018 12: +0,0.15,9
Mar 08 2018 13: +0,0.15,5
