Aug 28 2014 01: +0,7.14,7
Aug 29 2014 01: +0,5.055,43
Aug 30 2014 01: +0,2.563,87
Aug 31 2014 01: +0,2.156,94
Sep 01 2014 01: +0,2.455,79
Sep 02 2014 01: +0,2.074,81
Sep 03 2014 01: +0,2.002,102
Sep 04 2014 01: +0,2.085,65
Sep 05 2014 01: +0,1.711,89
Sep 06 2014 01: +0,1.484,133
Sep 07 2014 01: +0,1.455,120
Sep 08 2014 01: +0,1.581,89
Sep 09 2014 01: +0,1.571,79
Sep 10 2014 01: +0,1.212,98
Sep 11 2014 01: +0,1.146,149
Sep 12 2014 01: +0,0.922,168
Sep 13 2014 01: +0,0.772,221
Sep 14 2014 01: +0,0.865,176
Sep 15 2014 01: +0,0.739,171
Sep 16 2014 01: +0,0.617,176
Sep 17 2014 01: +0,0.656,170
Sep 18 2014 01: +0,0.625,156
Sep 19 2014 01: +0,0.552,189
Sep 20 2014 01: +0,0.529,287
Sep 21 2014 01: +0,0.562,219
Sep 22 2014 01: +0,0.607,208
Sep 23 2014 01: +0,0.594,177
Sep 24 2014 01: +0,0.581,185
Sep 25 2014 01: +0,0.524,166
Sep 26 2014 01: +0,0.491,221
Sep 27 2014 01: +0,0.482,221
Sep 28 2014 01: +0,0.44,269
Sep 29 2014 01: +0,0.442,202
Sep 30 2014 01: +0,0.399,198
Oct 01 2014 01: +0,0.38,232
Oct 02 2014 01: +0,0.461,252
Oct 03 2014 01: +0,0.726,314
Oct 04 2014 01: +0,0.709,179
Oct 05 2014 01: +0,0.666,143
Oct 06 2014 01: +0,0.68,124
Oct 07 2014 01: +0,0.67,112
Oct 08 2014 01: +0,0.661,124
Oct 09 2014 01: +0,0.638,123
Oct 10 2014 01: +0,0.654,125
Oct 11 2014 01: +0,1.013,192
Oct 12 2014 01: +0,0.954,156
Oct 13 2014 01: +0,0.842,117
Oct 14 2014 01: +0,0.867,104
Oct 15 2014 01: +0,0.894,97
Oct 16 2014 01: +0,0.809,101
Oct 17 2014 01: +0,0.818,106
Oct 18 2014 01: +0,0.789,129
Oct 19 2014 01: +0,0.684,121
Oct 20 2014 01: +0,0.788,95
Oct 21 2014 01: +0,0.846,70
Oct 22 2014 01: +0,0.776,84
Oct 23 2014 01: +0,0.813,77
Oct 24 2014 01: +0,0.823,93
Oct 25 2014 01: +0,0.892,108
Oct 26 2014 01: +0,0.759,120
Oct 27 2014 01: +0,0.8,80
Oct 28 2014 01: +0,0.824,81
Oct 29 2014 01: +0,0.821,83
Oct 30 2014 01: +0,0.965,61
Oct 31 2014 01: +0,0.682,114
Nov 01 2014 01: +0,0.789,90
Nov 02 2014 01: +0,0.799,102
Nov 03 2014 01: +0,0.838,80
Nov 04 2014 01: +0,0.872,68
Nov 05 2014 01: +0,0.925,73
Nov 06 2014 01: +0,0.946,58
Nov 07 2014 01: +0,0.895,87
