Feb 21 2014 01: +0,1.856,50
Feb 22 2014 01: +0,2.075,52
Feb 23 2014 01: +0,2.167,52
Feb 24 2014 01: +0,2.581,28
Feb 25 2014 01: +0,2.717,18
Feb 26 2014 01: +0,2.41,20
Feb 27 2014 01: +0,2.364,7
Feb 28 2014 01: +0,2.104,29
Mar 01 2014 01: +0,1.696,74
Mar 02 2014 01: +0,1.69,48
Mar 03 2014 01: +0,1.556,43
Mar 04 2014 01: +0,1.635,27
Mar 05 2014 01: +0,1.621,32
Mar 06 2014 01: +0,1.811,22
Mar 07 2014 01: +0,1.696,44
Mar 08 2014 01: +0,1.586,41
Mar 09 2014 01: +0,1.478,64
Mar 10 2014 01: +0,1.521,37
Mar 11 2014 01: +0,1.57,36
Mar 12 2014 01: +0,1.579,44
Mar 13 2014 01: +0,1.557,22
Mar 14 2014 01: +0,1.56,35
Mar 15 2014 01: +0,1.422,93
Mar 16 2014 01: +0,1.449,73
Mar 17 2014 01: +0,1.487,49
Mar 18 2014 01: +0,1.457,38
Mar 19 2014 01: +0,1.33,52
Mar 20 2014 01: +0,1.247,47
Mar 21 2014 01: +0,1.413,48
Mar 22 2014 01: +0,1.368,67
Mar 23 2014 01: +0,1.368,58
Mar 24 2014 01: +0,1.272,80
Mar 25 2014 01: +0,1.534,49
Mar 26 2014 01: +0,1.381,52
Mar 27 2014 01: +0,1.446,53
Mar 28 2014 01: +0,1.397,51
Mar 29 2014 01: +0,1.437,61
Mar 30 2014 01: +0,1.347,68
Mar 31 2014 01: +0,1.361,72
Apr 01 2014 01: +0,1.538,38
Apr 02 2014 01: +0,1.24,55
Apr 03 2014 01: +0,1.211,55
Apr 04 2014 01: +0,1.243,62
Apr 05 2014 01: +0,1.415,91
Apr 06 2014 01: +0,1.284,66
Apr 07 2014 01: +0,1.317,50
Apr 08 2014 01: +0,1.34,64
Apr 09 2014 01: +0,1.198,68
Apr 10 2014 01: +0,1.399,65
Apr 11 2014 01: +0,1.477,76
Apr 12 2014 01: +0,1.425,66
Apr 13 2014 01: +0,1.448,83
Apr 14 2014 01: +0,1.35,57
Apr 15 2014 01: +0,1.312,60
Apr 16 2014 01: +0,1.302,93
Apr 17 2014 01: +0,1.313,61
Apr 18 2014 01: +0,1.38,95
Apr 19 2014 01: +0,1.356,64
Apr 20 2014 01: +0,1.261,71
Apr 21 2014 01: +0,1.288,97
Apr 22 2014 01: +0,1.341,65
Apr 23 2014 01: +0,1.267,74
Apr 24 2014 01: +0,1.275,87
Apr 25 2014 01: +0,1.311,78
Apr 26 2014 01: +0,1.332,66
Apr 27 2014 01: +0,1.302,75
Apr 28 2014 01: +0,1.293,76
Apr 29 2014 01: +0,1.344,67
Apr 30 2014 01: +0,1.366,86
May 01 2014 01: +0,1.416,88
May 02 2014 01: +0,1.161,61
May 03 2014 01: +0,1.057,91
May 04 2014 01: +0,0.985,102
