Aug 15 2013 01: +0,1.956,5
Aug 16 2013 01: +0,1.694,7
Aug 17 2013 01: +0,2.659,13
Aug 18 2013 01: +0,2.573,13
Aug 19 2013 01: +0,2.464,10
Aug 20 2013 01: +0,2.513,9
Aug 21 2013 01: +0,1.799,9
Aug 22 2013 01: +0,2.087,15
Aug 23 2013 01: +0,1.119,19
Aug 24 2013 01: +0,1.399,20
Aug 25 2013 01: +0,1.345,18
Aug 26 2013 01: +0,1.368,15
Aug 27 2013 01: +0,1.905,11
Aug 28 2013 01: +0,1.469,13
Aug 29 2013 01: +0,1.608,9
Aug 30 2013 01: +0,1.292,21
Aug 31 2013 01: +0,1.072,13
Sep 01 2013 01: +0,0.786,28
Sep 02 2013 01: +0,0.959,22
Sep 03 2013 01: +0,0.849,23
Sep 04 2013 01: +0,0.951,15
Sep 05 2013 01: +0,0.835,16
Sep 06 2013 01: +0,0.683,20
Sep 07 2013 01: +0,0.854,30
Sep 08 2013 01: +0,0.931,16
Sep 09 2013 01: +0,0.769,24
Sep 10 2013 01: +0,0.77,18
Sep 11 2013 01: +0,0.916,21
Sep 12 2013 01: +0,0.63,22
Sep 13 2013 01: +0,0.946,57
Sep 14 2013 01: +0,1.059,28
Sep 15 2013 01: +0,1.09,41
Sep 16 2013 01: +0,1.13,10
Sep 17 2013 01: +0,0.68,17
Sep 18 2013 01: +0,0.722,21
Sep 19 2013 01: +0,0.744,24
Sep 20 2013 01: +0,0.671,22
Sep 21 2013 01: +0,0.557,21
Sep 22 2013 01: +0,0.489,29
Sep 23 2013 01: +0,0.488,16
Sep 24 2013 01: +0,0.693,17
Sep 25 2013 01: +0,0.697,9
Sep 26 2013 01: +0,0.467,16
Sep 27 2013 01: +0,0.489,21
Sep 28 2013 01: +0,0.441,24
Sep 29 2013 01: +0,0.41,21
Sep 30 2013 01: +0,0.481,22
Oct 01 2013 01: +0,0.38,18
Oct 02 2013 01: +0,0.463,14
Oct 03 2013 01: +0,0.434,22
Oct 04 2013 01: +0,0.526,20
Oct 05 2013 01: +0,0.489,23
Oct 06 2013 01: +0,0.415,22
Oct 07 2013 01: +0,0.398,16
Oct 08 2013 01: +0,0.489,13
Oct 09 2013 01: +0,0.372,10
Oct 10 2013 01: +0,0.269,24
Oct 11 2013 01: +0,0.318,24
Oct 12 2013 01: +0,0.41,23
Oct 13 2013 01: +0,0.307,23
Oct 14 2013 01: +0,0.399,13
Oct 15 2013 01: +0,0.441,20
Oct 16 2013 01: +0,0.5,11
Oct 17 2013 01: +0,0.321,15
Oct 18 2013 01: +0,0.319,19
Oct 19 2013 01: +0,0.349,17
Oct 20 2013 01: +0,0.335,30
Oct 21 2013 01: +0,0.449,26
Oct 22 2013 01: +0,0.356,8
Oct 23 2013 01: +0,0.358,27
Oct 24 2013 01: +0,0.42,14
Oct 25 2013 01: +0,0.356,17
Oct 26 2013 01: +0,0.427,25
Oct 27 2013 01: +0,0.392,18
Oct 28 2013 01: +0,0.408,21
Oct 29 2013 01: +0,0.431,13
Oct 30 2013 01: +0,0.379,16
Oct 31 2013 01: +0,0.377,11
Nov 01 2013 01: +0,0.313,10
Nov 02 2013 01: +0,0.379,10
Nov 03 2013 01: +0,0.444,11
Nov 04 2013 01: +0,0.346,17
Nov 05 2013 01: +0,0.329,15
Nov 06 2013 01: +0,0.317,23
Nov 07 2013 01: +0,0.414,8
Nov 08 2013 01: +0,0.439,17
Nov 09 2013 01: +0,0.298,17
Nov 10 2013 01: +0,0.407,18
Nov 11 2013 01: +0,0.47,11
Nov 12 2013 01: +0,0.381,20
Nov 13 2013 01: +0,0.474,17
Nov 14 2013 01: +0,0.484,6
Nov 15 2013 01: +0,0.344,7
Nov 16 2013 01: +0,0.441,19
Nov 17 2013 01: +0,0.453,9
Nov 18 2013 01: +0,0.465,20
Nov 19 2013 01: +0,0.619,4
Nov 20 2013 01: +0,0.604,3
Nov 21 2013 01: +0,0.42,4
Nov 22 2013 01: +0,0.513,7
Nov 23 2013 01: +0,0.459,14
Nov 24 2013 01: +0,0.538,6
Nov 25 2013 01: +0,0.644,10
Nov 26 2013 01: +0,0.757,14
