Nov 29 2013 01: +0,1.38,1
Nov 30 2013 01: +0,6.143,2
Dec 01 2013 01: +0,1.04,1
Dec 02 2013 01: +0,0.057,1
Dec 03 2013 01: +0,1.99,1
Dec 04 2013 01: +0,1.61,1
Dec 05 2013 01: +0,1.274,1
Dec 07 2013 01: +0,1.039,1
Dec 08 2013 01: +0,0.332,2
Dec 09 2013 01: +0,0.559,4
Dec 10 2013 01: +0,0.571,4
Dec 11 2013 01: +0,0.665,6
Dec 12 2013 01: +0,0.808,2
Dec 13 2013 01: +0,0.62,3
Dec 14 2013 01: +0,0.466,3
Dec 15 2013 01: +0,0.62,1
Dec 16 2013 01: +0,0.56,2
Dec 17 2013 01: +0,0.5,1
Dec 18 2013 01: +0,0.399,1
Dec 19 2013 01: +0,0.451,3
Dec 20 2013 01: +0,0.39,6
Dec 21 2013 01: +0,0.272,8
Dec 22 2013 01: +0,0.243,5
Dec 23 2013 01: +0,0.276,5
Dec 24 2013 01: +0,0.381,3
Dec 25 2013 01: +0,0.376,4
Dec 26 2013 01: +0,0.278,6
Dec 27 2013 01: +0,0.27,3
Dec 28 2013 01: +0,0.238,10
Dec 29 2013 01: +0,0.258,13
Dec 30 2013 01: +0,0.188,3
Dec 31 2013 01: +0,0.177,9
Jan 01 2014 01: +0,0.256,7
Jan 02 2014 01: +0,0.269,4
Jan 03 2014 01: +0,0.255,3
Jan 04 2014 01: +0,0.306,12
Jan 05 2014 01: +0,0.276,7
Jan 06 2014 01: +0,0.302,10
Jan 07 2014 01: +0,0.278,2
Jan 08 2014 01: +0,0.318,2
Jan 09 2014 01: +0,0.225,4
Jan 10 2014 01: +0,0.243,6
Jan 11 2014 01: +0,0.212,8
Jan 12 2014 01: +0,0.231,6
Jan 13 2014 01: +0,0.245,5
Jan 14 2014 01: +0,0.26,6
Jan 15 2014 01: +0,0.252,2
Jan 16 2014 01: +0,0.204,10
Jan 17 2014 01: +0,0.249,11
Jan 18 2014 01: +0,0.207,9
Jan 19 2014 01: +0,0.236,16
Jan 20 2014 01: +0,0.211,8
Jan 21 2014 01: +0,0.183,7
Jan 22 2014 01: +0,0.159,7
Jan 23 2014 01: +0,0.22,6
Jan 24 2014 01: +0,0.172,5
Jan 25 2014 01: +0,0.143,5
Jan 26 2014 01: +0,0.206,14
Jan 27 2014 01: +0,0.189,10
Jan 28 2014 01: +0,0.185,12
Jan 29 2014 01: +0,0.161,9
Jan 30 2014 01: +0,0.165,11
Jan 31 2014 01: +0,0.151,11
Feb 01 2014 01: +0,0.178,11
Feb 02 2014 01: +0,0.159,20
Feb 03 2014 01: +0,0.219,14
Feb 04 2014 01: +0,0.205,5
Feb 05 2014 01: +0,0.166,5
Feb 06 2014 01: +0,0.154,25
Feb 07 2014 01: +0,0.2,15
Feb 08 2014 01: +0,0.22,14
Feb 09 2014 01: +0,0.293,12
Feb 10 2014 01: +0,0.263,9
Feb 11 2014 01: +0,0.204,18
Feb 12 2014 01: +0,0.212,19
Feb 13 2014 01: +0,0.217,8
Feb 14 2014 01: +0,0.241,27
Feb 15 2014 01: +0,0.336,19
Feb 16 2014 01: +0,0.228,21
Feb 17 2014 01: +0,0.226,12
Feb 18 2014 01: +0,0.19,14
Feb 19 2014 01: +0,0.139,9
Feb 20 2014 01: +0,0.169,7
Feb 21 2014 01: +0,0.207,20
Feb 22 2014 01: +0,0.228,22
Feb 23 2014 01: +0,0.228,15
Feb 24 2014 01: +0,0.206,8
Feb 25 2014 01: +0,0.22,20
Feb 26 2014 01: +0,0.176,13
Feb 27 2014 01: +0,0.218,11
Feb 28 2014 01: +0,0.229,18
Mar 01 2014 01: +0,0.218,27
Mar 02 2014 01: +0,0.218,14
Mar 03 2014 01: +0,0.177,35
Mar 04 2014 01: +0,0.253,15
Mar 05 2014 01: +0,0.293,12
Mar 06 2014 01: +0,0.304,10
Mar 07 2014 01: +0,0.306,9
Mar 08 2014 01: +0,0.245,13
Mar 09 2014 01: +0,0.248,13
Mar 10 2014 01: +0,0.248,13
Mar 11 2014 01: +0,0.217,9
Mar 12 2014 01: +0,0.298,26
Mar 13 2014 01: +0,0.188,8
Mar 14 2014 01: +0,0.233,17
Mar 15 2014 01: +0,0.243,17
Mar 16 2014 01: +0,0.19,22
Mar 17 2014 01: +0,0.204,26
Mar 18 2014 01: +0,0.237,15
Mar 19 2014 01: +0,0.183,20
Mar 20 2014 01: +0,0.184,11
Mar 21 2014 01: +0,0.171,23
Mar 22 2014 01: +0,0.206,29
Mar 23 2014 01: +0,0.174,23
Mar 24 2014 01: +0,0.176,23
Mar 25 2014 01: +0,0.198,23
Mar 26 2014 01: +0,0.248,12
Mar 27 2014 01: +0,0.246,11
Mar 28 2014 01: +0,0.227,21
Mar 29 2014 01: +0,0.247,17
Mar 30 2014 01: +0,0.2,23
Mar 31 2014 01: +0,0.268,14
Apr 01 2014 01: +0,0.282,12
Apr 02 2014 01: +0,0.245,9
Apr 03 2014 01: +0,0.234,15
Apr 04 2014 01: +0,0.235,21
Apr 05 2014 01: +0,0.217,17
Apr 06 2014 01: +0,0.186,24
Apr 07 2014 01: +0,0.234,21
Apr 08 2014 01: +0,0.234,12
Apr 09 2014 01: +0,0.227,15
Apr 10 2014 01: +0,0.229,20
Apr 11 2014 01: +0,0.252,17
Apr 12 2014 01: +0,0.243,14
Apr 13 2014 01: +0,0.242,23
Apr 14 2014 01: +0,0.191,13
Apr 15 2014 01: +0,0.199,25
Apr 16 2014 01: +0,0.236,22
Apr 17 2014 01: +0,0.233,26
Apr 18 2014 01: +0,0.227,21
Apr 19 2014 01: +0,0.198,20
Apr 20 2014 01: +0,0.245,17
Apr 21 2014 01: +0,0.239,12
Apr 22 2014 01: +0,0.231,25
Apr 23 2014 01: +0,0.207,16
Apr 24 2014 01: +0,0.232,24
Apr 25 2014 01: +0,0.233,25
Apr 26 2014 01: +0,0.204,18
Apr 27 2014 01: +0,0.24,26
Apr 28 2014 01: +0,0.229,19
Apr 29 2014 01: +0,0.226,16
Apr 30 2014 01: +0,0.25,21
May 01 2014 01: +0,0.215,31
May 02 2014 01: +0,0.216,16
May 03 2014 01: +0,0.195,20
May 04 2014 01: +0,0.216,24
May 05 2014 01: +0,0.183,18
May 06 2014 01: +0,0.185,15
May 07 2014 01: +0,0.156,24
May 08 2014 01: +0,0.141,31
May 09 2014 01: +0,0.165,27
May 10 2014 01: +0,0.158,34
May 11 2014 01: +0,0.153,36
May 12 2014 01: +0,0.128,25
May 13 2014 01: +0,0.137,27
May 14 2014 01: +0,0.145,22
May 15 2014 01: +0,0.17,26
May 16 2014 01: +0,0.168,42
May 17 2014 01: +0,0.163,46
May 18 2014 01: +0,0.17,50
May 19 2014 01: +0,0.192,21
May 20 2014 01: +0,0.21,23
May 21 2014 01: +0,0.234,32
May 22 2014 01: +0,0.242,16
May 23 2014 01: +0,0.188,31
May 24 2014 01: +0,0.193,43
May 25 2014 01: +0,0.208,28
May 26 2014 01: +0,0.201,25
May 27 2014 01: +0,0.181,20
May 28 2014 01: +0,0.193,32
May 29 2014 01: +0,0.202,27
May 30 2014 01: +0,0.187,20
May 31 2014 01: +0,0.182,25
Jun 01 2014 01: +0,0.182,30
Jun 02 2014 01: +0,0.143,24
Jun 03 2014 01: +0,0.153,28
Jun 04 2014 01: +0,0.167,25
Jun 05 2014 01: +0,0.199,30
Jun 06 2014 01: +0,0.21,21
Jun 07 2014 01: +0,0.202,37
Jun 08 2014 01: +0,0.211,25
Jun 09 2014 01: +0,0.222,17
Jun 10 2014 01: +0,0.255,22
Jun 11 2014 01: +0,0.236,21
Jun 12 2014 01: +0,0.198,14
Jun 13 2014 01: +0,0.172,33
Jun 14 2014 01: +0,0.255,29
Jun 15 2014 01: +0,0.203,44
Jun 16 2014 01: +0,0.246,38
Jun 17 2014 01: +0,0.163,32
Jun 18 2014 01: +0,0.171,40
Jun 19 2014 01: +0,0.196,22
Jun 20 2014 01: +0,0.148,43
Jun 21 2014 01: +0,0.166,38
Jun 22 2014 01: +0,0.185,36
Jun 23 2014 01: +0,0.152,40
Jun 24 2014 01: +0,0.181,21
Jun 25 2014 01: +0,0.227,26
Jun 26 2014 01: +0,0.198,27
Jun 27 2014 01: +0,0.201,46
Jun 28 2014 01: +0,0.206,30
Jun 29 2014 01: +0,0.194,36
Jun 30 2014 01: +0,0.194,32
Jul 01 2014 01: +0,0.23,34
Jul 02 2014 01: +0,0.199,33
Jul 03 2014 01: +0,0.18,47
Jul 04 2014 01: +0,0.241,50
Jul 05 2014 01: +0,0.282,20
Jul 06 2014 01: +0,0.274,28
Jul 07 2014 01: +0,0.252,30
Jul 08 2014 01: +0,0.287,30
Jul 09 2014 01: +0,0.319,26
Jul 10 2014 01: +0,0.285,31
Jul 11 2014 01: +0,0.234,27
Jul 12 2014 01: +0,0.237,37
Jul 13 2014 01: +0,0.242,29
Jul 14 2014 01: +0,0.238,24
Jul 15 2014 01: +0,0.299,26
Jul 16 2014 01: +0,0.298,25
Jul 17 2014 01: +0,0.291,22
Jul 18 2014 01: +0,0.258,19
Jul 19 2014 01: +0,0.245,34
Jul 20 2014 01: +0,0.249,28
Jul 21 2014 01: +0,0.246,34
Jul 22 2014 01: +0,0.27,34
Jul 23 2014 01: +0,0.273,24
Jul 24 2014 01: +0,0.325,27
Jul 25 2014 01: +0,0.316,27
Jul 26 2014 01: +0,0.324,38
Jul 27 2014 01: +0,0.299,30
Jul 28 2014 01: +0,0.282,44
Jul 29 2014 01: +0,0.294,41
Jul 30 2014 01: +0,0.287,23
