May 27 2015 01: +0,0.172,189
May 28 2015 01: +0,0.181,247
May 29 2015 01: +0,0.282,206
May 30 2015 01: +0,0.259,161
May 31 2015 01: +0,0.33,108
Jun 01 2015 01: +0,0.39,66
Jun 02 2015 01: +0,0.356,91
Jun 03 2015 01: +0,0.171,277
Jun 04 2015 01: +0,0.123,221
Jun 05 2015 01: +0,0.142,179
Jun 06 2015 01: +0,0.226,168
Jun 07 2015 01: +0,0.18,159
Jun 08 2015 01: +0,0.182,123
Jun 09 2015 01: +0,0.202,161
Jun 10 2015 01: +0,0.142,276
Jun 11 2015 01: +0,0.092,223
Jun 12 2015 01: +0,0.091,215
Jun 13 2015 01: +0,0.098,220
Jun 14 2015 01: +0,0.091,176
Jun 15 2015 01: +0,0.097,179
Jun 16 2015 01: +0,0.099,159
Jun 17 2015 01: +0,0.078,242
Jun 18 2015 01: +0,0.075,212
Jun 19 2015 01: +0,0.084,222
Jun 20 2015 01: +0,0.085,254
Jun 21 2015 01: +0,0.082,179
Jun 22 2015 01: +0,0.09,192
Jun 23 2015 01: +0,0.096,214
Jun 24 2015 01: +0,0.089,282
Jun 25 2015 01: +0,0.085,276
Jun 26 2015 01: +0,0.084,201
Jun 27 2015 01: +0,0.09,198
Jun 28 2015 01: +0,0.099,241
Jun 29 2015 01: +0,0.094,208
Jun 30 2015 01: +0,0.104,198
Jul 01 2015 01: +0,0.079,312
Jul 02 2015 01: +0,0.08,253
Jul 03 2015 01: +0,0.089,223
Jul 04 2015 01: +0,0.086,206
Jul 05 2015 01: +0,0.093,193
Jul 06 2015 01: +0,0.087,184
Jul 07 2015 01: +0,0.093,185
Jul 08 2015 01: +0,0.076,317
Jul 09 2015 01: +0,0.074,297
Jul 10 2015 01: +0,0.071,234
Jul 11 2015 01: +0,0.072,214
Jul 12 2015 01: +0,0.077,291
Jul 13 2015 01: +0,0.08,211
Jul 14 2015 01: +0,0.089,183
Jul 15 2015 01: +0,0.068,237
Jul 16 2015 01: +0,0.066,237
Jul 17 2015 01: +0,0.07,213
