Sep 15 2017 01: +0,3.072,38
Sep 16 2017 01: +0,1.867,66
Sep 17 2017 01: +0,1.565,60
Sep 18 2017 01: +0,1.478,40
Sep 19 2017 01: +0,1.492,28
Sep 20 2017 01: +0,1.289,33
Sep 21 2017 01: +0,1.301,33
Sep 22 2017 01: +0,1.269,36
Sep 23 2017 01: +0,1.112,37
Sep 24 2017 01: +0,1.022,47
Sep 25 2017 01: +0,0.919,30
Sep 26 2017 01: +0,0.917,32
Sep 27 2017 01: +0,0.905,43
Sep 28 2017 01: +0,0.833,23
Sep 29 2017 01: +0,0.783,42
Sep 30 2017 01: +0,0.875,45
Oct 01 2017 01: +0,0.962,34
Oct 02 2017 01: +0,0.717,39
Oct 03 2017 01: +0,0.684,35
Oct 04 2017 01: +0,0.748,33
Oct 05 2017 01: +0,0.686,41
Oct 06 2017 01: +0,0.649,42
Oct 07 2017 01: +0,0.633,35
Oct 08 2017 01: +0,0.646,41
Oct 09 2017 01: +0,0.612,34
Oct 10 2017 01: +0,0.582,42
Oct 11 2017 01: +0,0.602,33
Oct 12 2017 01: +0,0.604,41
Oct 13 2017 01: +0,0.595,50
Oct 14 2017 01: +0,0.592,53
Oct 15 2017 01: +0,0.64,37
Oct 16 2017 01: +0,0.57,34
Oct 17 2017 01: +0,0.531,42
Oct 18 2017 01: +0,0.503,28
Oct 19 2017 01: +0,0.48,49
Oct 20 2017 01: +0,0.499,45
Oct 21 2017 01: +0,0.445,51
Oct 22 2017 01: +0,0.451,63
Oct 23 2017 01: +0,0.425,35
Oct 24 2017 01: +0,0.428,40
Oct 25 2017 01: +0,0.43,37
Oct 26 2017 01: +0,0.468,37
Oct 27 2017 01: +0,0.436,37
Oct 28 2017 01: +0,0.439,51
Oct 29 2017 01: +0,0.409,43
Oct 30 2017 01: +0,0.364,38
Oct 31 2017 01: +0,0.367,47
Nov 01 2017 01: +0,0.364,40
Nov 02 2017 01: +0,0.358,36
Nov 03 2017 01: +0,0.389,44
Nov 04 2017 01: +0,0.399,42
Nov 05 2017 01: +0,0.381,54
Nov 06 2017 01: +0,0.379,27
Nov 07 2017 01: +0,0.378,31
Nov 08 2017 01: +0,0.399,34
Nov 09 2017 01: +0,0.415,23
Nov 10 2017 01: +0,0.379,36
Nov 11 2017 01: +0,0.412,50
Nov 12 2017 01: +0,0.394,45
Nov 13 2017 01: +0,0.357,45
Nov 14 2017 01: +0,0.367,33
Nov 15 2017 01: +0,0.334,39
Nov 16 2017 01: +0,0.342,31
Nov 17 2017 01: +0,0.325,39
Nov 18 2017 01: +0,0.372,43
Nov 19 2017 01: +0,0.322,38
Nov 20 2017 01: +0,0.323,34
Nov 21 2017 01: +0,0.281,23
Nov 22 2017 01: +0,0.301,42
Nov 23 2017 01: +0,0.329,37
Nov 24 2017 01: +0,0.292,37
Nov 25 2017 01: +0,0.308,42
Nov 26 2017 01: +0,0.313,54
Nov 27 2017 01: +0,0.302,39
Nov 28 2017 01: +0,0.29,35
Nov 29 2017 01: +0,0.277,39
Nov 30 2017 01: +0,0.286,48
Dec 01 2017 01: +0,0.277,37
Dec 02 2017 01: +0,0.272,61
Dec 03 2017 01: +0,0.276,45
Dec 04 2017 01: +0,0.28,44
Dec 05 2017 01: +0,0.258,28
Dec 06 2017 01: +0,0.274,50
Dec 07 2017 01: +0,0.26,44
Dec 08 2017 01: +0,0.261,40
Dec 09 2017 01: +0,0.262,55
Dec 10 2017 01: +0,0.251,53
Dec 11 2017 01: +0,0.256,36
Dec 12 2017 01: +0,0.259,36
Dec 13 2017 01: +0,0.266,28
Dec 14 2017 01: +0,0.245,35
Dec 15 2017 01: +0,0.259,47
Dec 16 2017 01: +0,0.253,59
Dec 17 2017 01: +0,0.255,52
Dec 18 2017 01: +0,0.242,52
Dec 19 2017 01: +0,0.232,46
Dec 20 2017 01: +0,0.233,55
Dec 21 2017 01: +0,0.228,45
Dec 22 2017 01: +0,0.197,47
Dec 23 2017 01: +0,0.207,46
Dec 24 2017 01: +0,0.235,52
Dec 25 2017 01: +0,0.239,50
Dec 26 2017 01: +0,0.223,47
Dec 27 2017 01: +0,0.236,78
Dec 28 2017 01: +0,0.211,57
Dec 29 2017 01: +0,0.217,72
Dec 30 2017 01: +0,0.204,54
Dec 31 2017 01: +0,0.227,52
Jan 01 2018 01: +0,0.218,62
Jan 02 2018 01: +0,0.221,57
Jan 03 2018 01: +0,0.201,61
Jan 04 2018 01: +0,0.223,57
Jan 05 2018 01: +0,0.211,48
Jan 06 2018 01: +0,0.212,76
Jan 07 2018 01: +0,0.219,51
Jan 08 2018 01: +0,0.247,50
Jan 09 2018 01: +0,0.254,48
Jan 10 2018 01: +0,0.257,31
Jan 11 2018 01: +0,0.235,43
Jan 12 2018 01: +0,0.235,73
Jan 13 2018 01: +0,0.221,84
Jan 14 2018 01: +0,0.224,70
Jan 15 2018 01: +0,0.22,58
Jan 16 2018 01: +0,0.218,57
Jan 17 2018 01: +0,0.226,63
Jan 18 2018 01: +0,0.207,57
Jan 19 2018 01: +0,0.211,45
Jan 20 2018 01: +0,0.204,70
Jan 21 2018 01: +0,0.22,74
Jan 22 2018 01: +0,0.228,46
Jan 23 2018 01: +0,0.224,53
Jan 24 2018 01: +0,0.222,48
Jan 25 2018 01: +0,0.208,54
Jan 26 2018 01: +0,0.216,61
Jan 27 2018 01: +0,0.207,82
Jan 28 2018 01: +0,0.192,69
Jan 29 2018 01: +0,0.193,78
Jan 30 2018 01: +0,0.207,62
Jan 31 2018 01: +0,0.227,68
Feb 01 2018 01: +0,0.215,47
Feb 02 2018 01: +0,0.211,48
Feb 03 2018 01: +0,0.214,65
Feb 04 2018 01: +0,0.223,67
Feb 05 2018 01: +0,0.225,70
Feb 06 2018 01: +0,0.24,49
Feb 07 2018 01: +0,0.229,56
Feb 08 2018 01: +0,0.227,40
Feb 09 2018 01: +0,0.227,59
Feb 10 2018 01: +0,0.228,63
Feb 11 2018 01: +0,0.237,58
Feb 12 2018 01: +0,0.221,53
Feb 13 2018 01: +0,0.232,54
Feb 14 2018 01: +0,0.23,49
Feb 15 2018 01: +0,0.219,45
Feb 16 2018 01: +0,0.203,67
Feb 17 2018 01: +0,0.215,75
Feb 18 2018 01: +0,0.211,81
Feb 19 2018 01: +0,0.203,72
Feb 20 2018 01: +0,0.217,61
Feb 21 2018 01: +0,0.208,56
Feb 22 2018 01: +0,0.196,57
Feb 23 2018 01: +0,0.214,77
Feb 24 2018 01: +0,0.201,73
Feb 25 2018 01: +0,0.208,54
Feb 26 2018 01: +0,0.206,60
Feb 27 2018 01: +0,0.217,53
Feb 28 2018 01: +0,0.206,42
Feb 28 2018 19: +0,0.192,2
Feb 28 2018 20: +0,0.233,103
Feb 28 2018 21: +0,0.233,6
Feb 28 2018 22: +0,0.22,2
Feb 28 2018 23: +0,0.214,3
Mar 01 2018 00: +0,0.03,1
Mar 01 2018 01: +0,0.232,1
Mar 01 2018 03: +0,0.11,1
Mar 01 2018 05: +0,0.23,1
Mar 01 2018 06: +0,0.226,1
Mar 01 2018 07: +0,0.23,1
Mar 01 2018 08: +0,0.229,3
Mar 01 2018 10: +0,0.229,3
Mar 01 2018 11: +0,0.239,2
Mar 01 2018 12: +0,0.211,7
Mar 01 2018 13: +0,0.237,5
Mar 01 2018 14: +0,0.237,4
Mar 01 2018 15: +0,0.228,5
Mar 01 2018 16: +0,0.232,5
Mar 01 2018 18: +0,0.176,2
Mar 01 2018 19: +0,0.219,2
Mar 01 2018 20: +0,0.235,19
Mar 01 2018 21: +0,0.23,3
Mar 01 2018 22: +0,0.203,5
Mar 01 2018 23: +0,0.238,2
Mar 02 2018 01: +0,0.209,2
Mar 02 2018 02: +0,0.22,1
Mar 02 2018 03: +0,0.23,1
Mar 02 2018 06: +0,0.231,1
Mar 02 2018 07: +0,0.238,2
Mar 02 2018 08: +0,0.184,1
Mar 02 2018 10: +0,0.246,2
Mar 02 2018 11: +0,0.22,1
Mar 02 2018 12: +0,0.231,1
Mar 02 2018 13: +0,0.304,2
Mar 02 2018 14: +0,0.235,1
Mar 02 2018 15: +0,0.996,2
Mar 02 2018 16: +0,0.231,1
Mar 02 2018 17: +0,0.21,2
Mar 02 2018 18: +0,0.223,4
Mar 02 2018 19: +0,0.207,5
Mar 02 2018 20: +0,0.227,6
Mar 02 2018 21: +0,0.217,4
Mar 02 2018 22: +0,0.199,2
