May 27 2015 01: +0,0.707,172
May 28 2015 01: +0,0.693,204
May 29 2015 01: +0,0.962,132
May 30 2015 01: +0,1.036,77
May 31 2015 01: +0,1.083,74
Jun 01 2015 01: +0,1.476,63
Jun 02 2015 01: +0,1.693,42
Jun 03 2015 01: +0,0.755,297
Jun 04 2015 01: +0,0.616,227
Jun 05 2015 01: +0,0.758,134
Jun 06 2015 01: +0,0.912,87
Jun 07 2015 01: +0,0.985,101
Jun 08 2015 01: +0,1.003,51
Jun 09 2015 01: +0,1.211,40
Jun 10 2015 01: +0,0.73,246
Jun 11 2015 01: +0,0.688,213
Jun 12 2015 01: +0,0.73,162
Jun 13 2015 01: +0,0.853,141
Jun 14 2015 01: +0,0.853,101
Jun 15 2015 01: +0,0.94,108
Jun 16 2015 01: +0,1.018,46
Jun 17 2015 01: +0,0.686,278
Jun 18 2015 01: +0,0.72,204
Jun 19 2015 01: +0,0.747,154
Jun 20 2015 01: +0,0.761,91
Jun 21 2015 01: +0,0.825,106
Jun 22 2015 01: +0,0.848,89
Jun 23 2015 01: +0,0.86,80
Jun 24 2015 01: +0,0.684,270
Jun 25 2015 01: +0,0.711,173
Jun 26 2015 01: +0,0.781,134
Jun 27 2015 01: +0,0.85,116
Jun 28 2015 01: +0,0.892,98
Jun 29 2015 01: +0,0.902,108
Jun 30 2015 01: +0,1.011,62
Jul 01 2015 01: +0,0.778,295
Jul 02 2015 01: +0,0.797,173
Jul 03 2015 01: +0,0.86,131
Jul 04 2015 01: +0,0.886,96
Jul 05 2015 01: +0,0.935,106
Jul 06 2015 01: +0,0.956,108
Jul 07 2015 01: +0,1.121,89
Jul 08 2015 01: +0,0.97,273
Jul 09 2015 01: +0,0.957,194
Jul 10 2015 01: +0,0.986,123
Jul 11 2015 01: +0,1.026,144
Jul 12 2015 01: +0,1.015,108
Jul 13 2015 01: +0,0.985,97
Jul 14 2015 01: +0,1,83
Jul 15 2015 01: +0,0.874,295
Jul 16 2015 01: +0,0.781,164
Jul 17 2015 01: +0,1.044,133
Jul 18 2015 01: +0,0.832,110
Jul 19 2015 01: +0,0.962,86
Jul 20 2015 01: +0,0.935,105
Jul 21 2015 01: +0,0.983,115
Jul 22 2015 01: +0,0.832,240
Jul 23 2015 01: +0,0.784,181
Jul 24 2015 01: +0,0.824,175
Jul 25 2015 01: +0,0.86,100
Jul 26 2015 01: +0,0.762,74
Jul 27 2015 01: +0,0.886,98
Jul 28 2015 01: +0,0.912,76
Jul 29 2015 01: +0,0.796,280
Jul 30 2015 01: +0,0.757,204
Jul 31 2015 01: +0,0.85,127
Aug 01 2015 01: +0,0.862,112
Aug 02 2015 01: +0,0.902,117
Aug 03 2015 01: +0,0.936,102
Aug 04 2015 01: +0,0.961,86
Aug 05 2015 01: +0,0.821,230
Aug 06 2015 01: +0,0.82,215
