Sep 20 2013 01: +0,0.719,5
Sep 21 2013 01: +0,0.278,30
Sep 22 2013 01: +0,0.208,33
Sep 23 2013 01: +0,0.187,10
Sep 24 2013 01: +0,0.153,24
Sep 25 2013 01: +0,0.163,21
Sep 26 2013 01: +0,0.195,12
Sep 27 2013 01: +0,0.197,34
Sep 28 2013 01: +0,0.131,49
Sep 29 2013 01: +0,0.114,57
Sep 30 2013 01: +0,0.144,46
Oct 01 2013 01: +0,0.135,22
Oct 02 2013 01: +0,0.137,33
Oct 03 2013 01: +0,0.126,26
Oct 04 2013 01: +0,0.115,27
Oct 05 2013 01: +0,0.103,54
Oct 06 2013 01: +0,0.08,67
Oct 07 2013 01: +0,0.075,44
Oct 08 2013 01: +0,0.078,57
Oct 09 2013 01: +0,0.081,50
Oct 10 2013 01: +0,0.073,51
Oct 11 2013 01: +0,0.082,44
Oct 12 2013 01: +0,0.076,60
Oct 13 2013 01: +0,0.071,67
Oct 14 2013 01: +0,0.064,52
Oct 15 2013 01: +0,0.074,48
Oct 16 2013 01: +0,0.058,57
Oct 17 2013 01: +0,0.056,51
Oct 18 2013 01: +0,0.058,44
Oct 19 2013 01: +0,0.068,71
Oct 20 2013 01: +0,0.064,70
Oct 21 2013 01: +0,0.067,57
Oct 22 2013 01: +0,0.067,60
Oct 23 2013 01: +0,0.058,54
Oct 24 2013 01: +0,0.063,80
Oct 25 2013 01: +0,0.063,67
Oct 26 2013 01: +0,0.056,74
Oct 27 2013 01: +0,0.048,96
Oct 28 2013 01: +0,0.051,67
Oct 29 2013 01: +0,0.045,76
Oct 30 2013 01: +0,0.041,75
Oct 31 2013 01: +0,0.043,72
Nov 01 2013 01: +0,0.059,67
Nov 02 2013 01: +0,0.054,58
Nov 03 2013 01: +0,0.044,57
Nov 04 2013 01: +0,0.042,68
Nov 05 2013 01: +0,0.043,68
Nov 06 2013 01: +0,0.038,77
Nov 07 2013 01: +0,0.041,52
Nov 08 2013 01: +0,0.033,72
Nov 09 2013 01: +0,0.034,69
Nov 10 2013 01: +0,0.03,74
Nov 11 2013 01: +0,0.03,88
Nov 12 2013 01: +0,0.032,93
Nov 13 2013 01: +0,0.03,55
Nov 14 2013 01: +0,0.03,59
Nov 15 2013 01: +0,0.031,68
Nov 16 2013 01: +0,0.036,81
Nov 17 2013 01: +0,0.038,75
Nov 18 2013 01: +0,0.03,68
Nov 19 2013 01: +0,0.038,63
Nov 20 2013 01: +0,0.031,54
Nov 21 2013 01: +0,0.032,59
Nov 22 2013 01: +0,0.035,60
Nov 23 2013 01: +0,0.036,87
Nov 24 2013 01: +0,0.034,79
Nov 25 2013 01: +0,0.03,56
Nov 26 2013 01: +0,0.032,53
Nov 27 2013 01: +0,0.03,64
Nov 28 2013 01: +0,0.03,71
Nov 29 2013 01: +0,0.098,62
Nov 30 2013 01: +0,0.03,126
Dec 01 2013 01: +0,0.03,135
Dec 02 2013 01: +0,0.03,116
Dec 03 2013 01: +0,0.031,86
Dec 04 2013 01: +0,0.031,115
Dec 05 2013 01: +0,0.047,78
Dec 06 2013 01: +0,0.034,119
Dec 07 2013 01: +0,0.03,104
Dec 08 2013 01: +0,0.03,146
Dec 09 2013 01: +0,0.033,110
Dec 10 2013 01: +0,0.03,102
Dec 11 2013 01: +0,0.031,117
Dec 12 2013 01: +0,0.04,86
Dec 13 2013 01: +0,0.039,96
Dec 14 2013 01: +0,0.038,105
Dec 15 2013 01: +0,0.05,138
Dec 16 2013 01: +0,0.03,87
Dec 17 2013 01: +0,0.032,99
Dec 18 2013 01: +0,0.03,85
Dec 19 2013 01: +0,0.03,84
Dec 20 2013 01: +0,0.032,66
Dec 21 2013 01: +0,0.03,146
Dec 22 2013 01: +0,0.034,129
Dec 23 2013 01: +0,0.031,86
Dec 24 2013 01: +0,0.03,86
Dec 25 2013 01: +0,0.03,50
Dec 26 2013 01: +0,0.03,110
Dec 27 2013 01: +0,0.035,160
Dec 28 2013 01: +0,0.031,145
Dec 29 2013 01: +0,0.03,117
Dec 30 2013 01: +0,0.03,148
Dec 31 2013 01: +0,0.033,129
Jan 01 2014 01: +0,0.03,94
Jan 02 2014 01: +0,0.031,126
Jan 03 2014 01: +0,0.034,97
Jan 04 2014 01: +0,0.03,167
Jan 05 2014 01: +0,0.03,203
Jan 06 2014 01: +0,0.03,167
Jan 07 2014 01: +0,0.033,166
Jan 08 2014 01: +0,0.03,124
Jan 09 2014 01: +0,0.03,185
Jan 10 2014 01: +0,0.03,181
Jan 11 2014 01: +0,0.03,147
Jan 12 2014 01: +0,0.03,194
Jan 13 2014 01: +0,0.03,165
Jan 14 2014 01: +0,0.03,141
Jan 15 2014 01: +0,0.031,146
Jan 16 2014 01: +0,0.03,142
Jan 17 2014 01: +0,0.034,168
Jan 18 2014 01: +0,0.031,186
Jan 19 2014 01: +0,0.03,198
Jan 20 2014 01: +0,0.03,119
Jan 21 2014 01: +0,0.03,165
Jan 22 2014 01: +0,0.03,141
Jan 23 2014 01: +0,0.033,131
Jan 24 2014 01: +0,0.03,151
Jan 25 2014 01: +0,0.03,189
Jan 26 2014 01: +0,0.03,172
Jan 27 2014 01: +0,0.03,171
Jan 28 2014 01: +0,0.03,154
Jan 29 2014 01: +0,0.03,125
Jan 30 2014 01: +0,0.03,147
Jan 31 2014 01: +0,0.03,127
Feb 01 2014 01: +0,0.03,165
Feb 02 2014 01: +0,0.03,207
Feb 03 2014 01: +0,0.03,110
Feb 04 2014 01: +0,0.03,162
Feb 05 2014 01: +0,0.03,137
Feb 06 2014 01: +0,0.03,150
Feb 07 2014 01: +0,0.03,129
Feb 08 2014 01: +0,0.03,110
Feb 09 2014 01: +0,0.03,138
Feb 10 2014 01: +0,0.03,100
Feb 11 2014 01: +0,0.03,108
Feb 12 2014 01: +0,0.03,82
Feb 13 2014 01: +0,0.171,108
Feb 14 2014 01: +0,0.03,65
Feb 15 2014 01: +0,0.03,84
Feb 16 2014 01: +0,0.03,97
Feb 17 2014 01: +0,0.03,28
Feb 18 2014 01: +0,0.03,54
Feb 19 2014 01: +0,0.03,48
Feb 20 2014 01: +0,0.03,42
Feb 21 2014 01: +0,0.03,48
Feb 22 2014 01: +0,0.03,54
Feb 23 2014 01: +0,0.03,43
Feb 24 2014 01: +0,0.03,60
Feb 25 2014 01: +0,0.03,41
Feb 26 2014 01: +0,0.03,40
Feb 27 2014 01: +0,0.03,33
Feb 28 2014 01: +0,0.03,61
Mar 01 2014 01: +0,0.03,58
Mar 02 2014 01: +0,0.03,49
Mar 03 2014 01: +0,0.03,69
Mar 04 2014 01: +0,0.03,39
Mar 05 2014 01: +0,0.03,45
Mar 06 2014 01: +0,0.03,46
Mar 07 2014 01: +0,0.03,48
Mar 08 2014 01: +0,0.03,56
Mar 09 2014 01: +0,0.03,44
Mar 10 2014 01: +0,0.03,55
Mar 11 2014 01: +0,0.03,45
Mar 12 2014 01: +0,0.03,50
Mar 13 2014 01: +0,0.03,17
Mar 14 2014 01: +0,0.03,50
Mar 15 2014 01: +0,0.03,34
Mar 16 2014 01: +0,0.03,76
Mar 17 2014 01: +0,0.03,40
Mar 18 2014 01: +0,0.03,44
Mar 19 2014 01: +0,0.03,35
Mar 20 2014 01: +0,0.03,29
Mar 21 2014 01: +0,0.03,96
Mar 22 2014 01: +0,0.03,85
Mar 23 2014 01: +0,0.03,54
Mar 24 2014 01: +0,0.03,32
Mar 25 2014 01: +0,0.03,44
Mar 26 2014 01: +0,0.03,34
Mar 27 2014 01: +0,0.03,61
Mar 28 2014 01: +0,0.03,42
Mar 29 2014 01: +0,0.03,68
Mar 30 2014 01: +0,0.131,76
Mar 31 2014 01: +0,0.03,48
Apr 01 2014 01: +0,0.03,17
Apr 02 2014 01: +0,0.03,33
Apr 03 2014 01: +0,0.03,38
Apr 04 2014 01: +0,0.03,59
Apr 05 2014 01: +0,0.03,32
Apr 06 2014 01: +0,0.03,41
Apr 07 2014 01: +0,0.03,50
Apr 08 2014 01: +0,0.03,31
Apr 09 2014 01: +0,0.03,33
Apr 10 2014 01: +0,0.03,41
Apr 11 2014 01: +0,0.03,65
Apr 12 2014 01: +0,0.03,73
Apr 13 2014 01: +0,0.033,65
Apr 14 2014 01: +0,0.03,77
Apr 15 2014 01: +0,0.03,93
Apr 16 2014 01: +0,0.03,64
Apr 17 2014 01: +0,0.03,62
Apr 18 2014 01: +0,0.03,48
Apr 19 2014 01: +0,0.03,54
Apr 20 2014 01: +0,0.03,70
Apr 21 2014 01: +0,0.03,61
Apr 22 2014 01: +0,0.03,66
Apr 23 2014 01: +0,0.03,27
Apr 24 2014 01: +0,0.03,48
Apr 25 2014 01: +0,0.03,51
Apr 26 2014 01: +0,0.03,48
Apr 27 2014 01: +0,0.03,47
Apr 28 2014 01: +0,0.03,46
Apr 29 2014 01: +0,0.03,60
Apr 30 2014 01: +0,0.097,12
May 01 2014 01: +0,0.03,47
May 02 2014 01: +0,0.03,40
May 03 2014 01: +0,0.03,32
May 04 2014 01: +0,0.03,35
May 05 2014 01: +0,0.03,46
May 06 2014 01: +0,0.031,85
May 07 2014 01: +0,0.03,51
May 08 2014 01: +0,0.03,55
May 09 2014 01: +0,0.03,46
May 10 2014 01: +0,0.03,55
May 11 2014 01: +0,0.03,40
May 12 2014 01: +0,0.03,26
May 13 2014 01: +0,0.03,75
May 14 2014 01: +0,0.03,50
May 15 2014 01: +0,0.039,69
May 16 2014 01: +0,0.036,62
May 17 2014 01: +0,0.032,41
May 18 2014 01: +0,0.03,49
May 19 2014 01: +0,0.03,49
May 20 2014 01: +0,0.041,75
May 21 2014 01: +0,0.039,46
May 22 2014 01: +0,0.03,23
May 23 2014 01: +0,0.031,39
May 24 2014 01: +0,0.033,33
May 25 2014 01: +0,0.03,21
May 26 2014 01: +0,0.031,38
May 27 2014 01: +0,0.03,46
May 28 2014 01: +0,0.03,24
May 29 2014 01: +0,0.03,32
May 30 2014 01: +0,0.03,33
May 31 2014 01: +0,0.03,19
Jun 01 2014 01: +0,0.03,29
Jun 02 2014 01: +0,0.03,36
Jun 03 2014 01: +0,0.03,36
Jun 04 2014 01: +0,0.03,30
Jun 05 2014 01: +0,0.034,25
Jun 06 2014 01: +0,0.03,22
Jun 07 2014 01: +0,0.032,26
Jun 08 2014 01: +0,0.035,41
Jun 09 2014 01: +0,0.054,32
Jun 10 2014 01: +0,0.03,29
Jun 11 2014 01: +0,0.03,10
Jun 12 2014 01: +0,0.03,9
Jun 13 2014 01: +0,0.03,15
Jun 14 2014 01: +0,0.03,23
Jun 15 2014 01: +0,0.03,18
Jun 16 2014 01: +0,0.032,44
Jun 17 2014 01: +0,0.03,8
Jun 18 2014 01: +0,0.03,30
Jun 19 2014 01: +0,0.03,28
Jun 20 2014 01: +0,0.03,29
Jun 21 2014 01: +0,0.03,30
Jun 22 2014 01: +0,0.03,17
Jun 23 2014 01: +0,0.03,29
Jun 24 2014 01: +0,0.03,14
Jun 25 2014 01: +0,0.031,23
Jun 26 2014 01: +0,0.331,23
Jun 27 2014 01: +0,0.03,18
Jun 28 2014 01: +0,0.03,48
Jun 29 2014 01: +0,0.03,35
Jun 30 2014 01: +0,0.03,24
Jul 01 2014 01: +0,0.031,23
Jul 02 2014 01: +0,0.03,14
Jul 03 2014 01: +0,0.03,17
Jul 04 2014 01: +0,0.21,40
Jul 05 2014 01: +0,0.03,28
Jul 06 2014 01: +0,0.03,35
Jul 07 2014 01: +0,0.264,37
Jul 08 2014 01: +0,0.036,30
Jul 09 2014 01: +0,0.033,9
Jul 10 2014 01: +0,0.035,20
Jul 11 2014 01: +0,0.03,30
Jul 12 2014 01: +0,0.044,40
Jul 13 2014 01: +0,0.039,32
Jul 14 2014 01: +0,0.04,27
Jul 15 2014 01: +0,0.03,17
Jul 16 2014 01: +0,0.033,27
Jul 17 2014 01: +0,0.03,43
Jul 18 2014 01: +0,0.03,9
Jul 19 2014 01: +0,0.03,13
Jul 20 2014 01: +0,0.03,13
Jul 21 2014 01: +0,0.046,22
Jul 22 2014 01: +0,0.03,22
Jul 23 2014 01: +0,0.031,11
Jul 24 2014 01: +0,0.03,33
Jul 25 2014 01: +0,0.03,21
Jul 26 2014 01: +0,0.031,11
Jul 27 2014 01: +0,0.03,14
Jul 28 2014 01: +0,0.03,15
Jul 29 2014 01: +0,0.103,39
Jul 30 2014 01: +0,0.038,16
Jul 31 2014 01: +0,0.036,24
Aug 01 2014 01: +0,0.04,7
Aug 02 2014 01: +0,0.031,36
Aug 03 2014 01: +0,0.069,22
Aug 04 2014 01: +0,0.032,14
Aug 05 2014 01: +0,0.039,44
Aug 06 2014 01: +0,0.041,38
Aug 07 2014 01: +0,0.045,45
Aug 08 2014 01: +0,0.03,14
Aug 09 2014 01: +0,0.031,30
Aug 10 2014 01: +0,0.037,20
Aug 11 2014 01: +0,0.03,10
Aug 12 2014 01: +0,0.058,29
Aug 13 2014 01: +0,0.039,24
Aug 14 2014 01: +0,0.051,7
Aug 15 2014 01: +0,0.039,5
Aug 16 2014 01: +0,0.04,23
Aug 17 2014 01: +0,0.03,29
Aug 18 2014 01: +0,0.035,14
Aug 19 2014 01: +0,0.03,24
Aug 20 2014 01: +0,0.032,33
Aug 21 2014 01: +0,0.035,22
Aug 22 2014 01: +0,0.039,20
Aug 23 2014 01: +0,0.035,8
Aug 24 2014 01: +0,0.049,30
Aug 25 2014 01: +0,0.045,38
Aug 26 2014 01: +0,0.045,9
Aug 27 2014 01: +0,0.051,4
Aug 28 2014 01: +0,0.045,10
Aug 29 2014 01: +0,0.037,20
Aug 30 2014 01: +0,0.035,34
Aug 31 2014 01: +0,0.04,14
Sep 01 2014 01: +0,0.053,17
Sep 02 2014 01: +0,0.042,8
Sep 03 2014 01: +0,0.043,19
Sep 04 2014 01: +0,0.043,8
Sep 05 2014 01: +0,0.034,16
Sep 06 2014 01: +0,0.041,11
Sep 07 2014 01: +0,0.04,16
Sep 08 2014 01: +0,0.035,30
Sep 09 2014 01: +0,0.042,13
Sep 10 2014 01: +0,0.033,10
Sep 11 2014 01: +0,0.047,21
Sep 12 2014 01: +0,0.032,13
Sep 13 2014 01: +0,0.039,18
Sep 14 2014 01: +0,0.034,39
Sep 15 2014 01: +0,0.041,10
Sep 16 2014 01: +0,0.036,6
Sep 17 2014 01: +0,0.032,15
Sep 18 2014 01: +0,0.032,11
Sep 19 2014 01: +0,0.036,8
Sep 20 2014 01: +0,0.039,12
Sep 21 2014 01: +0,0.041,23
Sep 22 2014 01: +0,0.048,13
Sep 23 2014 01: +0,0.03,13
Sep 24 2014 01: +0,0.05,17
Sep 25 2014 01: +0,0.044,5
Sep 26 2014 01: +0,0.037,3
Sep 27 2014 01: +0,0.041,18
Sep 28 2014 01: +0,0.042,27
Sep 29 2014 01: +0,0.054,7
Sep 30 2014 01: +0,0.038,16
Oct 01 2014 01: +0,0.04,15
Oct 02 2014 01: +0,0.045,18
Oct 03 2014 01: +0,0.042,17
Oct 04 2014 01: +0,0.042,29
Oct 05 2014 01: +0,0.033,9
Oct 06 2014 01: +0,0.035,14
Oct 07 2014 01: +0,0.05,19
Oct 08 2014 01: +0,0.05,31
Oct 09 2014 01: +0,0.042,14
Oct 10 2014 01: +0,0.043,13
Oct 11 2014 01: +0,0.052,6
Oct 12 2014 01: +0,0.038,41
Oct 13 2014 01: +0,0.043,21
Oct 14 2014 01: +0,0.047,36
Oct 15 2014 01: +0,0.049,11
Oct 16 2014 01: +0,0.076,99
Oct 17 2014 01: +0,0.07,7
Oct 18 2014 01: +0,0.056,23
Oct 19 2014 01: +0,0.044,16
Oct 20 2014 01: +0,0.058,7
Oct 21 2014 01: +0,0.056,19
Oct 22 2014 01: +0,0.054,16
Oct 23 2014 01: +0,0.057,8
Oct 24 2014 01: +0,0.052,26
Oct 25 2014 01: +0,0.057,26
Oct 26 2014 01: +0,0.052,26
Oct 27 2014 01: +0,0.047,18
Oct 28 2014 01: +0,0.046,12
Oct 29 2014 01: +0,0.049,15
Oct 30 2014 01: +0,0.051,10
Oct 31 2014 01: +0,0.054,17
Nov 01 2014 01: +0,0.04,10
Nov 02 2014 01: +0,0.038,15
Nov 03 2014 01: +0,0.044,24
Nov 04 2014 01: +0,0.053,12
Nov 05 2014 01: +0,0.05,1
Nov 06 2014 01: +0,0.056,6
Nov 07 2014 01: +0,0.059,18
Nov 08 2014 01: +0,0.064,17
Nov 09 2014 01: +0,0.053,9
Nov 10 2014 01: +0,0.066,10
Nov 11 2014 01: +0,0.053,5
Nov 12 2014 01: +0,0.035,20
Nov 13 2014 01: +0,0.03,12
Nov 14 2014 01: +0,0.038,14
Nov 15 2014 01: +0,0.041,22
Nov 16 2014 01: +0,0.057,16
Nov 17 2014 01: +0,0.03,2
Nov 18 2014 01: +0,0.06,19
Nov 19 2014 01: +0,0.054,4
Nov 20 2014 01: +0,0.046,4
Nov 21 2014 01: +0,0.055,12
Nov 22 2014 01: +0,0.064,19
Nov 23 2014 01: +0,0.05,3
Nov 24 2014 01: +0,0.069,18
Nov 25 2014 01: +0,0.1,1
Nov 26 2014 01: +0,0.083,5
Nov 27 2014 01: +0,0.043,1
Nov 28 2014 01: +0,0.04,8
Nov 29 2014 01: +0,0.075,14
Nov 30 2014 01: +0,0.053,14
Dec 01 2014 01: +0,0.033,9
Dec 02 2014 01: +0,0.057,18
Dec 03 2014 01: +0,0.047,8
Dec 04 2014 01: +0,0.049,8
Dec 05 2014 01: +0,0.049,17
Dec 06 2014 01: +0,0.063,18
Dec 07 2014 01: +0,0.061,16
Dec 08 2014 01: +0,0.049,7
Dec 09 2014 01: +0,0.058,11
Dec 10 2014 01: +0,0.048,12
Dec 11 2014 01: +0,0.063,29
Dec 12 2014 01: +0,0.059,25
Dec 13 2014 01: +0,0.064,24
Dec 14 2014 01: +0,0.07,25
Dec 15 2014 01: +0,0.072,17
Dec 16 2014 01: +0,0.07,24
Dec 17 2014 01: +0,0.067,19
Dec 18 2014 01: +0,0.06,11
Dec 19 2014 01: +0,0.062,25
Dec 20 2014 01: +0,0.051,32
Dec 21 2014 01: +0,0.068,17
Dec 22 2014 01: +0,0.068,22
Dec 23 2014 01: +0,0.065,9
Dec 24 2014 01: +0,0.066,10
Dec 25 2014 01: +0,0.098,22
Dec 26 2014 01: +0,0.056,35
Dec 27 2014 01: +0,0.065,28
Dec 28 2014 01: +0,0.072,14
Dec 29 2014 01: +0,0.079,15
Dec 30 2014 01: +0,0.066,19
Dec 31 2014 01: +0,0.155,15
Jan 01 2015 01: +0,0.071,22
Jan 02 2015 01: +0,0.066,28
Jan 03 2015 01: +0,0.064,15
Jan 04 2015 01: +0,0.068,21
Jan 05 2015 01: +0,0.071,17
Jan 06 2015 01: +0,0.075,29
Jan 07 2015 01: +0,0.064,24
Jan 08 2015 01: +0,0.067,23
Jan 09 2015 01: +0,0.064,16
Jan 10 2015 01: +0,0.072,21
Jan 11 2015 01: +0,0.079,22
Jan 12 2015 01: +0,0.071,20
Jan 13 2015 01: +0,0.081,20
Jan 14 2015 01: +0,0.077,25
Jan 15 2015 01: +0,0.074,12
Jan 16 2015 01: +0,0.08,21
Jan 17 2015 01: +0,0.074,21
Jan 18 2015 01: +0,0.079,18
Jan 19 2015 01: +0,0.076,38
Jan 20 2015 01: +0,0.088,9
Jan 21 2015 01: +0,0.089,12
Jan 22 2015 01: +0,0.063,19
Jan 23 2015 01: +0,0.081,22
Jan 24 2015 01: +0,0.094,29
Jan 25 2015 01: +0,0.104,19
Jan 26 2015 01: +0,0.084,26
Jan 27 2015 01: +0,0.089,8
Jan 28 2015 01: +0,0.092,16
Jan 29 2015 01: +0,0.09,13
Jan 30 2015 01: +0,0.079,31
Jan 31 2015 01: +0,0.096,33
Feb 01 2015 01: +0,0.095,13
Feb 02 2015 01: +0,0.085,13
Feb 03 2015 01: +0,0.095,13
