Sep 21 2013 01: +0,3.664,7
Sep 22 2013 01: +0,3.372,3
Sep 23 2013 01: +0,2.366,3
Sep 24 2013 01: +0,2.315,2
Sep 25 2013 01: +0,2.143,3
Sep 26 2013 01: +0,2.396,2
Sep 27 2013 01: +0,2.473,3
Sep 28 2013 01: +0,2.518,5
Sep 29 2013 01: +0,3.812,5
Sep 30 2013 01: +0,2.808,3
Oct 01 2013 01: +0,2.037,2
Oct 02 2013 01: +0,1.187,7
Oct 03 2013 01: +0,1.321,9
Oct 04 2013 01: +0,1.93,4
Oct 06 2013 01: +0,1.87,1
Oct 07 2013 01: +0,0.855,5
Oct 08 2013 01: +0,1.001,6
Oct 09 2013 01: +0,0.98,7
Oct 10 2013 01: +0,1.215,2
Oct 11 2013 01: +0,0.945,3
Oct 12 2013 01: +0,0.644,7
Oct 13 2013 01: +0,0.784,6
Oct 14 2013 01: +0,0.733,5
Oct 15 2013 01: +0,0.812,7
Oct 16 2013 01: +0,1.037,3
Oct 17 2013 01: +0,0.978,5
Oct 18 2013 01: +0,0.922,5
Oct 19 2013 01: +0,1.377,9
Oct 20 2013 01: +0,1.477,1
Oct 21 2013 01: +0,1.154,3
Oct 22 2013 01: +0,0.985,2
Oct 23 2013 01: +0,1.044,4
Oct 24 2013 01: +0,0.985,8
Oct 25 2013 01: +0,0.875,2
Oct 26 2013 01: +0,1.094,2
Oct 27 2013 01: +0,0.895,6
Oct 28 2013 01: +0,0.845,3
Oct 29 2013 01: +0,0.912,9
Oct 30 2013 01: +0,0.819,4
Oct 31 2013 01: +0,0.725,2
Nov 01 2013 01: +0,0.823,3
Nov 02 2013 01: +0,0.783,3
Nov 03 2013 01: +0,0.61,3
Nov 04 2013 01: +0,0.483,3
Nov 05 2013 01: +0,0.521,8
Nov 06 2013 01: +0,0.432,4
Nov 07 2013 01: +0,0.454,6
Nov 08 2013 01: +0,0.364,7
Nov 09 2013 01: +0,0.349,12
Nov 10 2013 01: +0,0.37,3
Nov 11 2013 01: +0,0.343,4
Nov 12 2013 01: +0,0.73,23
Nov 13 2013 01: +0,1.062,3
Nov 14 2013 01: +0,1.208,2
Nov 15 2013 01: +0,0.352,3
Nov 16 2013 01: +0,0.83,2
Nov 17 2013 01: +0,0.515,6
Nov 18 2013 01: +0,0.524,5
Nov 19 2013 01: +0,0.667,5
Nov 20 2013 01: +0,0.391,4
Nov 21 2013 01: +0,0.328,10
Nov 22 2013 01: +0,0.436,7
Nov 23 2013 01: +0,0.415,7
Nov 24 2013 01: +0,0.313,4
Nov 25 2013 01: +0,0.437,6
Nov 26 2013 01: +0,0.408,2
Nov 27 2013 01: +0,0.398,4
Nov 28 2013 01: +0,0.365,7
Nov 29 2013 01: +0,0.358,4
Nov 30 2013 01: +0,0.233,8
Dec 01 2013 01: +0,0.222,10
Dec 02 2013 01: +0,0.277,3
Dec 03 2013 01: +0,0.131,4
Dec 04 2013 01: +0,0.174,9
Dec 05 2013 01: +0,0.16,11
Dec 06 2013 01: +0,0.178,9
Dec 07 2013 01: +0,0.216,9
Dec 08 2013 01: +0,0.248,12
Dec 09 2013 01: +0,0.222,9
Dec 10 2013 01: +0,0.223,6
Dec 11 2013 01: +0,0.278,8
Dec 12 2013 01: +0,0.175,3
Dec 13 2013 01: +0,0.172,10
Dec 14 2013 01: +0,0.143,4
Dec 15 2013 01: +0,0.152,9
Dec 16 2013 01: +0,0.224,24
Dec 17 2013 01: +0,0.432,7
Dec 18 2013 01: +0,0.725,2
Dec 19 2013 01: +0,0.412,3
Dec 20 2013 01: +0,0.4,1
Dec 21 2013 01: +0,0.17,5
Dec 22 2013 01: +0,0.176,7
Dec 23 2013 01: +0,0.201,8
Dec 24 2013 01: +0,0.185,8
Dec 25 2013 01: +0,0.209,4
Dec 26 2013 01: +0,0.18,5
Dec 27 2013 01: +0,0.138,9
Dec 28 2013 01: +0,0.135,16
Dec 29 2013 01: +0,0.115,9
Dec 30 2013 01: +0,0.114,18
Dec 31 2013 01: +0,0.221,19
Jan 01 2014 01: +0,0.225,10
Jan 02 2014 01: +0,0.274,20
Jan 03 2014 01: +0,0.332,5
Jan 04 2014 01: +0,0.263,15
