Feb 16 2018 01: +0,5.457,437
Feb 17 2018 01: +0,3.625,605
Feb 18 2018 01: +0,3.239,557
Feb 19 2018 01: +0,3.083,481
Feb 20 2018 01: +0,2.985,440
Feb 21 2018 01: +0,2.715,395
Feb 22 2018 01: +0,2.472,459
Feb 23 2018 01: +0,2.368,486
Feb 24 2018 01: +0,2.36,494
Feb 25 2018 01: +0,2.13,518
Feb 26 2018 01: +0,1.984,441
Feb 27 2018 01: +0,1.966,374
Feb 28 2018 01: +0,1.941,285
Feb 28 2018 19: +0,1.876,26
Feb 28 2018 20: +0,2.005,25
Feb 28 2018 21: +0,1.996,26
Feb 28 2018 22: +0,2.044,25
Feb 28 2018 23: +0,1.75,19
Mar 01 2018 00: +0,1.832,11
Mar 01 2018 01: +0,1.95,11
Mar 01 2018 02: +0,1.931,10
Mar 01 2018 03: +0,1.86,9
Mar 01 2018 04: +0,1.755,10
Mar 01 2018 05: +0,1.75,13
Mar 01 2018 06: +0,2.055,2
Mar 01 2018 07: +0,1.811,4
Mar 01 2018 08: +0,1.984,18
Mar 01 2018 09: +0,2.09,7
Mar 01 2018 10: +0,2.077,13
Mar 01 2018 11: +0,2.077,14
Mar 01 2018 12: +0,2.061,19
Mar 01 2018 13: +0,2.023,13
Mar 01 2018 14: +0,2.048,16
Mar 01 2018 15: +0,2.052,17
Mar 01 2018 16: +0,1.936,21
Mar 01 2018 17: +0,1.848,29
Mar 01 2018 18: +0,1.954,24
Mar 01 2018 19: +0,1.795,36
Mar 01 2018 20: +0,2.001,25
Mar 01 2018 21: +0,1.85,25
Mar 01 2018 22: +0,1.744,23
Mar 01 2018 23: +0,1.805,17
Mar 02 2018 00: +0,1.898,19
Mar 02 2018 01: +0,1.985,8
Mar 02 2018 02: +0,1.695,14
Mar 02 2018 03: +0,1.81,21
Mar 02 2018 04: +0,1.78,15
Mar 02 2018 05: +0,1.749,10
Mar 02 2018 06: +0,1.802,12
Mar 02 2018 07: +0,1.82,15
Mar 02 2018 08: +0,1.818,13
Mar 02 2018 09: +0,1.798,16
Mar 02 2018 10: +0,1.707,13
Mar 02 2018 11: +0,1.724,14
Mar 02 2018 12: +0,1.853,24
Mar 02 2018 13: +0,1.936,24
Mar 02 2018 14: +0,1.971,24
Mar 02 2018 15: +0,1.983,19
Mar 02 2018 16: +0,1.833,20
Mar 02 2018 17: +0,1.879,23
Mar 02 2018 18: +0,1.752,31
Mar 02 2018 19: +0,1.924,24
Mar 02 2018 20: +0,1.784,20
Mar 02 2018 21: +0,1.77,39
Mar 02 2018 22: +0,1.792,29
Mar 02 2018 23: +0,1.824,28
Mar 03 2018 00: +0,1.809,29
Mar 03 2018 01: +0,1.764,22
Mar 03 2018 02: +0,1.8,19
Mar 03 2018 03: +0,1.78,17
Mar 03 2018 04: +0,1.896,16
Mar 03 2018 05: +0,1.805,17
Mar 03 2018 06: +0,1.93,16
Mar 03 2018 07: +0,1.97,13
Mar 03 2018 08: +0,1.89,13
Mar 03 2018 09: +0,2.001,15
Mar 03 2018 10: +0,1.751,18
Mar 03 2018 11: +0,1.799,21
Mar 03 2018 12: +0,1.846,32
Mar 03 2018 13: +0,1.892,26
Mar 03 2018 14: +0,2.01,24
Mar 03 2018 15: +0,1.832,31
Mar 03 2018 16: +0,1.784,37
Mar 03 2018 17: +0,1.779,25
Mar 03 2018 18: +0,2.006,25
Mar 03 2018 19: +0,1.98,23
Mar 03 2018 20: +0,1.922,28
Mar 03 2018 21: +0,1.744,38
Mar 03 2018 22: +0,1.846,17
Mar 03 2018 23: +0,1.773,28
Mar 04 2018 00: +0,1.842,30
Mar 04 2018 01: +0,1.713,27
Mar 04 2018 02: +0,1.715,20
Mar 04 2018 03: +0,1.77,22
Mar 04 2018 04: +0,1.73,23
Mar 04 2018 05: +0,1.85,15
Mar 04 2018 06: +0,1.92,11
Mar 04 2018 07: +0,2.013,19
Mar 04 2018 08: +0,1.839,13
Mar 04 2018 09: +0,1.943,13
Mar 04 2018 10: +0,1.932,9
Mar 04 2018 11: +0,1.817,22
Mar 04 2018 12: +0,1.815,13
Mar 04 2018 13: +0,1.599,24
Mar 04 2018 14: +0,1.695,30
Mar 04 2018 15: +0,1.771,15
Mar 04 2018 16: +0,1.699,22
Mar 04 2018 17: +0,1.799,29
Mar 04 2018 18: +0,1.619,28
Mar 04 2018 19: +0,1.87,28
Mar 04 2018 20: +0,1.655,32
Mar 04 2018 21: +0,1.723,23
Mar 04 2018 22: +0,1.656,24
Mar 04 2018 23: +0,1.575,21
Mar 05 2018 00: +0,1.646,17
Mar 05 2018 01: +0,1.665,14
Mar 05 2018 02: +0,1.544,14
Mar 05 2018 03: +0,1.591,11
Mar 05 2018 04: +0,1.5,12
Mar 05 2018 05: +0,1.606,11
Mar 05 2018 06: +0,1.63,6
Mar 05 2018 07: +0,1.702,7
Mar 05 2018 08: +0,1.71,8
Mar 05 2018 09: +0,1.759,9
Mar 05 2018 10: +0,1.706,12
Mar 05 2018 11: +0,1.69,21
Mar 05 2018 12: +0,1.67,21
Mar 05 2018 13: +0,1.607,14
Mar 05 2018 14: +0,1.599,27
Mar 05 2018 15: +0,1.691,21
Mar 05 2018 16: +0,1.575,29
Mar 05 2018 17: +0,1.649,26
Mar 05 2018 18: +0,1.658,38
Mar 05 2018 19: +0,1.655,20
Mar 05 2018 20: +0,1.609,27
Mar 05 2018 21: +0,1.551,26
Mar 05 2018 22: +0,1.556,23
Mar 05 2018 23: +0,1.49,15
Mar 06 2018 00: +0,1.54,20
Mar 06 2018 01: +0,1.639,13
Mar 06 2018 02: +0,1.5,12
Mar 06 2018 03: +0,1.67,19
Mar 06 2018 04: +0,1.56,9
Mar 06 2018 05: +0,1.62,6
Mar 06 2018 06: +0,1.705,14
Mar 06 2018 07: +0,1.606,14
Mar 06 2018 08: +0,1.74,15
Mar 06 2018 09: +0,1.5,5
Mar 06 2018 10: +0,1.49,14
Mar 06 2018 11: +0,1.733,13
Mar 06 2018 12: +0,1.696,12
Mar 06 2018 13: +0,1.712,15
Mar 06 2018 14: +0,1.514,12
Mar 06 2018 15: +0,1.663,18
Mar 06 2018 16: +0,1.598,28
Mar 06 2018 17: +0,1.655,22
Mar 06 2018 18: +0,1.67,27
Mar 06 2018 19: +0,1.655,30
Mar 06 2018 20: +0,1.633,20
Mar 06 2018 21: +0,1.604,18
Mar 06 2018 22: +0,1.627,16
Mar 06 2018 23: +0,1.491,21
Mar 07 2018 00: +0,1.53,13
Mar 07 2018 01: +0,1.565,17
Mar 07 2018 02: +0,1.66,11
Mar 07 2018 03: +0,1.53,15
Mar 07 2018 04: +0,1.589,12
Mar 07 2018 05: +0,1.5,5
Mar 07 2018 06: +0,1.487,8
Mar 07 2018 07: +0,1.58,11
Mar 07 2018 08: +0,1.581,14
Mar 07 2018 09: +0,1.644,12
Mar 07 2018 10: +0,1.469,10
Mar 07 2018 11: +0,1.483,13
Mar 07 2018 12: +0,1.566,15
Mar 07 2018 13: +0,1.602,16
Mar 07 2018 14: +0,1.634,29
Mar 07 2018 15: +0,1.73,21
Mar 07 2018 16: +0,1.595,26
Mar 07 2018 17: +0,1.721,26
Mar 07 2018 18: +0,1.556,30
Mar 07 2018 19: +0,1.57,24
Mar 07 2018 20: +0,1.636,30
Mar 07 2018 21: +0,1.486,29
Mar 07 2018 22: +0,1.672,21
Mar 07 2018 23: +0,1.57,13
Mar 08 2018 00: +0,1.65,11
Mar 08 2018 01: +0,1.46,8
Mar 08 2018 02: +0,1.521,12
Mar 08 2018 03: +0,1.47,13
Mar 08 2018 04: +0,1.472,10
Mar 08 2018 05: +0,1.467,5
Mar 08 2018 06: +0,1.558,10
Mar 08 2018 07: +0,1.64,11
Mar 08 2018 08: +0,1.691,12
Mar 08 2018 09: +0,1.682,9
Mar 08 2018 10: +0,1.462,14
Mar 08 2018 11: +0,1.49,15
Mar 08 2018 12: +0,1.501,15
Mar 08 2018 13: +0,1.541,12
Mar 08 2018 14: +0,1.629,17
Mar 08 2018 15: +0,1.597,15
Mar 08 2018 16: +0,1.48,19
Mar 08 2018 17: +0,1.492,28
Mar 08 2018 18: +0,1.498,32
Mar 08 2018 19: +0,1.626,23
Mar 08 2018 20: +0,1.52,19
Mar 08 2018 21: +0,1.52,20
Mar 08 2018 22: +0,1.534,15
Mar 08 2018 23: +0,1.38,26
Mar 09 2018 00: +0,1.467,23
Mar 09 2018 01: +0,1.488,10
Mar 09 2018 02: +0,1.335,16
Mar 09 2018 03: +0,1.363,14
Mar 09 2018 04: +0,1.546,14
Mar 09 2018 05: +0,1.48,10
Mar 09 2018 06: +0,1.556,8
Mar 09 2018 07: +0,1.372,9
Mar 09 2018 08: +0,1.415,7
Mar 09 2018 09: +0,1.401,9
Mar 09 2018 10: +0,1.492,5
Mar 09 2018 11: +0,1.512,14
Mar 09 2018 12: +0,1.432,12
Mar 09 2018 13: +0,1.484,15
Mar 09 2018 14: +0,1.521,21
Mar 09 2018 15: +0,1.484,27
Mar 09 2018 16: +0,1.419,17
Mar 09 2018 17: +0,1.484,28
Mar 09 2018 18: +0,1.477,32
Mar 09 2018 19: +0,1.558,32
Mar 09 2018 20: +0,1.528,26
Mar 09 2018 21: +0,1.382,17
Mar 09 2018 22: +0,1.461,36
Mar 09 2018 23: +0,1.352,21
Mar 10 2018 00: +0,1.385,29
Mar 10 2018 01: +0,1.38,19
Mar 10 2018 02: +0,1.41,17
Mar 10 2018 03: +0,1.495,23
Mar 10 2018 04: +0,1.49,14
Mar 10 2018 05: +0,1.45,23
Mar 10 2018 06: +0,1.68,23
Mar 10 2018 07: +0,1.668,13
Mar 10 2018 08: +0,1.623,10
Mar 10 2018 09: +0,1.422,8
Mar 10 2018 10: +0,1.41,14
Mar 10 2018 11: +0,1.479,18
Mar 10 2018 12: +0,1.56,19
Mar 10 2018 13: +0,1.547,26
Mar 10 2018 14: +0,1.598,29
Mar 10 2018 15: +0,1.61,31
Mar 10 2018 16: +0,1.618,29
Mar 10 2018 17: +0,1.561,36
Mar 10 2018 18: +0,1.582,24
Mar 10 2018 19: +0,1.519,32
